zRot,x,y,z,cut,energy,HV,HJ,HCDR3,KV,KJ,KCDR3,LV,LJ,LCDR3
0.0,7.5,-10.0,10.0,1,58825.4022,8,1,4,,,,38,4,5
0.0,7.5,-10.0,10.0,2,58827.1533,8,1,4,44,4,80,,,
0.0,7.5,-10.0,10.0,3,58829.4305,8,1,4,44,4,86,,,
0.0,7.5,-10.0,10.0,4,58830.7967,8,1,4,44,4,103,,,
0.0,7.5,-10.0,10.0,5,58830.9345,8,1,4,44,4,164,,,
0.0,10.0,-10.0,10.0,1,-145.9638,8,1,4,44,4,80,,,
0.0,10.0,-10.0,10.0,2,-145.2421,8,1,4,44,4,86,,,
0.0,10.0,-10.0,10.0,3,-143.5501,8,1,4,44,4,164,,,
0.0,10.0,-10.0,10.0,4,-143.4945,8,1,4,44,4,26,,,
0.0,10.0,-10.0,10.0,5,-143.3011,8,1,4,44,4,25,,,
0.0,7.5,-10.0,11.25,1,149.4365,8,1,3,44,4,80,,,
0.0,7.5,-10.0,11.25,2,150.4132,8,1,1,44,4,80,,,
0.0,7.5,-10.0,11.25,3,151.4116,8,1,3,44,4,86,,,
0.0,7.5,-10.0,11.25,4,151.6489,8,1,3,44,4,103,,,
0.0,7.5,-10.0,11.25,5,152.1927,8,1,3,44,2,153,,,
0.0,10.0,-10.0,11.25,1,-182.3969,108,4,66,44,4,81,,,
0.0,10.0,-10.0,11.25,2,-178.9803,108,4,66,44,4,80,,,
0.0,10.0,-10.0,11.25,3,-178.0308,108,4,66,44,4,86,,,
0.0,10.0,-10.0,11.25,4,-177.6522,108,4,66,44,4,152,,,
0.0,10.0,-10.0,11.25,5,-177.2195,108,4,66,44,4,103,,,
0.0,10.0,-7.5,11.25,1,-91.518,109,5,8,43,3,149,,,
0.0,10.0,-7.5,11.25,2,-89.7778,109,5,8,43,3,158,,,
0.0,10.0,-7.5,11.25,3,-89.0996,108,4,8,43,3,152,,,
0.0,10.0,-7.5,11.25,4,-88.7841,82,4,8,43,3,149,,,
0.0,10.0,-7.5,11.25,5,-88.2334,108,4,8,43,3,149,,,
0.0,7.5,-10.0,12.5,1,-129.9947,108,1,94,,,,38,4,5
0.0,7.5,-10.0,12.5,2,-121.7957,109,5,94,54,3,138,,,
0.0,7.5,-10.0,12.5,3,-121.6522,109,5,94,54,3,46,,,
0.0,7.5,-10.0,12.5,4,-121.2444,108,1,94,54,2,4,,,
0.0,7.5,-10.0,12.5,5,-121.2088,109,5,94,54,2,175,,,
0.0,10.0,-10.0,12.5,1,-153.7929,135,1,66,44,2,81,,,
0.0,10.0,-10.0,12.5,2,-153.7844,137,1,66,44,2,81,,,
0.0,10.0,-10.0,12.5,3,-151.4132,135,1,94,,,,28,5,21
0.0,10.0,-10.0,12.5,4,-151.4047,137,1,94,,,,28,5,21
0.0,10.0,-10.0,12.5,5,-150.905,135,1,94,,,,28,5,8
0.0,5.0,-7.5,12.5,1,2799.7845,82,1,71,18,3,149,,,
0.0,5.0,-7.5,12.5,2,2799.8753,82,1,71,33,3,158,,,
0.0,5.0,-7.5,12.5,3,2800.3608,82,1,71,18,3,158,,,
0.0,5.0,-7.5,12.5,4,2800.3769,82,1,71,18,3,140,,,
0.0,5.0,-7.5,12.5,5,2800.7514,82,1,71,33,3,124,,,
0.0,10.0,-7.5,12.5,1,-107.7324,8,4,1,,,,38,4,5
0.0,10.0,-7.5,12.5,2,-101.0009,8,4,24,54,3,190,,,
0.0,10.0,-7.5,12.5,3,-100.8222,8,4,24,54,3,122,,,
