START	bench_2ck0	on 2017 May 14 at 21:29:00
DISK_USAGE	initial	472
SUB_TIME	NAMD relaxation of molecule /gpfs/work/m/mfa5147/OptMAVEn2.0/experiments/bench_2ck0/structures/MoleculeA.pdb	16.7015428543
SUB_TIME	Mounting antigen A	0.739753007889
DISK_USAGE	after_antigen_initialization	528
SUB_TIME	culling_clashes	14.6126198769
DISK_USAGE	after_culling_clashes	640
DISK_USAGE	beginning_MAPs_energy_calculations	32112
TIME	antigen_relaxation_and_positioning	38.75
TIME	interaction_energies_for_MAPs_part_LV_7	163.8
TIME	interaction_energies_for_MAPs_part_LV_8	166.36
TIME	interaction_energies_for_MAPs_part_LV_5	175.39
TIME	interaction_energies_for_MAPs_part_LV_34	167.92
TIME	interaction_energies_for_MAPs_part_LV_33	165.65
TIME	interaction_energies_for_MAPs_part_LV_30	164.89
TIME	interaction_energies_for_MAPs_part_LV_9	180.05
TIME	interaction_energies_for_MAPs_part_LV_38	168.93
TIME	interaction_energies_for_MAPs_part_LV_2	164.8
TIME	interaction_energies_for_MAPs_part_LV_32	164.03
TIME	interaction_energies_for_MAPs_part_LV_31	163.69
TIME	interaction_energies_for_MAPs_part_LV_26	165.67
TIME	interaction_energies_for_MAPs_part_LV_29	164.89
TIME	interaction_energies_for_MAPs_part_LV_28	165.14
TIME	interaction_energies_for_MAPs_part_LV_4	180.54
TIME	interaction_energies_for_MAPs_part_LV_3	178.9
TIME	interaction_energies_for_MAPs_part_LV_24	166.49
TIME	interaction_energies_for_MAPs_part_LV_22	161.55
TIME	interaction_energies_for_MAPs_part_LV_23	162.53
TIME	interaction_energies_for_MAPs_part_LV_20	161.68
TIME	interaction_energies_for_MAPs_part_LV_27	171.01
TIME	interaction_energies_for_MAPs_part_LV_36	177.65
TIME	interaction_energies_for_MAPs_part_LV_35	179.72
TIME	interaction_energies_for_MAPs_part_LV_18	162.57
TIME	interaction_energies_for_MAPs_part_LV_19	163.24
TIME	interaction_energies_for_MAPs_part_LV_17	157.29
TIME	interaction_energies_for_MAPs_part_LV_16	160.83
TIME	interaction_energies_for_MAPs_part_LV_37	183.55
TIME	interaction_energies_for_MAPs_part_LV_15	166.01
TIME	interaction_energies_for_MAPs_part_LJ_7	72.63
TIME	interaction_energies_for_MAPs_part_LV_1	163.15
TIME	interaction_energies_for_MAPs_part_LV_25	168.7
TIME	interaction_energies_for_MAPs_part_LV_13	166.39
TIME	interaction_energies_for_MAPs_part_LV_14	166.92
TIME	interaction_energies_for_MAPs_part_LJ_2	74.17
TIME	interaction_energies_for_MAPs_part_LJ_3	74.43
TIME	interaction_energies_for_MAPs_part_KCDR3_35	73.96
TIME	interaction_energies_for_MAPs_part_LJ_1	74.67
TIME	interaction_energies_for_MAPs_part_LJ_6	75.36
TIME	interaction_energies_for_MAPs_part_LV_11	163.22
TIME	interaction_energies_for_MAPs_part_LV_10	164.09
TIME	interaction_energies_for_MAPs_part_LV_12	168.7
TIME	interaction_energies_for_MAPs_part_KCDR3_33	73.96
TIME	interaction_energies_for_MAPs_part_LV_21	177.23
TIME	interaction_energies_for_MAPs_part_KCDR3_32	73.33
TIME	interaction_energies_for_MAPs_part_KCDR3_29	71.86
TIME	interaction_energies_for_MAPs_part_KCDR3_2	72.81
TIME	interaction_energies_for_MAPs_part_KCDR3_28	74.0
TIME	interaction_energies_for_MAPs_part_KCDR3_27	76.18
TIME	interaction_energies_for_MAPs_part_KCDR3_31	77.8
TIME	interaction_energies_for_MAPs_part_KCDR3_25	74.74
TIME	interaction_energies_for_MAPs_part_KCDR3_21	73.23
TIME	interaction_energies_for_MAPs_part_KCDR3_22	73.2
TIME	interaction_energies_for_MAPs_part_KCDR3_26	79.68
TIME	interaction_energies_for_MAPs_part_LJ_4	84.26
TIME	interaction_energies_for_MAPs_part_KCDR3_19	73.29
TIME	interaction_energies_for_MAPs_part_LJ_5	84.01
TIME	interaction_energies_for_MAPs_part_KCDR3_197	80.94
TIME	interaction_energies_for_MAPs_part_KCDR3_196	80.88
TIME	interaction_energies_for_MAPs_part_KCDR3_30	76.94
TIME	interaction_energies_for_MAPs_part_KCDR3_195	75.31
TIME	interaction_energies_for_MAPs_part_KCDR3_193	76.03
TIME	interaction_energies_for_MAPs_part_KCDR3_192	76.84
TIME	interaction_energies_for_MAPs_part_KCDR3_194	77.86
TIME	interaction_energies_for_MAPs_part_KCDR3_191	75.76
TIME	interaction_energies_for_MAPs_part_KCDR3_23	72.57
TIME	interaction_energies_for_MAPs_part_KCDR3_18	74.65
TIME	interaction_energies_for_MAPs_part_KCDR3_189	77.47
TIME	interaction_energies_for_MAPs_part_KCDR3_185	76.99
TIME	interaction_energies_for_MAPs_part_KCDR3_199	76.7
TIME	interaction_energies_for_MAPs_part_KCDR3_186	77.32
TIME	interaction_energies_for_MAPs_part_KCDR3_183	76.7
TIME	interaction_energies_for_MAPs_part_KCDR3_24	77.63
TIME	interaction_energies_for_MAPs_part_KCDR3_187	75.54
TIME	interaction_energies_for_MAPs_part_KCDR3_184	79.06
TIME	interaction_energies_for_MAPs_part_KCDR3_188	77.82
TIME	interaction_energies_for_MAPs_part_KCDR3_182	77.63
TIME	interaction_energies_for_MAPs_part_KCDR3_181	78.66
TIME	interaction_energies_for_MAPs_part_KCDR3_177	74.72
TIME	interaction_energies_for_MAPs_part_KCDR3_34	87.39
TIME	interaction_energies_for_MAPs_part_KCDR3_173	74.26
TIME	interaction_energies_for_MAPs_part_KCDR3_172	74.53
TIME	interaction_energies_for_MAPs_part_KCDR3_1	81.05
TIME	interaction_energies_for_MAPs_part_KCDR3_170	75.42
TIME	interaction_energies_for_MAPs_part_KCDR3_167	74.87
TIME	interaction_energies_for_MAPs_part_KCDR3_169	74.47
TIME	interaction_energies_for_MAPs_part_KCDR3_168	73.71
TIME	interaction_energies_for_MAPs_part_KCDR3_164	74.55
TIME	interaction_energies_for_MAPs_part_KCDR3_162	74.25
TIME	interaction_energies_for_MAPs_part_KCDR3_20	86.22
TIME	interaction_energies_for_MAPs_part_KCDR3_157	75.47
TIME	interaction_energies_for_MAPs_part_KCDR3_190	87.66
TIME	interaction_energies_for_MAPs_part_KCDR3_14	72.62
TIME	interaction_energies_for_MAPs_part_KCDR3_158	80.4
TIME	interaction_energies_for_MAPs_part_KCDR3_150	75.55
