zRot: 60.0, x: 10.0, y: -10.0, z: 12.5, cut: 1, energy: -159.411697388, HV: HV_92, HJ: HJ_5, HCDR3: HCDR3_355, LV: KV_18, LJ: KJ_3, LCDR3: KCDR3_149, cluster: 1, assembly: 1, Pre-Relaxed: -156.8338, Relaxed: -223.9223
zRot: 60.0, x: 10.0, y: -10.0, z: 12.5, cut: 2, energy: -159.405899048, HV: HV_92, HJ: HJ_5, HCDR3: HCDR3_355, LV: KV_18, LJ: KJ_3, LCDR3: KCDR3_170, cluster: 1, assembly: 2, Pre-Relaxed: -156.828, Relaxed: nan
zRot: 60.0, x: 10.0, y: -10.0, z: 12.5, cut: 3, energy: -159.400497437, HV: HV_92, HJ: HJ_5, HCDR3: HCDR3_355, LV: KV_18, LJ: KJ_3, LCDR3: KCDR3_162, cluster: 1, assembly: 3, Pre-Relaxed: -156.8225, Relaxed: nan
zRot: 60.0, x: 10.0, y: -10.0, z: 12.5, cut: 4, energy: -159.379806519, HV: HV_92, HJ: HJ_5, HCDR3: HCDR3_355, LV: KV_18, LJ: KJ_3, LCDR3: KCDR3_199, cluster: 1, assembly: 4, Pre-Relaxed: -156.8019, Relaxed: nan
zRot: 60.0, x: 10.0, y: -10.0, z: 12.5, cut: 5, energy: -159.345199585, HV: HV_92, HJ: HJ_5, HCDR3: HCDR3_355, LV: KV_18, LJ: KJ_5, LCDR3: KCDR3_69, cluster: 1, assembly: 5, Pre-Relaxed: -156.7674, Relaxed: nan
zRot: 60.0, x: 10.0, y: -10.0, z: 13.75, cut: 1, energy: -156.591201782, HV: HV_92, HJ: HJ_5, HCDR3: HCDR3_355, LV: KV_37, LJ: KJ_3, LCDR3: KCDR3_199, cluster: 1, assembly: 6, Pre-Relaxed: -154.9889, Relaxed: nan
zRot: 60.0, x: 10.0, y: -10.0, z: 13.75, cut: 2, energy: -156.572799683, HV: HV_92, HJ: HJ_5, HCDR3: HCDR3_355, LV: KV_17, LJ: KJ_3, LCDR3: KCDR3_149, cluster: 1, assembly: 7, Pre-Relaxed: -154.9704, Relaxed: nan
zRot: 60.0, x: 10.0, y: -10.0, z: 13.75, cut: 3, energy: -156.564605713, HV: HV_92, HJ: HJ_5, HCDR3: HCDR3_355, LV: KV_17, LJ: KJ_3, LCDR3: KCDR3_162, cluster: 1, assembly: 8, Pre-Relaxed: -154.9623, Relaxed: nan
zRot: 60.0, x: 7.5, y: -10.0, z: 12.5, cut: 1, energy: -117.388198853, HV: HV_92, HJ: HJ_5, HCDR3: HCDR3_327, LV: KV_57, LJ: KJ_3, LCDR3: KCDR3_162, cluster: 3, assembly: 17, Pre-Relaxed: -114.6221, Relaxed: nan
zRot: 60.0, x: 7.5, y: -10.0, z: 12.5, cut: 2, energy: -117.376502991, HV: HV_92, HJ: HJ_5, HCDR3: HCDR3_327, LV: KV_57, LJ: KJ_3, LCDR3: KCDR3_149, cluster: 3, assembly: 18, Pre-Relaxed: -114.6103, Relaxed: nan
zRot: 60.0, x: 7.5, y: -10.0, z: 12.5, cut: 3, energy: -117.351402283, HV: HV_92, HJ: HJ_5, HCDR3: HCDR3_327, LV: KV_57, LJ: KJ_3, LCDR3: KCDR3_170, cluster: 3, assembly: 19, Pre-Relaxed: -114.5852, Relaxed: nan
