zRot,x,y,z,cut,energy,HV,HJ,HCDR3,KV,KJ,KCDR3,LV,LJ,LCDR3
0.0,0.0,5.0,8.75,1,38970675.3572,41,5,8,65,3,132,,,
0.0,0.0,5.0,8.75,2,38970677.2194,41,5,307,65,3,132,,,
0.0,0.0,5.0,8.75,3,38970678.8352,41,5,32,65,3,132,,,
0.0,0.0,5.0,8.75,4,38970679.5171,41,5,31,65,3,132,,,
0.0,0.0,5.0,8.75,5,38970680.5187,41,5,3,65,3,132,,,
0.0,5.0,-10.0,10.0,1,2926741.5327,93,4,4,53,3,117,,,
0.0,5.0,-10.0,10.0,2,2926742.2713,93,4,4,65,3,117,,,
0.0,5.0,-10.0,10.0,3,2926744.9966,93,4,4,54,3,117,,,
0.0,5.0,-10.0,10.0,4,2926833.4669,93,4,2,53,3,117,,,
0.0,5.0,-10.0,10.0,5,2926834.2055,93,4,2,65,3,117,,,
0.0,-2.5,-5.0,10.0,1,169582498.495,110,5,7,14,3,81,,,
0.0,-2.5,-5.0,10.0,2,169582498.496,110,5,7,13,3,81,,,
0.0,-2.5,-5.0,10.0,3,169582499.192,110,5,7,14,3,74,,,
0.0,-2.5,-5.0,10.0,4,169582499.193,110,5,7,13,3,74,,,
0.0,-2.5,-5.0,10.0,5,169582499.216,110,5,7,14,3,106,,,
0.0,0.0,5.0,10.0,1,5127090.4041,44,5,243,32,2,132,,,
0.0,0.0,5.0,10.0,2,5127103.6059,44,5,177,32,2,132,,,
0.0,0.0,5.0,10.0,3,5127110.7874,44,5,16,32,2,132,,,
0.0,0.0,5.0,10.0,4,5127111.8326,44,5,50,32,2,132,,,
0.0,0.0,5.0,10.0,5,5127113.2092,44,5,3,32,2,132,,,
0.0,2.5,5.0,10.0,1,40455857.8312,46,5,6,6,1,23,,,
0.0,2.5,5.0,10.0,2,40455857.9443,46,5,3,6,1,23,,,
0.0,2.5,5.0,10.0,3,40455861.7846,46,5,49,6,1,23,,,
0.0,2.5,5.0,10.0,4,40455863.2599,46,5,13,6,1,23,,,
0.0,2.5,5.0,10.0,5,40455864.9675,46,5,1,6,1,23,,,
0.0,10.0,5.0,10.0,1,2618343983.49,8,4,42,,,,30,5,20
0.0,10.0,5.0,10.0,2,2618343986.76,8,4,42,,,,30,5,29
0.0,10.0,5.0,10.0,3,2618343989.41,8,4,42,,,,30,5,5
0.0,10.0,5.0,10.0,4,2618348366.58,8,4,133,,,,30,5,20
0.0,10.0,5.0,10.0,5,2618343984.24,8,4,49,,,,30,5,20
0.0,5.0,-10.0,11.25,1,100430.6408,93,4,290,65,3,117,,,
0.0,5.0,-10.0,11.25,2,100437.9353,93,4,290,65,3,128,,,
0.0,5.0,-10.0,11.25,3,100438.2134,93,4,290,65,3,119,,,
0.0,5.0,-10.0,11.25,4,100438.3029,93,4,290,65,3,130,,,
0.0,5.0,-10.0,11.25,5,100438.4732,93,4,290,65,3,193,,,
0.0,7.5,-10.0,11.25,1,441.6935,60,5,7,15,3,33,,,
0.0,7.5,-10.0,11.25,2,441.805,60,5,7,15,3,130,,,
0.0,7.5,-10.0,11.25,3,441.9336,60,5,7,15,3,119,,,
0.0,7.5,-10.0,11.25,4,442.1892,60,5,7,15,3,95,,,
0.0,7.5,-10.0,11.25,5,442.3192,60,5,7,15,3,94,,,
0.0,-2.5,-7.5,11.25,1,192635329.743,54,2,199,9,2,117,,,
0.0,-2.5,-7.5,11.25,2,192635330.381,54,2,199,4,4,117,,,
0.0,-2.5,-7.5,11.25,3,192635330.546,54,2,199,54,2,117,,,
0.0,-2.5,-7.5,11.25,4,192635330.466,54,2,199,5,4,117,,,
0.0,-2.5,-7.5,11.25,5,192635330.785,54,2,199,32,4,117,,,
0.0,0.0,-7.5,11.25,1,134299109.835,80,4,4,59,3,187,,,
0.0,0.0,-7.5,11.25,2,134299110.878,80,4,4,44,4,187,,,
0.0,0.0,-7.5,11.25,3,134299111.587,80,4,4,40,4,187,,,
0.0,0.0,-7.5,11.25,4,134299112.271,80,4,4,18,4,187,,,
0.0,0.0,-7.5,11.25,5,134299112.94,80,4,4,58,4,187,,,
0.0,5.0,-7.5,11.25,1,70352.7502,17,5,4,59,3,117,,,
0.0,5.0,-7.5,11.25,2,70354.8601,17,5,4,58,3,117,,,
0.0,5.0,-7.5,11.25,3,70355.8448,17,5,4,60,3,115,,,
0.0,5.0,-7.5,11.25,4,70354.9497,17,5,4,56,3,117,,,
0.0,5.0,-7.5,11.25,5,70354.967,17,5,4,63,3,117,,,
0.0,-5.0,-5.0,11.25,1,617388461.933,8,5,4,6,4,52,,,
0.0,-5.0,-5.0,11.25,2,617388462.8,8,5,4,6,4,130,,,
0.0,-5.0,-5.0,11.25,3,617388462.933,8,5,4,6,4,136,,,
0.0,-5.0,-5.0,11.25,4,617388462.97,8,5,4,6,4,7,,,
0.0,-5.0,-5.0,11.25,5,617388463.063,8,5,4,6,4,80,,,
0.0,-2.5,-5.0,11.25,1,272541259.869,4,5,7,15,3,17,,,
0.0,-2.5,-5.0,11.25,2,272541259.88,4,5,7,13,3,17,,,
0.0,-2.5,-5.0,11.25,3,272541259.887,4,5,7,14,3,17,,,
0.0,-2.5,-5.0,11.25,4,356908435.962,4,5,94,61,3,46,,,
0.0,-2.5,-5.0,11.25,5,356908436.775,4,5,94,57,3,46,,,
0.0,0.0,-5.0,11.25,1,1427573.5977,17,5,4,59,3,117,,,
0.0,0.0,-5.0,11.25,2,1427573.6207,17,5,4,6,3,117,,,
0.0,0.0,-5.0,11.25,3,1427573.9614,17,5,4,61,3,117,,,
0.0,0.0,-5.0,11.25,4,1427574.7132,17,5,4,62,5,117,,,
0.0,0.0,-5.0,11.25,5,1427574.8235,17,5,4,66,5,117,,,
0.0,0.0,-2.5,11.25,1,9119245.7235,57,4,4,6,4,183,,,
0.0,0.0,-2.5,11.25,2,9119246.4885,57,4,4,6,4,159,,,
0.0,0.0,-2.5,11.25,3,9119246.7388,57,4,4,6,4,52,,,
