zRot: 60.0, x: 10.0, y: -10.0, z: 12.5, cut: 1, energy: -159.411697388, HV: HV_92, HJ: HJ_5, HCDR3: HCDR3_355, LV: KV_18, LJ: KJ_3, LCDR3: KCDR3_149, cluster: 6, assembly: 46, Pre-Relaxed: -156.8338, Relaxed: nan
zRot: 60.0, x: 10.0, y: -10.0, z: 12.5, cut: 2, energy: -159.405899048, HV: HV_92, HJ: HJ_5, HCDR3: HCDR3_355, LV: KV_18, LJ: KJ_3, LCDR3: KCDR3_170, cluster: 6, assembly: 47, Pre-Relaxed: -156.828, Relaxed: nan
zRot: 60.0, x: 10.0, y: -10.0, z: 12.5, cut: 3, energy: -159.400497437, HV: HV_92, HJ: HJ_5, HCDR3: HCDR3_355, LV: KV_18, LJ: KJ_3, LCDR3: KCDR3_162, cluster: 6, assembly: 48, Pre-Relaxed: -156.8225, Relaxed: nan
zRot: 60.0, x: 10.0, y: -10.0, z: 12.5, cut: 4, energy: -159.379806519, HV: HV_92, HJ: HJ_5, HCDR3: HCDR3_355, LV: KV_18, LJ: KJ_3, LCDR3: KCDR3_199, cluster: 6, assembly: 49, Pre-Relaxed: -156.8019, Relaxed: nan
zRot: 60.0, x: 10.0, y: -10.0, z: 12.5, cut: 5, energy: -159.345199585, HV: HV_92, HJ: HJ_5, HCDR3: HCDR3_355, LV: KV_18, LJ: KJ_5, LCDR3: KCDR3_69, cluster: 6, assembly: 50, Pre-Relaxed: -156.7674, Relaxed: nan
zRot: 60.0, x: 10.0, y: -10.0, z: 13.75, cut: 1, energy: -156.591201782, HV: HV_92, HJ: HJ_5, HCDR3: HCDR3_355, LV: KV_37, LJ: KJ_3, LCDR3: KCDR3_199, cluster: 6, assembly: 51, Pre-Relaxed: -154.9889, Relaxed: nan
zRot: 60.0, x: 10.0, y: -10.0, z: 13.75, cut: 2, energy: -156.572799683, HV: HV_92, HJ: HJ_5, HCDR3: HCDR3_355, LV: KV_17, LJ: KJ_3, LCDR3: KCDR3_149, cluster: 6, assembly: 52, Pre-Relaxed: -154.9704, Relaxed: nan
zRot: 60.0, x: 10.0, y: -10.0, z: 13.75, cut: 3, energy: -156.564605713, HV: HV_92, HJ: HJ_5, HCDR3: HCDR3_355, LV: KV_17, LJ: KJ_3, LCDR3: KCDR3_162, cluster: 6, assembly: 53, Pre-Relaxed: -154.9623, Relaxed: nan
zRot: 60.0, x: 10.0, y: -10.0, z: 13.75, cut: 4, energy: -156.560897827, HV: HV_92, HJ: HJ_5, HCDR3: HCDR3_355, LV: KV_17, LJ: KJ_3, LCDR3: KCDR3_170, cluster: 6, assembly: 54, Pre-Relaxed: -154.9586, Relaxed: nan
zRot: 120.0, x: 5.0, y: 2.5, z: 16.25, cut: 1, energy: -108.982498169, HV: HV_92, HJ: HJ_5, HCDR3: HCDR3_277, LV: LV_37, LJ: LJ_1, LCDR3: LCDR3_31, cluster: 4, assembly: 28, Pre-Relaxed: -108.667, Relaxed: nan
zRot: 120.0, x: 5.0, y: 2.5, z: 16.25, cut: 2, energy: -105.17250061, HV: HV_138, HJ: HJ_4, HCDR3: HCDR3_277, LV: LV_37, LJ: LJ_5, LCDR3: LCDR3_29, cluster: 4, assembly: 29, Pre-Relaxed: -104.8569, Relaxed: nan
zRot: 60.0, x: 10.0, y: -7.5, z: 16.25, cut: 1, energy: -104.579399109, HV: HV_92, HJ: HJ_5, HCDR3: HCDR3_411, LV: LV_28, LJ: LJ_1, LCDR3: LCDR3_31, cluster: 4, assembly: 30, Pre-Relaxed: -104.5338, Relaxed: nan
zRot: 60.0, x: 10.0, y: -7.5, z: 16.25, cut: 2, energy: -104.30090332, HV: HV_92, HJ: HJ_5, HCDR3: HCDR3_411, LV: LV_29, LJ: LJ_1, LCDR3: LCDR3_31, cluster: 4, assembly: 32, Pre-Relaxed: -104.2553, Relaxed: nan
zRot: 120.0, x: 5.0, y: 2.5, z: 16.25, cut: 3, energy: -104.476898193, HV: HV_138, HJ: HJ_4, HCDR3: HCDR3_277, LV: LV_37, LJ: LJ_5, LCDR3: LCDR3_21, cluster: 4, assembly: 31, Pre-Relaxed: -104.1614, Relaxed: nan
zRot: 120.0, x: 5.0, y: 2.5, z: 16.25, cut: 4, energy: -100.5184021, HV: HV_114, HJ: HJ_2, HCDR3: HCDR3_277, LV: LV_37, LJ: LJ_5, LCDR3: LCDR3_29, cluster: 4, assembly: 33, Pre-Relaxed: -100.2028, Relaxed: nan
zRot: 120.0, x: 5.0, y: 2.5, z: 16.25, cut: 5, energy: -100.467498779, HV: HV_106, HJ: HJ_1, HCDR3: HCDR3_277, LV: LV_37, LJ: LJ_5, LCDR3: LCDR3_29, cluster: 4, assembly: 34, Pre-Relaxed: -100.1519, Relaxed: nan
