START	bench_2g5b	on 2017 May 12 at 22:18:35
SUB_TIME	NAMD relaxation of molecule /gpfs/work/m/mfa5147/OptMAVEn2.0/experiments/bench_2g5b/structures/MoleculeA.pdb	9.98417305946
SUB_TIME	Mounting antigen A	0.632625818253
SUB_TIME	culling_clashes	7.45975708961
TIME	antigen_relaxation_and_positioning	27.16
TIME	interaction_energies_for_MAPs_part_LV_9	174.66
TIME	interaction_energies_for_MAPs_part_LV_7	172.93
TIME	interaction_energies_for_MAPs_part_LV_36	174.36
TIME	interaction_energies_for_MAPs_part_LV_8	178.26
TIME	interaction_energies_for_MAPs_part_LV_5	175.94
TIME	interaction_energies_for_MAPs_part_LV_29	178.77
TIME	interaction_energies_for_MAPs_part_LV_31	174.96
TIME	interaction_energies_for_MAPs_part_LV_2	179.11
TIME	interaction_energies_for_MAPs_part_LV_3	176.58
TIME	interaction_energies_for_MAPs_part_LV_4	176.06
TIME	interaction_energies_for_MAPs_part_LV_30	177.11
TIME	interaction_energies_for_MAPs_part_LV_28	179.84
TIME	interaction_energies_for_MAPs_part_LV_37	177.7
TIME	interaction_energies_for_MAPs_part_LV_32	176.45
TIME	interaction_energies_for_MAPs_part_LV_38	181.68
TIME	interaction_energies_for_MAPs_part_LV_33	179.87
TIME	interaction_energies_for_MAPs_part_LV_35	179.93
TIME	interaction_energies_for_MAPs_part_LV_34	179.59
TIME	interaction_energies_for_MAPs_part_LV_25	172.14
TIME	interaction_energies_for_MAPs_part_LV_27	176.51
TIME	interaction_energies_for_MAPs_part_LV_23	175.25
TIME	interaction_energies_for_MAPs_part_LV_24	176.81
TIME	interaction_energies_for_MAPs_part_LV_20	174.07
TIME	interaction_energies_for_MAPs_part_LV_19	174.85
TIME	interaction_energies_for_MAPs_part_LV_17	173.91
TIME	interaction_energies_for_MAPs_part_LV_18	174.43
TIME	interaction_energies_for_MAPs_part_LV_21	173.66
TIME	interaction_energies_for_MAPs_part_LV_22	175.1
TIME	interaction_energies_for_MAPs_part_LV_15	179.52
TIME	interaction_energies_for_MAPs_part_LV_14	180.88
TIME	interaction_energies_for_MAPs_part_LV_1	177.65
TIME	interaction_energies_for_MAPs_part_LV_16	178.42
TIME	interaction_energies_for_MAPs_part_LJ_6	76.55
TIME	interaction_energies_for_MAPs_part_LJ_4	77.0
TIME	interaction_energies_for_MAPs_part_LJ_5	78.75
TIME	interaction_energies_for_MAPs_part_LJ_7	78.21
TIME	interaction_energies_for_MAPs_part_LV_26	176.48
TIME	interaction_energies_for_MAPs_part_LJ_2	77.07
TIME	interaction_energies_for_MAPs_part_LJ_3	77.27
TIME	interaction_energies_for_MAPs_part_KCDR3_35	76.39
TIME	interaction_energies_for_MAPs_part_LJ_1	77.47
TIME	interaction_energies_for_MAPs_part_KCDR3_26	76.29
TIME	interaction_energies_for_MAPs_part_KCDR3_2	73.42
TIME	interaction_energies_for_MAPs_part_KCDR3_27	76.91
TIME	interaction_energies_for_MAPs_part_KCDR3_29	74.55
TIME	interaction_energies_for_MAPs_part_KCDR3_34	75.75
TIME	interaction_energies_for_MAPs_part_KCDR3_32	76.85
TIME	interaction_energies_for_MAPs_part_KCDR3_28	76.83
TIME	interaction_energies_for_MAPs_part_KCDR3_31	77.06
TIME	interaction_energies_for_MAPs_part_KCDR3_33	77.46
TIME	interaction_energies_for_MAPs_part_KCDR3_30	77.67
TIME	interaction_energies_for_MAPs_part_LV_13	176.14
TIME	interaction_energies_for_MAPs_part_LV_12	174.64
TIME	interaction_energies_for_MAPs_part_LV_10	178.77
TIME	interaction_energies_for_MAPs_part_KCDR3_24	74.48
TIME	interaction_energies_for_MAPs_part_KCDR3_25	78.23
TIME	interaction_energies_for_MAPs_part_LV_11	181.45
TIME	interaction_energies_for_MAPs_part_KCDR3_1	71.91
TIME	interaction_energies_for_MAPs_part_KCDR3_21	77.04
TIME	interaction_energies_for_MAPs_part_KCDR3_22	79.44
TIME	interaction_energies_for_MAPs_part_KCDR3_20	75.46
TIME	interaction_energies_for_MAPs_part_KCDR3_19	76.0
TIME	interaction_energies_for_MAPs_part_KCDR3_199	79.12
TIME	interaction_energies_for_MAPs_part_KCDR3_18	76.35
TIME	interaction_energies_for_MAPs_part_KCDR3_190	79.2
TIME	interaction_energies_for_MAPs_part_KCDR3_195	77.44
TIME	interaction_energies_for_MAPs_part_KCDR3_194	79.37
TIME	interaction_energies_for_MAPs_part_KCDR3_191	78.93
TIME	interaction_energies_for_MAPs_part_KCDR3_192	79.0
TIME	interaction_energies_for_MAPs_part_KCDR3_193	79.03
TIME	interaction_energies_for_MAPs_part_KCDR3_197	80.49
TIME	interaction_energies_for_MAPs_part_KCDR3_196	80.34
TIME	interaction_energies_for_MAPs_part_KCDR3_198	81.18
TIME	interaction_energies_for_MAPs_part_KCDR3_182	78.27
TIME	interaction_energies_for_MAPs_part_KCDR3_185	81.06
TIME	interaction_energies_for_MAPs_part_KCDR3_186	79.8
TIME	interaction_energies_for_MAPs_part_KCDR3_184	78.9
TIME	interaction_energies_for_MAPs_part_KCDR3_187	80.74
TIME	interaction_energies_for_MAPs_part_KCDR3_189	80.46
TIME	interaction_energies_for_MAPs_part_KCDR3_188	79.14
TIME	interaction_energies_for_MAPs_part_KCDR3_183	79.41
TIME	interaction_energies_for_MAPs_part_KCDR3_181	77.48
TIME	interaction_energies_for_MAPs_part_KCDR3_180	77.06
TIME	interaction_energies_for_MAPs_part_KCDR3_23	75.69
TIME	interaction_energies_for_MAPs_part_KCDR3_17	76.56
TIME	interaction_energies_for_MAPs_part_KCDR3_179	77.58
TIME	interaction_energies_for_MAPs_part_KCDR3_177	74.63
TIME	interaction_energies_for_MAPs_part_KCDR3_176	77.12
TIME	interaction_energies_for_MAPs_part_KCDR3_178	78.12
TIME	interaction_energies_for_MAPs_part_KCDR3_174	76.14
TIME	interaction_energies_for_MAPs_part_KCDR3_175	79.78
TIME	interaction_energies_for_MAPs_part_KCDR3_173	76.46
TIME	interaction_energies_for_MAPs_part_KCDR3_172	76.56
TIME	interaction_energies_for_MAPs_part_KCDR3_171	78.7
TIME	interaction_energies_for_MAPs_part_KCDR3_166	77.8
TIME	interaction_energies_for_MAPs_part_KCDR3_156	77.94
TIME	interaction_energies_for_MAPs_part_KCDR3_167	78.12
TIME	interaction_energies_for_MAPs_part_KCDR3_162	77.87
TIME	interaction_energies_for_MAPs_part_KCDR3_165	78.31
TIME	interaction_energies_for_MAPs_part_KCDR3_158	78.35
TIME	interaction_energies_for_MAPs_part_KCDR3_16	76.52
TIME	interaction_energies_for_MAPs_part_KCDR3_168	76.95
TIME	interaction_energies_for_MAPs_part_KCDR3_170	77.75
TIME	interaction_energies_for_MAPs_part_KCDR3_169	77.66
TIME	interaction_energies_for_MAPs_part_KCDR3_157	77.09
TIME	interaction_energies_for_MAPs_part_KCDR3_163	83.11
TIME	interaction_energies_for_MAPs_part_KCDR3_15	76.4
TIME	interaction_energies_for_MAPs_part_KCDR3_164	77.14
TIME	interaction_energies_for_MAPs_part_KCDR3_161	77.23
TIME	interaction_energies_for_MAPs_part_KCDR3_160	77.1
TIME	interaction_energies_for_MAPs_part_KCDR3_159	78.85
TIME	interaction_energies_for_MAPs_part_KCDR3_155	77.17
TIME	interaction_energies_for_MAPs_part_KCDR3_154	76.52
TIME	interaction_energies_for_MAPs_part_KCDR3_153	75.85
TIME	interaction_energies_for_MAPs_part_KCDR3_150	76.87
TIME	interaction_energies_for_MAPs_part_KCDR3_151	79.11
TIME	interaction_energies_for_MAPs_part_KCDR3_149	76.29
TIME	interaction_energies_for_MAPs_part_KCDR3_14	77.35
TIME	interaction_energies_for_MAPs_part_KCDR3_148	78.38
TIME	interaction_energies_for_MAPs_part_KCDR3_146	76.73
TIME	interaction_energies_for_MAPs_part_KCDR3_147	80.6
TIME	interaction_energies_for_MAPs_part_KCDR3_145	76.08
TIME	interaction_energies_for_MAPs_part_KCDR3_144	75.96
TIME	interaction_energies_for_MAPs_part_KCDR3_143	74.95
TIME	interaction_energies_for_MAPs_part_KCDR3_135	78.21
TIME	interaction_energies_for_MAPs_part_KCDR3_142	77.69
TIME	interaction_energies_for_MAPs_part_KCDR3_137	78.36
TIME	interaction_energies_for_MAPs_part_KCDR3_138	77.91
TIME	interaction_energies_for_MAPs_part_KCDR3_136	77.03
TIME	interaction_energies_for_MAPs_part_KCDR3_134	76.84
TIME	interaction_energies_for_MAPs_part_KCDR3_133	77.11
TIME	interaction_energies_for_MAPs_part_KCDR3_152	76.76
TIME	interaction_energies_for_MAPs_part_KCDR3_139	76.58
TIME	interaction_energies_for_MAPs_part_KCDR3_13	76.65
TIME	interaction_energies_for_MAPs_part_KCDR3_140	77.46
TIME	interaction_energies_for_MAPs_part_KCDR3_141	77.48
TIME	interaction_energies_for_MAPs_part_KCDR3_131	82.24
TIME	interaction_energies_for_MAPs_part_KCDR3_127	77.47
TIME	interaction_energies_for_MAPs_part_KCDR3_132	76.67
TIME	interaction_energies_for_MAPs_part_KCDR3_129	75.93
TIME	interaction_energies_for_MAPs_part_KCDR3_130	77.21
TIME	interaction_energies_for_MAPs_part_KCDR3_12	77.45
TIME	interaction_energies_for_MAPs_part_KCDR3_128	78.97
TIME	interaction_energies_for_MAPs_part_KCDR3_125	75.64
TIME	interaction_energies_for_MAPs_part_KCDR3_126	77.56
TIME	interaction_energies_for_MAPs_part_KCDR3_123	75.82
TIME	interaction_energies_for_MAPs_part_KCDR3_124	77.68
TIME	interaction_energies_for_MAPs_part_KCDR3_121	77.96
TIME	interaction_energies_for_MAPs_part_KCDR3_120	77.87
TIME	interaction_energies_for_MAPs_part_KCDR3_122	78.73
TIME	interaction_energies_for_MAPs_part_KCDR3_119	77.77
TIME	interaction_energies_for_MAPs_part_KCDR3_11	80.14
TIME	interaction_energies_for_MAPs_part_KCDR3_118	77.46
TIME	interaction_energies_for_MAPs_part_KCDR3_116	78.17
TIME	interaction_energies_for_MAPs_part_KCDR3_117	79.04
TIME	interaction_energies_for_MAPs_part_KCDR3_115	77.51
TIME	interaction_energies_for_MAPs_part_KCDR3_114	78.72
TIME	interaction_energies_for_MAPs_part_KCDR3_112	79.04
TIME	interaction_energies_for_MAPs_part_KCDR3_103	71.82
TIME	interaction_energies_for_MAPs_part_KCDR3_111	76.62
TIME	interaction_energies_for_MAPs_part_KCDR3_113	78.85
TIME	interaction_energies_for_MAPs_part_KCDR3_10	76.68
TIME	interaction_energies_for_MAPs_part_KCDR3_102	76.78
TIME	interaction_energies_for_MAPs_part_KCDR3_110	76.84
TIME	interaction_energies_for_MAPs_part_KCDR3_101	76.81
TIME	interaction_energies_for_MAPs_part_KCDR3_97	74.96
TIME	interaction_energies_for_MAPs_part_KCDR3_107	76.58
TIME	interaction_energies_for_MAPs_part_KCDR3_105	76.86
TIME	interaction_energies_for_MAPs_part_KCDR3_104	77.13
