zRot,x,y,z,cut,energy,HV,HJ,HCDR3,KV,KJ,KCDR3,LV,LJ,LCDR3
0.0,5.0,-10.0,7.5,1,26896206.7278,102,5,397,5,3,113,,,
0.0,5.0,-10.0,7.5,2,26896208.5684,102,5,397,4,3,113,,,
0.0,5.0,-10.0,7.5,3,26896229.3517,102,5,397,51,3,113,,,
0.0,5.0,-10.0,7.5,4,26896230.6345,102,5,397,52,3,113,,,
0.0,5.0,-10.0,7.5,5,26896235.1994,102,5,397,64,3,113,,,
0.0,7.5,-10.0,7.5,1,4543609.0866,114,2,381,65,3,113,,,
0.0,7.5,-10.0,7.5,2,4543610.8473,114,2,381,65,3,182,,,
0.0,7.5,-10.0,7.5,3,4543611.3841,114,2,381,65,3,180,,,
0.0,7.5,-10.0,7.5,4,4543611.6106,114,2,381,65,3,115,,,
0.0,7.5,-10.0,7.5,5,4543611.8647,114,2,381,65,3,114,,,
0.0,10.0,-10.0,7.5,1,1858198.9219,114,2,7,13,3,113,,,
0.0,10.0,-10.0,7.5,2,1858198.9929,114,2,7,13,3,180,,,
0.0,10.0,-10.0,7.5,3,1858199.3196,114,2,7,13,3,72,,,
0.0,10.0,-10.0,7.5,4,1858199.9534,114,2,7,13,3,32,,,
0.0,10.0,-10.0,7.5,5,1858199.9607,114,2,7,13,3,74,,,
0.0,0.0,5.0,7.5,1,4745508.8205,80,5,62,2,3,3,,,
0.0,0.0,5.0,7.5,2,4745510.0413,79,5,62,2,3,3,,,
0.0,0.0,5.0,7.5,3,4745520.688,102,5,62,2,1,3,,,
0.0,0.0,5.0,7.5,4,4745585.1035,17,5,62,2,1,3,,,
0.0,0.0,5.0,7.5,5,4745525.0344,80,5,95,2,3,3,,,
0.0,2.5,5.0,7.5,1,115756033.346,120,1,62,,,,32,5,9
0.0,2.5,5.0,7.5,2,115756046.011,120,1,57,,,,32,5,9
0.0,2.5,5.0,7.5,3,115756052.208,120,1,63,,,,32,5,9
0.0,2.5,5.0,7.5,4,115756035.95,120,1,312,,,,32,5,9
0.0,2.5,5.0,7.5,5,115756036.453,120,1,95,,,,32,5,9
0.0,5.0,-10.0,8.75,1,318033.9213,108,4,8,43,3,113,,,
0.0,5.0,-10.0,8.75,2,318040.5527,108,4,8,43,3,74,,,
0.0,5.0,-10.0,8.75,3,318040.8329,108,4,8,43,3,7,,,
0.0,5.0,-10.0,8.75,4,318041.5153,108,4,8,43,3,175,,,
0.0,5.0,-10.0,8.75,5,318042.0821,108,4,8,43,3,172,,,
0.0,7.5,-10.0,8.75,1,35003.3623,114,2,8,6,4,113,,,
0.0,7.5,-10.0,8.75,2,35003.7255,114,2,8,43,3,113,,,
0.0,7.5,-10.0,8.75,3,35006.0345,114,2,8,6,4,114,,,
0.0,7.5,-10.0,8.75,4,35006.1428,114,2,8,6,4,3,,,
0.0,7.5,-10.0,8.75,5,35006.6744,114,2,8,6,4,74,,,
0.0,10.0,-10.0,8.75,1,1240.2684,114,2,24,,,,15,6,39
0.0,10.0,-10.0,8.75,2,1240.3535,114,2,24,,,,15,6,25
0.0,10.0,-10.0,8.75,3,1240.405,114,2,24,,,,15,6,35
0.0,10.0,-10.0,8.75,4,1240.4132,114,2,24,,,,15,6,9
0.0,10.0,-10.0,8.75,5,1240.422,114,2,24,,,,15,6,16
0.0,2.5,0.0,8.75,1,42189.1398,41,5,1,53,3,176,,,
0.0,2.5,0.0,8.75,2,42191.2562,41,5,1,53,3,78,,,
0.0,2.5,0.0,8.75,3,42208.8904,41,5,1,53,3,180,,,
0.0,2.5,0.0,8.75,4,42228.3186,41,5,1,53,3,32,,,
0.0,2.5,0.0,8.75,5,42237.8471,43,5,1,53,3,78,,,
0.0,0.0,2.5,8.75,1,1306.2199,41,5,3,2,4,1,,,
0.0,0.0,2.5,8.75,2,1315.161,41,5,13,2,4,1,,,
0.0,0.0,2.5,8.75,3,1316.4968,41,5,8,2,4,1,,,
0.0,0.0,2.5,8.75,4,1317.8146,79,5,95,2,4,1,,,
0.0,0.0,2.5,8.75,5,1319.0662,80,5,95,2,4,1,,,
0.0,-2.5,5.0,8.75,1,77880.356,80,5,95,,,,25,5,34
0.0,-2.5,5.0,8.75,2,77882.5527,80,5,14,,,,25,5,34
0.0,-2.5,5.0,8.75,3,77888.2019,80,5,57,,,,25,5,34
0.0,-2.5,5.0,8.75,4,77889.6632,80,5,32,,,,25,5,34
0.0,-2.5,5.0,8.75,5,77889.6938,80,5,61,,,,25,5,34
0.0,0.0,5.0,8.75,1,325078.7538,135,5,243,2,3,3,,,
0.0,0.0,5.0,8.75,2,325082.3475,135,5,62,2,3,3,,,
0.0,0.0,5.0,8.75,3,325085.8188,137,5,243,2,3,3,,,
0.0,0.0,5.0,8.75,4,325103.3649,135,5,95,2,3,3,,,
0.0,0.0,5.0,8.75,5,325112.9645,135,5,187,2,3,3,,,
0.0,2.5,5.0,8.75,1,9751058.5576,30,5,32,53,3,126,,,
0.0,2.5,5.0,8.75,2,9751061.5187,30,5,3,53,3,126,,,
0.0,2.5,5.0,8.75,3,9751063.2621,30,5,57,53,3,126,,,
0.0,2.5,5.0,8.75,4,9751064.1628,30,5,49,53,3,126,,,
0.0,2.5,5.0,8.75,5,9751064.7262,30,5,10,53,3,126,,,
0.0,5.0,-10.0,10.0,1,8936.2172,138,4,182,43,3,143,,,
0.0,5.0,-10.0,10.0,2,8936.3366,138,4,182,43,3,6,,,
0.0,5.0,-10.0,10.0,3,8936.3868,138,4,182,43,3,7,,,
0.0,5.0,-10.0,10.0,4,8936.5953,138,4,182,43,3,175,,,
0.0,5.0,-10.0,10.0,5,8936.8365,138,4,182,43,3,38,,,
0.0,7.5,-10.0,10.0,1,758.9974,8,1,4,35,4,57,,,
0.0,7.5,-10.0,10.0,2,760.1813,8,1,4,35,4,52,,,
0.0,7.5,-10.0,10.0,3,760.2739,8,1,4,35,4,23,,,
0.0,7.5,-10.0,10.0,4,760.3802,8,1,4,35,4,7,,,
0.0,7.5,-10.0,10.0,5,760.5271,8,1,4,35,4,20,,,
0.0,10.0,-10.0,10.0,1,371.0927,138,1,83,,,,17,5,21
0.0,10.0,-10.0,10.0,2,371.1019,138,1,83,,,,17,5,22
0.0,10.0,-10.0,10.0,3,371.5181,122,1,83,,,,17,5,21
0.0,10.0,-10.0,10.0,4,371.5244,118,1,83,,,,17,5,21
0.0,10.0,-10.0,10.0,5,371.5273,122,1,83,,,,17,5,22
0.0,7.5,-7.5,10.0,1,5465.2304,108,1,381,65,3,113,,,
0.0,7.5,-7.5,10.0,2,5468.3734,82,5,381,65,3,115,,,
