zRot: 60.0, x: 7.5, y: -10.0, z: 13.75, cut: 1, energy: -231.45249939, HV: HV_114, HJ: HJ_2, HCDR3: HCDR3_406, LV: LV_30, LJ: LJ_6, LCDR3: LCDR3_29, cluster: 6, assembly: 41, Pre-Relaxed: -241.0833, Relaxed: nan
zRot: 300.0, x: 0.0, y: 0.0, z: 16.25, cut: 1, energy: -228.225097656, HV: HV_138, HJ: HJ_1, HCDR3: HCDR3_126, LV: KV_67, LJ: KJ_4, LCDR3: KCDR3_115, cluster: 6, assembly: 42, Pre-Relaxed: -228.5773, Relaxed: nan
zRot: 0.0, x: 5.0, y: -2.5, z: 16.25, cut: 1, energy: -227.348007202, HV: HV_106, HJ: HJ_1, HCDR3: HCDR3_42, LV: KV_67, LJ: KJ_4, LCDR3: KCDR3_189, cluster: 6, assembly: 43, Pre-Relaxed: -228.3822, Relaxed: nan
zRot: 60.0, x: 7.5, y: -10.0, z: 13.75, cut: 2, energy: -218.365493774, HV: HV_114, HJ: HJ_2, HCDR3: HCDR3_406, LV: LV_37, LJ: LJ_6, LCDR3: LCDR3_29, cluster: 6, assembly: 46, Pre-Relaxed: -227.9963, Relaxed: nan
zRot: 0.0, x: 5.0, y: -2.5, z: 16.25, cut: 2, energy: -224.942306519, HV: HV_138, HJ: HJ_1, HCDR3: HCDR3_42, LV: KV_67, LJ: KJ_4, LCDR3: KCDR3_115, cluster: 6, assembly: 44, Pre-Relaxed: -225.9765, Relaxed: nan
zRot: 0.0, x: 5.0, y: -2.5, z: 16.25, cut: 3, energy: -221.458297729, HV: HV_106, HJ: HJ_4, HCDR3: HCDR3_42, LV: KV_67, LJ: KJ_4, LCDR3: KCDR3_115, cluster: 6, assembly: 45, Pre-Relaxed: -222.4924, Relaxed: nan
zRot: 60.0, x: 7.5, y: -7.5, z: 12.5, cut: 1, energy: -215.874694824, HV: HV_114, HJ: HJ_2, HCDR3: HCDR3_277, LV: KV_35, LJ: KJ_3, LCDR3: KCDR3_114, cluster: 4, assembly: 25, Pre-Relaxed: -219.6365, Relaxed: nan
zRot: 60.0, x: 7.5, y: -7.5, z: 12.5, cut: 2, energy: -215.263702393, HV: HV_114, HJ: HJ_2, HCDR3: HCDR3_277, LV: KV_35, LJ: KJ_3, LCDR3: KCDR3_117, cluster: 4, assembly: 26, Pre-Relaxed: -219.0256, Relaxed: nan
zRot: 0.0, x: 5.0, y: -2.5, z: 16.25, cut: 4, energy: -217.414505005, HV: HV_17, HJ: HJ_5, HCDR3: HCDR3_42, LV: KV_67, LJ: KJ_4, LCDR3: KCDR3_115, cluster: 7, assembly: 50, Pre-Relaxed: -218.4486, Relaxed: nan
zRot: 60.0, x: 7.5, y: -7.5, z: 12.5, cut: 3, energy: -214.351699829, HV: HV_114, HJ: HJ_2, HCDR3: HCDR3_277, LV: KV_35, LJ: KJ_3, LCDR3: KCDR3_113, cluster: 4, assembly: 27, Pre-Relaxed: -218.1136, Relaxed: nan
zRot: 300.0, x: 0.0, y: 0.0, z: 16.25, cut: 2, energy: -217.439193726, HV: HV_17, HJ: HJ_5, HCDR3: HCDR3_126, LV: KV_67, LJ: KJ_1, LCDR3: KCDR3_117, cluster: 7, assembly: 49, Pre-Relaxed: -217.7913, Relaxed: nan
zRot: 60.0, x: 7.5, y: -7.5, z: 12.5, cut: 4, energy: -213.634399414, HV: HV_114, HJ: HJ_2, HCDR3: HCDR3_277, LV: KV_35, LJ: KJ_3, LCDR3: KCDR3_152, cluster: 4, assembly: 28, Pre-Relaxed: -217.3962, Relaxed: nan
zRot: 60.0, x: 7.5, y: -7.5, z: 12.5, cut: 5, energy: -213.298400879, HV: HV_114, HJ: HJ_2, HCDR3: HCDR3_277, LV: KV_35, LJ: KJ_3, LCDR3: KCDR3_133, cluster: 4, assembly: 29, Pre-Relaxed: -217.0603, Relaxed: nan
zRot: 60.0, x: 5.0, y: -10.0, z: 16.25, cut: 1, energy: -213.271697998, HV: HV_114, HJ: HJ_2, HCDR3: HCDR3_406, LV: LV_30, LJ: LJ_6, LCDR3: LCDR3_29, cluster: 6, assembly: 47, Pre-Relaxed: -215.4625, Relaxed: nan
zRot: 0.0, x: 5.0, y: -2.5, z: 16.25, cut: 5, energy: -212.290405273, HV: HV_106, HJ: HJ_4, HCDR3: HCDR3_42, LV: KV_67, LJ: KJ_4, LCDR3: KCDR3_117, cluster: 6, assembly: 48, Pre-Relaxed: -213.3245, Relaxed: nan
zRot: 300.0, x: 0.0, y: 0.0, z: 16.25, cut: 3, energy: -212.797698975, HV: HV_17, HJ: HJ_5, HCDR3: HCDR3_126, LV: KV_67, LJ: KJ_4, LCDR3: KCDR3_115, cluster: 7, assembly: 51, Pre-Relaxed: -213.1498, Relaxed: nan
zRot: 120.0, x: 7.5, y: -10.0, z: 12.5, cut: 2, energy: -196.583694458, HV: HV_114, HJ: HJ_2, HCDR3: HCDR3_62, LV: KV_62, LJ: KJ_5, LCDR3: KCDR3_80, cluster: 4, assembly: 32, Pre-Relaxed: -205.7612, Relaxed: nan
zRot: 120.0, x: 2.5, y: 2.5, z: 12.5, cut: 1, energy: -192.475402832, HV: HV_107, HJ: HJ_1, HCDR3: HCDR3_4, LV: KV_6, LJ: KJ_3, LCDR3: KCDR3_189, cluster: 1, assembly: 1, Pre-Relaxed: -198.5493, Relaxed: nan
zRot: 180.0, x: 2.5, y: 2.5, z: 16.25, cut: 1, energy: -198.528396606, HV: HV_114, HJ: HJ_2, HCDR3: HCDR3_307, LV: KV_53, LJ: KJ_3, LCDR3: KCDR3_114, cluster: 4, assembly: 30, Pre-Relaxed: -198.5282, Relaxed: nan
zRot: 120.0, x: 2.5, y: 2.5, z: 12.5, cut: 2, energy: -192.374603271, HV: HV_106, HJ: HJ_1, HCDR3: HCDR3_4, LV: KV_6, LJ: KJ_3, LCDR3: KCDR3_189, cluster: 1, assembly: 2, Pre-Relaxed: -198.4521, Relaxed: nan
zRot: 180.0, x: 2.5, y: 2.5, z: 16.25, cut: 2, energy: -198.327102661, HV: HV_111, HJ: HJ_2, HCDR3: HCDR3_307, LV: KV_53, LJ: KJ_3, LCDR3: KCDR3_114, cluster: 4, assembly: 31, Pre-Relaxed: -198.327, Relaxed: nan
zRot: 120.0, x: 2.5, y: 2.5, z: 12.5, cut: 3, energy: -192.164093018, HV: HV_103, HJ: HJ_1, HCDR3: HCDR3_4, LV: KV_6, LJ: KJ_3, LCDR3: KCDR3_189, cluster: 1, assembly: 3, Pre-Relaxed: -198.2401, Relaxed: nan
zRot: 300.0, x: 0.0, y: 0.0, z: 15.0, cut: 1, energy: -194.261199951, HV: HV_17, HJ: HJ_5, HCDR3: HCDR3_126, LV: KV_67, LJ: KJ_4, LCDR3: KCDR3_115, cluster: 7, assembly: 52, Pre-Relaxed: -195.6287, Relaxed: nan
