zRot,x,y,z,cut,energy,HV,HJ,HCDR3,KV,KJ,KCDR3,LV,LJ,LCDR3
0.0,7.5,-7.5,11.25,1,144.2552,135,4,2,35,4,113,,,
0.0,7.5,-7.5,11.25,2,145.6248,123,5,4,6,4,113,,,
0.0,7.5,-7.5,11.25,3,145.7099,137,4,2,35,4,113,,,
0.0,7.5,-7.5,11.25,4,148.1836,108,4,4,6,4,113,,,
0.0,7.5,-7.5,11.25,5,149.1522,135,4,2,35,4,116,,,
0.0,10.0,-10.0,12.5,1,-88.4445,41,1,56,43,3,113,,,
0.0,10.0,-10.0,12.5,2,-86.7214,41,4,56,43,3,116,,,
0.0,10.0,-10.0,12.5,3,-86.6899,41,4,320,43,3,113,,,
0.0,10.0,-10.0,12.5,4,-86.6832,41,4,56,43,3,143,,,
0.0,10.0,-10.0,12.5,5,-86.152,41,4,56,43,3,128,,,
0.0,7.5,-7.5,12.5,1,-68.5999,135,1,2,35,4,113,,,
0.0,7.5,-7.5,12.5,2,-68.5386,135,1,16,35,4,113,,,
0.0,7.5,-7.5,12.5,3,-67.9526,137,1,2,35,4,113,,,
0.0,7.5,-7.5,12.5,4,-67.8913,137,1,16,35,4,113,,,
0.0,7.5,-7.5,12.5,5,-65.3701,55,1,16,35,3,116,,,
0.0,10.0,-7.5,12.5,1,-108.8582,107,4,255,61,3,113,,,
0.0,10.0,-7.5,12.5,2,-108.7518,110,5,255,61,3,113,,,
0.0,10.0,-7.5,12.5,3,-108.7341,106,4,255,61,3,113,,,
0.0,10.0,-7.5,12.5,4,-108.5974,103,4,255,61,3,113,,,
0.0,10.0,-7.5,12.5,5,-108.4833,46,4,255,61,3,113,,,
0.0,-2.5,-10.0,13.75,1,88484511.7245,103,1,142,61,3,117,,,
0.0,-2.5,-10.0,13.75,2,88484527.2393,103,1,142,5,3,117,,,
0.0,-2.5,-10.0,13.75,3,88484531.9432,103,1,56,5,3,117,,,
0.0,-2.5,-10.0,13.75,4,88484517.0083,103,1,142,61,3,189,,,
0.0,-2.5,-10.0,13.75,5,88484532.5231,103,1,142,5,3,189,,,
0.0,0.0,-10.0,13.75,1,49974341.2313,93,4,112,54,3,117,,,
0.0,0.0,-10.0,13.75,2,49974352.7569,93,4,112,54,3,128,,,
0.0,0.0,-10.0,13.75,3,49974353.5454,93,4,112,54,3,79,,,
0.0,0.0,-10.0,13.75,4,49974377.3449,93,4,112,7,3,130,,,
0.0,0.0,-10.0,13.75,5,49974375.7242,93,4,112,7,3,162,,,
0.0,5.0,-10.0,13.75,1,-91.8843,108,1,71,15,3,113,,,
0.0,5.0,-10.0,13.75,2,-91.8373,123,5,71,15,3,113,,,
0.0,5.0,-10.0,13.75,3,-90.6862,17,5,71,15,3,116,,,
0.0,5.0,-10.0,13.75,4,-90.3057,17,5,71,15,3,143,,,
0.0,5.0,-10.0,13.75,5,-90.1817,108,1,71,15,3,143,,,
0.0,7.5,-10.0,13.75,1,-117.4393,55,1,71,15,3,116,,,
0.0,7.5,-10.0,13.75,2,-117.1289,117,1,71,15,3,143,,,
0.0,7.5,-10.0,13.75,3,-117.0865,117,1,71,15,3,116,,,
0.0,7.5,-10.0,13.75,4,-117.029,119,1,71,15,3,143,,,
0.0,7.5,-10.0,13.75,5,-116.7855,52,1,71,15,3,116,,,
0.0,10.0,-10.0,13.75,1,-112.4797,132,1,255,35,3,113,,,
0.0,10.0,-10.0,13.75,2,-112.1946,134,1,255,35,3,113,,,
0.0,10.0,-10.0,13.75,3,-112.1216,116,1,255,35,3,113,,,
0.0,10.0,-10.0,13.75,4,-111.7492,132,1,255,35,3,143,,,
0.0,10.0,-10.0,13.75,5,-111.5959,133,1,255,35,3,17,,,
0.0,7.5,-7.5,13.75,1,-73.4262,92,5,16,15,3,129,,,
0.0,7.5,-7.5,13.75,2,-72.6786,106,1,83,,,,17,5,22
0.0,7.5,-7.5,13.75,3,-72.4939,135,1,83,,,,17,5,22
0.0,7.5,-7.5,13.75,4,-72.4439,106,1,83,,,,17,5,21
0.0,7.5,-7.5,13.75,5,-72.4316,137,1,83,,,,17,5,22
0.0,10.0,-7.5,13.75,1,-86.4604,102,5,62,60,5,113,,,
0.0,10.0,-7.5,13.75,2,-86.2031,111,2,62,60,5,113,,,
0.0,10.0,-7.5,13.75,3,-86.088,102,5,62,60,5,188,,,
0.0,10.0,-7.5,13.75,4,-85.4029,102,5,62,60,3,115,,,
0.0,10.0,-7.5,13.75,5,-85.2039,126,2,62,60,3,63,,,
0.0,-2.5,-5.0,13.75,1,1343318.9709,13,5,4,,,,31,5,11
0.0,-2.5,-5.0,13.75,2,1343320.5902,13,5,4,,,,32,5,11
0.0,-2.5,-5.0,13.75,3,1343379.4112,13,5,1,,,,31,5,11
0.0,-2.5,-5.0,13.75,4,1343381.0305,13,5,1,,,,32,5,11
0.0,-2.5,-5.0,13.75,5,1343412.6449,13,5,4,,,,28,5,11
0.0,-2.5,0.0,13.75,1,4560.7756,80,5,4,61,3,57,,,
0.0,-2.5,0.0,13.75,2,4565.3934,47,5,1,61,3,116,,,
0.0,-2.5,0.0,13.75,3,4565.7182,52,5,1,61,3,116,,,
0.0,-2.5,0.0,13.75,4,4566.176,55,5,1,61,3,116,,,
0.0,-2.5,0.0,13.75,5,4566.2975,47,5,1,61,3,77,,,
0.0,-2.5,-10.0,15.0,1,332258.7483,8,1,16,,,,38,4,5
0.0,-2.5,-10.0,15.0,2,332281.2981,8,1,12,,,,38,4,5
0.0,-2.5,-10.0,15.0,3,332281.9574,8,1,1,,,,38,4,5
0.0,-2.5,-10.0,15.0,4,332283.0784,8,1,4,,,,38,4,5
0.0,-2.5,-10.0,15.0,5,332284.2243,8,1,3,,,,38,4,5
0.0,0.0,-10.0,15.0,1,40459.2758,93,4,200,61,3,117,,,
0.0,0.0,-10.0,15.0,2,40462.1217,93,4,200,66,5,117,,,
0.0,0.0,-10.0,15.0,3,40462.7021,93,4,200,62,5,117,,,
0.0,0.0,-10.0,15.0,4,40465.5671,93,4,200,61,5,159,,,
0.0,0.0,-10.0,15.0,5,40464.8857,93,4,200,61,3,162,,,
0.0,2.5,-10.0,15.0,1,-120.6512,17,3,200,67,4,115,,,
0.0,2.5,-10.0,15.0,2,-117.4164,17,3,200,67,4,117,,,
0.0,2.5,-10.0,15.0,3,-114.1069,17,3,200,67,4,143,,,
0.0,2.5,-10.0,15.0,4,-114.0343,17,3,200,67,4,190,,,
0.0,2.5,-10.0,15.0,5,-113.9242,17,3,200,67,4,153,,,
0.0,5.0,-10.0,15.0,1,-126.0559,106,1,182,67,4,115,,,
0.0,5.0,-10.0,15.0,2,-125.9158,106,1,182,67,4,189,,,
0.0,5.0,-10.0,15.0,3,-124.8192,17,5,182,67,4,115,,,
0.0,5.0,-10.0,15.0,4,-123.3375,106,1,182,67,4,117,,,
0.0,5.0,-10.0,15.0,5,-122.94,106,1,182,67,4,113,,,
0.0,7.5,-10.0,15.0,1,-111.735,92,5,276,,,,37,1,31
0.0,7.5,-10.0,15.0,2,-109.5212,92,5,276,,,,36,1,31
0.0,7.5,-10.0,15.0,3,-106.969,103,1,276,,,,37,5,36
0.0,7.5,-10.0,15.0,4,-106.9455,103,1,276,,,,37,5,8
0.0,7.5,-10.0,15.0,5,-106.9395,103,1,276,,,,37,5,20
0.0,10.0,-10.0,15.0,1,-88.6187,126,2,62,46,5,63,,,
0.0,10.0,-10.0,15.0,2,-87.8622,127,2,62,46,5,63,,,
0.0,10.0,-10.0,15.0,3,-87.6889,111,2,62,46,2,143,,,
0.0,10.0,-10.0,15.0,4,-87.6678,111,2,62,46,5,152,,,
0.0,10.0,-10.0,15.0,5,-87.637,111,2,62,46,5,192,,,
