START	bench_2j4w	on 2017 May 12 at 23:33:01
SUB_TIME	NAMD relaxation of molecule /gpfs/work/m/mfa5147/OptMAVEn2.0/experiments/bench_2j4w/structures/MoleculeA.pdb	42.0068590641
SUB_TIME	Mounting antigen A	0.363123893738
SUB_TIME	culling_clashes	8.09622001648
TIME	antigen_relaxation_and_positioning	67.08
TIME	interaction_energies_for_MAPs_part_LV_4	106.3
TIME	interaction_energies_for_MAPs_part_LV_36	105.75
TIME	interaction_energies_for_MAPs_part_LV_5	108.75
TIME	interaction_energies_for_MAPs_part_LV_8	108.19
TIME	interaction_energies_for_MAPs_part_LV_37	105.62
TIME	interaction_energies_for_MAPs_part_LV_7	106.62
TIME	interaction_energies_for_MAPs_part_LV_3	105.17
TIME	interaction_energies_for_MAPs_part_LV_35	106.95
TIME	interaction_energies_for_MAPs_part_LV_38	107.7
TIME	interaction_energies_for_MAPs_part_LV_32	102.4
TIME	interaction_energies_for_MAPs_part_LJ_7	55.92
TIME	interaction_energies_for_MAPs_part_LV_34	108.18
TIME	interaction_energies_for_MAPs_part_LV_33	106.9
TIME	interaction_energies_for_MAPs_part_KCDR3_35	54.48
TIME	interaction_energies_for_MAPs_part_LV_21	102.86
TIME	interaction_energies_for_MAPs_part_LV_20	103.37
TIME	interaction_energies_for_MAPs_part_KCDR3_31	54.73
TIME	interaction_energies_for_MAPs_part_KCDR3_32	55.75
TIME	interaction_energies_for_MAPs_part_KCDR3_30	56.08
TIME	interaction_energies_for_MAPs_part_KCDR3_33	55.57
TIME	interaction_energies_for_MAPs_part_LJ_2	55.66
TIME	interaction_energies_for_MAPs_part_LJ_1	55.85
TIME	interaction_energies_for_MAPs_part_KCDR3_27	55.83
TIME	interaction_energies_for_MAPs_part_KCDR3_28	56.61
TIME	interaction_energies_for_MAPs_part_KCDR3_2	55.55
TIME	interaction_energies_for_MAPs_part_KCDR3_29	56.01
TIME	interaction_energies_for_MAPs_part_KCDR3_1	53.01
TIME	interaction_energies_for_MAPs_part_KCDR3_19	55.08
TIME	interaction_energies_for_MAPs_part_KCDR3_199	56.99
TIME	interaction_energies_for_MAPs_part_KCDR3_21	58.6
TIME	interaction_energies_for_MAPs_part_KCDR3_22	57.91
TIME	interaction_energies_for_MAPs_part_KCDR3_23	56.33
TIME	interaction_energies_for_MAPs_part_KCDR3_20	56.05
TIME	interaction_energies_for_MAPs_part_KCDR3_197	58.23
TIME	interaction_energies_for_MAPs_part_KCDR3_198	58.6
TIME	interaction_energies_for_MAPs_part_KCDR3_191	55.73
TIME	interaction_energies_for_MAPs_part_KCDR3_190	57.76
TIME	interaction_energies_for_MAPs_part_KCDR3_192	57.29
TIME	interaction_energies_for_MAPs_part_KCDR3_193	58.76
TIME	interaction_energies_for_MAPs_part_KCDR3_185	56.06
TIME	interaction_energies_for_MAPs_part_KCDR3_188	57.41
TIME	interaction_energies_for_MAPs_part_KCDR3_189	56.8
TIME	interaction_energies_for_MAPs_part_KCDR3_186	57.33
TIME	interaction_energies_for_MAPs_part_KCDR3_187	56.63
TIME	interaction_energies_for_MAPs_part_KCDR3_17	55.1
TIME	interaction_energies_for_MAPs_part_KCDR3_182	55.63
TIME	interaction_energies_for_MAPs_part_KCDR3_180	56.73
TIME	interaction_energies_for_MAPs_part_KCDR3_179	57.14
TIME	interaction_energies_for_MAPs_part_KCDR3_181	57.33
TIME	interaction_energies_for_MAPs_part_KCDR3_168	55.16
TIME	interaction_energies_for_MAPs_part_KCDR3_166	55.83
TIME	interaction_energies_for_MAPs_part_KCDR3_167	55.98
TIME	interaction_energies_for_MAPs_part_KCDR3_173	55.96
TIME	interaction_energies_for_MAPs_part_KCDR3_165	56.16
TIME	interaction_energies_for_MAPs_part_KCDR3_163	56.81
TIME	interaction_energies_for_MAPs_part_KCDR3_16	58.3
TIME	interaction_energies_for_MAPs_part_KCDR3_170	58.15
TIME	interaction_energies_for_MAPs_part_KCDR3_169	57.33
TIME	interaction_energies_for_MAPs_part_KCDR3_172	57.01
TIME	interaction_energies_for_MAPs_part_KCDR3_171	58.16
TIME	interaction_energies_for_MAPs_part_KCDR3_178	56.01
TIME	interaction_energies_for_MAPs_part_KCDR3_177	55.79
TIME	interaction_energies_for_MAPs_part_KCDR3_160	56.73
TIME	interaction_energies_for_MAPs_part_KCDR3_161	56.7
TIME	interaction_energies_for_MAPs_part_KCDR3_152	54.29
TIME	interaction_energies_for_MAPs_part_KCDR3_155	55.57
TIME	interaction_energies_for_MAPs_part_KCDR3_156	55.24
TIME	interaction_energies_for_MAPs_part_KCDR3_154	55.93
TIME	interaction_energies_for_MAPs_part_KCDR3_153	56.28
TIME	interaction_energies_for_MAPs_part_KCDR3_157	57.0
TIME	interaction_energies_for_MAPs_part_KCDR3_146	54.93
