zRot: 180.0, x: 5.0, y: 0.0, z: 15.0, cut: 1, energy: -207.132400513, HV: HV_116, HJ: HJ_1, HCDR3: HCDR3_62, LV: KV_65, LJ: KJ_5, LCDR3: KCDR3_113, cluster: 4, assembly: 25, Pre-Relaxed: -207.563, Relaxed: -327.2063
zRot: 180.0, x: 7.5, y: 0.0, z: 16.25, cut: 1, energy: -199.49079895, HV: HV_135, HJ: HJ_1, HCDR3: HCDR3_92, LV: KV_53, LJ: KJ_3, LCDR3: KCDR3_123, cluster: 6, assembly: 41, Pre-Relaxed: -197.4859, Relaxed: nan
zRot: 180.0, x: 7.5, y: 0.0, z: 16.25, cut: 2, energy: -196.670303345, HV: HV_137, HJ: HJ_1, HCDR3: HCDR3_92, LV: KV_53, LJ: KJ_3, LCDR3: KCDR3_123, cluster: 6, assembly: 42, Pre-Relaxed: -196.8612, Relaxed: nan
zRot: 180.0, x: 7.5, y: 0.0, z: 16.25, cut: 3, energy: -196.561904907, HV: HV_135, HJ: HJ_1, HCDR3: HCDR3_62, LV: KV_53, LJ: KJ_3, LCDR3: KCDR3_123, cluster: 6, assembly: 43, Pre-Relaxed: -194.5569, Relaxed: nan
zRot: 180.0, x: 7.5, y: 0.0, z: 16.25, cut: 5, energy: -193.741394043, HV: HV_137, HJ: HJ_1, HCDR3: HCDR3_62, LV: KV_53, LJ: KJ_3, LCDR3: KCDR3_123, cluster: 6, assembly: 45, Pre-Relaxed: -193.9322, Relaxed: nan
zRot: 180.0, x: 7.5, y: 0.0, z: 16.25, cut: 4, energy: -195.123199463, HV: HV_135, HJ: HJ_5, HCDR3: HCDR3_92, LV: KV_65, LJ: KJ_3, LCDR3: KCDR3_123, cluster: 6, assembly: 44, Pre-Relaxed: -193.1493, Relaxed: nan
zRot: 180.0, x: 7.5, y: -2.5, z: 16.25, cut: 1, energy: -190.554901123, HV: HV_135, HJ: HJ_1, HCDR3: HCDR3_2, LV: KV_19, LJ: KJ_4, LCDR3: KCDR3_123, cluster: 6, assembly: 46, Pre-Relaxed: -190.9847, Relaxed: nan
zRot: 180.0, x: 5.0, y: 0.0, z: 15.0, cut: 2, energy: -189.511993408, HV: HV_120, HJ: HJ_1, HCDR3: HCDR3_62, LV: KV_65, LJ: KJ_5, LCDR3: KCDR3_2, cluster: 4, assembly: 26, Pre-Relaxed: -189.9427, Relaxed: nan
zRot: 180.0, x: 7.5, y: -2.5, z: 16.25, cut: 2, energy: -185.738800049, HV: HV_137, HJ: HJ_1, HCDR3: HCDR3_2, LV: KV_19, LJ: KJ_4, LCDR3: KCDR3_123, cluster: 6, assembly: 47, Pre-Relaxed: -188.524, Relaxed: nan
zRot: 300.0, x: 7.5, y: -7.5, z: 12.5, cut: 1, energy: -174.426300049, HV: HV_92, HJ: HJ_5, HCDR3: HCDR3_326, LV: KV_44, LJ: KJ_4, LCDR3: KCDR3_170, cluster: 7, assembly: 49, Pre-Relaxed: -187.787, Relaxed: nan
zRot: 180.0, x: 2.5, y: 2.5, z: 16.25, cut: 1, energy: -187.164596558, HV: HV_92, HJ: HJ_5, HCDR3: HCDR3_62, LV: KV_6, LJ: KJ_3, LCDR3: KCDR3_170, cluster: 5, assembly: 33, Pre-Relaxed: -187.3599, Relaxed: nan
zRot: 300.0, x: 7.5, y: -7.5, z: 12.5, cut: 2, energy: -173.492797852, HV: HV_92, HJ: HJ_5, HCDR3: HCDR3_28, LV: KV_44, LJ: KJ_4, LCDR3: KCDR3_170, cluster: 7, assembly: 50, Pre-Relaxed: -186.8535, Relaxed: nan
zRot: 180.0, x: 2.5, y: 2.5, z: 16.25, cut: 2, energy: -186.487701416, HV: HV_92, HJ: HJ_5, HCDR3: HCDR3_62, LV: KV_7, LJ: KJ_3, LCDR3: KCDR3_170, cluster: 5, assembly: 34, Pre-Relaxed: -186.6611, Relaxed: nan
zRot: 300.0, x: 7.5, y: -7.5, z: 12.5, cut: 3, energy: -173.039001465, HV: HV_92, HJ: HJ_5, HCDR3: HCDR3_326, LV: KV_44, LJ: KJ_4, LCDR3: KCDR3_149, cluster: 7, assembly: 51, Pre-Relaxed: -186.3998, Relaxed: nan
zRot: 300.0, x: 7.5, y: -7.5, z: 12.5, cut: 4, energy: -172.765899658, HV: HV_92, HJ: HJ_5, HCDR3: HCDR3_326, LV: KV_44, LJ: KJ_4, LCDR3: KCDR3_162, cluster: 7, assembly: 52, Pre-Relaxed: -186.1265, Relaxed: nan
zRot: 300.0, x: 7.5, y: -7.5, z: 12.5, cut: 5, energy: -172.105499268, HV: HV_92, HJ: HJ_5, HCDR3: HCDR3_28, LV: KV_44, LJ: KJ_4, LCDR3: KCDR3_149, cluster: 7, assembly: 53, Pre-Relaxed: -185.4663, Relaxed: nan
zRot: 180.0, x: 7.5, y: -2.5, z: 16.25, cut: 3, energy: -183.894699097, HV: HV_135, HJ: HJ_1, HCDR3: HCDR3_2, LV: KV_19, LJ: KJ_3, LCDR3: KCDR3_111, cluster: 6, assembly: 48, Pre-Relaxed: -184.3245, Relaxed: nan
zRot: 180.0, x: 5.0, y: 0.0, z: 16.25, cut: 1, energy: -181.400405884, HV: HV_120, HJ: HJ_1, HCDR3: HCDR3_62, LV: KV_6, LJ: KJ_3, LCDR3: KCDR3_2, cluster: 5, assembly: 35, Pre-Relaxed: -182.0852, Relaxed: nan
zRot: 180.0, x: 5.0, y: 0.0, z: 16.25, cut: 2, energy: -181.026000977, HV: HV_116, HJ: HJ_1, HCDR3: HCDR3_62, LV: KV_53, LJ: KJ_3, LCDR3: KCDR3_113, cluster: 4, assembly: 27, Pre-Relaxed: -181.3087, Relaxed: nan
zRot: 180.0, x: 5.0, y: 0.0, z: 16.25, cut: 3, energy: -180.335006714, HV: HV_120, HJ: HJ_1, HCDR3: HCDR3_62, LV: KV_7, LJ: KJ_3, LCDR3: KCDR3_2, cluster: 5, assembly: 36, Pre-Relaxed: -181.0756, Relaxed: nan
zRot: 180.0, x: 5.0, y: 0.0, z: 16.25, cut: 4, energy: -179.364898682, HV: HV_116, HJ: HJ_1, HCDR3: HCDR3_62, LV: KV_65, LJ: KJ_3, LCDR3: KCDR3_113, cluster: 4, assembly: 28, Pre-Relaxed: -179.693, Relaxed: nan
zRot: 180.0, x: 5.0, y: 0.0, z: 16.25, cut: 5, energy: -178.511199951, HV: HV_120, HJ: HJ_1, HCDR3: HCDR3_62, LV: KV_53, LJ: KJ_3, LCDR3: KCDR3_119, cluster: 4, assembly: 29, Pre-Relaxed: -178.794, Relaxed: nan
zRot: 180.0, x: 5.0, y: 2.5, z: 16.25, cut: 1, energy: -178.37550354, HV: HV_123, HJ: HJ_5, HCDR3: HCDR3_62, LV: KV_6, LJ: KJ_3, LCDR3: KCDR3_113, cluster: 5, assembly: 37, Pre-Relaxed: -177.4277, Relaxed: nan
zRot: 180.0, x: 5.0, y: 0.0, z: 15.0, cut: 3, energy: -176.084503174, HV: HV_116, HJ: HJ_1, HCDR3: HCDR3_62, LV: KV_65, LJ: KJ_5, LCDR3: KCDR3_2, cluster: 4, assembly: 30, Pre-Relaxed: -176.5151, Relaxed: nan
zRot: 180.0, x: 5.0, y: 2.5, z: 16.25, cut: 2, energy: -176.921905518, HV: HV_123, HJ: HJ_5, HCDR3: HCDR3_62, LV: KV_7, LJ: KJ_3, LCDR3: KCDR3_113, cluster: 5, assembly: 38, Pre-Relaxed: -175.9775, Relaxed: nan
zRot: 180.0, x: 5.0, y: 0.0, z: 15.0, cut: 4, energy: -171.073699951, HV: HV_120, HJ: HJ_1, HCDR3: HCDR3_62, LV: KV_65, LJ: KJ_5, LCDR3: KCDR3_57, cluster: 4, assembly: 31, Pre-Relaxed: -171.5043, Relaxed: nan
