START	bench_2or9	on 2017 May 12 at 22:38:03
SUB_TIME	NAMD relaxation of molecule /gpfs/work/m/mfa5147/OptMAVEn2.0/experiments/bench_2or9/structures/MoleculeA.pdb	8.40784788132
SUB_TIME	Mounting antigen A	0.333664894104
SUB_TIME	culling_clashes	7.48989605904
TIME	antigen_relaxation_and_positioning	33.16
TIME	interaction_energies_for_MAPs_part_LV_9	95.73
TIME	interaction_energies_for_MAPs_part_LV_7	98.42
TIME	interaction_energies_for_MAPs_part_LV_8	99.65
TIME	interaction_energies_for_MAPs_part_LV_37	94.34
TIME	interaction_energies_for_MAPs_part_LV_36	97.75
TIME	interaction_energies_for_MAPs_part_LV_2	97.48
TIME	interaction_energies_for_MAPs_part_LV_29	97.49
TIME	interaction_energies_for_MAPs_part_LV_25	95.77
TIME	interaction_energies_for_MAPs_part_LV_26	98.48
TIME	interaction_energies_for_MAPs_part_LV_27	98.9
TIME	interaction_energies_for_MAPs_part_LV_28	97.81
TIME	interaction_energies_for_MAPs_part_LV_1	98.15
TIME	interaction_energies_for_MAPs_part_LV_15	97.13
TIME	interaction_energies_for_MAPs_part_LV_16	99.87
TIME	interaction_energies_for_MAPs_part_LV_14	100.11
TIME	interaction_energies_for_MAPs_part_LJ_6	44.03
TIME	interaction_energies_for_MAPs_part_LJ_2	44.35
TIME	interaction_energies_for_MAPs_part_LJ_3	44.49
TIME	interaction_energies_for_MAPs_part_LJ_1	44.61
TIME	interaction_energies_for_MAPs_part_KCDR3_34	43.75
TIME	interaction_energies_for_MAPs_part_KCDR3_35	44.08
TIME	interaction_energies_for_MAPs_part_LJ_5	44.99
TIME	interaction_energies_for_MAPs_part_LJ_4	45.03
TIME	interaction_energies_for_MAPs_part_KCDR3_27	44.46
TIME	interaction_energies_for_MAPs_part_KCDR3_25	44.67
TIME	interaction_energies_for_MAPs_part_KCDR3_28	44.69
TIME	interaction_energies_for_MAPs_part_KCDR3_26	43.45
TIME	interaction_energies_for_MAPs_part_KCDR3_29	43.81
TIME	interaction_energies_for_MAPs_part_KCDR3_22	43.73
TIME	interaction_energies_for_MAPs_part_KCDR3_23	45.19
