zRot: 60.0, x: 5.0, y: -7.5, z: 16.25, cut: 1, energy: -171.386001587, HV: HV_92, HJ: HJ_5, HCDR3: HCDR3_2, LV: LV_31, LJ: LJ_1, LCDR3: LCDR3_31, cluster: 7, assembly: 49, Pre-Relaxed: -171.3457, Relaxed: -175.6856
zRot: 60.0, x: 5.0, y: -7.5, z: 16.25, cut: 2, energy: -171.186004639, HV: HV_92, HJ: HJ_5, HCDR3: HCDR3_1, LV: LV_31, LJ: LJ_1, LCDR3: LCDR3_31, cluster: 7, assembly: 50, Pre-Relaxed: -171.1456, Relaxed: nan
zRot: 60.0, x: 5.0, y: -7.5, z: 16.25, cut: 3, energy: -171.159194946, HV: HV_92, HJ: HJ_5, HCDR3: HCDR3_2, LV: LV_32, LJ: LJ_1, LCDR3: LCDR3_31, cluster: 7, assembly: 51, Pre-Relaxed: -171.1189, Relaxed: nan
zRot: 60.0, x: 5.0, y: -7.5, z: 16.25, cut: 4, energy: -170.959197998, HV: HV_92, HJ: HJ_5, HCDR3: HCDR3_1, LV: LV_32, LJ: LJ_1, LCDR3: LCDR3_31, cluster: 7, assembly: 52, Pre-Relaxed: -170.9188, Relaxed: nan
zRot: 60.0, x: 5.0, y: -7.5, z: 16.25, cut: 5, energy: -168.400695801, HV: HV_92, HJ: HJ_5, HCDR3: HCDR3_4, LV: LV_31, LJ: LJ_1, LCDR3: LCDR3_31, cluster: 7, assembly: 53, Pre-Relaxed: -168.3603, Relaxed: nan
zRot: 120.0, x: 5.0, y: -7.5, z: 16.25, cut: 1, energy: -137.059494019, HV: HV_8, HJ: HJ_4, HCDR3: HCDR3_24, LV: KV_4, LJ: KJ_4, LCDR3: KCDR3_80, cluster: 6, assembly: 41, Pre-Relaxed: -135.5426, Relaxed: nan
zRot: 120.0, x: 5.0, y: -7.5, z: 16.25, cut: 2, energy: -136.75819397, HV: HV_8, HJ: HJ_5, HCDR3: HCDR3_24, LV: KV_5, LJ: KJ_3, LCDR3: KCDR3_80, cluster: 6, assembly: 42, Pre-Relaxed: -135.2413, Relaxed: nan
zRot: 120.0, x: 5.0, y: -7.5, z: 16.25, cut: 3, energy: -133.771392822, HV: HV_8, HJ: HJ_1, HCDR3: HCDR3_24, LV: KV_40, LJ: KJ_4, LCDR3: KCDR3_80, cluster: 3, assembly: 17, Pre-Relaxed: -132.2545, Relaxed: nan
zRot: 120.0, x: 5.0, y: -7.5, z: 16.25, cut: 4, energy: -131.614501953, HV: HV_134, HJ: HJ_5, HCDR3: HCDR3_24, LV: KV_4, LJ: KJ_3, LCDR3: KCDR3_81, cluster: 2, assembly: 9, Pre-Relaxed: -130.4221, Relaxed: nan
zRot: 120.0, x: 5.0, y: -7.5, z: 16.25, cut: 5, energy: -131.313201904, HV: HV_134, HJ: HJ_5, HCDR3: HCDR3_24, LV: KV_5, LJ: KJ_3, LCDR3: KCDR3_81, cluster: 2, assembly: 10, Pre-Relaxed: -130.1208, Relaxed: nan
zRot: 60.0, x: 2.5, y: -10.0, z: 15.0, cut: 1, energy: -128.311004639, HV: HV_108, HJ: HJ_1, HCDR3: HCDR3_4, LV: KV_62, LJ: KJ_5, LCDR3: KCDR3_80, cluster: 5, assembly: 33, Pre-Relaxed: -126.2133, Relaxed: nan
zRot: 120.0, x: 7.5, y: -2.5, z: 16.25, cut: 1, energy: -126.527702332, HV: HV_8, HJ: HJ_1, HCDR3: HCDR3_13, LV: KV_7, LJ: KJ_4, LCDR3: KCDR3_80, cluster: 6, assembly: 43, Pre-Relaxed: -126.103, Relaxed: nan
zRot: 120.0, x: 7.5, y: -2.5, z: 16.25, cut: 2, energy: -126.346000671, HV: HV_8, HJ: HJ_1, HCDR3: HCDR3_13, LV: KV_6, LJ: KJ_4, LCDR3: KCDR3_80, cluster: 6, assembly: 44, Pre-Relaxed: -125.9214, Relaxed: nan
zRot: 60.0, x: 2.5, y: -10.0, z: 15.0, cut: 2, energy: -127.952201843, HV: HV_108, HJ: HJ_1, HCDR3: HCDR3_4, LV: KV_66, LJ: KJ_5, LCDR3: KCDR3_80, cluster: 5, assembly: 34, Pre-Relaxed: -125.8545, Relaxed: nan
zRot: 60.0, x: 5.0, y: -10.0, z: 16.25, cut: 1, energy: -125.544403076, HV: HV_92, HJ: HJ_5, HCDR3: HCDR3_6, LV: LV_31, LJ: LJ_1, LCDR3: LCDR3_31, cluster: 7, assembly: 54, Pre-Relaxed: -125.0554, Relaxed: nan
zRot: 120.0, x: 7.5, y: -10.0, z: 16.25, cut: 1, energy: -126.136802673, HV: HV_108, HJ: HJ_4, HCDR3: HCDR3_80, LV: KV_15, LJ: KJ_3, LCDR3: KCDR3_81, cluster: 5, assembly: 35, Pre-Relaxed: -124.5699, Relaxed: nan
zRot: 120.0, x: 7.5, y: -10.0, z: 16.25, cut: 2, energy: -125.18170166, HV: HV_17, HJ: HJ_3, HCDR3: HCDR3_80, LV: KV_15, LJ: KJ_3, LCDR3: KCDR3_81, cluster: 6, assembly: 45, Pre-Relaxed: -124.0451, Relaxed: nan
zRot: 60.0, x: 5.0, y: -10.0, z: 16.25, cut: 2, energy: -124.303001404, HV: HV_92, HJ: HJ_5, HCDR3: HCDR3_6, LV: LV_32, LJ: LJ_1, LCDR3: LCDR3_31, cluster: 7, assembly: 55, Pre-Relaxed: -123.814, Relaxed: nan
zRot: 120.0, x: 7.5, y: -2.5, z: 16.25, cut: 3, energy: -124.232696533, HV: HV_8, HJ: HJ_1, HCDR3: HCDR3_1, LV: KV_7, LJ: KJ_4, LCDR3: KCDR3_80, cluster: 6, assembly: 46, Pre-Relaxed: -123.808, Relaxed: nan
zRot: 120.0, x: 7.5, y: -2.5, z: 16.25, cut: 4, energy: -124.198898315, HV: HV_8, HJ: HJ_1, HCDR3: HCDR3_3, LV: KV_7, LJ: KJ_4, LCDR3: KCDR3_80, cluster: 6, assembly: 47, Pre-Relaxed: -123.7743, Relaxed: nan
zRot: 120.0, x: 7.5, y: -2.5, z: 16.25, cut: 5, energy: -124.074798584, HV: HV_106, HJ: HJ_1, HCDR3: HCDR3_13, LV: KV_7, LJ: KJ_4, LCDR3: KCDR3_80, cluster: 5, assembly: 36, Pre-Relaxed: -123.6462, Relaxed: nan
zRot: 60.0, x: 5.0, y: -10.0, z: 16.25, cut: 3, energy: -123.092102051, HV: HV_92, HJ: HJ_5, HCDR3: HCDR3_1, LV: LV_31, LJ: LJ_1, LCDR3: LCDR3_31, cluster: 7, assembly: 56, Pre-Relaxed: -122.6031, Relaxed: nan
zRot: 120.0, x: 7.5, y: -10.0, z: 16.25, cut: 3, energy: -123.132797241, HV: HV_108, HJ: HJ_4, HCDR3: HCDR3_80, LV: KV_15, LJ: KJ_3, LCDR3: KCDR3_80, cluster: 5, assembly: 37, Pre-Relaxed: -121.5659, Relaxed: nan
zRot: 120.0, x: 7.5, y: -7.5, z: 16.25, cut: 1, energy: -123.031700134, HV: HV_108, HJ: HJ_4, HCDR3: HCDR3_24, LV: KV_55, LJ: KJ_3, LCDR3: KCDR3_81, cluster: 5, assembly: 38, Pre-Relaxed: -121.2513, Relaxed: nan
zRot: 120.0, x: 7.5, y: -10.0, z: 16.25, cut: 4, energy: -122.177696228, HV: HV_17, HJ: HJ_3, HCDR3: HCDR3_80, LV: KV_15, LJ: KJ_3, LCDR3: KCDR3_80, cluster: 6, assembly: 48, Pre-Relaxed: -121.0411, Relaxed: nan
zRot: 120.0, x: 7.5, y: -7.5, z: 16.25, cut: 2, energy: -122.79940033, HV: HV_108, HJ: HJ_4, HCDR3: HCDR3_24, LV: KV_57, LJ: KJ_3, LCDR3: KCDR3_81, cluster: 5, assembly: 39, Pre-Relaxed: -121.019, Relaxed: nan
zRot: 120.0, x: 7.5, y: -7.5, z: 16.25, cut: 3, energy: -122.742797852, HV: HV_108, HJ: HJ_4, HCDR3: HCDR3_24, LV: KV_55, LJ: KJ_3, LCDR3: KCDR3_80, cluster: 5, assembly: 40, Pre-Relaxed: -120.9623, Relaxed: nan
zRot: 120.0, x: 7.5, y: -7.5, z: 16.25, cut: 5, energy: -121.823196411, HV: HV_44, HJ: HJ_4, HCDR3: HCDR3_24, LV: KV_55, LJ: KJ_3, LCDR3: KCDR3_81, cluster: 1, assembly: 1, Pre-Relaxed: -120.5306, Relaxed: nan
zRot: 60.0, x: -2.5, y: -2.5, z: 16.25, cut: 1, energy: -116.286903381, HV: HV_56, HJ: HJ_5, HCDR3: HCDR3_49, LV: KV_7, LJ: KJ_4, LCDR3: KCDR3_62, cluster: 1, assembly: 2, Pre-Relaxed: -116.3706, Relaxed: nan
zRot: 0.0, x: -5.0, y: 2.5, z: 16.25, cut: 1, energy: -115.790603638, HV: HV_41, HJ: HJ_1, HCDR3: HCDR3_32, LV: LV_31, LJ: LJ_5, LCDR3: LCDR3_9, cluster: 1, assembly: 5, Pre-Relaxed: -116.2327, Relaxed: nan
zRot: 240.0, x: 2.5, y: 2.5, z: 16.25, cut: 1, energy: -115.808097839, HV: HV_41, HJ: HJ_3, HCDR3: HCDR3_8, LV: KV_19, LJ: KJ_3, LCDR3: KCDR3_147, cluster: 1, assembly: 4, Pre-Relaxed: -116.203, Relaxed: nan
zRot: 60.0, x: -2.5, y: -2.5, z: 16.25, cut: 2, energy: -115.82119751, HV: HV_56, HJ: HJ_5, HCDR3: HCDR3_49, LV: KV_6, LJ: KJ_4, LCDR3: KCDR3_62, cluster: 1, assembly: 3, Pre-Relaxed: -115.8809, Relaxed: nan
zRot: 0.0, x: -5.0, y: 2.5, z: 16.25, cut: 2, energy: -114.732902527, HV: HV_41, HJ: HJ_1, HCDR3: HCDR3_32, LV: LV_32, LJ: LJ_5, LCDR3: LCDR3_9, cluster: 1, assembly: 6, Pre-Relaxed: -115.1751, Relaxed: nan
zRot: 0.0, x: -5.0, y: 2.5, z: 16.25, cut: 3, energy: -114.725601196, HV: HV_41, HJ: HJ_1, HCDR3: HCDR3_32, LV: LV_31, LJ: LJ_5, LCDR3: LCDR3_27, cluster: 1, assembly: 7, Pre-Relaxed: -115.1677, Relaxed: nan
