zRot,x,y,z,cut,energy,HV,HJ,HCDR3,KV,KJ,KCDR3,LV,LJ,LCDR3
0.0,-5.0,2.5,11.25,1,44689.7006,102,5,9,,,,37,1,14
0.0,-5.0,2.5,11.25,2,44690.4964,102,5,315,,,,37,1,14
0.0,-5.0,2.5,11.25,3,44695.2966,102,5,60,,,,37,1,14
0.0,-5.0,2.5,11.25,4,44708.5536,102,5,2,,,,37,1,14
0.0,-5.0,2.5,11.25,5,44718.2309,102,5,42,,,,37,1,14
0.0,-2.5,2.5,11.25,1,18495538.8996,114,2,21,,,,15,6,14
0.0,-2.5,2.5,11.25,2,18495551.1,114,2,4,,,,15,6,14
0.0,-2.5,2.5,11.25,3,18495556.7537,114,2,31,,,,15,6,14
0.0,-2.5,2.5,11.25,4,18495557.8473,111,2,21,,,,15,6,14
0.0,-2.5,2.5,11.25,5,18495570.0477,111,2,4,,,,15,6,14
0.0,-5.0,5.0,11.25,1,40449590.8924,87,5,10,,,,23,5,10
0.0,-5.0,5.0,11.25,2,40449610.0038,87,5,13,,,,23,5,10
0.0,-5.0,5.0,11.25,3,40449610.488,87,5,21,,,,23,5,10
0.0,-5.0,5.0,11.25,4,40449611.6353,87,5,32,,,,23,5,10
0.0,-5.0,5.0,11.25,5,40449612.2526,87,5,9,,,,23,5,10
0.0,-2.5,5.0,11.25,1,154066184.396,138,1,10,37,2,115,,,
0.0,-2.5,5.0,11.25,2,154066189.054,138,1,41,37,2,115,,,
0.0,-2.5,5.0,11.25,3,154066198.652,138,1,49,37,2,115,,,
0.0,-2.5,5.0,11.25,4,154066201.04,138,1,13,37,2,115,,,
0.0,-2.5,5.0,11.25,5,154066203.44,138,1,4,37,2,115,,,
0.0,0.0,-10.0,12.5,1,22242.8037,17,3,4,2,4,7,,,
0.0,0.0,-10.0,12.5,2,22242.8684,17,3,4,2,4,2,,,
0.0,0.0,-10.0,12.5,3,22244.1836,17,3,4,2,4,1,,,
0.0,0.0,-10.0,12.5,4,22266.4754,17,3,4,56,3,11,,,
0.0,0.0,-10.0,12.5,5,22266.623,17,3,4,56,5,116,,,
0.0,-2.5,-7.5,12.5,1,54202.484,8,5,56,4,4,172,,,
0.0,-2.5,-7.5,12.5,2,54202.6604,8,5,56,4,4,128,,,
0.0,-2.5,-7.5,12.5,3,54202.7025,8,5,56,4,4,175,,,
0.0,-2.5,-7.5,12.5,4,54203.327,8,5,56,4,4,123,,,
0.0,-2.5,-7.5,12.5,5,54203.4188,8,5,56,4,4,122,,,
0.0,-5.0,-2.5,12.5,1,1688.6104,86,4,4,61,1,199,,,
0.0,-5.0,-2.5,12.5,2,1700.0518,85,4,4,61,1,199,,,
0.0,-5.0,-2.5,12.5,3,1709.6629,84,4,4,61,1,199,,,
0.0,-5.0,-2.5,12.5,4,1732.5591,86,4,4,64,1,199,,,
0.0,-5.0,-2.5,12.5,5,1732.5751,86,4,4,52,1,199,,,
0.0,-5.0,2.5,12.5,1,3012.6126,80,5,31,,,,28,5,21
0.0,-5.0,2.5,12.5,2,3013.4913,41,5,31,,,,28,5,21
0.0,-5.0,2.5,12.5,3,3013.729,79,5,31,,,,28,5,21
0.0,-5.0,2.5,12.5,4,3014.7063,80,5,32,,,,28,5,21
0.0,-5.0,2.5,12.5,5,3015.1661,80,5,315,,,,28,5,21
0.0,-5.0,5.0,12.5,1,320466.0152,114,2,49,35,1,2,,,
0.0,-5.0,5.0,12.5,2,320466.3651,114,2,60,35,1,2,,,
0.0,-5.0,5.0,12.5,3,320466.4132,111,2,49,35,1,2,,,
0.0,-5.0,5.0,12.5,4,320466.7631,111,2,60,35,1,2,,,
0.0,-5.0,5.0,12.5,5,320468.3085,53,3,49,35,4,2,,,
0.0,-2.5,5.0,12.5,1,6461700.9267,79,5,315,,,,23,5,34
0.0,-2.5,5.0,12.5,2,6461702.2066,80,5,315,,,,23,5,34
0.0,-2.5,5.0,12.5,3,6461703.3353,110,5,315,,,,23,5,34
0.0,-2.5,5.0,12.5,4,6461703.6358,79,5,21,,,,23,5,34
0.0,-2.5,5.0,12.5,5,6461704.5507,79,5,10,,,,23,5,34
0.0,0.0,-10.0,13.75,1,518.4113,13,5,4,,,,30,5,11
0.0,0.0,-10.0,13.75,2,519.2591,13,5,1,,,,30,5,11
0.0,0.0,-10.0,13.75,3,520.6079,13,5,4,,,,29,5,11
0.0,0.0,-10.0,13.75,4,520.6813,13,5,4,,,,37,5,11
0.0,0.0,-10.0,13.75,5,520.702,13,5,4,,,,31,5,11
0.0,7.5,-10.0,13.75,1,56.6055,138,4,28,15,3,152,,,
0.0,7.5,-10.0,13.75,2,56.6137,138,4,28,15,3,153,,,
0.0,7.5,-10.0,13.75,3,56.6244,138,4,28,15,3,96,,,
0.0,7.5,-10.0,13.75,4,56.6251,138,4,28,15,3,98,,,
0.0,7.5,-10.0,13.75,5,56.6305,138,4,28,15,3,110,,,
0.0,-2.5,-7.5,13.75,1,12374272.6755,8,1,4,2,2,2,,,
0.0,-2.5,-7.5,13.75,2,12374275.0894,8,1,4,2,2,7,,,
0.0,-2.5,-7.5,13.75,3,12374275.9981,8,1,4,2,4,1,,,
0.0,-2.5,-7.5,13.75,4,12374293.1023,8,1,4,14,3,46,,,
0.0,-2.5,-7.5,13.75,5,12374293.1621,8,1,4,14,3,7,,,
0.0,10.0,-7.5,13.75,1,-27.6098,41,4,396,38,4,81,,,
0.0,10.0,-7.5,13.75,2,-27.3707,41,4,396,38,4,86,,,
0.0,10.0,-7.5,13.75,3,-27.3179,41,4,396,38,4,152,,,
0.0,10.0,-7.5,13.75,4,-27.3012,41,4,396,38,4,120,,,
0.0,10.0,-7.5,13.75,5,-27.2972,41,4,396,38,4,94,,,
0.0,-5.0,-5.0,13.75,1,2588272.3528,43,3,7,13,3,80,,,
0.0,-5.0,-5.0,13.75,2,2588272.5808,43,3,7,13,3,74,,,
0.0,-5.0,-5.0,13.75,3,2588274.1186,43,3,7,14,3,80,,,
0.0,-5.0,-5.0,13.75,4,2588342.6856,43,3,7,15,3,80,,,
0.0,-5.0,-5.0,13.75,5,2588274.3466,43,3,7,14,3,74,,,
0.0,-5.0,-2.5,13.75,1,-35.9372,85,1,4,61,1,199,,,
0.0,-5.0,-2.5,13.75,2,-35.7407,84,1,4,61,1,199,,,
0.0,-5.0,-2.5,13.75,3,-35.4324,86,1,4,61,1,199,,,
0.0,-5.0,-2.5,13.75,4,-32.0111,85,1,2,61,1,199,,,
0.0,-5.0,-2.5,13.75,5,-31.8146,84,1,2,61,1,199,,,
0.0,-2.5,0.0,13.75,1,6006855.5718,128,2,4,,,,15,6,15
0.0,-2.5,0.0,13.75,2,6006856.8095,128,2,2,,,,15,6,15
0.0,-2.5,0.0,13.75,3,6006872.3876,128,2,1,,,,15,6,15
0.0,-2.5,0.0,13.75,4,6007130.1327,128,2,21,,,,15,6,15
0.0,-2.5,0.0,13.75,5,6007158.7278,126,2,4,,,,15,6,15
0.0,-5.0,2.5,13.75,1,193.8447,41,5,32,,,,25,5,21
0.0,-5.0,2.5,13.75,2,195.4091,80,5,32,,,,25,5,21
0.0,-5.0,2.5,13.75,3,197.2074,79,5,32,,,,25,5,21
0.0,-5.0,2.5,13.75,4,201.4146,41,5,31,,,,25,5,21
0.0,-5.0,2.5,13.75,5,202.979,80,5,31,,,,25,5,21
0.0,-2.5,2.5,13.75,1,4272064.2766,28,5,13,53,3,126,,,
0.0,-2.5,2.5,13.75,2,4272064.5052,32,2,13,53,3,126,,,
0.0,-2.5,2.5,13.75,3,4272065.1703,32,2,31,53,3,126,,,
0.0,-2.5,2.5,13.75,4,4272066.9695,28,5,32,53,3,126,,,
0.0,-2.5,2.5,13.75,5,4272067.1981,32,2,32,53,3,126,,,
0.0,-5.0,5.0,13.75,1,18578.2555,58,5,60,7,4,2,,,
0.0,-5.0,5.0,13.75,2,18580.8745,58,5,49,7,4,2,,,
