zRot,x,y,z,cut,energy,HV,HJ,HCDR3,KV,KJ,KCDR3,LV,LJ,LCDR3
0.0,-2.5,5.0,6.25,1,43492554.353,58,5,57,37,2,115,,,
0.0,-2.5,5.0,6.25,2,43492555.2112,58,5,13,37,2,115,,,
0.0,-2.5,5.0,6.25,3,43492556.5828,58,5,49,37,2,115,,,
0.0,-2.5,5.0,6.25,4,43492557.7048,58,5,60,37,2,115,,,
0.0,-2.5,5.0,6.25,5,43492558.493,58,5,3,37,2,115,,,
0.0,-2.5,5.0,7.5,1,4610093.6451,43,3,312,,,,17,5,30
0.0,-2.5,5.0,7.5,2,4610106.6449,43,3,13,,,,17,5,30
0.0,-2.5,5.0,7.5,3,4610107.8721,43,3,1,,,,17,5,30
0.0,-2.5,5.0,7.5,4,4610111.0981,43,3,49,,,,17,5,30
0.0,-2.5,5.0,7.5,5,4610113.1398,46,4,13,,,,17,5,30
0.0,-2.5,5.0,8.75,1,419316.3755,44,3,307,53,3,98,,,
0.0,-2.5,5.0,8.75,2,419323.8688,79,3,307,53,3,98,,,
0.0,-2.5,5.0,8.75,3,419324.9504,80,4,307,53,3,98,,,
0.0,-2.5,5.0,8.75,4,419325.2992,41,3,307,53,3,98,,,
0.0,-2.5,5.0,8.75,5,419349.8598,44,3,1,53,3,98,,,
0.0,0.0,-5.0,10.0,1,94456.9467,8,4,1,,,,38,4,5
0.0,0.0,-5.0,10.0,2,94542.6371,8,4,1,61,3,80,,,
0.0,0.0,-5.0,10.0,3,94543.0672,8,4,1,51,3,80,,,
0.0,0.0,-5.0,10.0,4,94544.6162,8,4,1,52,3,80,,,
0.0,0.0,-5.0,10.0,5,94549.7756,8,4,1,61,3,103,,,
0.0,-2.5,-2.5,10.0,1,22491811.7889,55,4,8,32,4,111,,,
0.0,-2.5,-2.5,10.0,2,22491812.6142,55,4,8,32,4,94,,,
0.0,-2.5,-2.5,10.0,3,22491820.1767,55,4,8,32,4,5,,,
0.0,-2.5,-2.5,10.0,4,22491828.6599,55,4,8,32,4,4,,,
0.0,-2.5,-2.5,10.0,5,22491829.6267,55,4,8,32,4,82,,,
0.0,-5.0,0.0,10.0,1,805681.9205,17,3,32,15,3,17,,,
0.0,-5.0,0.0,10.0,2,805683.6149,17,3,32,,,,33,5,8
0.0,-5.0,0.0,10.0,3,805684.0062,17,3,32,,,,34,5,8
0.0,-5.0,0.0,10.0,4,805684.123,17,3,32,15,3,123,,,
0.0,-5.0,0.0,10.0,5,805689.0707,17,3,32,58,4,17,,,
0.0,-2.5,0.0,10.0,1,7410.8265,17,3,42,1,5,123,,,
0.0,-2.5,0.0,10.0,2,7416.2827,17,3,42,1,4,119,,,
0.0,-2.5,0.0,10.0,3,7417.079,17,3,42,1,5,110,,,
0.0,-2.5,0.0,10.0,4,7419.1671,17,3,42,18,5,123,,,
0.0,-2.5,0.0,10.0,5,7424.6233,17,3,42,18,4,119,,,
0.0,10.0,-10.0,11.25,1,-32.4825,109,5,124,32,3,85,,,
0.0,10.0,-10.0,11.25,2,-32.4596,123,5,124,32,3,85,,,
0.0,10.0,-10.0,11.25,3,-32.3563,138,4,124,32,3,85,,,
0.0,10.0,-10.0,11.25,4,-31.9702,108,4,124,32,4,80,,,
0.0,10.0,-10.0,11.25,5,-31.9203,108,4,124,32,4,81,,,
0.0,10.0,-7.5,11.25,1,64.1481,114,2,375,53,3,85,,,
0.0,10.0,-7.5,11.25,2,65.7238,138,4,375,53,3,85,,,
0.0,10.0,-7.5,11.25,3,66.0625,114,2,375,53,3,73,,,
0.0,10.0,-7.5,11.25,4,66.2293,114,2,375,53,3,81,,,
0.0,10.0,-7.5,11.25,5,66.4711,114,2,375,65,5,80,,,
0.0,0.0,-5.0,11.25,1,225.276,8,4,4,61,3,80,,,
0.0,0.0,-5.0,11.25,2,226.8231,8,4,4,,,,37,5,5
0.0,0.0,-5.0,11.25,3,227.9413,8,4,4,64,3,80,,,
0.0,0.0,-5.0,11.25,4,228.2413,8,4,4,51,3,80,,,
0.0,0.0,-5.0,11.25,5,228.4776,8,4,4,52,3,80,,,
0.0,-5.0,-2.5,11.25,1,265410285.816,5,4,21,15,3,17,,,
0.0,-5.0,-2.5,11.25,2,265410328.648,5,4,21,15,3,46,,,
0.0,-5.0,-2.5,11.25,3,265410295.102,5,4,21,67,4,17,,,
0.0,-5.0,-2.5,11.25,4,265410296.165,5,4,21,13,3,17,,,
0.0,-5.0,-2.5,11.25,5,265410296.701,5,4,21,14,3,17,,,
0.0,-2.5,-2.5,11.25,1,3056046.7253,49,4,6,32,4,86,,,
0.0,-2.5,-2.5,11.25,2,3056055.0169,49,4,6,32,4,95,,,
0.0,-2.5,-2.5,11.25,3,3056055.4505,49,4,6,32,4,85,,,
0.0,-2.5,-2.5,11.25,4,3056058.6314,49,4,6,32,4,120,,,
0.0,-2.5,-2.5,11.25,5,3056065.881,49,4,6,32,4,92,,,
0.0,0.0,-2.5,11.25,1,865.8782,132,4,4,54,2,123,,,
0.0,0.0,-2.5,11.25,2,871.7814,132,4,4,54,2,122,,,
0.0,0.0,-2.5,11.25,3,872.6875,132,4,4,54,2,134,,,
0.0,0.0,-2.5,11.25,4,873.2267,132,4,4,54,2,41,,,
0.0,0.0,-2.5,11.25,5,874.7829,132,4,4,54,2,33,,,
0.0,-5.0,0.0,11.25,1,126572.4696,52,4,7,15,3,17,,,
0.0,-5.0,0.0,11.25,2,126596.6724,52,4,7,13,3,17,,,
0.0,-5.0,0.0,11.25,3,126597.2283,52,4,7,14,3,17,,,
0.0,-5.0,0.0,11.25,4,126606.4822,52,4,7,15,3,82,,,
0.0,-5.0,0.0,11.25,5,126630.685,52,4,7,13,3,82,,,
0.0,-2.5,0.0,11.25,1,2546.721,41,3,13,15,3,123,,,
0.0,-2.5,0.0,11.25,2,2548.804,41,3,13,15,3,119,,,
0.0,-2.5,0.0,11.25,3,2552.7985,41,3,13,15,3,95,,,
0.0,-2.5,0.0,11.25,4,2556.4011,41,3,13,15,3,124,,,
0.0,-2.5,0.0,11.25,5,2556.5538,41,3,13,15,3,94,,,
0.0,-5.0,2.5,11.25,1,-142.6497,46,4,1,,,,25,5,22
0.0,-5.0,2.5,11.25,2,-142.3744,43,4,1,,,,25,5,22
0.0,-5.0,2.5,11.25,3,-137.8268,46,4,1,,,,25,5,4
0.0,-5.0,2.5,11.25,4,-137.5515,43,4,1,,,,25,5,4
0.0,-5.0,2.5,11.25,5,-135.9033,46,4,1,,,,25,5,17
0.0,-2.5,2.5,11.25,1,-78.7606,43,3,1,53,3,97,,,
0.0,-2.5,2.5,11.25,2,-78.7251,46,4,1,53,3,97,,,
0.0,-2.5,2.5,11.25,3,-77.8178,43,3,1,53,3,96,,,
0.0,-2.5,2.5,11.25,4,-77.8117,44,3,1,53,3,97,,,
0.0,-2.5,2.5,11.25,5,-77.7842,43,3,1,53,3,23,,,
0.0,-2.5,5.0,11.25,1,93654.0262,114,2,1,,,,32,6,14
0.0,-2.5,5.0,11.25,2,93654.4287,111,2,1,,,,32,6,14
0.0,-2.5,5.0,11.25,3,93656.9882,102,5,1,,,,32,1,14
0.0,-2.5,5.0,11.25,4,93660.6214,114,2,42,,,,32,6,14
0.0,-2.5,5.0,11.25,5,93663.5834,102,5,42,,,,32,1,14
0.0,7.5,5.0,11.25,1,77859717.3285,110,5,413,6,4,63,,,
0.0,7.5,5.0,11.25,2,77859717.3189,127,2,413,6,4,63,,,
0.0,7.5,5.0,11.25,3,77859717.338,106,4,413,6,4,63,,,
0.0,7.5,5.0,11.25,4,77859717.3608,103,4,413,6,4,63,,,
0.0,7.5,5.0,11.25,5,77859717.3638,114,2,413,6,4,63,,,
0.0,-5.0,-10.0,12.5,1,68446277.014,103,1,269,2,4,1,,,
0.0,-5.0,-10.0,12.5,2,68446298.7691,103,1,182,2,4,2,,,
0.0,-5.0,-10.0,12.5,3,68446293.3553,103,1,5,2,4,2,,,
0.0,-5.0,-10.0,12.5,4,68447971.0985,103,1,2,2,4,2,,,
0.0,-5.0,-10.0,12.5,5,68451233.9032,103,1,3,2,4,2,,,
0.0,-2.5,-10.0,12.5,1,4347204.0554,17,3,24,2,3,7,,,
0.0,-2.5,-10.0,12.5,2,4347204.2104,17,3,24,2,3,3,,,
0.0,-2.5,-10.0,12.5,3,4347302.0663,17,3,3,2,3,2,,,
0.0,-2.5,-10.0,12.5,4,4347302.1306,17,3,3,2,3,7,,,
0.0,-2.5,-10.0,12.5,5,4347302.2856,17,3,3,2,3,3,,,
0.0,0.0,-10.0,12.5,1,45550.8773,93,4,3,9,2,149,,,
0.0,0.0,-10.0,12.5,2,45550.9042,93,4,3,9,2,17,,,
0.0,0.0,-10.0,12.5,3,45550.9991,93,4,3,9,2,85,,,
0.0,0.0,-10.0,12.5,4,45551.4019,93,4,3,9,2,158,,,
0.0,0.0,-10.0,12.5,5,45551.4355,93,4,3,9,2,95,,,
0.0,10.0,-10.0,12.5,1,-49.7732,92,5,399,7,3,162,,,
0.0,10.0,-10.0,12.5,2,-49.7436,92,5,399,7,3,149,,,
0.0,10.0,-10.0,12.5,3,-49.7341,92,5,333,66,5,199,,,
0.0,10.0,-10.0,12.5,4,-49.5865,92,5,399,7,3,170,,,
0.0,10.0,-10.0,12.5,5,-49.1022,79,3,399,33,3,85,,,
0.0,0.0,-7.5,12.5,1,9980.4223,109,5,66,14,3,95,,,
0.0,0.0,-7.5,12.5,2,9980.8194,109,5,66,14,3,36,,,
0.0,0.0,-7.5,12.5,3,9981.0475,109,5,66,14,3,143,,,
0.0,0.0,-7.5,12.5,4,9981.217,109,5,66,13,3,95,,,
0.0,0.0,-7.5,12.5,5,9981.3876,109,5,66,14,3,119,,,
0.0,2.5,-7.5,12.5,1,-44.1723,108,4,8,44,4,80,,,
0.0,2.5,-7.5,12.5,2,-44.1002,109,5,8,44,4,103,,,
0.0,2.5,-7.5,12.5,3,-43.3921,109,5,8,,,,23,5,11
0.0,2.5,-7.5,12.5,4,-43.3294,108,4,8,44,4,81,,,
0.0,2.5,-7.5,12.5,5,-42.7257,109,5,8,44,4,149,,,
0.0,10.0,-7.5,12.5,1,-68.5425,114,2,101,14,3,80,,,
0.0,10.0,-7.5,12.5,2,-68.132,79,3,101,14,3,80,,,
0.0,10.0,-7.5,12.5,3,-68.06,111,2,101,14,3,80,,,
0.0,10.0,-7.5,12.5,4,-67.9521,114,2,101,13,3,80,,,
0.0,10.0,-7.5,12.5,5,-67.5416,79,3,101,13,3,80,,,
0.0,0.0,-5.0,12.5,1,-109.9505,8,4,1,13,3,80,,,
0.0,0.0,-5.0,12.5,2,-109.881,8,4,1,14,3,80,,,
0.0,0.0,-5.0,12.5,3,-104.1306,8,4,4,2,4,1,,,
0.0,0.0,-5.0,12.5,4,-101.6396,8,4,1,13,3,17,,,
0.0,0.0,-5.0,12.5,5,-101.5701,8,4,1,14,3,17,,,
0.0,10.0,-5.0,12.5,1,528.8574,114,2,396,59,3,80,,,
0.0,10.0,-5.0,12.5,2,529.1842,41,3,396,59,3,80,,,
0.0,10.0,-5.0,12.5,3,529.3444,80,4,396,59,3,80,,,
0.0,10.0,-5.0,12.5,4,529.3672,122,1,396,59,3,80,,,
0.0,10.0,-5.0,12.5,5,529.3688,121,1,396,59,3,80,,,
0.0,-5.0,-2.5,12.5,1,2798719.5784,5,4,122,5,4,135,,,
0.0,-5.0,-2.5,12.5,2,3382729.9621,6,4,122,5,4,135,,,
0.0,-5.0,-2.5,12.5,3,5130626.7588,12,3,122,5,4,86,,,
0.0,-5.0,-2.5,12.5,4,5130641.4028,12,3,122,5,4,110,,,
0.0,-5.0,-2.5,12.5,5,5130645.4417,12,3,122,5,4,123,,,
0.0,-2.5,-2.5,12.5,1,18637.1155,56,4,6,44,4,86,,,
0.0,-2.5,-2.5,12.5,2,18646.4795,56,4,6,44,4,95,,,
