START	bench_3bae	on 2017 May 14 at 17:59:23
DISK_USAGE	initial	472
SUB_TIME	NAMD relaxation of molecule /gpfs/work/m/mfa5147/OptMAVEn2.0/experiments/bench_3bae/structures/MoleculeA.pdb	6.38063597679
SUB_TIME	Mounting antigen A	0.317713975906
DISK_USAGE	after_antigen_initialization	456
SUB_TIME	culling_clashes	7.24347996712
DISK_USAGE	after_culling_clashes	520
DISK_USAGE	beginning_MAPs_energy_calculations	32920
TIME	antigen_relaxation_and_positioning	28.77
TIME	interaction_energies_for_MAPs_part_LV_5	143.94
TIME	interaction_energies_for_MAPs_part_LV_4	146.66
TIME	interaction_energies_for_MAPs_part_LV_3	142.86
TIME	interaction_energies_for_MAPs_part_LV_38	142.57
TIME	interaction_energies_for_MAPs_part_LV_7	143.57
TIME	interaction_energies_for_MAPs_part_LV_9	150.28
TIME	interaction_energies_for_MAPs_part_LV_37	142.62
TIME	interaction_energies_for_MAPs_part_LV_8	154.18
TIME	interaction_energies_for_MAPs_part_LV_35	144.95
TIME	interaction_energies_for_MAPs_part_LV_36	146.66
TIME	interaction_energies_for_MAPs_part_LV_34	147.7
TIME	interaction_energies_for_MAPs_part_LV_33	144.03
TIME	interaction_energies_for_MAPs_part_LV_31	141.25
TIME	interaction_energies_for_MAPs_part_LV_32	151.57
TIME	interaction_energies_for_MAPs_part_LV_2	141.84
TIME	interaction_energies_for_MAPs_part_LV_29	143.23
TIME	interaction_energies_for_MAPs_part_LV_30	145.88
TIME	interaction_energies_for_MAPs_part_LV_27	144.37
TIME	interaction_energies_for_MAPs_part_LV_26	144.52
TIME	interaction_energies_for_MAPs_part_LV_22	143.07
TIME	interaction_energies_for_MAPs_part_LV_23	141.52
TIME	interaction_energies_for_MAPs_part_LV_21	140.62
TIME	interaction_energies_for_MAPs_part_LV_24	146.32
TIME	interaction_energies_for_MAPs_part_LV_25	143.11
TIME	interaction_energies_for_MAPs_part_LV_28	151.45
TIME	interaction_energies_for_MAPs_part_LV_20	139.58
TIME	interaction_energies_for_MAPs_part_LV_1	142.78
TIME	interaction_energies_for_MAPs_part_LJ_7	62.34
TIME	interaction_energies_for_MAPs_part_LJ_6	60.92
TIME	interaction_energies_for_MAPs_part_LJ_4	62.27
TIME	interaction_energies_for_MAPs_part_LJ_3	63.07
TIME	interaction_energies_for_MAPs_part_LV_19	142.68
TIME	interaction_energies_for_MAPs_part_LV_17	139.82
TIME	interaction_energies_for_MAPs_part_LV_18	143.5
TIME	interaction_energies_for_MAPs_part_LV_16	143.77
TIME	interaction_energies_for_MAPs_part_KCDR3_35	61.24
TIME	interaction_energies_for_MAPs_part_LV_10	142.05
TIME	interaction_energies_for_MAPs_part_LV_13	142.45
TIME	interaction_energies_for_MAPs_part_LV_12	143.65
TIME	interaction_energies_for_MAPs_part_LV_11	143.91
TIME	interaction_energies_for_MAPs_part_LV_15	151.05
TIME	interaction_energies_for_MAPs_part_LV_14	147.01
TIME	interaction_energies_for_MAPs_part_KCDR3_34	61.53
TIME	interaction_energies_for_MAPs_part_KCDR3_32	61.79
TIME	interaction_energies_for_MAPs_part_KCDR3_33	63.74
TIME	interaction_energies_for_MAPs_part_LJ_2	65.36
TIME	interaction_energies_for_MAPs_part_KCDR3_2	57.44
TIME	interaction_energies_for_MAPs_part_KCDR3_30	63.1
TIME	interaction_energies_for_MAPs_part_KCDR3_31	62.82
TIME	interaction_energies_for_MAPs_part_KCDR3_29	60.97
TIME	interaction_energies_for_MAPs_part_KCDR3_27	62.55
TIME	interaction_energies_for_MAPs_part_KCDR3_28	63.83
TIME	interaction_energies_for_MAPs_part_LJ_5	72.82
TIME	interaction_energies_for_MAPs_part_LJ_1	69.67
TIME	interaction_energies_for_MAPs_part_KCDR3_26	61.07
TIME	interaction_energies_for_MAPs_part_KCDR3_20	60.6
TIME	interaction_energies_for_MAPs_part_KCDR3_24	61.5
TIME	interaction_energies_for_MAPs_part_KCDR3_25	63.68
TIME	interaction_energies_for_MAPs_part_KCDR3_22	61.82
TIME	interaction_energies_for_MAPs_part_KCDR3_23	59.52
TIME	interaction_energies_for_MAPs_part_KCDR3_21	64.52
TIME	interaction_energies_for_MAPs_part_KCDR3_19	60.42
TIME	interaction_energies_for_MAPs_part_KCDR3_1	58.43
TIME	interaction_energies_for_MAPs_part_KCDR3_198	68.09
TIME	interaction_energies_for_MAPs_part_KCDR3_197	64.15
TIME	interaction_energies_for_MAPs_part_KCDR3_196	65.68
TIME	interaction_energies_for_MAPs_part_KCDR3_195	63.6
TIME	interaction_energies_for_MAPs_part_KCDR3_194	65.04
TIME	interaction_energies_for_MAPs_part_KCDR3_193	65.85
TIME	interaction_energies_for_MAPs_part_KCDR3_192	65.21
TIME	interaction_energies_for_MAPs_part_KCDR3_18	61.13
TIME	interaction_energies_for_MAPs_part_KCDR3_187	62.07
TIME	interaction_energies_for_MAPs_part_KCDR3_186	63.95
TIME	interaction_energies_for_MAPs_part_KCDR3_188	64.89
TIME	interaction_energies_for_MAPs_part_KCDR3_199	66.57
TIME	interaction_energies_for_MAPs_part_KCDR3_189	68.78
TIME	interaction_energies_for_MAPs_part_KCDR3_185	64.44
TIME	interaction_energies_for_MAPs_part_KCDR3_182	62.15
TIME	interaction_energies_for_MAPs_part_KCDR3_183	64.17
TIME	interaction_energies_for_MAPs_part_KCDR3_184	65.96
TIME	interaction_energies_for_MAPs_part_KCDR3_180	61.66
TIME	interaction_energies_for_MAPs_part_KCDR3_181	64.44
TIME	interaction_energies_for_MAPs_part_KCDR3_17	61.17
TIME	interaction_energies_for_MAPs_part_KCDR3_179	64.63
TIME	interaction_energies_for_MAPs_part_KCDR3_177	62.58
TIME	interaction_energies_for_MAPs_part_KCDR3_178	63.06
TIME	interaction_energies_for_MAPs_part_KCDR3_176	62.79
TIME	interaction_energies_for_MAPs_part_KCDR3_190	70.93
TIME	interaction_energies_for_MAPs_part_KCDR3_175	61.41
TIME	interaction_energies_for_MAPs_part_KCDR3_191	74.81
TIME	interaction_energies_for_MAPs_part_KCDR3_174	60.55
TIME	interaction_energies_for_MAPs_part_KCDR3_173	61.65
TIME	interaction_energies_for_MAPs_part_KCDR3_16	60.8
TIME	interaction_energies_for_MAPs_part_KCDR3_171	63.92
TIME	interaction_energies_for_MAPs_part_KCDR3_170	64.23
TIME	interaction_energies_for_MAPs_part_KCDR3_167	61.84
TIME	interaction_energies_for_MAPs_part_KCDR3_169	65.41
TIME	interaction_energies_for_MAPs_part_KCDR3_168	62.86
TIME	interaction_energies_for_MAPs_part_KCDR3_166	61.34
TIME	interaction_energies_for_MAPs_part_KCDR3_165	65.34
TIME	interaction_energies_for_MAPs_part_KCDR3_163	64.61
TIME	interaction_energies_for_MAPs_part_KCDR3_164	63.63
TIME	interaction_energies_for_MAPs_part_KCDR3_162	64.72
