zRot: 60.0, x: 2.5, y: -7.5, z: 16.25, cut: 1, energy: -212.486602783, HV: HV_102, HJ: HJ_5, HCDR3: HCDR3_124, LV: KV_66, LJ: KJ_5, LCDR3: KCDR3_80, cluster: 1, assembly: 1, Pre-Relaxed: -211.448, Relaxed: -250.8064
zRot: 60.0, x: 2.5, y: -7.5, z: 16.25, cut: 2, energy: -212.071594238, HV: HV_102, HJ: HJ_5, HCDR3: HCDR3_124, LV: KV_62, LJ: KJ_5, LCDR3: KCDR3_80, cluster: 1, assembly: 2, Pre-Relaxed: -211.0329, Relaxed: nan
zRot: 300.0, x: -5.0, y: 5.0, z: 13.75, cut: 1, energy: -220.835998535, HV: HV_106, HJ: HJ_4, HCDR3: HCDR3_63, LV: KV_44, LJ: KJ_4, LCDR3: KCDR3_81, cluster: 2, assembly: 10, Pre-Relaxed: -208.4589, Relaxed: nan
zRot: 300.0, x: -5.0, y: 5.0, z: 13.75, cut: 2, energy: -218.444702148, HV: HV_103, HJ: HJ_4, HCDR3: HCDR3_63, LV: KV_44, LJ: KJ_4, LCDR3: KCDR3_81, cluster: 2, assembly: 11, Pre-Relaxed: -206.0676, Relaxed: nan
zRot: 300.0, x: -5.0, y: 5.0, z: 13.75, cut: 3, energy: -217.421401978, HV: HV_107, HJ: HJ_4, HCDR3: HCDR3_63, LV: KV_44, LJ: KJ_4, LCDR3: KCDR3_81, cluster: 2, assembly: 12, Pre-Relaxed: -205.0443, Relaxed: nan
zRot: 300.0, x: -5.0, y: 5.0, z: 13.75, cut: 4, energy: -217.175598145, HV: HV_110, HJ: HJ_5, HCDR3: HCDR3_63, LV: KV_44, LJ: KJ_4, LCDR3: KCDR3_81, cluster: 2, assembly: 13, Pre-Relaxed: -204.7985, Relaxed: nan
zRot: 300.0, x: -5.0, y: 5.0, z: 13.75, cut: 5, energy: -216.375793457, HV: HV_108, HJ: HJ_4, HCDR3: HCDR3_63, LV: KV_44, LJ: KJ_4, LCDR3: KCDR3_81, cluster: 2, assembly: 14, Pre-Relaxed: -203.9987, Relaxed: nan
zRot: 60.0, x: 2.5, y: -7.5, z: 16.25, cut: 3, energy: -203.242599487, HV: HV_114, HJ: HJ_2, HCDR3: HCDR3_124, LV: KV_66, LJ: KJ_5, LCDR3: KCDR3_80, cluster: 1, assembly: 3, Pre-Relaxed: -202.2047, Relaxed: nan
zRot: 60.0, x: 2.5, y: -7.5, z: 16.25, cut: 4, energy: -202.873703003, HV: HV_111, HJ: HJ_2, HCDR3: HCDR3_124, LV: KV_66, LJ: KJ_5, LCDR3: KCDR3_80, cluster: 1, assembly: 4, Pre-Relaxed: -201.8357, Relaxed: nan
zRot: 60.0, x: 2.5, y: -7.5, z: 16.25, cut: 5, energy: -202.827606201, HV: HV_114, HJ: HJ_2, HCDR3: HCDR3_124, LV: KV_62, LJ: KJ_5, LCDR3: KCDR3_80, cluster: 1, assembly: 5, Pre-Relaxed: -201.7896, Relaxed: nan
zRot: 300.0, x: 2.5, y: 2.5, z: 16.25, cut: 1, energy: -199.985992432, HV: HV_138, HJ: HJ_4, HCDR3: HCDR3_124, LV: KV_62, LJ: KJ_5, LCDR3: KCDR3_139, cluster: 3, assembly: 19, Pre-Relaxed: -199.1184, Relaxed: nan
