zRot,x,y,z,cut,energy,HV,HJ,HCDR3,KV,KJ,KCDR3,LV,LJ,LCDR3
0.0,7.5,0.0,13.75,1,208172616.223,8,1,4,10,2,6,,,
0.0,7.5,0.0,13.75,2,208172616.715,8,1,4,10,2,7,,,
0.0,7.5,0.0,13.75,3,208172636.741,8,1,4,10,2,23,,,
0.0,7.5,0.0,13.75,4,208172676.881,8,1,4,10,2,77,,,
0.0,7.5,0.0,13.75,5,208173138.301,8,1,4,10,2,111,,,
0.0,2.5,5.0,13.75,1,68539190.4998,6,4,68,5,2,17,,,
0.0,2.5,5.0,13.75,2,68563226.9287,6,4,14,5,2,17,,,
0.0,2.5,5.0,13.75,3,68586655.6734,6,4,68,4,2,17,,,
0.0,2.5,5.0,13.75,4,68610692.1023,6,4,14,4,2,17,,,
0.0,2.5,5.0,13.75,5,68796126.6793,6,4,94,5,2,17,,,
0.0,5.0,5.0,13.75,1,102364021.29,123,5,4,,,,36,5,35
0.0,5.0,5.0,13.75,2,102364023.062,123,5,2,,,,36,5,35
0.0,5.0,5.0,13.75,3,102364025.713,123,5,5,,,,36,5,35
0.0,5.0,5.0,13.75,4,102364041.486,123,5,4,,,,36,5,5
0.0,5.0,5.0,13.75,5,102364203.095,123,5,4,,,,36,5,12
0.0,7.5,-7.5,15.0,1,2634704.8435,8,1,4,,,,28,5,20
0.0,7.5,-7.5,15.0,2,2634705.8416,8,1,4,,,,28,5,35
0.0,7.5,-7.5,15.0,3,2634706.4481,8,1,4,,,,28,5,29
0.0,7.5,-7.5,15.0,4,2634706.5628,8,1,4,,,,28,5,21
0.0,7.5,-7.5,15.0,5,2634706.9395,8,1,4,,,,28,5,5
0.0,7.5,-5.0,15.0,1,32743669.8325,8,1,4,65,3,63,,,
0.0,7.5,-5.0,15.0,2,32743693.6267,8,1,4,65,3,136,,,
0.0,7.5,-5.0,15.0,3,32743694.0856,8,1,4,65,3,80,,,
0.0,7.5,-5.0,15.0,4,32743694.2945,8,1,4,65,3,20,,,
0.0,7.5,-5.0,15.0,5,32743694.6345,8,1,4,65,3,40,,,
0.0,10.0,-2.5,15.0,1,7036368.1662,8,4,4,,,,32,5,5
0.0,10.0,-2.5,15.0,2,7036368.2471,8,4,4,,,,32,5,12
0.0,10.0,-2.5,15.0,3,7036370.0316,8,4,4,,,,32,5,20
0.0,10.0,-2.5,15.0,4,7036370.926,8,4,4,,,,32,5,29
0.0,10.0,-2.5,15.0,5,7036372.3101,8,4,4,,,,32,5,35
0.0,-2.5,0.0,15.0,1,939093795.93,104,5,57,,,,25,5,15
0.0,-2.5,0.0,15.0,2,939094712.724,104,5,57,,,,18,5,15
0.0,-2.5,0.0,15.0,3,939094778.786,104,5,57,,,,22,5,15
0.0,-2.5,0.0,15.0,4,939093647.732,104,5,197,4,3,124,,,
0.0,-2.5,0.0,15.0,5,939093671.573,104,5,197,4,3,119,,,
0.0,7.5,0.0,15.0,1,1150743.3661,8,1,4,,,,37,5,16
0.0,7.5,0.0,15.0,2,1150752.3577,8,1,4,,,,37,5,5
0.0,7.5,0.0,15.0,3,1150757.3108,8,1,4,,,,37,5,20
0.0,7.5,0.0,15.0,4,1150757.7051,8,1,4,,,,37,5,34
0.0,7.5,0.0,15.0,5,1150758.1888,8,1,4,,,,37,5,29
0.0,10.0,0.0,15.0,1,208423.0527,8,4,4,,,,29,5,5
0.0,10.0,0.0,15.0,2,208424.196,8,4,4,,,,29,5,12
0.0,10.0,0.0,15.0,3,208424.7491,8,4,4,,,,29,5,35
0.0,10.0,0.0,15.0,4,208426.8681,8,4,4,,,,29,5,20
0.0,10.0,0.0,15.0,5,208428.1615,8,4,4,,,,29,5,21
0.0,-5.0,2.5,15.0,1,5739821196.91,133,1,124,51,3,26,,,
0.0,-5.0,2.5,15.0,2,5739821232.09,133,1,8,5,3,3,,,
0.0,-5.0,2.5,15.0,3,5739821245.05,133,4,39,1,3,3,,,
0.0,-5.0,2.5,15.0,4,5739821196.93,133,4,129,5,3,3,,,
0.0,-5.0,2.5,15.0,5,5739821249.28,133,4,57,5,3,3,,,
0.0,2.5,2.5,15.0,1,271018589.699,58,5,6,58,4,51,,,
0.0,2.5,2.5,15.0,2,271018610.912,58,5,3,58,4,51,,,
0.0,2.5,2.5,15.0,3,271018615.888,58,5,1,58,4,51,,,
0.0,2.5,2.5,15.0,4,271018954.77,58,5,24,58,4,51,,,
0.0,2.5,2.5,15.0,5,271020730.414,58,5,219,58,4,51,,,
0.0,5.0,2.5,15.0,1,761177089.968,135,5,9,,,,31,5,36
0.0,5.0,2.5,15.0,2,761177114.205,135,4,4,,,,31,5,36
0.0,5.0,2.5,15.0,3,761177115.503,135,4,5,,,,31,5,36
0.0,5.0,2.5,15.0,4,761177115.979,135,4,1,,,,31,5,36
0.0,5.0,2.5,15.0,5,761177148.084,135,4,4,,,,31,5,12
0.0,10.0,2.5,15.0,1,2861.8772,8,4,4,,,,37,5,16
0.0,10.0,2.5,15.0,2,2863.5454,8,4,4,,,,37,5,20
0.0,10.0,2.5,15.0,3,2864.6318,8,4,4,,,,37,5,34
0.0,10.0,2.5,15.0,4,2866.7785,8,4,4,,,,37,5,21
0.0,10.0,2.5,15.0,5,2870.5199,8,4,4,,,,37,5,29
0.0,2.5,5.0,15.0,1,506247980.019,60,1,12,14,3,38,,,
0.0,2.5,5.0,15.0,2,506247998.172,60,1,3,14,3,38,,,
0.0,2.5,5.0,15.0,3,506248009.963,60,1,1,14,3,38,,,
0.0,2.5,5.0,15.0,4,506248042.884,60,1,21,14,3,38,,,
0.0,2.5,5.0,15.0,5,506248488.561,60,1,92,14,3,38,,,
0.0,5.0,5.0,15.0,1,16834612.1477,110,5,4,,,,36,5,12
0.0,5.0,5.0,15.0,2,16834614.0374,110,5,2,,,,36,5,12
0.0,5.0,5.0,15.0,3,16834617.1594,110,5,1,,,,36,5,12
0.0,5.0,5.0,15.0,4,16834617.1982,110,5,5,,,,36,5,12
0.0,5.0,5.0,15.0,5,16834622.6221,110,5,4,,,,36,5,35
0.0,7.5,5.0,15.0,1,24810.3567,8,4,1,60,3,10,,,
0.0,7.5,5.0,15.0,2,24811.5387,8,4,4,60,3,10,,,
0.0,7.5,5.0,15.0,3,24814.2669,8,4,4,60,3,96,,,
0.0,7.5,5.0,15.0,4,24813.0849,8,4,1,60,3,96,,,
0.0,7.5,5.0,15.0,5,24817.0299,8,4,1,60,3,36,,,
0.0,10.0,5.0,15.0,1,6369567.5116,52,3,1,60,3,7,,,
0.0,10.0,5.0,15.0,2,6369568.8944,47,3,1,60,3,7,,,
0.0,10.0,5.0,15.0,3,6369638.7025,52,3,1,60,3,4,,,
0.0,10.0,5.0,15.0,4,6369640.0853,47,3,1,60,3,4,,,
0.0,10.0,5.0,15.0,5,6369732.7901,52,3,1,60,3,82,,,
