START	bench_3etb	on 2017 May 15 at 10:32:43
DISK_USAGE	initial	640
SUB_TIME	NAMD relaxation of molecule /gpfs/work/m/mfa5147/OptMAVEn2.0/experiments/bench_3etb/structures/MoleculeA.pdb	337.553416014
SUB_TIME	Mounting antigen A	0.326995849609
DISK_USAGE	after_antigen_initialization	1200
SUB_TIME	culling_clashes	9.9346511364
DISK_USAGE	after_culling_clashes	1984
DISK_USAGE	beginning_MAPs_energy_calculations	136904
TIME	antigen_relaxation_and_positioning	365.36
TIME	interaction_energies_for_MAPs_part_LJ_7	95.12
TIME	interaction_energies_for_MAPs_part_LV_9	127.98
TIME	interaction_energies_for_MAPs_part_LV_8	127.62
TIME	interaction_energies_for_MAPs_part_KCDR3_18	95.23
TIME	interaction_energies_for_MAPs_part_LV_5	128.84
TIME	interaction_energies_for_MAPs_part_KCDR3_188	96.34
TIME	interaction_energies_for_MAPs_part_KCDR3_189	96.34
TIME	interaction_energies_for_MAPs_part_KCDR3_194	97.47
TIME	interaction_energies_for_MAPs_part_KCDR3_16	93.75
TIME	interaction_energies_for_MAPs_part_KCDR3_166	93.89
TIME	interaction_energies_for_MAPs_part_KCDR3_168	93.94
TIME	interaction_energies_for_MAPs_part_KCDR3_169	94.14
TIME	interaction_energies_for_MAPs_part_KCDR3_167	94.21
TIME	interaction_energies_for_MAPs_part_KCDR3_192	97.07
TIME	interaction_energies_for_MAPs_part_KCDR3_193	97.21
TIME	interaction_energies_for_MAPs_part_KCDR3_191	97.15
TIME	interaction_energies_for_MAPs_part_KCDR3_190	97.2
TIME	interaction_energies_for_MAPs_part_KCDR3_181	96.43
TIME	interaction_energies_for_MAPs_part_KCDR3_180	96.53
TIME	interaction_energies_for_MAPs_part_KCDR3_182	96.77
TIME	interaction_energies_for_MAPs_part_KCDR3_184	97.17
TIME	interaction_energies_for_MAPs_part_KCDR3_187	97.19
TIME	interaction_energies_for_MAPs_part_KCDR3_183	97.45
TIME	interaction_energies_for_MAPs_part_KCDR3_186	97.53
TIME	interaction_energies_for_MAPs_part_KCDR3_185	97.53
TIME	interaction_energies_for_MAPs_part_KCDR3_17	97.22
TIME	interaction_energies_for_MAPs_part_KCDR3_174	96.67
TIME	interaction_energies_for_MAPs_part_KCDR3_172	96.76
TIME	interaction_energies_for_MAPs_part_KCDR3_173	96.63
TIME	interaction_energies_for_MAPs_part_KCDR3_176	97.75
TIME	interaction_energies_for_MAPs_part_KCDR3_177	98.11
TIME	interaction_energies_for_MAPs_part_KCDR3_178	98.17
TIME	interaction_energies_for_MAPs_part_KCDR3_175	97.78
TIME	interaction_energies_for_MAPs_part_KCDR3_179	98.18
TIME	interaction_energies_for_MAPs_part_KCDR3_170	97.45
