zRot,x,y,z,cut,energy,HV,HJ,HCDR3,KV,KJ,KCDR3,LV,LJ,LCDR3
0.0,2.5,5.0,6.25,1,297339653.885,102,5,31,7,1,96,,,
0.0,2.5,5.0,6.25,2,297339654.2,102,5,32,7,1,96,,,
0.0,2.5,5.0,6.25,3,297339663.709,46,5,31,7,1,96,,,
0.0,2.5,5.0,6.25,4,297339664.024,46,5,32,7,1,96,,,
0.0,2.5,5.0,6.25,5,297339658.466,80,5,31,7,3,96,,,
0.0,5.0,-7.5,7.5,1,325679.512,8,1,3,51,3,46,,,
0.0,5.0,-7.5,7.5,2,325679.5652,8,1,3,51,3,14,,,
0.0,5.0,-7.5,7.5,3,325679.5722,8,1,3,51,3,145,,,
0.0,5.0,-7.5,7.5,4,325679.6985,8,1,3,51,3,7,,,
0.0,5.0,-7.5,7.5,5,325679.8453,8,1,3,51,3,4,,,
0.0,0.0,5.0,7.5,1,59884121.6823,41,5,243,65,3,50,,,
0.0,0.0,5.0,7.5,2,59884123.274,80,5,243,65,3,50,,,
0.0,0.0,5.0,7.5,3,59884123.5173,79,5,243,65,3,50,,,
0.0,0.0,5.0,7.5,4,59884124.6656,44,5,243,65,3,50,,,
0.0,0.0,5.0,7.5,5,59884138.7411,43,5,243,65,3,50,,,
0.0,2.5,5.0,7.5,1,29821671.3931,19,4,32,7,4,6,,,
0.0,2.5,5.0,7.5,2,29821672.4232,105,5,32,7,4,6,,,
0.0,2.5,5.0,7.5,3,29821680.4174,17,3,32,7,1,6,,,
0.0,2.5,5.0,7.5,4,29821684.908,12,3,32,7,1,6,,,
0.0,2.5,5.0,7.5,5,29821675.9053,41,3,32,7,3,6,,,
0.0,7.5,-10.0,8.75,1,3389.008,92,5,428,65,5,170,,,
0.0,7.5,-10.0,8.75,2,3389.0157,92,5,428,65,5,199,,,
0.0,7.5,-10.0,8.75,3,3389.0731,92,5,428,65,5,162,,,
0.0,7.5,-10.0,8.75,4,3389.0544,92,5,428,65,3,149,,,
0.0,7.5,-10.0,8.75,5,3389.7357,108,1,428,65,5,87,,,
0.0,2.5,-7.5,8.75,1,5917665.3606,8,1,69,35,3,7,,,
0.0,2.5,-7.5,8.75,2,5917666.0591,8,1,69,35,3,175,,,
0.0,2.5,-7.5,8.75,3,5917666.2313,8,1,69,35,3,174,,,
0.0,2.5,-7.5,8.75,4,5917666.2638,8,1,69,35,3,173,,,
0.0,2.5,-7.5,8.75,5,5917666.4378,8,1,69,35,3,172,,,
0.0,5.0,-7.5,8.75,1,62356.061,109,5,39,1,3,138,,,
0.0,5.0,-7.5,8.75,2,62357.1274,109,5,39,1,3,46,,,
0.0,5.0,-7.5,8.75,3,62357.499,109,5,39,1,3,36,,,
0.0,5.0,-7.5,8.75,4,62357.5193,109,5,39,1,3,38,,,
0.0,5.0,-7.5,8.75,5,62359.502,135,5,39,1,3,113,,,
0.0,7.5,-7.5,8.75,1,1341.7498,52,1,1,54,3,4,,,
0.0,7.5,-7.5,8.75,2,1341.7649,52,1,1,54,3,46,,,
0.0,7.5,-7.5,8.75,3,1341.775,52,1,1,54,3,5,,,
0.0,7.5,-7.5,8.75,4,1341.8831,52,1,1,54,3,10,,,
0.0,7.5,-7.5,8.75,5,1341.8907,55,1,1,54,3,4,,,
0.0,0.0,-5.0,8.75,1,26158228.8921,8,5,21,58,3,6,,,
0.0,0.0,-5.0,8.75,2,26158229.0781,8,5,21,60,3,6,,,
0.0,0.0,-5.0,8.75,3,26158235.7976,8,5,21,58,3,46,,,
0.0,0.0,-5.0,8.75,4,26158235.8871,8,5,21,58,3,7,,,
0.0,0.0,-5.0,8.75,5,26158237.5251,8,5,21,58,3,77,,,
0.0,0.0,5.0,8.75,1,971082.2445,56,5,133,7,4,91,,,
0.0,0.0,5.0,8.75,2,971082.6745,57,5,133,7,4,91,,,
0.0,0.0,5.0,8.75,3,971083.2133,54,5,133,7,4,91,,,
0.0,0.0,5.0,8.75,4,971083.3041,49,5,133,7,4,91,,,
0.0,0.0,5.0,8.75,5,971083.3117,50,5,133,7,4,91,,,
0.0,2.5,5.0,8.75,1,435403.7653,111,2,413,,,,2,6,14
0.0,2.5,5.0,8.75,2,435403.7822,114,2,413,,,,2,6,14
0.0,2.5,5.0,8.75,3,435413.8694,111,2,65,,,,2,6,14
0.0,2.5,5.0,8.75,4,435413.8863,114,2,65,,,,2,6,14
0.0,2.5,5.0,8.75,5,435415.2689,111,2,3,,,,2,6,14
0.0,2.5,-10.0,10.0,1,43789.3272,99,5,8,43,3,129,,,
0.0,2.5,-10.0,10.0,2,43789.5406,99,5,8,43,3,162,,,
0.0,2.5,-10.0,10.0,3,43789.6175,99,5,8,43,3,149,,,
0.0,2.5,-10.0,10.0,4,43790.0669,99,5,8,6,3,27,,,
0.0,2.5,-10.0,10.0,5,43790.1254,99,5,8,6,3,162,,,
0.0,5.0,-10.0,10.0,1,1475.2691,108,1,7,66,5,80,,,
0.0,5.0,-10.0,10.0,2,1475.3777,108,1,7,66,5,10,,,
0.0,5.0,-10.0,10.0,3,1475.3809,108,1,7,66,5,145,,,
0.0,5.0,-10.0,10.0,4,1475.4136,108,1,7,66,5,98,,,
0.0,5.0,-10.0,10.0,5,1475.4277,108,1,7,66,5,126,,,
0.0,7.5,-10.0,10.0,1,622.1873,108,1,255,54,2,7,,,
0.0,7.5,-10.0,10.0,2,622.2042,108,1,255,54,5,77,,,
0.0,7.5,-10.0,10.0,3,622.2209,108,1,255,54,5,123,,,
0.0,7.5,-10.0,10.0,4,622.2326,108,1,255,54,5,122,,,
0.0,7.5,-10.0,10.0,5,622.2495,108,1,255,54,5,175,,,
0.0,2.5,-7.5,10.0,1,7373603.0604,108,1,142,52,5,113,,,
0.0,2.5,-7.5,10.0,2,7373603.0645,108,1,142,51,5,113,,,
0.0,2.5,-7.5,10.0,3,7373603.2075,108,1,142,64,5,113,,,
0.0,2.5,-7.5,10.0,4,7373608.7574,108,1,142,52,5,78,,,
0.0,2.5,-7.5,10.0,5,7373608.7615,108,1,142,51,5,78,,,
0.0,5.0,-7.5,10.0,1,9951.2166,108,4,39,1,2,113,,,
0.0,5.0,-7.5,10.0,2,9951.4197,108,4,39,1,2,3,,,
0.0,5.0,-7.5,10.0,3,9951.658,109,5,39,1,2,138,,,
0.0,5.0,-7.5,10.0,4,9952.0174,123,5,39,1,2,113,,,
0.0,5.0,-7.5,10.0,5,9952.1436,108,4,39,1,2,32,,,
0.0,7.5,-7.5,10.0,1,5281.2238,31,2,1,51,3,61,,,
0.0,7.5,-7.5,10.0,2,5281.3128,32,1,1,51,3,27,,,
0.0,7.5,-7.5,10.0,3,5281.3245,31,2,1,51,3,126,,,
0.0,7.5,-7.5,10.0,4,5281.3477,32,1,1,51,3,126,,,
0.0,7.5,-7.5,10.0,5,5281.4143,32,1,1,51,3,25,,,
0.0,10.0,-7.5,10.0,1,132.7301,104,5,28,54,5,138,,,
0.0,10.0,-7.5,10.0,2,132.8699,79,1,28,54,3,191,,,
0.0,10.0,-7.5,10.0,3,132.883,138,1,28,54,5,110,,,
0.0,10.0,-7.5,10.0,4,132.9598,107,1,28,54,5,14,,,
0.0,10.0,-7.5,10.0,5,132.9682,79,1,28,54,3,14,,,
0.0,0.0,-5.0,10.0,1,41603.5115,8,5,4,6,3,6,,,
0.0,0.0,-5.0,10.0,2,41603.9029,8,1,4,35,3,6,,,
0.0,0.0,-5.0,10.0,3,41607.5143,8,5,4,6,3,2,,,
0.0,0.0,-5.0,10.0,4,41607.9057,8,1,4,35,3,2,,,
0.0,0.0,-5.0,10.0,5,41610.1786,8,5,4,6,3,7,,,
0.0,2.5,-5.0,10.0,1,1904392.7396,8,5,4,56,3,6,,,
0.0,2.5,-5.0,10.0,2,1904394.5595,8,5,4,56,3,7,,,
0.0,2.5,-5.0,10.0,3,1904394.6032,8,5,4,56,3,46,,,
0.0,2.5,-5.0,10.0,4,1904394.7946,8,5,4,56,3,77,,,
0.0,2.5,-5.0,10.0,5,1904395.8282,8,5,4,56,3,38,,,
0.0,5.0,-5.0,10.0,1,804056.439,19,1,1,58,4,113,,,
0.0,5.0,-5.0,10.0,2,804056.5218,123,5,1,,,,33,5,8
0.0,5.0,-5.0,10.0,3,804059.0547,108,1,1,56,5,113,,,
0.0,5.0,-5.0,10.0,4,804059.1742,17,5,1,,,,33,5,8
0.0,5.0,-5.0,10.0,5,804059.4843,108,1,1,63,5,113,,,
0.0,7.5,-5.0,10.0,1,177.8855,103,1,4,56,3,145,,,
0.0,7.5,-5.0,10.0,2,177.9218,110,5,4,56,3,145,,,
0.0,7.5,-5.0,10.0,3,178.4228,103,1,4,56,3,62,,,
0.0,7.5,-5.0,10.0,4,178.4591,110,5,4,56,3,62,,,
0.0,7.5,-5.0,10.0,5,178.504,103,1,4,56,3,159,,,
0.0,5.0,-2.5,10.0,1,4094776.833,60,5,81,5,4,115,,,
0.0,5.0,-2.5,10.0,2,4094776.8663,59,5,81,5,4,115,,,
0.0,5.0,-2.5,10.0,3,4094777.0909,82,5,81,5,4,115,,,
0.0,5.0,-2.5,10.0,4,4094789.1991,60,5,81,5,4,130,,,
0.0,5.0,-2.5,10.0,5,4094789.7748,60,5,81,5,4,38,,,
0.0,0.0,0.0,10.0,1,68.6844,17,5,4,6,1,37,,,
