START	bench_3qg6	on 2017 May 12 at 23:38:34
SUB_TIME	NAMD relaxation of molecule /gpfs/work/m/mfa5147/OptMAVEn2.0/experiments/bench_3qg6/structures/MoleculeA.pdb	4.36368083954
SUB_TIME	Mounting antigen A	0.313363790512
SUB_TIME	culling_clashes	6.54557991028
TIME	antigen_relaxation_and_positioning	28.98
TIME	interaction_energies_for_MAPs_part_LV_9	184.8
TIME	interaction_energies_for_MAPs_part_LV_7	179.82
TIME	interaction_energies_for_MAPs_part_LV_8	186.25
TIME	interaction_energies_for_MAPs_part_LV_5	186.51
TIME	interaction_energies_for_MAPs_part_LV_4	192.99
TIME	interaction_energies_for_MAPs_part_LV_3	187.3
TIME	interaction_energies_for_MAPs_part_LV_34	189.51
TIME	interaction_energies_for_MAPs_part_LV_38	190.97
TIME	interaction_energies_for_MAPs_part_LV_36	186.22
TIME	interaction_energies_for_MAPs_part_LV_35	191.21
TIME	interaction_energies_for_MAPs_part_LV_33	192.38
TIME	interaction_energies_for_MAPs_part_LV_30	193.84
TIME	interaction_energies_for_MAPs_part_LV_28	185.7
TIME	interaction_energies_for_MAPs_part_LV_29	186.2
TIME	interaction_energies_for_MAPs_part_LV_37	185.86
TIME	interaction_energies_for_MAPs_part_LV_26	188.58
TIME	interaction_energies_for_MAPs_part_LV_27	189.21
TIME	interaction_energies_for_MAPs_part_LV_25	183.12
TIME	interaction_energies_for_MAPs_part_LV_22	182.98
TIME	interaction_energies_for_MAPs_part_LV_23	186.99
TIME	interaction_energies_for_MAPs_part_LV_19	185.56
TIME	interaction_energies_for_MAPs_part_LV_21	186.44
TIME	interaction_energies_for_MAPs_part_LV_20	188.36
TIME	interaction_energies_for_MAPs_part_LV_31	183.42
TIME	interaction_energies_for_MAPs_part_LJ_7	78.75
TIME	interaction_energies_for_MAPs_part_LJ_6	82.42
TIME	interaction_energies_for_MAPs_part_LJ_5	81.55
TIME	interaction_energies_for_MAPs_part_LV_2	187.52
TIME	interaction_energies_for_MAPs_part_LV_18	178.44
TIME	interaction_energies_for_MAPs_part_LV_17	181.22
TIME	interaction_energies_for_MAPs_part_LV_16	184.94
TIME	interaction_energies_for_MAPs_part_LV_15	185.93
