zRot: 0.0, x: -2.5, y: 5.0, z: 12.5, cut: 1, energy: -143.43510437, HV: HV_135, HJ: HJ_1, HCDR3: HCDR3_400, LV: KV_2, LJ: KJ_4, LCDR3: KCDR3_1, cluster: 4, assembly: 22, Pre-Relaxed: -144.1807, Relaxed: -190.7106
zRot: 0.0, x: -2.5, y: 5.0, z: 12.5, cut: 2, energy: -143.26159668, HV: HV_137, HJ: HJ_1, HCDR3: HCDR3_400, LV: KV_2, LJ: KJ_4, LCDR3: KCDR3_1, cluster: 4, assembly: 23, Pre-Relaxed: -144.0072, Relaxed: nan
zRot: 0.0, x: -2.5, y: 5.0, z: 12.5, cut: 3, energy: -142.07359314, HV: HV_12, HJ: HJ_3, HCDR3: HCDR3_400, LV: KV_2, LJ: KJ_4, LCDR3: KCDR3_1, cluster: 4, assembly: 24, Pre-Relaxed: -142.8192, Relaxed: nan
zRot: 0.0, x: -2.5, y: 5.0, z: 12.5, cut: 4, energy: -134.037704468, HV: HV_138, HJ: HJ_1, HCDR3: HCDR3_400, LV: KV_2, LJ: KJ_4, LCDR3: KCDR3_1, cluster: 2, assembly: 8, Pre-Relaxed: -134.7833, Relaxed: nan
zRot: 240.0, x: -5.0, y: 2.5, z: 15.0, cut: 1, energy: -127.421203613, HV: HV_137, HJ: HJ_1, HCDR3: HCDR3_393, LV: KV_44, LJ: KJ_4, LCDR3: KCDR3_82, cluster: 7, assembly: 43, Pre-Relaxed: -127.4723, Relaxed: nan
zRot: 240.0, x: -5.0, y: 2.5, z: 15.0, cut: 2, energy: -126.913398743, HV: HV_137, HJ: HJ_1, HCDR3: HCDR3_393, LV: KV_44, LJ: KJ_4, LCDR3: KCDR3_6, cluster: 7, assembly: 44, Pre-Relaxed: -126.9648, Relaxed: nan
zRot: 240.0, x: -5.0, y: 2.5, z: 15.0, cut: 3, energy: -125.767700195, HV: HV_135, HJ: HJ_1, HCDR3: HCDR3_393, LV: KV_44, LJ: KJ_4, LCDR3: KCDR3_82, cluster: 7, assembly: 45, Pre-Relaxed: -125.8191, Relaxed: nan
zRot: 0.0, x: -2.5, y: 5.0, z: 12.5, cut: 5, energy: -124.301300049, HV: HV_41, HJ: HJ_1, HCDR3: HCDR3_400, LV: KV_2, LJ: KJ_4, LCDR3: KCDR3_1, cluster: 3, assembly: 15, Pre-Relaxed: -125.421, Relaxed: nan
zRot: 240.0, x: -5.0, y: 2.5, z: 15.0, cut: 4, energy: -125.259902954, HV: HV_135, HJ: HJ_4, HCDR3: HCDR3_393, LV: KV_44, LJ: KJ_4, LCDR3: KCDR3_6, cluster: 7, assembly: 46, Pre-Relaxed: -125.3116, Relaxed: nan
zRot: 300.0, x: -5.0, y: 0.0, z: 15.0, cut: 1, energy: -124.461898804, HV: HV_79, HJ: HJ_1, HCDR3: HCDR3_384, LV: KV_53, LJ: KJ_3, LCDR3: KCDR3_114, cluster: 6, assembly: 36, Pre-Relaxed: -124.4636, Relaxed: nan
zRot: 300.0, x: -5.0, y: 0.0, z: 15.0, cut: 2, energy: -124.188102722, HV: HV_41, HJ: HJ_1, HCDR3: HCDR3_393, LV: KV_19, LJ: KJ_3, LCDR3: KCDR3_114, cluster: 3, assembly: 16, Pre-Relaxed: -124.1656, Relaxed: nan
zRot: 300.0, x: -5.0, y: 0.0, z: 15.0, cut: 3, energy: -124.036102295, HV: HV_41, HJ: HJ_3, HCDR3: HCDR3_393, LV: KV_53, LJ: KJ_3, LCDR3: KCDR3_114, cluster: 6, assembly: 37, Pre-Relaxed: -124.0137, Relaxed: nan
zRot: 240.0, x: -5.0, y: 2.5, z: 15.0, cut: 5, energy: -123.458099365, HV: HV_137, HJ: HJ_1, HCDR3: HCDR3_393, LV: KV_44, LJ: KJ_4, LCDR3: KCDR3_70, cluster: 7, assembly: 47, Pre-Relaxed: -123.5092, Relaxed: nan
zRot: 300.0, x: -5.0, y: 0.0, z: 15.0, cut: 5, energy: -123.301902771, HV: HV_79, HJ: HJ_1, HCDR3: HCDR3_384, LV: KV_65, LJ: KJ_3, LCDR3: KCDR3_114, cluster: 6, assembly: 38, Pre-Relaxed: -123.3037, Relaxed: nan
zRot: 300.0, x: -5.0, y: 0.0, z: 15.0, cut: 4, energy: -123.32409668, HV: HV_41, HJ: HJ_3, HCDR3: HCDR3_393, LV: KV_8, LJ: KJ_3, LCDR3: KCDR3_113, cluster: 3, assembly: 17, Pre-Relaxed: -123.3013, Relaxed: nan
zRot: 300.0, x: -5.0, y: 0.0, z: 16.25, cut: 1, energy: -119.990097046, HV: HV_79, HJ: HJ_1, HCDR3: HCDR3_384, LV: KV_5, LJ: KJ_3, LCDR3: KCDR3_187, cluster: 3, assembly: 18, Pre-Relaxed: -119.9633, Relaxed: nan
