zRot,x,y,z,cut,energy,HV,HJ,HCDR3,KV,KJ,KCDR3,LV,LJ,LCDR3
0.0,10.0,-7.5,12.5,1,1308044.3958,93,4,56,5,3,130,,,
0.0,10.0,-7.5,12.5,2,1308044.4537,93,4,56,5,3,128,,,
0.0,10.0,-7.5,12.5,3,1308044.5038,93,4,56,5,3,119,,,
0.0,10.0,-7.5,12.5,4,1308044.5496,93,4,56,5,3,79,,,
0.0,10.0,-7.5,12.5,5,1308044.6631,93,4,56,5,3,95,,,
0.0,-5.0,0.0,12.5,1,1168843957.79,17,3,24,17,2,81,,,
0.0,-5.0,0.0,12.5,2,1168843961.93,17,3,24,17,2,51,,,
0.0,-5.0,0.0,12.5,3,1168843962.52,17,3,24,17,3,72,,,
0.0,-5.0,0.0,12.5,4,1168843966.44,17,3,24,17,2,71,,,
0.0,-5.0,0.0,12.5,5,1168843966.47,17,3,24,17,2,84,,,
0.0,7.5,-10.0,13.75,1,10102006.4392,12,3,200,44,4,143,,,
0.0,7.5,-10.0,13.75,2,10102006.5246,12,3,200,44,4,113,,,
0.0,7.5,-10.0,13.75,3,10102006.699,12,3,200,44,4,142,,,
0.0,7.5,-10.0,13.75,4,10102006.7097,12,3,200,44,4,139,,,
0.0,7.5,-10.0,13.75,5,10102006.7191,12,3,200,44,4,158,,,
0.0,10.0,-10.0,13.75,1,3000890.4242,92,5,251,44,4,149,,,
0.0,10.0,-10.0,13.75,2,3000890.4253,92,5,251,44,4,170,,,
0.0,10.0,-10.0,13.75,3,3000890.5046,92,5,251,44,4,162,,,
0.0,10.0,-10.0,13.75,4,3000894.6529,92,5,302,44,4,149,,,
0.0,10.0,-10.0,13.75,5,3000894.654,92,5,302,44,4,170,,,
0.0,10.0,-7.5,13.75,1,65670.3078,108,4,289,10,3,57,,,
0.0,10.0,-7.5,13.75,2,65670.3816,108,4,289,10,3,120,,,
0.0,10.0,-7.5,13.75,3,65670.389,108,4,289,10,3,152,,,
0.0,10.0,-7.5,13.75,4,65670.4292,108,4,289,10,3,143,,,
0.0,10.0,-7.5,13.75,5,65670.4307,108,4,289,10,3,135,,,
0.0,-5.0,0.0,13.75,1,1161507741.84,4,5,7,15,3,17,,,
0.0,-5.0,0.0,13.75,2,1181488513.5,4,5,56,60,3,135,,,
0.0,-5.0,0.0,13.75,3,1181491841.18,4,5,56,5,2,135,,,
0.0,-5.0,0.0,13.75,4,1181492005.44,4,5,56,4,2,135,,,
0.0,-5.0,0.0,13.75,5,1306478958.59,6,5,7,15,3,17,,,
0.0,-5.0,2.5,13.75,1,12673015.911,86,4,13,65,3,199,,,
0.0,-5.0,2.5,13.75,2,12673022.9591,86,4,13,53,1,199,,,
0.0,-5.0,2.5,13.75,3,12673289.6079,86,4,13,32,1,199,,,
0.0,-5.0,2.5,13.75,4,12673495.1657,86,4,13,33,1,199,,,
0.0,-5.0,2.5,13.75,5,12673510.5787,86,4,13,61,1,199,,,
0.0,-2.5,2.5,13.75,1,265603908.43,84,1,21,61,3,199,,,
0.0,-2.5,2.5,13.75,2,265623306.6,84,1,4,65,3,199,,,
0.0,-2.5,2.5,13.75,3,265623634.99,84,1,4,53,3,199,,,
0.0,-2.5,2.5,13.75,4,265630179.388,84,1,4,61,3,199,,,
0.0,-2.5,2.5,13.75,5,265670970.844,84,1,21,60,3,199,,,
0.0,5.0,-10.0,15.0,1,71765814.5378,103,1,253,44,4,143,,,
0.0,5.0,-10.0,15.0,2,71765814.7363,103,1,253,44,4,113,,,
0.0,5.0,-10.0,15.0,3,71765814.7827,103,1,253,44,4,152,,,
0.0,5.0,-10.0,15.0,4,71765814.8016,103,1,253,44,4,153,,,
0.0,5.0,-10.0,15.0,5,71765814.8243,103,1,253,44,4,158,,,
0.0,7.5,-10.0,15.0,1,91683.1603,127,2,251,44,4,149,,,
0.0,7.5,-10.0,15.0,2,91683.2196,127,2,251,44,4,162,,,
0.0,7.5,-10.0,15.0,3,91693.2527,127,2,251,40,4,149,,,
0.0,7.5,-10.0,15.0,4,91693.312,127,2,251,40,4,162,,,
0.0,7.5,-10.0,15.0,5,91692.9025,127,2,248,64,3,199,,,
0.0,10.0,-10.0,15.0,1,21171.6137,93,4,248,14,3,17,,,
0.0,10.0,-10.0,15.0,2,21171.6542,93,4,248,14,3,109,,,
0.0,10.0,-10.0,15.0,3,21171.6561,93,4,248,14,3,79,,,
0.0,10.0,-10.0,15.0,4,21171.6601,93,4,248,14,3,119,,,
0.0,10.0,-10.0,15.0,5,21171.6614,93,4,248,14,3,38,,,
0.0,7.5,-7.5,15.0,1,7343645.5829,119,1,111,6,3,168,,,
0.0,7.5,-7.5,15.0,2,7343645.6045,119,1,111,6,3,152,,,
0.0,7.5,-7.5,15.0,3,7343645.709,119,1,111,6,3,143,,,
0.0,7.5,-7.5,15.0,4,7343645.7255,119,1,111,6,3,106,,,
0.0,7.5,-7.5,15.0,5,7343645.7849,119,1,111,6,3,158,,,
0.0,10.0,-7.5,15.0,1,52791.3908,108,1,24,44,4,152,,,
0.0,10.0,-7.5,15.0,2,52791.4677,108,1,24,44,4,80,,,
