START	bench_5ire	on 2017 May 26 at 17:25:45
DISK_USAGE	initial	1040
SUB_TIME	NAMD relaxation of molecule /gpfs/work/m/mfa5147/OptMAVEn2.0/experiments/bench_5ire/structures/MoleculeA.pdb	1213.91549683
SUB_TIME	Mounting antigen A	0.69332909584
DISK_USAGE	after_antigen_initialization	4248
SUB_TIME	culling_clashes	11.8845319748
DISK_USAGE	after_culling_clashes	5208
DISK_USAGE	beginning_MAPs_energy_calculations	32840
TIME	antigen_relaxation_and_positioning	1250.32
TIME	interaction_energies_for_MAPs_part_LV_9	380.38
TIME	interaction_energies_for_MAPs_part_LV_8	380.96
TIME	interaction_energies_for_MAPs_part_LV_7	371.26
TIME	interaction_energies_for_MAPs_part_LV_5	384.08
TIME	interaction_energies_for_MAPs_part_LV_4	383.04
TIME	interaction_energies_for_MAPs_part_LV_3	388.29
TIME	interaction_energies_for_MAPs_part_LV_38	372.6
TIME	interaction_energies_for_MAPs_part_LV_37	380.47
TIME	interaction_energies_for_MAPs_part_LV_36	373.0
TIME	interaction_energies_for_MAPs_part_LV_35	382.36
TIME	interaction_energies_for_MAPs_part_LV_34	382.28
TIME	interaction_energies_for_MAPs_part_LV_32	383.09
TIME	interaction_energies_for_MAPs_part_LV_33	385.35
TIME	interaction_energies_for_MAPs_part_LV_31	386.56
TIME	interaction_energies_for_MAPs_part_LV_30	369.36
TIME	interaction_energies_for_MAPs_part_LV_2	381.99
TIME	interaction_energies_for_MAPs_part_LV_29	371.3
TIME	interaction_energies_for_MAPs_part_LV_28	382.17
TIME	interaction_energies_for_MAPs_part_LV_27	383.88
TIME	interaction_energies_for_MAPs_part_LV_25	382.59
TIME	interaction_energies_for_MAPs_part_LV_26	384.66
TIME	interaction_energies_for_MAPs_part_LV_23	369.42
TIME	interaction_energies_for_MAPs_part_LV_24	388.74
TIME	interaction_energies_for_MAPs_part_LV_22	375.82
TIME	interaction_energies_for_MAPs_part_LV_21	379.79
TIME	interaction_energies_for_MAPs_part_LV_20	379.16
TIME	interaction_energies_for_MAPs_part_LV_1	371.34
TIME	interaction_energies_for_MAPs_part_LV_18	380.22
TIME	interaction_energies_for_MAPs_part_LV_19	380.8
TIME	interaction_energies_for_MAPs_part_LV_17	382.55
TIME	interaction_energies_for_MAPs_part_LV_16	384.42
TIME	interaction_energies_for_MAPs_part_LV_15	370.25
TIME	interaction_energies_for_MAPs_part_LV_14	391.67
TIME	interaction_energies_for_MAPs_part_LV_13	376.31
TIME	interaction_energies_for_MAPs_part_LV_12	380.67
TIME	interaction_energies_for_MAPs_part_LJ_7	334.95
TIME	interaction_energies_for_MAPs_part_LV_11	384.47
TIME	interaction_energies_for_MAPs_part_LJ_5	337.58
TIME	interaction_energies_for_MAPs_part_LJ_6	342.69
TIME	interaction_energies_for_MAPs_part_LV_10	385.62
TIME	interaction_energies_for_MAPs_part_KCDR3_35	339.34
TIME	interaction_energies_for_MAPs_part_KCDR3_2	325.17
TIME	interaction_energies_for_MAPs_part_KCDR3_29	325.87
TIME	interaction_energies_for_MAPs_part_KCDR3_23	337.54
TIME	interaction_energies_for_MAPs_part_KCDR3_22	338.59
TIME	interaction_energies_for_MAPs_part_KCDR3_197	338.8
TIME	interaction_energies_for_MAPs_part_KCDR3_184	330.63
TIME	interaction_energies_for_MAPs_part_KCDR3_190	339.28
TIME	interaction_energies_for_MAPs_part_KCDR3_178	334.78
TIME	interaction_energies_for_MAPs_part_LJ_3	334.77
TIME	interaction_energies_for_MAPs_part_KCDR3_34	330.47
