zRot: 240.0, x: 10.0, y: 2.5, z: 16.25, cut: 1, energy: -143.962997437, HV: HV_135, HJ: HJ_5, HCDR3: HCDR3_62, LV: KV_64, LJ: KJ_3, LCDR3: KCDR3_11, cluster: 5, assembly: 33, Pre-Relaxed: -159.8435, Relaxed: nan
zRot: 240.0, x: 10.0, y: 2.5, z: 16.25, cut: 2, energy: -142.093399048, HV: HV_135, HJ: HJ_5, HCDR3: HCDR3_2, LV: KV_64, LJ: KJ_3, LCDR3: KCDR3_11, cluster: 5, assembly: 34, Pre-Relaxed: -157.9739, Relaxed: nan
zRot: 300.0, x: 7.5, y: -2.5, z: 16.25, cut: 1, energy: -146.998596191, HV: HV_114, HJ: HJ_2, HCDR3: HCDR3_62, LV: KV_61, LJ: KJ_3, LCDR3: KCDR3_117, cluster: 6, assembly: 41, Pre-Relaxed: -153.6157, Relaxed: nan
zRot: 240.0, x: 10.0, y: 2.5, z: 16.25, cut: 3, energy: -137.057006836, HV: HV_135, HJ: HJ_1, HCDR3: HCDR3_62, LV: KV_35, LJ: KJ_3, LCDR3: KCDR3_11, cluster: 5, assembly: 40, Pre-Relaxed: -152.9373, Relaxed: nan
zRot: 240.0, x: 7.5, y: 5.0, z: 16.25, cut: 1, energy: -138.783599854, HV: HV_123, HJ: HJ_5, HCDR3: HCDR3_62, LV: LV_28, LJ: LJ_5, LCDR3: LCDR3_21, cluster: 2, assembly: 9, Pre-Relaxed: -150.8706, Relaxed: nan
zRot: 240.0, x: 7.5, y: 5.0, z: 16.25, cut: 2, energy: -136.908096313, HV: HV_123, HJ: HJ_5, HCDR3: HCDR3_62, LV: KV_2, LJ: KJ_4, LCDR3: KCDR3_1, cluster: 6, assembly: 43, Pre-Relaxed: -148.9132, Relaxed: nan
zRot: 240.0, x: 7.5, y: 5.0, z: 16.25, cut: 3, energy: -135.291595459, HV: HV_123, HJ: HJ_5, HCDR3: HCDR3_62, LV: LV_29, LJ: LJ_5, LCDR3: LCDR3_21, cluster: 2, assembly: 10, Pre-Relaxed: -147.3786, Relaxed: nan
zRot: 120.0, x: 0.0, y: -7.5, z: 16.25, cut: 2, energy: -118.302902222, HV: HV_110, HJ: HJ_5, HCDR3: HCDR3_9, LV: KV_7, LJ: KJ_3, LCDR3: KCDR3_11, cluster: 2, assembly: 15, Pre-Relaxed: -144.9677, Relaxed: nan
zRot: 300.0, x: 7.5, y: -2.5, z: 16.25, cut: 2, energy: -136.976303101, HV: HV_114, HJ: HJ_2, HCDR3: HCDR3_62, LV: KV_61, LJ: KJ_3, LCDR3: KCDR3_128, cluster: 6, assembly: 42, Pre-Relaxed: -143.5934, Relaxed: nan
zRot: 300.0, x: 7.5, y: -2.5, z: 16.25, cut: 3, energy: -136.345001221, HV: HV_114, HJ: HJ_2, HCDR3: HCDR3_40, LV: KV_61, LJ: KJ_3, LCDR3: KCDR3_117, cluster: 6, assembly: 44, Pre-Relaxed: -142.9621, Relaxed: nan
zRot: 60.0, x: 10.0, y: -10.0, z: 13.75, cut: 1, energy: -139.421798706, HV: HV_17, HJ: HJ_5, HCDR3: HCDR3_420, LV: KV_58, LJ: KJ_3, LCDR3: KCDR3_80, cluster: 5, assembly: 35, Pre-Relaxed: -142.7463, Relaxed: nan
zRot: 60.0, x: 10.0, y: -10.0, z: 13.75, cut: 2, energy: -139.162002563, HV: HV_17, HJ: HJ_5, HCDR3: HCDR3_420, LV: KV_58, LJ: KJ_3, LCDR3: KCDR3_185, cluster: 5, assembly: 36, Pre-Relaxed: -142.4865, Relaxed: nan
zRot: 60.0, x: 10.0, y: -10.0, z: 13.75, cut: 3, energy: -139.0131073, HV: HV_17, HJ: HJ_5, HCDR3: HCDR3_420, LV: KV_58, LJ: KJ_3, LCDR3: KCDR3_101, cluster: 5, assembly: 37, Pre-Relaxed: -142.3377, Relaxed: nan
zRot: 60.0, x: 10.0, y: -10.0, z: 13.75, cut: 4, energy: -138.928497314, HV: HV_17, HJ: HJ_5, HCDR3: HCDR3_420, LV: KV_63, LJ: KJ_3, LCDR3: KCDR3_80, cluster: 5, assembly: 38, Pre-Relaxed: -142.253, Relaxed: nan
zRot: 60.0, x: 10.0, y: -10.0, z: 13.75, cut: 5, energy: -138.668701172, HV: HV_17, HJ: HJ_5, HCDR3: HCDR3_420, LV: KV_63, LJ: KJ_3, LCDR3: KCDR3_185, cluster: 5, assembly: 39, Pre-Relaxed: -141.9932, Relaxed: nan
zRot: 300.0, x: 7.5, y: -2.5, z: 16.25, cut: 4, energy: -133.923995972, HV: HV_114, HJ: HJ_2, HCDR3: HCDR3_62, LV: KV_53, LJ: KJ_3, LCDR3: KCDR3_117, cluster: 6, assembly: 45, Pre-Relaxed: -140.5416, Relaxed: nan
