zRot,x,y,z,cut,energy,HV,HJ,HCDR3,KV,KJ,KCDR3,LV,LJ,LCDR3
0.0,2.5,-5.0,11.25,1,16545.466,8,4,4,61,3,86,,,
0.0,2.5,-5.0,11.25,2,16548.5137,8,4,4,52,3,86,,,
0.0,2.5,-5.0,11.25,3,16548.6346,8,4,4,51,3,86,,,
0.0,2.5,-5.0,11.25,4,16548.9681,8,4,4,64,3,86,,,
0.0,2.5,-5.0,11.25,5,16550.3502,8,4,4,61,3,80,,,
0.0,0.0,5.0,11.25,1,39866.1029,114,2,65,,,,2,6,14
0.0,0.0,5.0,11.25,2,39866.3346,111,2,65,,,,2,6,14
0.0,0.0,5.0,11.25,3,39869.1639,114,2,2,,,,2,6,14
0.0,0.0,5.0,11.25,4,39869.2135,114,2,4,,,,2,6,14
0.0,0.0,5.0,11.25,5,39869.3956,111,2,2,,,,2,6,14
0.0,10.0,5.0,11.25,1,2628718381.44,58,5,60,58,4,7,,,
0.0,10.0,5.0,11.25,2,2628718381.62,58,5,61,58,4,7,,,
0.0,10.0,5.0,11.25,3,2628718381.76,58,5,3,58,4,7,,,
0.0,10.0,5.0,11.25,4,2628718382.48,58,5,49,58,4,7,,,
0.0,10.0,5.0,11.25,5,2628718382.83,58,5,51,58,4,7,,,
0.0,5.0,-7.5,12.5,1,-7.9894,8,4,4,61,3,80,,,
0.0,5.0,-7.5,12.5,2,-6.1713,8,4,4,61,3,86,,,
0.0,5.0,-7.5,12.5,3,-6.056,8,4,4,13,3,80,,,
0.0,5.0,-7.5,12.5,4,-5.8893,8,4,4,14,3,80,,,
0.0,5.0,-7.5,12.5,5,-5.4703,8,4,4,44,4,80,,,
0.0,2.5,-5.0,12.5,1,68.9283,8,4,4,61,3,80,,,
0.0,2.5,-5.0,12.5,2,69.8046,8,4,4,61,3,86,,,
0.0,2.5,-5.0,12.5,3,72.6552,8,4,4,59,3,80,,,
0.0,2.5,-5.0,12.5,4,72.9214,8,4,4,52,3,80,,,
0.0,2.5,-5.0,12.5,5,73.0098,8,4,4,51,3,80,,,
0.0,0.0,-2.5,12.5,1,461578.5982,50,3,1,35,4,86,,,
0.0,0.0,-2.5,12.5,2,461584.1039,50,3,1,35,4,17,,,
0.0,0.0,-2.5,12.5,3,461585.2469,50,3,1,35,4,62,,,
0.0,0.0,-2.5,12.5,4,461585.4316,50,3,1,35,4,87,,,
0.0,0.0,-2.5,12.5,5,461586.6664,50,3,1,35,4,101,,,
0.0,0.0,2.5,12.5,1,68.7711,41,5,49,6,3,23,,,
0.0,0.0,2.5,12.5,2,79.416,41,5,1,6,3,23,,,
0.0,0.0,2.5,12.5,3,79.9681,41,5,3,6,3,23,,,
0.0,0.0,2.5,12.5,4,82.5605,41,5,13,6,3,23,,,
0.0,0.0,2.5,12.5,5,85.6986,41,5,21,6,3,23,,,
0.0,0.0,5.0,12.5,1,157542.2244,114,2,65,,,,3,6,14
0.0,0.0,5.0,12.5,2,157543.342,114,2,8,,,,3,6,14
0.0,0.0,5.0,12.5,3,157545.0221,114,2,2,,,,3,6,14
0.0,0.0,5.0,12.5,4,157545.0684,114,2,4,,,,3,6,14
0.0,0.0,5.0,12.5,5,157545.1671,114,2,3,,,,3,6,14
0.0,10.0,5.0,12.5,1,139194448.777,108,1,312,,,,28,5,11
0.0,10.0,5.0,12.5,2,139194448.799,8,5,312,,,,28,5,20
0.0,10.0,5.0,12.5,3,139194450.109,8,5,312,,,,28,5,5
0.0,10.0,5.0,12.5,4,139194450.208,8,5,42,,,,28,5,20
0.0,10.0,5.0,12.5,5,139194450.493,8,5,4,,,,28,5,20
0.0,5.0,-10.0,13.75,1,16.1074,123,5,69,2,3,7,,,
0.0,5.0,-10.0,13.75,2,17.8526,123,5,110,2,4,1,,,
0.0,5.0,-10.0,13.75,3,18.0069,123,5,8,2,4,1,,,
0.0,5.0,-10.0,13.75,4,18.2362,123,5,8,2,3,7,,,
0.0,5.0,-10.0,13.75,5,18.7213,123,5,8,2,3,3,,,
0.0,7.5,-10.0,13.75,1,-70.4106,123,5,124,66,5,139,,,
0.0,7.5,-10.0,13.75,2,-70.4055,123,5,124,66,5,25,,,
0.0,7.5,-10.0,13.75,3,-70.3616,123,5,124,62,5,139,,,
0.0,7.5,-10.0,13.75,4,-70.3565,123,5,124,62,5,25,,,
0.0,7.5,-10.0,13.75,5,-70.3267,123,5,124,66,5,141,,,
0.0,10.0,-10.0,13.75,1,-40.0568,123,5,94,,,,38,4,5
0.0,10.0,-10.0,13.75,2,-39.9694,138,4,94,,,,38,4,5
0.0,10.0,-10.0,13.75,3,-39.9041,108,4,94,,,,38,4,5
0.0,10.0,-10.0,13.75,4,-39.6518,92,5,198,53,3,162,,,
0.0,10.0,-10.0,13.75,5,-39.6142,92,5,198,65,3,162,,,
0.0,2.5,-7.5,13.75,1,218763.2435,82,1,1,19,3,66,,,
0.0,2.5,-7.5,13.75,2,218764.4708,82,1,1,61,3,66,,,
0.0,2.5,-7.5,13.75,3,218764.58,82,1,1,13,3,66,,,
