START	rep1_1n64	on 2017 May 31 at 06:32:20
DISK_USAGE	initial	480
SUB_TIME	NAMD relaxation of molecule /gpfs/work/m/mfa5147/OptMAVEn2.0/experiments/rep1_1n64/structures/MoleculeA.pdb	1.79072999954
SUB_TIME	Mounting antigen A	0.333916187286
DISK_USAGE	after_antigen_initialization	456
SUB_TIME	culling_clashes	6.93158006668
DISK_USAGE	after_culling_clashes	456
DISK_USAGE	beginning_MAPs_energy_calculations	15272
TIME	antigen_relaxation_and_positioning	9.6
TIME	parts_1_to_50_interaction_energies	3167.36
TIME	parts_51_to_100_interaction_energies	3095.61
TIME	parts_101_to_150_interaction_energies	3078.11
TIME	parts_151_to_200_interaction_energies	3150.48
TIME	parts_201_to_250_interaction_energies	3253.86
TIME	parts_251_to_300_interaction_energies	3379.57
TIME	parts_301_to_350_interaction_energies	3391.0
TIME	parts_351_to_400_interaction_energies	3488.95
TIME	parts_601_to_650_interaction_energies	3095.92
TIME	parts_651_to_700_interaction_energies	3107.47
TIME	parts_701_to_750_interaction_energies	3075.95
TIME	parts_901_to_924_interaction_energies	2994.81
TIME	parts_401_to_450_interaction_energies	4454.01
TIME	parts_851_to_900_interaction_energies	3946.58
TIME	parts_551_to_600_interaction_energies	4751.32
TIME	parts_751_to_800_interaction_energies	4490.39
TIME	parts_501_to_550_interaction_energies	6585.46
TIME	parts_801_to_850_interaction_energies	5833.49
DISK_USAGE	after_MAPs_energy_calculations	53912
SUB_TIME	regrouping_interaction_energies	36.4890580177
DISK_USAGE	after_regrouping_energies	25616
TIME	MILP_for_positions_451_to_500	3455.84
TIME	MILP_for_positions_601_to_650	3428.65
TIME	MILP_for_positions_551_to_600	3299.12
TIME	MILP_for_positions_251_to_300	3137.53
TIME	MILP_for_positions_101_to_150	3376.62
TIME	MILP_for_positions_1001_to_1033	2186.54
TIME	MILP_for_positions_651_to_700	3149.57
TIME	MILP_for_positions_151_to_200	3207.54
TIME	MILP_for_positions_801_to_850	3190.58
TIME	MILP_for_positions_951_to_1000	3261.72
TIME	MILP_for_positions_201_to_250	3475.32
TIME	MILP_for_positions_501_to_550	3838.03
TIME	MILP_for_positions_401_to_450	3531.82
TIME	MILP_for_positions_51_to_100	3345.25
TIME	MILP_for_positions_1_to_50	3151.4
TIME	MILP_for_positions_301_to_350	4134.06
TIME	MILP_for_positions_351_to_400	3250.25
TIME	MILP_for_positions_701_to_750	3242.98
TIME	MILP_for_positions_751_to_800	3255.33
TIME	MILP_for_positions_851_to_900	3233.95
DISK_USAGE	after_MILP	9280
DISK_USAGE	after_removing_MILP_files	1032
SUB_TIME	clustering	45.2994451523
SUB_TIME	antibody_complex_assembly_and_relaxation	16.2021100521
SUB_TIME	clustering	61.5167229176
DISK_USAGE	final	5112
FINISH	rep1_1n64	on 2017 June 01 at 00:13:59
TIME	MILP_for_positions_901_to_950	3244.34
