zRot,x,y,z,cut,energy,HV,HJ,HCDR3,KV,KJ,KCDR3,LV,LJ,LCDR3
0.0,2.5,-5.0,11.25,1,16375.8285,8,4,4,61,3,86,,,
0.0,2.5,-5.0,11.25,2,16379.0794,8,4,4,52,3,86,,,
0.0,2.5,-5.0,11.25,3,16379.3324,8,4,4,51,3,86,,,
0.0,2.5,-5.0,11.25,4,16379.6594,8,4,4,64,3,86,,,
0.0,2.5,-5.0,11.25,5,16381.5439,8,4,4,61,3,80,,,
0.0,5.0,-7.5,12.5,1,48.9435,8,4,4,61,3,80,,,
0.0,5.0,-7.5,12.5,2,49.3469,8,4,4,13,3,80,,,
0.0,5.0,-7.5,12.5,3,49.459,8,4,4,14,3,80,,,
0.0,5.0,-7.5,12.5,4,50.4853,8,4,4,61,3,86,,,
0.0,5.0,-7.5,12.5,5,50.762,8,4,4,44,4,80,,,
0.0,2.5,-5.0,12.5,1,105.3827,8,4,4,61,3,80,,,
0.0,2.5,-5.0,12.5,2,105.765,8,4,4,61,3,86,,,
0.0,2.5,-5.0,12.5,3,108.4583,8,4,4,59,3,80,,,
0.0,2.5,-5.0,12.5,4,108.8406,8,4,4,59,3,86,,,
0.0,2.5,-5.0,12.5,5,110.0683,8,4,4,52,3,80,,,
0.0,0.0,-2.5,12.5,1,1571510.5541,49,3,1,54,2,157,,,
0.0,0.0,-2.5,12.5,2,1571511.5338,49,3,1,54,2,5,,,
0.0,0.0,-2.5,12.5,3,1571513.9351,49,3,1,54,2,33,,,
0.0,0.0,-2.5,12.5,4,1571515.0075,49,3,1,54,2,175,,,
0.0,0.0,-2.5,12.5,5,1571533.0826,49,3,1,38,4,86,,,
0.0,0.0,0.0,12.5,1,383.4585,49,2,1,35,4,86,,,
0.0,0.0,0.0,12.5,2,384.9787,50,2,1,35,4,86,,,
0.0,0.0,0.0,12.5,3,385.3482,54,2,1,35,4,86,,,
0.0,0.0,0.0,12.5,4,393.4665,49,2,1,35,4,82,,,
0.0,0.0,0.0,12.5,5,394.9867,50,2,1,35,4,82,,,
0.0,0.0,5.0,12.5,1,50439.7521,114,2,65,,,,3,6,14
0.0,0.0,5.0,12.5,2,50440.6743,114,2,8,,,,3,6,14
0.0,0.0,5.0,12.5,3,50442.5584,114,2,4,,,,3,6,14
0.0,0.0,5.0,12.5,4,50442.5943,114,2,13,,,,3,6,14
0.0,0.0,5.0,12.5,5,50442.7288,114,2,3,,,,3,6,14
0.0,10.0,5.0,12.5,1,1718479553.75,108,1,390,,,,38,4,5
0.0,10.0,5.0,12.5,2,1718479553.81,102,5,390,,,,38,4,5
0.0,10.0,5.0,12.5,3,1718479553.82,110,5,390,,,,38,4,5
0.0,10.0,5.0,12.5,4,1718479553.82,107,1,390,,,,38,4,5
0.0,10.0,5.0,12.5,5,1718479553.83,106,1,390,,,,38,4,5
0.0,5.0,-10.0,13.75,1,27.2416,123,5,69,2,3,7,,,
0.0,5.0,-10.0,13.75,2,27.809,123,5,8,2,4,1,,,
0.0,5.0,-10.0,13.75,3,28.17,123,5,8,2,3,7,,,
0.0,5.0,-10.0,13.75,4,28.6996,123,5,8,2,3,3,,,
0.0,5.0,-10.0,13.75,5,30.8554,123,5,8,14,3,106,,,
0.0,7.5,-10.0,13.75,1,-57.1858,123,5,8,,,,38,4,5
0.0,7.5,-10.0,13.75,2,-56.8628,108,4,8,,,,38,4,5
0.0,7.5,-10.0,13.75,3,-56.7661,108,4,8,14,3,81,,,
0.0,7.5,-10.0,13.75,4,-56.491,108,4,8,13,3,81,,,
0.0,7.5,-10.0,13.75,5,-56.0323,108,4,8,14,3,80,,,
0.0,10.0,-10.0,13.75,1,-45.3697,92,5,289,61,3,162,,,
0.0,10.0,-10.0,13.75,2,-45.244,92,5,289,61,3,149,,,
0.0,10.0,-10.0,13.75,3,-45.1306,92,5,289,61,3,170,,,
0.0,10.0,-10.0,13.75,4,-44.9251,92,5,289,61,3,199,,,
0.0,10.0,-10.0,13.75,5,-44.9112,92,5,289,61,3,129,,,
0.0,2.5,-7.5,13.75,1,705030.6936,82,4,7,13,3,66,,,
0.0,2.5,-7.5,13.75,2,705033.4701,82,4,7,13,3,94,,,
0.0,2.5,-7.5,13.75,3,705031.5122,82,4,418,17,2,149,,,
0.0,2.5,-7.5,13.75,4,705031.7487,82,4,418,17,2,158,,,
0.0,2.5,-7.5,13.75,5,705032.0619,82,4,418,17,2,94,,,
0.0,5.0,-7.5,13.75,1,9.5226,13,3,8,,,,17,5,11
0.0,5.0,-7.5,13.75,2,10.6214,13,3,8,,,,31,5,11
0.0,5.0,-7.5,13.75,3,10.6477,13,3,8,,,,32,5,11
0.0,5.0,-7.5,13.75,4,12.4054,13,3,8,,,,22,5,11
0.0,5.0,-7.5,13.75,5,12.6352,13,3,8,,,,18,5,11
0.0,7.5,-7.5,13.75,1,-61.1506,108,4,66,59,3,81,,,
0.0,7.5,-7.5,13.75,2,-60.5113,108,4,66,59,3,80,,,
0.0,7.5,-7.5,13.75,3,-59.4918,137,5,66,59,3,81,,,
0.0,7.5,-7.5,13.75,4,-59.2119,135,5,66,59,3,81,,,
0.0,7.5,-7.5,13.75,5,-58.2507,123,5,66,59,3,102,,,
0.0,0.0,-5.0,13.75,1,6974.624,8,5,4,44,4,80,,,
0.0,0.0,-5.0,13.75,2,6976.8318,8,5,4,44,4,86,,,
0.0,0.0,-5.0,13.75,3,6978.0717,8,5,4,58,4,80,,,
0.0,0.0,-5.0,13.75,4,6978.3296,8,5,4,44,4,103,,,
0.0,0.0,-5.0,13.75,5,6978.1158,8,5,4,63,3,80,,,
0.0,2.5,-5.0,13.75,1,799.638,17,3,8,44,4,81,,,
0.0,2.5,-5.0,13.75,2,804.1776,17,3,8,61,1,81,,,
0.0,2.5,-5.0,13.75,3,804.8222,17,3,8,40,4,81,,,
0.0,2.5,-5.0,13.75,4,805.2445,17,3,8,36,4,81,,,
0.0,2.5,-5.0,13.75,5,806.0575,17,3,8,59,1,81,,,
0.0,0.0,-2.5,13.75,1,42890.3256,52,5,13,44,4,103,,,
0.0,0.0,-2.5,13.75,2,42893.7406,52,5,13,44,4,12,,,
0.0,0.0,-2.5,13.75,3,42898.4824,52,5,13,44,4,25,,,
0.0,0.0,-2.5,13.75,4,42898.6453,52,5,13,44,4,3,,,
0.0,0.0,-2.5,13.75,5,42899.4993,52,5,13,44,4,5,,,
0.0,2.5,-2.5,13.75,1,297.7514,17,5,4,54,3,134,,,
0.0,2.5,-2.5,13.75,2,299.841,17,5,4,54,3,110,,,
0.0,2.5,-2.5,13.75,3,301.4934,17,5,4,54,3,157,,,
0.0,2.5,-2.5,13.75,4,302.6742,17,5,4,54,3,123,,,
0.0,2.5,-2.5,13.75,5,304.5529,17,5,4,54,3,4,,,
0.0,-5.0,0.0,13.75,1,226971619.118,114,2,42,44,2,123,,,
0.0,-5.0,0.0,13.75,2,226971621.295,114,2,31,44,2,123,,,
0.0,-5.0,0.0,13.75,3,226971624.757,114,2,1,44,2,123,,,
0.0,-5.0,0.0,13.75,4,226971625.134,114,2,2,44,2,123,,,
0.0,-5.0,0.0,13.75,5,226971625.264,114,2,4,44,2,123,,,
0.0,0.0,0.0,13.75,1,-69.2115,54,2,3,44,4,86,,,
0.0,0.0,0.0,13.75,2,-68.8176,50,2,3,44,4,86,,,
0.0,0.0,0.0,13.75,3,-68.7501,49,2,3,44,4,86,,,
0.0,0.0,0.0,13.75,4,-63.9389,54,2,3,44,4,95,,,
0.0,0.0,0.0,13.75,5,-63.545,50,2,3,44,4,95,,,
0.0,0.0,2.5,13.75,1,-24.2585,41,3,41,6,4,37,,,
0.0,0.0,2.5,13.75,2,-22.9431,41,3,41,6,4,36,,,
0.0,0.0,2.5,13.75,3,-22.4163,41,3,41,6,4,92,,,
0.0,0.0,2.5,13.75,4,-19.6661,52,3,49,35,4,37,,,
0.0,0.0,2.5,13.75,5,-19.5375,55,3,49,35,4,37,,,
0.0,5.0,2.5,13.75,1,6214883.7972,137,4,60,35,4,82,,,
0.0,5.0,2.5,13.75,2,6214884.4445,137,4,42,35,4,82,,,
0.0,5.0,2.5,13.75,3,6214886.4742,137,4,60,35,4,124,,,
0.0,5.0,2.5,13.75,4,6214887.1215,137,4,42,35,4,124,,,
0.0,5.0,2.5,13.75,5,6214884.9811,49,4,60,35,4,86,,,
0.0,7.5,2.5,13.75,1,2380244303.19,138,4,42,7,4,63,,,
0.0,7.5,2.5,13.75,2,2380244303.29,138,4,31,7,4,63,,,
0.0,7.5,2.5,13.75,3,2380244319.1,138,4,42,7,4,37,,,
0.0,7.5,2.5,13.75,4,2380244319.2,138,4,31,7,4,37,,,
0.0,7.5,2.5,13.75,5,2380244305.3,138,4,42,7,4,51,,,
0.0,0.0,5.0,13.75,1,238914.9386,138,4,84,2,4,1,,,
0.0,0.0,5.0,13.75,2,238915.319,138,4,6,2,4,1,,,
0.0,0.0,5.0,13.75,3,238916.0063,138,4,120,2,4,1,,,
0.0,0.0,5.0,13.75,4,238916.2577,138,4,187,2,4,1,,,
0.0,0.0,5.0,13.75,5,238918.4085,138,4,60,2,4,1,,,
0.0,2.5,5.0,13.75,1,23612827.0565,114,2,413,,,,10,6,5
0.0,2.5,5.0,13.75,2,23612827.1215,111,2,413,,,,10,6,5
0.0,2.5,5.0,13.75,3,23612828.8372,114,2,65,,,,10,6,5
0.0,2.5,5.0,13.75,4,23612828.9022,111,2,65,,,,10,6,5
0.0,2.5,5.0,13.75,5,23612829.8122,114,2,8,,,,10,6,5
0.0,7.5,5.0,13.75,1,654221.1498,135,5,137,2,4,7,,,
0.0,7.5,5.0,13.75,2,654221.2065,137,5,137,2,4,7,,,
0.0,7.5,5.0,13.75,3,654221.2547,123,5,137,2,4,7,,,
0.0,7.5,5.0,13.75,4,654221.6743,138,1,137,2,4,7,,,
0.0,7.5,5.0,13.75,5,654221.7751,119,1,137,2,4,7,,,
0.0,10.0,5.0,13.75,1,9422032.155,128,2,413,,,,2,6,15
0.0,10.0,5.0,13.75,2,9422032.1948,111,2,413,,,,2,6,15
0.0,10.0,5.0,13.75,3,9422032.2016,114,2,413,,,,2,6,15
0.0,10.0,5.0,13.75,4,9422032.2112,126,2,413,,,,2,6,15
