START	rep1_1n64_20	on 2017 June 04 at 16:52:34
DISK_USAGE	initial	480
SUB_TIME	NAMD relaxation of molecule /gpfs/work/m/mfa5147/OptMAVEn2.0/experiments/rep1_1n64_20/structures/MoleculeA.pdb	16.3057870865
SUB_TIME	Mounting antigen A	0.822001218796
DISK_USAGE	after_antigen_initialization	560
SUB_TIME	culling_clashes	10.1191191673
DISK_USAGE	after_culling_clashes	704
DISK_USAGE	beginning_MAPs_energy_calculations	15536
TIME	antigen_relaxation_and_positioning	21.38
TIME	parts_1_to_20_interaction_energies	1206.93
TIME	parts_21_to_40_interaction_energies	1219.7
TIME	parts_41_to_60_interaction_energies	1234.08
TIME	parts_61_to_80_interaction_energies	1240.72
TIME	parts_81_to_100_interaction_energies	1277.38
TIME	parts_101_to_120_interaction_energies	1272.83
TIME	parts_121_to_140_interaction_energies	1243.66
TIME	parts_141_to_160_interaction_energies	1256.41
TIME	parts_161_to_180_interaction_energies	1256.99
TIME	parts_201_to_220_interaction_energies	1264.2
TIME	parts_181_to_200_interaction_energies	1262.49
TIME	parts_281_to_300_interaction_energies	1309.51
TIME	parts_261_to_280_interaction_energies	1275.07
TIME	parts_241_to_260_interaction_energies	1329.17
TIME	parts_321_to_340_interaction_energies	1310.5
TIME	parts_361_to_380_interaction_energies	1255.94
TIME	parts_221_to_240_interaction_energies	1311.2
TIME	parts_301_to_320_interaction_energies	1358.48
TIME	parts_341_to_360_interaction_energies	1353.55
TIME	parts_401_to_420_interaction_energies	1237.87
TIME	parts_381_to_400_interaction_energies	1262.9
TIME	parts_581_to_600_interaction_energies	1180.74
TIME	parts_921_to_924_interaction_energies	499.94
TIME	parts_421_to_440_interaction_energies	1774.91
TIME	parts_661_to_680_interaction_energies	1190.99
TIME	parts_701_to_720_interaction_energies	1170.4
TIME	parts_741_to_760_interaction_energies	1176.63
TIME	parts_601_to_620_interaction_energies	1213.49
TIME	parts_621_to_640_interaction_energies	1211.24
TIME	parts_641_to_660_interaction_energies	1211.97
TIME	parts_721_to_740_interaction_energies	1223.23
TIME	parts_681_to_700_interaction_energies	1213.55
TIME	parts_861_to_880_interaction_energies	1184.89
TIME	parts_561_to_580_interaction_energies	2170.25
TIME	parts_761_to_780_interaction_energies	1420.61
TIME	parts_841_to_860_interaction_energies	1292.1
TIME	parts_501_to_520_interaction_energies	2641.1
TIME	parts_481_to_500_interaction_energies	2735.06
TIME	parts_541_to_560_interaction_energies	2645.67
TIME	parts_521_to_540_interaction_energies	2732.66
TIME	parts_441_to_460_interaction_energies	2811.13
TIME	parts_461_to_480_interaction_energies	2826.04
TIME	parts_881_to_900_interaction_energies	2040.47
TIME	parts_801_to_820_interaction_energies	2553.94
TIME	parts_821_to_840_interaction_energies	2538.3
TIME	parts_901_to_920_interaction_energies	2504.64
DISK_USAGE	after_MAPs_energy_calculations	54256
SUB_TIME	regrouping_interaction_energies	37.4371201992
DISK_USAGE	after_regrouping_energies	25256
TIME	MILP_for_positions_401_to_450	3161.64
TIME	MILP_for_positions_351_to_400	3202.5
TIME	MILP_for_positions_301_to_350	3400.56
TIME	MILP_for_positions_1001_to_1017	1064.92
TIME	MILP_for_positions_51_to_100	3105.14
TIME	MILP_for_positions_1_to_50	3424.35
TIME	MILP_for_positions_101_to_150	3117.94
TIME	MILP_for_positions_251_to_300	3123.5
TIME	MILP_for_positions_451_to_500	3190.71
TIME	MILP_for_positions_501_to_550	3430.83
TIME	MILP_for_positions_151_to_200	3337.69
TIME	MILP_for_positions_601_to_650	3181.78
TIME	MILP_for_positions_551_to_600	3337.0
TIME	MILP_for_positions_751_to_800	3111.9
TIME	MILP_for_positions_801_to_850	3148.05
TIME	MILP_for_positions_651_to_700	3171.01
TIME	MILP_for_positions_701_to_750	3128.32
TIME	MILP_for_positions_201_to_250	3547.85
TIME	MILP_for_positions_901_to_950	3107.36
TIME	MILP_for_positions_851_to_900	3312.46
DISK_USAGE	after_MILP	9152
DISK_USAGE	after_removing_MILP_files	1032
SUB_TIME	clustering	50.5634820461
SUB_TIME	antibody_complex_assembly_and_relaxation	14.805437088
SUB_TIME	clustering	65.3780500889
DISK_USAGE	final	7496
FINISH	rep1_1n64_20	on 2017 June 05 at 05:25:28
TIME	MILP_for_positions_951_to_1000	3294.09
