zRot,x,y,z,cut,energy,HV,HJ,HCDR3,KV,KJ,KCDR3,LV,LJ,LCDR3
0.0,2.5,-7.5,12.5,1,173961.6124,43,3,1,,,,28,5,34
0.0,2.5,-7.5,12.5,2,173971.8428,43,3,1,,,,29,5,34
0.0,2.5,-7.5,12.5,3,176723.3102,43,3,1,,,,31,5,29
0.0,2.5,-7.5,12.5,4,176729.6441,43,3,1,,,,32,5,29
0.0,2.5,-7.5,12.5,5,176940.599,43,3,1,,,,28,5,29
0.0,2.5,-2.5,12.5,1,176026481.91,133,4,24,35,4,3,,,
0.0,2.5,-2.5,12.5,2,177230673.149,133,4,4,35,4,17,,,
0.0,2.5,-2.5,12.5,3,181830700.083,133,4,4,52,3,17,,,
0.0,2.5,-2.5,12.5,4,182118140.224,133,4,24,57,1,3,,,
0.0,2.5,-2.5,12.5,5,182170236.973,133,4,8,57,1,3,,,
0.0,2.5,0.0,12.5,1,70923993.774,114,2,81,65,3,134,,,
0.0,2.5,0.0,12.5,2,70924007.3416,114,2,81,65,3,132,,,
0.0,2.5,0.0,12.5,3,70924041.851,114,2,81,65,3,145,,,
0.0,2.5,0.0,12.5,4,70924129.8493,114,2,81,65,3,181,,,
0.0,2.5,0.0,12.5,5,70924245.9802,114,2,81,65,3,113,,,
0.0,2.5,-10.0,13.75,1,2135.7516,82,4,94,,,,28,5,36
0.0,2.5,-10.0,13.75,2,2172.0339,82,4,2,,,,30,5,36
0.0,2.5,-10.0,13.75,3,2175.3303,82,4,1,,,,30,5,36
0.0,2.5,-10.0,13.75,4,2181.6895,82,4,4,,,,30,5,36
0.0,2.5,-10.0,13.75,5,2220.9604,82,4,5,,,,28,5,36
0.0,5.0,-10.0,13.75,1,19.8904,46,5,1,,,,31,5,36
0.0,5.0,-10.0,13.75,2,20.8474,46,5,1,,,,32,5,36
0.0,5.0,-10.0,13.75,3,23.9992,79,3,5,,,,31,5,36
0.0,5.0,-10.0,13.75,4,24.9562,79,3,5,,,,32,5,36
0.0,5.0,-10.0,13.75,5,41.0713,79,3,5,,,,31,5,5
0.0,10.0,-10.0,13.75,1,5259.7227,79,4,8,,,,29,5,27
0.0,10.0,-10.0,13.75,2,5261.3738,79,4,8,,,,29,5,11
