START	rep1_1nsn_01	on 2017 June 11 at 12:34:00
DISK_USAGE	initial	632
SUB_TIME	NAMD relaxation of molecule /gpfs/work/m/mfa5147/OptMAVEn2.0/experiments/rep1_1nsn_01/structures/MoleculeA.pdb	339.454751015
SUB_TIME	Mounting antigen A	0.391211986542
DISK_USAGE	after_antigen_initialization	1808
SUB_TIME	culling_clashes	10.7874650955
DISK_USAGE	after_culling_clashes	1952
DISK_USAGE	beginning_MAPs_energy_calculations	29696
TIME	antigen_relaxation_and_positioning	369.8
TIME	parts_2_to_2_interaction_energies	118.31
TIME	parts_3_to_3_interaction_energies	120.37
TIME	parts_1_to_1_interaction_energies	121.08
TIME	parts_4_to_4_interaction_energies	125.06
TIME	parts_7_to_7_interaction_energies	119.19
TIME	parts_6_to_6_interaction_energies	120.22
TIME	parts_8_to_8_interaction_energies	120.6
TIME	parts_5_to_5_interaction_energies	121.53
TIME	parts_36_to_36_interaction_energies	124.68
TIME	parts_9_to_9_interaction_energies	124.16
TIME	parts_57_to_57_interaction_energies	121.14
TIME	parts_38_to_38_interaction_energies	121.12
TIME	parts_42_to_42_interaction_energies	121.47
TIME	parts_37_to_37_interaction_energies	121.77
TIME	parts_41_to_41_interaction_energies	122.09
TIME	parts_39_to_39_interaction_energies	122.34
TIME	parts_59_to_59_interaction_energies	123.01
TIME	parts_40_to_40_interaction_energies	123.26
TIME	parts_46_to_46_interaction_energies	122.3
TIME	parts_56_to_56_interaction_energies	125.36
TIME	parts_54_to_54_interaction_energies	123.25
TIME	parts_52_to_52_interaction_energies	124.16
TIME	parts_53_to_53_interaction_energies	124.57
TIME	parts_55_to_55_interaction_energies	124.33
TIME	parts_45_to_45_interaction_energies	124.35
TIME	parts_48_to_48_interaction_energies	124.92
TIME	parts_50_to_50_interaction_energies	125.1
TIME	parts_51_to_51_interaction_energies	125.74
TIME	parts_49_to_49_interaction_energies	125.39
TIME	parts_47_to_47_interaction_energies	124.87
TIME	parts_44_to_44_interaction_energies	125.33
TIME	parts_43_to_43_interaction_energies	126.03
TIME	parts_60_to_60_interaction_energies	127.75
TIME	parts_13_to_13_interaction_energies	119.45
TIME	parts_12_to_12_interaction_energies	121.23
TIME	parts_11_to_11_interaction_energies	122.34
TIME	parts_14_to_14_interaction_energies	121.63
TIME	parts_10_to_10_interaction_energies	122.52
TIME	parts_58_to_58_interaction_energies	125.67
TIME	parts_61_to_61_interaction_energies	128.28
TIME	parts_64_to_64_interaction_energies	123.49
TIME	parts_95_to_95_interaction_energies	121.6
TIME	parts_93_to_93_interaction_energies	120.89
TIME	parts_111_to_111_interaction_energies	123.71
TIME	parts_96_to_96_interaction_energies	123.15
TIME	parts_92_to_92_interaction_energies	122.78
TIME	parts_94_to_94_interaction_energies	123.33
TIME	parts_101_to_101_interaction_energies	121.77
TIME	parts_68_to_68_interaction_energies	118.69
TIME	parts_91_to_91_interaction_energies	124.16
TIME	parts_98_to_98_interaction_energies	123.94
TIME	parts_110_to_110_interaction_energies	123.33
TIME	parts_65_to_65_interaction_energies	125.6
TIME	parts_69_to_69_interaction_energies	121.06
TIME	parts_102_to_102_interaction_energies	125.0
TIME	parts_108_to_108_interaction_energies	124.84
TIME	parts_99_to_99_interaction_energies	125.41
TIME	parts_66_to_66_interaction_energies	124.19
TIME	parts_106_to_106_interaction_energies	125.34
TIME	parts_103_to_103_interaction_energies	125.2
TIME	parts_109_to_109_interaction_energies	124.74
TIME	parts_107_to_107_interaction_energies	124.83
TIME	parts_97_to_97_interaction_energies	128.23
TIME	parts_100_to_100_interaction_energies	125.65
TIME	parts_104_to_104_interaction_energies	126.24
TIME	parts_67_to_67_interaction_energies	125.67
TIME	parts_105_to_105_interaction_energies	127.09
TIME	parts_62_to_62_interaction_energies	125.33
TIME	parts_63_to_63_interaction_energies	126.11
TIME	parts_15_to_15_interaction_energies	126.43
TIME	parts_18_to_18_interaction_energies	120.07
TIME	parts_19_to_19_interaction_energies	122.65
TIME	parts_17_to_17_interaction_energies	121.73
TIME	parts_16_to_16_interaction_energies	120.77
TIME	parts_21_to_21_interaction_energies	122.56
TIME	parts_20_to_20_interaction_energies	122.36
TIME	parts_135_to_135_interaction_energies	117.54
TIME	parts_134_to_134_interaction_energies	121.55
TIME	parts_146_to_146_interaction_energies	114.24
TIME	parts_22_to_22_interaction_energies	123.15
TIME	parts_24_to_24_interaction_energies	120.84
TIME	parts_25_to_25_interaction_energies	122.75
TIME	parts_133_to_133_interaction_energies	124.77
TIME	parts_136_to_136_interaction_energies	122.05
TIME	parts_138_to_138_interaction_energies	121.78
TIME	parts_23_to_23_interaction_energies	128.15
TIME	parts_137_to_137_interaction_energies	124.57
TIME	parts_140_to_140_interaction_energies	122.12
TIME	parts_144_to_144_interaction_energies	121.49
TIME	parts_145_to_145_interaction_energies	122.38
TIME	parts_141_to_141_interaction_energies	120.58
TIME	parts_143_to_143_interaction_energies	121.92
TIME	parts_142_to_142_interaction_energies	121.96
TIME	parts_139_to_139_interaction_energies	128.04
TIME	parts_149_to_149_interaction_energies	123.77
TIME	parts_148_to_148_interaction_energies	125.43
TIME	parts_152_to_152_interaction_energies	126.46
TIME	parts_147_to_147_interaction_energies	127.74
TIME	parts_154_to_154_interaction_energies	129.07
TIME	parts_151_to_151_interaction_energies	126.9
TIME	parts_184_to_184_interaction_energies	118.65
TIME	parts_183_to_183_interaction_energies	118.39
TIME	parts_150_to_150_interaction_energies	128.49
TIME	parts_153_to_153_interaction_energies	126.29
TIME	parts_185_to_185_interaction_energies	119.9
TIME	parts_156_to_156_interaction_energies	125.35
TIME	parts_155_to_155_interaction_energies	125.4
TIME	parts_168_to_168_interaction_energies	121.33
TIME	parts_157_to_157_interaction_energies	121.01
TIME	parts_190_to_190_interaction_energies	121.35
TIME	parts_164_to_164_interaction_energies	122.41
TIME	parts_161_to_161_interaction_energies	122.42
TIME	parts_166_to_166_interaction_energies	123.88
TIME	parts_160_to_160_interaction_energies	122.93
TIME	parts_167_to_167_interaction_energies	123.57
TIME	parts_159_to_159_interaction_energies	125.27
TIME	parts_162_to_162_interaction_energies	123.95
TIME	parts_163_to_163_interaction_energies	123.82
TIME	parts_170_to_170_interaction_energies	124.4
TIME	parts_191_to_191_interaction_energies	124.21
TIME	parts_171_to_171_interaction_energies	124.38
TIME	parts_169_to_169_interaction_energies	125.19
TIME	parts_179_to_179_interaction_energies	123.53
TIME	parts_172_to_172_interaction_energies	126.83
TIME	parts_158_to_158_interaction_energies	126.98
TIME	parts_173_to_173_interaction_energies	128.12
TIME	parts_182_to_182_interaction_energies	126.36
TIME	parts_188_to_188_interaction_energies	124.1
TIME	parts_189_to_189_interaction_energies	124.0
TIME	parts_174_to_174_interaction_energies	126.09
TIME	parts_176_to_176_interaction_energies	126.82
TIME	parts_177_to_177_interaction_energies	127.06
TIME	parts_180_to_180_interaction_energies	127.92
TIME	parts_165_to_165_interaction_energies	127.01
TIME	parts_187_to_187_interaction_energies	124.7
TIME	parts_186_to_186_interaction_energies	124.87
TIME	parts_181_to_181_interaction_energies	128.57
TIME	parts_178_to_178_interaction_energies	128.15
TIME	parts_175_to_175_interaction_energies	128.13
TIME	parts_192_to_192_interaction_energies	131.51
TIME	parts_29_to_29_interaction_energies	115.54
TIME	parts_30_to_30_interaction_energies	117.66
TIME	parts_26_to_26_interaction_energies	123.09
TIME	parts_27_to_27_interaction_energies	124.4
TIME	parts_31_to_31_interaction_energies	122.74
TIME	parts_28_to_28_interaction_energies	124.64
TIME	parts_34_to_34_interaction_energies	116.51
TIME	parts_32_to_32_interaction_energies	118.18
TIME	parts_70_to_70_interaction_energies	120.72
TIME	parts_35_to_35_interaction_energies	121.0
TIME	parts_72_to_72_interaction_energies	122.29
TIME	parts_73_to_73_interaction_energies	123.84
TIME	parts_71_to_71_interaction_energies	124.51
TIME	parts_33_to_33_interaction_energies	124.02
TIME	parts_74_to_74_interaction_energies	124.28
TIME	parts_79_to_79_interaction_energies	116.36
TIME	parts_78_to_78_interaction_energies	117.96
TIME	parts_76_to_76_interaction_energies	119.44
TIME	parts_81_to_81_interaction_energies	121.42
TIME	parts_80_to_80_interaction_energies	122.31
TIME	parts_82_to_82_interaction_energies	123.8
TIME	parts_75_to_75_interaction_energies	122.83
TIME	parts_77_to_77_interaction_energies	125.04
TIME	parts_83_to_83_interaction_energies	117.77
TIME	parts_84_to_84_interaction_energies	120.8
TIME	parts_87_to_87_interaction_energies	117.55
TIME	parts_89_to_89_interaction_energies	118.32
TIME	parts_90_to_90_interaction_energies	119.9
TIME	parts_85_to_85_interaction_energies	123.66
TIME	parts_86_to_86_interaction_energies	125.53
TIME	parts_88_to_88_interaction_energies	123.57
TIME	parts_112_to_112_interaction_energies	121.52
TIME	parts_122_to_122_interaction_energies	121.8
TIME	parts_120_to_120_interaction_energies	121.4
TIME	parts_114_to_114_interaction_energies	124.25
TIME	parts_115_to_115_interaction_energies	122.98
TIME	parts_116_to_116_interaction_energies	122.92
TIME	parts_113_to_113_interaction_energies	121.55
TIME	parts_118_to_118_interaction_energies	122.92
TIME	parts_117_to_117_interaction_energies	122.74
TIME	parts_123_to_123_interaction_energies	124.88
TIME	parts_121_to_121_interaction_energies	124.02
TIME	parts_119_to_119_interaction_energies	125.32
TIME	parts_124_to_124_interaction_energies	120.05
TIME	parts_193_to_193_interaction_energies	117.47
TIME	parts_132_to_132_interaction_energies	118.22
TIME	parts_125_to_125_interaction_energies	122.65
TIME	parts_126_to_126_interaction_energies	123.02
TIME	parts_194_to_194_interaction_energies	121.64
TIME	parts_198_to_198_interaction_energies	121.83
