START	rep1_1nsn_20	on 2017 June 04 at 21:46:02
DISK_USAGE	initial	632
SUB_TIME	NAMD relaxation of molecule /gpfs/work/m/mfa5147/OptMAVEn2.0/experiments/rep1_1nsn_20/structures/MoleculeA.pdb	347.491816998
SUB_TIME	Mounting antigen A	0.429229974747
DISK_USAGE	after_antigen_initialization	1808
SUB_TIME	culling_clashes	10.5766088963
DISK_USAGE	after_culling_clashes	2208
DISK_USAGE	beginning_MAPs_energy_calculations	17104
TIME	antigen_relaxation_and_positioning	354.6
TIME	parts_681_to_700_interaction_energies	2381.72
TIME	parts_661_to_680_interaction_energies	2397.07
TIME	parts_41_to_60_interaction_energies	2338.46
TIME	parts_1_to_20_interaction_energies	2437.87
TIME	parts_21_to_40_interaction_energies	2501.71
TIME	parts_81_to_100_interaction_energies	2339.93
TIME	parts_101_to_120_interaction_energies	2338.77
TIME	parts_221_to_240_interaction_energies	2350.97
TIME	parts_161_to_180_interaction_energies	2381.95
TIME	parts_181_to_200_interaction_energies	2387.65
TIME	parts_121_to_140_interaction_energies	2347.1
TIME	parts_61_to_80_interaction_energies	2535.09
TIME	parts_141_to_160_interaction_energies	2431.68
TIME	parts_201_to_220_interaction_energies	2383.73
TIME	parts_241_to_260_interaction_energies	2520.21
TIME	parts_261_to_280_interaction_energies	2448.92
TIME	parts_281_to_300_interaction_energies	2535.96
TIME	parts_301_to_320_interaction_energies	2394.15
TIME	parts_381_to_400_interaction_energies	2310.15
TIME	parts_321_to_340_interaction_energies	2538.8
TIME	parts_921_to_924_interaction_energies	662.13
TIME	parts_401_to_420_interaction_energies	2338.36
TIME	parts_341_to_360_interaction_energies	2525.75
TIME	parts_361_to_380_interaction_energies	2492.3
TIME	parts_721_to_740_interaction_energies	2290.78
TIME	parts_641_to_660_interaction_energies	2321.84
TIME	parts_701_to_720_interaction_energies	2315.48
TIME	parts_741_to_760_interaction_energies	2298.74
TIME	parts_601_to_620_interaction_energies	2354.34
TIME	parts_621_to_640_interaction_energies	2432.68
TIME	parts_761_to_780_interaction_energies	2439.38
TIME	parts_421_to_440_interaction_energies	2696.77
TIME	parts_581_to_600_interaction_energies	2465.97
TIME	parts_841_to_860_interaction_energies	2386.98
TIME	parts_501_to_520_interaction_energies	3311.98
TIME	parts_541_to_560_interaction_energies	3298.2
TIME	parts_521_to_540_interaction_energies	3310.02
TIME	parts_461_to_480_interaction_energies	3383.53
TIME	parts_861_to_880_interaction_energies	2420.25
TIME	parts_561_to_580_interaction_energies	2995.65
TIME	parts_441_to_460_interaction_energies	3348.22
TIME	parts_781_to_800_interaction_energies	3203.72
TIME	parts_481_to_500_interaction_energies	3383.42
TIME	parts_801_to_820_interaction_energies	3263.01
TIME	parts_821_to_840_interaction_energies	3215.19
TIME	parts_881_to_900_interaction_energies	3002.98
DISK_USAGE	after_MAPs_energy_calculations	41784
SUB_TIME	regrouping_interaction_energies	39.9443001747
DISK_USAGE	after_regrouping_energies	18232
TIME	MILP_for_positions_551_to_600	3114.44
TIME	MILP_for_positions_601_to_650	3207.77
TIME	MILP_for_positions_51_to_100	3238.23
TIME	MILP_for_positions_101_to_150	3387.73
TIME	MILP_for_positions_1_to_50	3744.32
TIME	MILP_for_positions_201_to_250	3056.36
TIME	MILP_for_positions_651_to_666	1039.68
TIME	MILP_for_positions_151_to_200	3461.44
TIME	MILP_for_positions_251_to_300	3082.28
TIME	MILP_for_positions_301_to_350	3288.83
TIME	MILP_for_positions_351_to_400	3354.07
TIME	MILP_for_positions_401_to_450	3280.74
TIME	MILP_for_positions_451_to_500	3259.21
DISK_USAGE	after_MILP	7584
DISK_USAGE	after_removing_MILP_files	2264
SUB_TIME	clustering	32.6742777824
SUB_TIME	antibody_complex_assembly_and_relaxation	19.7254500389
SUB_TIME	clustering	52.4091479778
DISK_USAGE	final	10896
FINISH	rep1_1nsn_20	on 2017 June 05 at 14:53:44
TIME	MILP_for_positions_501_to_550	3291.77
