zRot,x,y,z,cut,energy,HV,HJ,HCDR3,KV,KJ,KCDR3,LV,LJ,LCDR3
0.0,-5.0,2.5,7.5,1,123969438.578,41,1,3,2,4,1,,,
0.0,-5.0,2.5,7.5,2,123982250.832,41,1,41,2,4,1,,,
0.0,-5.0,2.5,7.5,3,123985859.088,41,1,49,2,4,1,,,
0.0,-5.0,2.5,7.5,4,124114949.582,41,1,187,2,4,1,,,
0.0,-5.0,2.5,7.5,5,127005359.199,41,4,147,2,4,1,,,
0.0,0.0,2.5,8.75,1,585524961.002,110,5,57,7,4,116,,,
0.0,0.0,2.5,8.75,2,585689718.023,105,5,57,7,4,116,,,
0.0,0.0,2.5,8.75,3,585755571.538,103,1,57,7,4,116,,,
0.0,0.0,2.5,8.75,4,585757905.0,106,1,57,7,4,116,,,
0.0,0.0,2.5,8.75,5,585791436.823,110,5,95,7,4,116,,,
0.0,-5.0,5.0,8.75,1,57087520.5554,46,1,1,7,1,23,,,
0.0,-5.0,5.0,8.75,2,57087523.3456,46,1,3,7,1,23,,,
0.0,-5.0,5.0,8.75,3,57087548.8812,46,1,49,7,1,23,,,
0.0,-5.0,5.0,8.75,4,57088437.786,46,1,21,7,1,23,,,
0.0,-5.0,5.0,8.75,5,57098774.6267,46,1,13,7,1,23,,,
0.0,-2.5,5.0,8.75,1,577719156.62,17,5,4,61,3,145,,,
0.0,-2.5,5.0,8.75,2,577797591.476,80,1,2,61,3,145,,,
0.0,-2.5,5.0,8.75,3,577849788.809,80,1,4,61,3,145,,,
0.0,-2.5,5.0,8.75,4,577910037.536,79,1,2,61,3,145,,,
0.0,-2.5,5.0,8.75,5,577962234.869,79,1,4,61,3,145,,,
0.0,-2.5,-2.5,10.0,1,19288382.0786,17,3,4,6,1,4,,,
0.0,-2.5,-2.5,10.0,2,19288458.0657,17,3,4,6,1,96,,,
0.0,-2.5,-2.5,10.0,3,19288535.1057,17,3,4,6,1,36,,,
0.0,-2.5,-2.5,10.0,4,19288660.4809,17,3,4,6,1,174,,,
0.0,-2.5,-2.5,10.0,5,19288832.7072,17,3,4,6,1,37,,,
0.0,0.0,-2.5,10.0,1,48460935.4141,8,1,4,,,,38,4,5
0.0,0.0,-2.5,10.0,2,48579902.3653,8,1,1,,,,38,4,5
0.0,0.0,-2.5,10.0,3,49411093.767,108,1,4,,,,38,4,5
0.0,0.0,-2.5,10.0,4,49530060.7182,108,1,1,,,,38,4,5
0.0,0.0,-2.5,10.0,5,50801699.4379,108,1,2,,,,38,4,5
0.0,-5.0,0.0,10.0,1,1279963.2339,44,1,1,,,,25,5,21
0.0,-5.0,0.0,10.0,2,1282499.9012,44,1,187,,,,25,5,21
0.0,-5.0,0.0,10.0,3,1282612.5077,44,1,60,,,,25,5,21
0.0,-5.0,0.0,10.0,4,1283153.0343,44,1,49,,,,25,5,21
0.0,-5.0,0.0,10.0,5,1285942.0456,44,1,31,,,,25,5,21
0.0,0.0,0.0,10.0,1,181255789.156,17,3,1,,,,25,5,21
0.0,0.0,0.0,10.0,2,181255810.183,17,3,1,,,,25,5,4
0.0,0.0,0.0,10.0,3,181257128.006,17,3,1,,,,25,5,10
0.0,0.0,0.0,10.0,4,181268085.688,8,1,1,,,,25,5,21
0.0,0.0,0.0,10.0,5,181274274.118,8,1,1,,,,25,5,22
0.0,-5.0,2.5,10.0,1,33793706.5036,19,1,3,2,4,1,,,
0.0,-5.0,2.5,10.0,2,33793728.5242,19,1,42,2,4,1,,,
0.0,-5.0,2.5,10.0,3,33793755.3259,19,1,49,2,4,1,,,
0.0,-5.0,2.5,10.0,4,36869123.8843,19,1,16,2,4,1,,,
0.0,-5.0,2.5,10.0,5,42264829.925,19,1,3,2,4,2,,,
0.0,-2.5,2.5,10.0,1,962297.2796,118,1,4,,,,37,5,8
0.0,-2.5,2.5,10.0,2,963466.0731,122,1,4,,,,37,5,8
0.0,-2.5,2.5,10.0,3,963620.4376,118,1,2,,,,37,5,8
0.0,-2.5,2.5,10.0,4,964789.2311,122,1,2,,,,37,5,8
0.0,-2.5,2.5,10.0,5,973489.4301,118,1,4,,,,29,5,8
0.0,0.0,2.5,10.0,1,68306030.2453,105,5,4,33,4,38,,,
0.0,0.0,2.5,10.0,2,68315153.6508,80,4,4,33,4,38,,,
0.0,0.0,2.5,10.0,3,68334335.6797,82,4,4,33,4,38,,,
0.0,0.0,2.5,10.0,4,68341509.5811,79,4,4,33,4,38,,,
0.0,0.0,2.5,10.0,5,68393274.9584,105,5,4,33,4,37,,,
0.0,-5.0,5.0,10.0,1,289553.342,117,1,63,2,4,1,,,
0.0,-5.0,5.0,10.0,2,289588.425,117,1,42,2,4,1,,,
0.0,-5.0,5.0,10.0,3,289595.704,117,1,3,2,4,1,,,
0.0,-5.0,5.0,10.0,4,289596.724,117,1,187,2,4,1,,,
0.0,-5.0,5.0,10.0,5,289596.9861,117,1,4,2,4,1,,,
0.0,-2.5,5.0,10.0,1,4190563.9212,44,4,187,,,,25,5,34
0.0,-2.5,5.0,10.0,2,4190566.8266,46,4,187,,,,25,5,34
0.0,-2.5,5.0,10.0,3,4190567.4349,43,4,187,,,,25,5,34
0.0,-2.5,5.0,10.0,4,4197045.4296,44,4,49,,,,25,5,34
0.0,-2.5,5.0,10.0,5,4197048.335,46,4,49,,,,25,5,34
0.0,0.0,5.0,10.0,1,55446176.172,80,5,9,,,,31,5,9
0.0,0.0,5.0,10.0,2,55446179.2456,41,5,9,,,,31,5,9
0.0,0.0,5.0,10.0,3,55446183.5057,79,5,9,,,,31,5,9
0.0,0.0,5.0,10.0,4,55446184.9014,43,5,9,,,,31,5,9
0.0,0.0,5.0,10.0,5,55448098.7229,110,5,9,,,,31,5,9
0.0,-2.5,-10.0,11.25,1,361838785.789,116,1,4,38,1,113,,,
0.0,-2.5,-10.0,11.25,2,361838792.258,116,1,4,43,5,113,,,
0.0,-2.5,-10.0,11.25,3,361838792.684,116,1,4,35,1,113,,,
0.0,-2.5,-10.0,11.25,4,361838804.839,116,1,4,43,5,33,,,
0.0,-2.5,-10.0,11.25,5,361838805.151,116,1,4,43,5,174,,,
0.0,-5.0,-5.0,11.25,1,192069959.275,8,1,4,38,2,6,,,
0.0,-5.0,-5.0,11.25,2,192069971.386,8,1,4,38,2,77,,,
0.0,-5.0,-5.0,11.25,3,192069972.957,8,1,4,38,2,7,,,
0.0,-5.0,-5.0,11.25,4,192069976.168,8,1,4,38,2,23,,,
0.0,-5.0,-5.0,11.25,5,192069977.517,8,1,4,38,2,33,,,
0.0,-2.5,-2.5,11.25,1,2756867.315,17,3,4,6,1,4,,,
0.0,-2.5,-2.5,11.25,2,2756876.85,17,3,4,6,1,94,,,
0.0,-2.5,-2.5,11.25,3,2756878.5387,17,3,4,6,1,174,,,
0.0,-2.5,-2.5,11.25,4,2756878.6188,17,3,4,6,1,96,,,
0.0,-2.5,-2.5,11.25,5,2756879.8974,17,3,4,6,1,36,,,
0.0,0.0,-2.5,11.25,1,1555.7789,8,1,4,35,3,4,,,
0.0,0.0,-2.5,11.25,2,1558.2147,8,1,4,35,3,23,,,
0.0,0.0,-2.5,11.25,3,1559.9925,8,1,4,35,3,55,,,
0.0,0.0,-2.5,11.25,4,1560.0457,8,1,4,35,3,174,,,
0.0,0.0,-2.5,11.25,5,1560.5933,8,1,4,35,3,35,,,
0.0,-5.0,0.0,11.25,1,6410246.8816,108,1,4,,,,29,5,21
0.0,-5.0,0.0,11.25,2,6410248.816,108,1,4,,,,28,5,21
0.0,-5.0,0.0,11.25,3,6410882.99,108,1,4,,,,29,5,5
0.0,-5.0,0.0,11.25,4,6410884.9244,108,1,4,,,,28,5,5
0.0,-5.0,0.0,11.25,5,6410279.9666,108,1,1,,,,29,5,21
0.0,-2.5,0.0,11.25,1,176595.4318,43,1,1,19,3,6,,,
0.0,-2.5,0.0,11.25,2,179738.2961,43,1,1,19,3,36,,,
0.0,-2.5,0.0,11.25,3,184393.3808,43,1,1,19,3,7,,,
0.0,-2.5,0.0,11.25,4,189191.8789,43,1,1,19,3,116,,,
0.0,-2.5,0.0,11.25,5,189634.3248,43,1,1,19,3,79,,,
0.0,0.0,0.0,11.25,1,5303838.7929,17,3,4,,,,28,5,21
0.0,0.0,0.0,11.25,2,5303839.5754,17,3,4,,,,28,5,4
0.0,0.0,0.0,11.25,3,5303852.5438,17,3,4,,,,28,5,10
0.0,0.0,0.0,11.25,4,5303906.7949,17,3,4,,,,28,5,9
0.0,0.0,0.0,11.25,5,5303955.7472,17,3,4,,,,28,5,8
0.0,-5.0,2.5,11.25,1,19087.732,43,1,3,2,4,1,,,
0.0,-5.0,2.5,11.25,2,19116.1126,43,1,49,2,4,1,,,
0.0,-5.0,2.5,11.25,3,19190.6145,43,1,187,2,4,1,,,
0.0,-5.0,2.5,11.25,4,19262.8195,43,1,3,2,4,2,,,
0.0,-5.0,2.5,11.25,5,19291.2001,43,1,49,2,4,2,,,
0.0,-2.5,2.5,11.25,1,16600.3161,118,1,4,,,,29,5,21
0.0,-2.5,2.5,11.25,2,16614.6045,122,1,4,,,,29,5,21
0.0,-2.5,2.5,11.25,3,16615.8372,118,1,4,,,,28,5,21
0.0,-2.5,2.5,11.25,4,16630.1256,122,1,4,,,,28,5,21
0.0,-2.5,2.5,11.25,5,16879.8206,118,1,2,,,,29,5,21
0.0,0.0,2.5,11.25,1,129399288.584,126,2,4,,,,4,6,11
0.0,0.0,2.5,11.25,2,129586510.284,126,2,8,,,,4,6,11
0.0,0.0,2.5,11.25,3,132745477.37,126,2,65,,,,4,6,11
0.0,0.0,2.5,11.25,4,183938106.17,127,2,4,,,,4,6,11
0.0,0.0,2.5,11.25,5,184125327.87,127,2,8,,,,4,6,11
0.0,2.5,2.5,11.25,1,65303422.823,8,4,4,53,3,23,,,
0.0,2.5,2.5,11.25,2,65303438.5214,109,5,4,53,3,23,,,
0.0,2.5,2.5,11.25,3,65303440.2234,80,4,4,53,3,23,,,
0.0,2.5,2.5,11.25,4,65303448.3948,106,4,4,53,3,23,,,
0.0,2.5,2.5,11.25,5,65303451.1092,108,4,4,53,3,23,,,
0.0,-5.0,5.0,11.25,1,380.2698,44,1,3,2,4,1,,,
0.0,-5.0,5.0,11.25,2,383.7914,44,1,187,2,4,1,,,
0.0,-5.0,5.0,11.25,3,386.9526,44,1,60,2,4,1,,,
0.0,-5.0,5.0,11.25,4,393.2945,44,1,49,2,4,1,,,
0.0,-5.0,5.0,11.25,5,406.0634,44,1,16,2,4,1,,,
0.0,-2.5,5.0,11.25,1,1032421.0404,44,1,1,7,4,23,,,
0.0,-2.5,5.0,11.25,2,1032422.263,46,1,1,7,4,23,,,
0.0,-2.5,5.0,11.25,3,1032425.479,43,1,1,7,4,23,,,
0.0,-2.5,5.0,11.25,4,1032654.4478,12,3,1,7,4,23,,,
0.0,-2.5,5.0,11.25,5,1033514.001,109,5,42,7,4,23,,,
0.0,0.0,5.0,11.25,1,10010940.1508,118,1,4,,,,30,5,9
0.0,0.0,5.0,11.25,2,10010940.1245,122,1,4,,,,30,5,9
0.0,0.0,5.0,11.25,3,10010943.6248,117,1,4,,,,30,5,9
0.0,0.0,5.0,11.25,4,10010951.1129,80,4,4,,,,30,5,9
0.0,0.0,5.0,11.25,5,10010955.3674,79,4,4,,,,30,5,9
0.0,2.5,5.0,11.25,1,70310802.5805,114,2,13,,,,4,6,14
0.0,2.5,5.0,11.25,2,70310807.4053,114,2,13,,,,4,6,25
0.0,2.5,5.0,11.25,3,70310815.2711,114,2,13,,,,4,6,22
0.0,2.5,5.0,11.25,4,70310835.2216,114,2,13,,,,4,6,9
0.0,2.5,5.0,11.25,5,70310874.128,114,2,13,,,,4,6,21
0.0,-2.5,-10.0,12.5,1,24151454.4915,8,1,4,38,4,6,,,
0.0,-2.5,-10.0,12.5,2,24151512.6272,8,1,1,38,4,6,,,
0.0,-2.5,-10.0,12.5,3,24151457.6174,8,1,4,38,4,77,,,
0.0,-2.5,-10.0,12.5,4,24151457.6447,8,1,4,38,4,63,,,
0.0,-2.5,-10.0,12.5,5,24151457.7793,8,1,4,38,4,46,,,
0.0,0.0,-10.0,12.5,1,1072.3626,108,1,4,43,3,113,,,
0.0,0.0,-10.0,12.5,2,1075.8921,108,1,4,43,3,6,,,
0.0,0.0,-10.0,12.5,3,1076.0955,108,1,4,6,3,113,,,
0.0,0.0,-10.0,12.5,4,1077.1685,108,1,4,43,3,7,,,
0.0,0.0,-10.0,12.5,5,1077.3451,108,1,4,43,3,143,,,
