START	rep1_1ors_01	on 2017 June 10 at 00:06:40
DISK_USAGE	initial	624
SUB_TIME	NAMD relaxation of molecule /gpfs/work/m/mfa5147/OptMAVEn2.0/experiments/rep1_1ors_01/structures/MoleculeA.pdb	264.66685915
SUB_TIME	Mounting antigen A	0.344962835312
DISK_USAGE	after_antigen_initialization	1136
SUB_TIME	culling_clashes	6.29675388336
DISK_USAGE	after_culling_clashes	1856
DISK_USAGE	beginning_MAPs_energy_calculations	28960
TIME	antigen_relaxation_and_positioning	291.09
TIME	parts_23_to_23_interaction_energies	196.46
TIME	parts_24_to_24_interaction_energies	197.12
TIME	parts_66_to_66_interaction_energies	199.11
TIME	parts_65_to_65_interaction_energies	200.15
TIME	parts_64_to_64_interaction_energies	200.41
TIME	parts_108_to_108_interaction_energies	200.31
TIME	parts_107_to_107_interaction_energies	199.13
TIME	parts_152_to_152_interaction_energies	187.41
TIME	parts_150_to_150_interaction_energies	188.01
TIME	parts_151_to_151_interaction_energies	188.77
TIME	parts_148_to_148_interaction_energies	204.07
TIME	parts_149_to_149_interaction_energies	204.19
TIME	parts_191_to_191_interaction_energies	201.47
TIME	parts_192_to_192_interaction_energies	203.08
TIME	parts_1_to_1_interaction_energies	188.76
TIME	parts_2_to_2_interaction_energies	195.59
TIME	parts_3_to_3_interaction_energies	195.2
TIME	parts_5_to_5_interaction_energies	202.06
TIME	parts_6_to_6_interaction_energies	204.36
TIME	parts_4_to_4_interaction_energies	196.61
TIME	parts_7_to_7_interaction_energies	197.64
TIME	parts_8_to_8_interaction_energies	197.88
TIME	parts_14_to_14_interaction_energies	174.04
TIME	parts_11_to_11_interaction_energies	200.34
TIME	parts_9_to_9_interaction_energies	203.03
TIME	parts_10_to_10_interaction_energies	203.44
TIME	parts_13_to_13_interaction_energies	191.94
TIME	parts_12_to_12_interaction_energies	199.87
TIME	parts_15_to_15_interaction_energies	201.23
TIME	parts_16_to_16_interaction_energies	199.04
TIME	parts_18_to_18_interaction_energies	198.33
TIME	parts_17_to_17_interaction_energies	201.53
TIME	parts_19_to_19_interaction_energies	205.21
TIME	parts_20_to_20_interaction_energies	199.94
TIME	parts_21_to_21_interaction_energies	196.39
TIME	parts_22_to_22_interaction_energies	201.28
TIME	parts_25_to_25_interaction_energies	202.72
TIME	parts_26_to_26_interaction_energies	199.78
TIME	parts_27_to_27_interaction_energies	199.29
TIME	parts_29_to_29_interaction_energies	180.54
TIME	parts_28_to_28_interaction_energies	197.22
TIME	parts_30_to_30_interaction_energies	201.7
TIME	parts_34_to_34_interaction_energies	201.77
TIME	parts_33_to_33_interaction_energies	200.68
TIME	parts_35_to_35_interaction_energies	189.52
TIME	parts_32_to_32_interaction_energies	202.36
TIME	parts_31_to_31_interaction_energies	204.15
TIME	parts_36_to_36_interaction_energies	197.74
TIME	parts_37_to_37_interaction_energies	199.46
TIME	parts_38_to_38_interaction_energies	197.75
TIME	parts_39_to_39_interaction_energies	199.57
TIME	parts_40_to_40_interaction_energies	207.0
TIME	parts_41_to_41_interaction_energies	198.98
TIME	parts_42_to_42_interaction_energies	195.88
TIME	parts_43_to_43_interaction_energies	203.09
TIME	parts_45_to_45_interaction_energies	198.57
TIME	parts_44_to_44_interaction_energies	205.49
TIME	parts_46_to_46_interaction_energies	195.74
TIME	parts_47_to_47_interaction_energies	191.57
TIME	parts_48_to_48_interaction_energies	197.03
TIME	parts_49_to_49_interaction_energies	201.1
TIME	parts_52_to_52_interaction_energies	195.62
TIME	parts_51_to_51_interaction_energies	202.87
TIME	parts_50_to_50_interaction_energies	202.95
TIME	parts_55_to_55_interaction_energies	199.36
TIME	parts_54_to_54_interaction_energies	203.25
TIME	parts_53_to_53_interaction_energies	205.31
TIME	parts_56_to_56_interaction_energies	201.61
TIME	parts_57_to_57_interaction_energies	195.25
TIME	parts_58_to_58_interaction_energies	199.63
TIME	parts_59_to_59_interaction_energies	199.94
TIME	parts_61_to_61_interaction_energies	198.2
TIME	parts_60_to_60_interaction_energies	208.3
TIME	parts_62_to_62_interaction_energies	198.7
TIME	parts_112_to_112_interaction_energies	191.45
TIME	parts_113_to_113_interaction_energies	194.04
TIME	parts_111_to_111_interaction_energies	198.49
TIME	parts_161_to_161_interaction_energies	201.89
TIME	parts_162_to_162_interaction_energies	201.44
TIME	parts_163_to_163_interaction_energies	204.54
TIME	parts_166_to_166_interaction_energies	193.79
TIME	parts_165_to_165_interaction_energies	194.8
TIME	parts_164_to_164_interaction_energies	195.85
TIME	parts_212_to_212_interaction_energies	197.77
TIME	parts_213_to_213_interaction_energies	198.79
TIME	parts_211_to_211_interaction_energies	203.06
TIME	parts_210_to_210_interaction_energies	207.4
TIME	parts_257_to_257_interaction_energies	197.4
TIME	parts_255_to_255_interaction_energies	203.43
TIME	parts_256_to_256_interaction_energies	203.3
TIME	parts_258_to_258_interaction_energies	208.91
TIME	parts_299_to_299_interaction_energies	203.76
TIME	parts_345_to_345_interaction_energies	204.45
TIME	parts_342_to_342_interaction_energies	209.13
TIME	parts_343_to_343_interaction_energies	205.86
TIME	parts_344_to_344_interaction_energies	213.94
TIME	parts_63_to_63_interaction_energies	204.58
TIME	parts_67_to_67_interaction_energies	202.81
TIME	parts_68_to_68_interaction_energies	196.5
TIME	parts_69_to_69_interaction_energies	197.47
TIME	parts_71_to_71_interaction_energies	200.59
TIME	parts_70_to_70_interaction_energies	201.93
TIME	parts_72_to_72_interaction_energies	203.07
TIME	parts_73_to_73_interaction_energies	198.79
TIME	parts_75_to_75_interaction_energies	204.16
TIME	parts_74_to_74_interaction_energies	204.26
TIME	parts_79_to_79_interaction_energies	189.54
TIME	parts_76_to_76_interaction_energies	199.93
TIME	parts_78_to_78_interaction_energies	200.54
TIME	parts_77_to_77_interaction_energies	200.24
TIME	parts_80_to_80_interaction_energies	198.27
TIME	parts_81_to_81_interaction_energies	198.76
TIME	parts_82_to_82_interaction_energies	199.17
TIME	parts_83_to_83_interaction_energies	199.47
TIME	parts_84_to_84_interaction_energies	207.02
TIME	parts_85_to_85_interaction_energies	204.42
TIME	parts_86_to_86_interaction_energies	202.43
TIME	parts_87_to_87_interaction_energies	201.54
TIME	parts_88_to_88_interaction_energies	198.01
TIME	parts_89_to_89_interaction_energies	195.64
TIME	parts_90_to_90_interaction_energies	196.98
TIME	parts_91_to_91_interaction_energies	204.57
TIME	parts_92_to_92_interaction_energies	196.35
TIME	parts_93_to_93_interaction_energies	200.97
TIME	parts_94_to_94_interaction_energies	206.18
TIME	parts_95_to_95_interaction_energies	196.46
TIME	parts_96_to_96_interaction_energies	197.32
TIME	parts_98_to_98_interaction_energies	196.92
TIME	parts_97_to_97_interaction_energies	198.58
TIME	parts_99_to_99_interaction_energies	198.52
TIME	parts_100_to_100_interaction_energies	199.72
TIME	parts_101_to_101_interaction_energies	194.52
TIME	parts_102_to_102_interaction_energies	196.6
TIME	parts_103_to_103_interaction_energies	205.74
TIME	parts_104_to_104_interaction_energies	205.46
TIME	parts_105_to_105_interaction_energies	204.39
TIME	parts_110_to_110_interaction_energies	193.92
TIME	parts_106_to_106_interaction_energies	202.29
TIME	parts_109_to_109_interaction_energies	197.0
TIME	parts_114_to_114_interaction_energies	202.62
TIME	parts_115_to_115_interaction_energies	203.5
TIME	parts_116_to_116_interaction_energies	197.54
TIME	parts_117_to_117_interaction_energies	203.72
TIME	parts_120_to_120_interaction_energies	195.7
TIME	parts_119_to_119_interaction_energies	200.69
TIME	parts_118_to_118_interaction_energies	203.54
TIME	parts_121_to_121_interaction_energies	198.09
TIME	parts_122_to_122_interaction_energies	199.92
TIME	parts_124_to_124_interaction_energies	194.82
TIME	parts_125_to_125_interaction_energies	197.53
TIME	parts_123_to_123_interaction_energies	199.22
TIME	parts_126_to_126_interaction_energies	196.97
TIME	parts_127_to_127_interaction_energies	202.95
TIME	parts_128_to_128_interaction_energies	204.7
TIME	parts_131_to_131_interaction_energies	196.3
TIME	parts_129_to_129_interaction_energies	201.69
TIME	parts_130_to_130_interaction_energies	202.7
TIME	parts_132_to_132_interaction_energies	196.59
TIME	parts_133_to_133_interaction_energies	201.82
TIME	parts_134_to_134_interaction_energies	203.16
TIME	parts_135_to_135_interaction_energies	193.63
TIME	parts_136_to_136_interaction_energies	204.65
TIME	parts_137_to_137_interaction_energies	203.2
TIME	parts_138_to_138_interaction_energies	200.84
TIME	parts_141_to_141_interaction_energies	198.43
TIME	parts_140_to_140_interaction_energies	200.56
TIME	parts_143_to_143_interaction_energies	202.47
TIME	parts_139_to_139_interaction_energies	204.06
TIME	parts_144_to_144_interaction_energies	193.71
TIME	parts_142_to_142_interaction_energies	200.59
TIME	parts_145_to_145_interaction_energies	197.77
TIME	parts_146_to_146_interaction_energies	192.25
TIME	parts_154_to_154_interaction_energies	197.54
TIME	parts_147_to_147_interaction_energies	206.31
TIME	parts_153_to_153_interaction_energies	203.23
TIME	parts_155_to_155_interaction_energies	202.89
TIME	parts_156_to_156_interaction_energies	197.35
TIME	parts_157_to_157_interaction_energies	195.65
TIME	parts_159_to_159_interaction_energies	199.55
TIME	parts_158_to_158_interaction_energies	206.27
TIME	parts_160_to_160_interaction_energies	204.74
TIME	parts_168_to_168_interaction_energies	195.13
TIME	parts_167_to_167_interaction_energies	204.12
TIME	parts_171_to_171_interaction_energies	200.91
TIME	parts_174_to_174_interaction_energies	193.89
TIME	parts_170_to_170_interaction_energies	199.92
TIME	parts_169_to_169_interaction_energies	201.19
TIME	parts_173_to_173_interaction_energies	201.21
TIME	parts_172_to_172_interaction_energies	204.27
TIME	parts_175_to_175_interaction_energies	199.73
TIME	parts_176_to_176_interaction_energies	198.69
TIME	parts_177_to_177_interaction_energies	196.91
TIME	parts_179_to_179_interaction_energies	198.41
TIME	parts_178_to_178_interaction_energies	205.17
TIME	parts_181_to_181_interaction_energies	201.39
TIME	parts_180_to_180_interaction_energies	203.62
TIME	parts_182_to_182_interaction_energies	201.03
TIME	parts_184_to_184_interaction_energies	198.22
TIME	parts_183_to_183_interaction_energies	203.68
TIME	parts_185_to_185_interaction_energies	204.25
TIME	parts_188_to_188_interaction_energies	194.32
TIME	parts_186_to_186_interaction_energies	200.0
TIME	parts_187_to_187_interaction_energies	202.48
TIME	parts_190_to_190_interaction_energies	194.52
TIME	parts_189_to_189_interaction_energies	205.58
TIME	parts_193_to_193_interaction_energies	198.8
TIME	parts_194_to_194_interaction_energies	201.32
TIME	parts_196_to_196_interaction_energies	199.13
TIME	parts_195_to_195_interaction_energies	204.74
TIME	parts_197_to_197_interaction_energies	202.51
TIME	parts_198_to_198_interaction_energies	197.08
TIME	parts_199_to_199_interaction_energies	203.61
TIME	parts_200_to_200_interaction_energies	204.51
TIME	parts_202_to_202_interaction_energies	198.57
TIME	parts_201_to_201_interaction_energies	197.49
TIME	parts_204_to_204_interaction_energies	197.64
TIME	parts_203_to_203_interaction_energies	204.95
TIME	parts_205_to_205_interaction_energies	203.99
TIME	parts_207_to_207_interaction_energies	197.23
TIME	parts_206_to_206_interaction_energies	204.45
TIME	parts_209_to_209_interaction_energies	203.8
TIME	parts_208_to_208_interaction_energies	201.67
TIME	parts_214_to_214_interaction_energies	200.58
TIME	parts_215_to_215_interaction_energies	201.01
TIME	parts_216_to_216_interaction_energies	207.84
TIME	parts_219_to_219_interaction_energies	197.98
TIME	parts_217_to_217_interaction_energies	202.65
TIME	parts_218_to_218_interaction_energies	206.45
TIME	parts_220_to_220_interaction_energies	202.07
TIME	parts_221_to_221_interaction_energies	211.26
TIME	parts_222_to_222_interaction_energies	201.76
TIME	parts_223_to_223_interaction_energies	195.68
TIME	parts_225_to_225_interaction_energies	201.72
TIME	parts_224_to_224_interaction_energies	194.51
TIME	parts_226_to_226_interaction_energies	199.7
TIME	parts_227_to_227_interaction_energies	204.56
TIME	parts_228_to_228_interaction_energies	204.08
TIME	parts_229_to_229_interaction_energies	197.09
TIME	parts_230_to_230_interaction_energies	205.62
TIME	parts_231_to_231_interaction_energies	203.95
TIME	parts_232_to_232_interaction_energies	203.82
TIME	parts_233_to_233_interaction_energies	200.73
TIME	parts_235_to_235_interaction_energies	203.34
TIME	parts_234_to_234_interaction_energies	201.86
TIME	parts_237_to_237_interaction_energies	198.54
TIME	parts_239_to_239_interaction_energies	200.5
TIME	parts_236_to_236_interaction_energies	202.33
TIME	parts_238_to_238_interaction_energies	203.88
TIME	parts_240_to_240_interaction_energies	209.57
TIME	parts_241_to_241_interaction_energies	201.09
TIME	parts_244_to_244_interaction_energies	201.5
TIME	parts_245_to_245_interaction_energies	199.12
TIME	parts_242_to_242_interaction_energies	207.25
TIME	parts_243_to_243_interaction_energies	202.06
TIME	parts_246_to_246_interaction_energies	199.95
TIME	parts_247_to_247_interaction_energies	203.87
TIME	parts_248_to_248_interaction_energies	194.75
TIME	parts_249_to_249_interaction_energies	205.05
TIME	parts_250_to_250_interaction_energies	201.84
TIME	parts_251_to_251_interaction_energies	202.39
TIME	parts_252_to_252_interaction_energies	201.54
TIME	parts_253_to_253_interaction_energies	201.39
TIME	parts_254_to_254_interaction_energies	208.97
TIME	parts_260_to_260_interaction_energies	199.73
TIME	parts_261_to_261_interaction_energies	201.71
TIME	parts_259_to_259_interaction_energies	200.76
TIME	parts_262_to_262_interaction_energies	206.74
TIME	parts_263_to_263_interaction_energies	210.36
TIME	parts_264_to_264_interaction_energies	202.93
TIME	parts_265_to_265_interaction_energies	202.54
TIME	parts_268_to_268_interaction_energies	194.98
TIME	parts_267_to_267_interaction_energies	205.08
TIME	parts_269_to_269_interaction_energies	201.8
TIME	parts_266_to_266_interaction_energies	206.46
TIME	parts_271_to_271_interaction_energies	197.66
TIME	parts_270_to_270_interaction_energies	207.12
TIME	parts_273_to_273_interaction_energies	201.95
TIME	parts_272_to_272_interaction_energies	206.01
TIME	parts_274_to_274_interaction_energies	205.57
TIME	parts_275_to_275_interaction_energies	204.94
TIME	parts_278_to_278_interaction_energies	197.37
TIME	parts_280_to_280_interaction_energies	200.69
TIME	parts_276_to_276_interaction_energies	205.27
TIME	parts_279_to_279_interaction_energies	203.98
TIME	parts_277_to_277_interaction_energies	205.26
TIME	parts_281_to_281_interaction_energies	208.17
TIME	parts_284_to_284_interaction_energies	201.94
TIME	parts_283_to_283_interaction_energies	203.52
TIME	parts_282_to_282_interaction_energies	213.79
TIME	parts_285_to_285_interaction_energies	208.07
TIME	parts_286_to_286_interaction_energies	202.28
TIME	parts_289_to_289_interaction_energies	198.65
TIME	parts_288_to_288_interaction_energies	202.25
TIME	parts_287_to_287_interaction_energies	205.74
TIME	parts_290_to_290_interaction_energies	198.41
TIME	parts_291_to_291_interaction_energies	207.43
TIME	parts_292_to_292_interaction_energies	209.14
TIME	parts_293_to_293_interaction_energies	206.29
TIME	parts_294_to_294_interaction_energies	204.29
TIME	parts_296_to_296_interaction_energies	202.53
TIME	parts_295_to_295_interaction_energies	204.4
TIME	parts_298_to_298_interaction_energies	204.23
TIME	parts_300_to_300_interaction_energies	214.37
TIME	parts_297_to_297_interaction_energies	206.43
TIME	parts_301_to_301_interaction_energies	199.82
TIME	parts_302_to_302_interaction_energies	200.69
TIME	parts_306_to_306_interaction_energies	199.75
TIME	parts_303_to_303_interaction_energies	205.8
TIME	parts_305_to_305_interaction_energies	210.68
TIME	parts_304_to_304_interaction_energies	213.87
TIME	parts_310_to_310_interaction_energies	198.98
TIME	parts_308_to_308_interaction_energies	201.56
TIME	parts_307_to_307_interaction_energies	204.26
TIME	parts_309_to_309_interaction_energies	209.34
TIME	parts_311_to_311_interaction_energies	208.41
TIME	parts_312_to_312_interaction_energies	198.72
TIME	parts_313_to_313_interaction_energies	206.24
TIME	parts_315_to_315_interaction_energies	204.07
TIME	parts_314_to_314_interaction_energies	205.84
TIME	parts_316_to_316_interaction_energies	207.59
TIME	parts_317_to_317_interaction_energies	205.58
TIME	parts_318_to_318_interaction_energies	205.0
TIME	parts_320_to_320_interaction_energies	215.17
TIME	parts_319_to_319_interaction_energies	207.45
TIME	parts_321_to_321_interaction_energies	199.53
TIME	parts_322_to_322_interaction_energies	199.53
TIME	parts_327_to_327_interaction_energies	199.53
TIME	parts_323_to_323_interaction_energies	201.01
TIME	parts_324_to_324_interaction_energies	209.22
TIME	parts_325_to_325_interaction_energies	205.21
TIME	parts_326_to_326_interaction_energies	205.52
TIME	parts_328_to_328_interaction_energies	206.85
TIME	parts_329_to_329_interaction_energies	209.25
TIME	parts_330_to_330_interaction_energies	203.85
TIME	parts_331_to_331_interaction_energies	205.55
TIME	parts_334_to_334_interaction_energies	193.64
TIME	parts_332_to_332_interaction_energies	213.31
TIME	parts_335_to_335_interaction_energies	194.47
TIME	parts_333_to_333_interaction_energies	211.02
TIME	parts_336_to_336_interaction_energies	206.96
TIME	parts_337_to_337_interaction_energies	210.29
TIME	parts_339_to_339_interaction_energies	207.91
TIME	parts_338_to_338_interaction_energies	210.53
TIME	parts_340_to_340_interaction_energies	208.02
TIME	parts_346_to_346_interaction_energies	189.72
TIME	parts_341_to_341_interaction_energies	213.53
TIME	parts_347_to_347_interaction_energies	210.85
TIME	parts_350_to_350_interaction_energies	203.08
TIME	parts_349_to_349_interaction_energies	205.54
TIME	parts_348_to_348_interaction_energies	208.49
TIME	parts_351_to_351_interaction_energies	210.32
TIME	parts_353_to_353_interaction_energies	209.59
TIME	parts_352_to_352_interaction_energies	212.44
TIME	parts_354_to_354_interaction_energies	213.85
TIME	parts_355_to_355_interaction_energies	208.72
TIME	parts_356_to_356_interaction_energies	207.23
TIME	parts_357_to_357_interaction_energies	203.79
TIME	parts_358_to_358_interaction_energies	207.88
TIME	parts_359_to_359_interaction_energies	211.44
TIME	parts_360_to_360_interaction_energies	217.23
TIME	parts_362_to_362_interaction_energies	213.53
TIME	parts_361_to_361_interaction_energies	213.72
TIME	parts_363_to_363_interaction_energies	207.57
TIME	parts_364_to_364_interaction_energies	206.62
