zRot,x,y,z,cut,energy,HV,HJ,HCDR3,KV,KJ,KCDR3,LV,LJ,LCDR3
60.0,-5.0,-7.5,3.75,1,24255988871.1,77,4,75,17,3,199,,,
60.0,-5.0,-7.5,3.75,2,24255988912.5,77,4,75,37,3,199,,,
60.0,-5.0,-7.5,3.75,3,24255988923.3,86,4,75,17,3,199,,,
60.0,-5.0,-7.5,3.75,4,24255988945.0,77,4,75,55,3,199,,,
60.0,-5.0,-7.5,3.75,5,24255988951.3,84,4,75,17,3,199,,,
60.0,-5.0,-7.5,16.25,1,135346002.364,8,4,1,,,,31,5,29
60.0,-5.0,-7.5,16.25,2,135347117.858,108,4,1,,,,31,5,29
60.0,-5.0,-7.5,16.25,3,135349402.639,109,5,1,,,,31,5,36
60.0,-5.0,-7.5,16.25,4,135350308.579,108,4,1,,,,31,5,36
60.0,-5.0,-7.5,16.25,5,135350756.491,109,5,1,,,,31,5,11
60.0,-5.0,-5.0,16.25,1,51890177.4553,132,4,2,,,,28,5,21
60.0,-5.0,-5.0,16.25,2,51891564.5244,134,4,2,,,,28,5,21
60.0,-5.0,-5.0,16.25,3,51895964.3978,122,1,2,,,,28,5,21
60.0,-5.0,-5.0,16.25,4,51896069.5649,118,1,2,,,,28,5,21
60.0,-5.0,-5.0,16.25,5,51898712.8933,122,1,2,,,,28,5,8
60.0,-5.0,-2.5,16.25,1,348240139.174,111,2,2,,,,15,6,22
60.0,-5.0,-2.5,16.25,2,348240358.421,111,2,2,,,,15,6,25
60.0,-5.0,-2.5,16.25,3,348241519.362,111,2,2,,,,15,6,17
60.0,-5.0,-2.5,16.25,4,348243241.185,111,2,2,,,,15,6,23
60.0,-5.0,-2.5,16.25,5,348243710.473,111,2,2,,,,15,6,29
120.0,0.0,-7.5,3.75,1,13964342176.3,135,4,4,17,4,106,,,
120.0,0.0,-7.5,3.75,2,13964342307.1,137,4,4,17,4,106,,,
120.0,0.0,-7.5,3.75,3,13964342407.4,132,4,4,17,4,106,,,
120.0,0.0,-7.5,3.75,4,13964342474.2,134,4,4,17,4,106,,,
120.0,0.0,-7.5,3.75,5,13964342655.0,106,4,4,17,4,106,,,
120.0,-2.5,-2.5,12.5,1,1491482341.73,137,4,2,65,3,123,,,
120.0,-2.5,-2.5,12.5,2,1491499305.83,137,4,4,65,3,123,,,
120.0,-2.5,-2.5,12.5,3,1491535316.15,137,4,3,65,3,123,,,
120.0,-2.5,-2.5,12.5,4,1491559815.9,137,4,1,65,3,123,,,
120.0,-2.5,-2.5,12.5,5,1491643948.83,137,4,92,65,3,123,,,
120.0,-2.5,0.0,12.5,1,974419200.557,103,1,1,,,,25,5,25
120.0,-2.5,0.0,12.5,2,974481133.212,103,1,21,,,,25,5,25
120.0,-2.5,0.0,12.5,3,974490570.677,103,1,14,,,,25,5,25
120.0,-2.5,0.0,12.5,4,974777810.684,103,1,10,,,,25,5,25
120.0,-2.5,0.0,12.5,5,976421045.33,103,1,19,,,,25,5,25
120.0,-5.0,-2.5,13.75,1,15219218.0552,41,4,1,10,2,23,,,
120.0,-5.0,-2.5,13.75,2,15219218.061,41,4,3,10,2,23,,,
120.0,-5.0,-2.5,13.75,3,15219541.1534,41,4,49,10,2,23,,,
120.0,-5.0,-2.5,13.75,4,15224839.5848,41,4,3,9,2,23,,,
120.0,-5.0,-2.5,13.75,5,15249945.0354,41,4,1,5,4,23,,,
120.0,-2.5,-2.5,13.75,1,148267259.046,105,5,2,34,4,23,,,
120.0,-2.5,-2.5,13.75,2,148311637.583,105,5,41,34,4,23,,,
120.0,-2.5,-2.5,13.75,3,148417679.012,105,5,2,18,4,23,,,
120.0,-2.5,-2.5,13.75,4,148417727.097,105,5,4,18,4,23,,,
120.0,-2.5,-2.5,13.75,5,148418635.666,104,5,2,34,5,23,,,
120.0,-5.0,0.0,13.75,1,206453659.79,102,5,21,6,1,23,,,
120.0,-5.0,0.0,13.75,2,206453666.267,102,5,3,6,1,23,,,
120.0,-5.0,0.0,13.75,3,206453667.459,102,5,1,6,1,23,,,
120.0,-5.0,0.0,13.75,4,206453668.624,102,5,4,6,1,23,,,
120.0,-5.0,0.0,13.75,5,206453673.637,102,5,12,6,1,23,,,
120.0,-2.5,0.0,13.75,1,1869260795.44,122,1,3,9,2,135,,,
120.0,-2.5,0.0,13.75,2,1869298389.6,122,1,62,9,2,135,,,
120.0,-2.5,0.0,13.75,3,1869405735.35,118,1,3,9,2,135,,,
120.0,-2.5,0.0,13.75,4,1869443329.52,118,1,62,9,2,135,,,
120.0,-2.5,0.0,13.75,5,1869441612.77,121,1,3,9,2,135,,,
120.0,0.0,0.0,13.75,1,694693686.855,102,5,11,54,2,10,,,
120.0,0.0,0.0,13.75,2,694693689.691,102,5,21,54,2,10,,,
120.0,0.0,0.0,13.75,3,694693692.381,102,5,1,54,2,10,,,
120.0,0.0,0.0,13.75,4,694693694.318,102,5,3,54,2,10,,,
120.0,0.0,0.0,13.75,5,694693696.714,102,5,2,54,2,10,,,
120.0,-2.5,2.5,13.75,1,282397617.239,104,5,3,7,4,99,,,
120.0,-2.5,2.5,13.75,2,282397620.821,104,5,1,7,4,99,,,
120.0,-2.5,2.5,13.75,3,282397622.02,104,5,8,7,4,99,,,
120.0,-2.5,2.5,13.75,4,282397622.541,104,5,11,7,4,99,,,
120.0,-2.5,2.5,13.75,5,282397769.863,104,5,16,7,4,99,,,
120.0,-2.5,-5.0,15.0,1,746576.245,106,4,42,7,4,86,,,
120.0,-2.5,-5.0,15.0,2,746728.5561,107,4,42,7,4,86,,,
120.0,-2.5,-5.0,15.0,3,746817.7807,103,4,42,7,4,86,,,
120.0,-2.5,-5.0,15.0,4,748170.5027,110,5,42,7,4,86,,,
120.0,-2.5,-5.0,15.0,5,750793.0484,117,1,42,7,4,86,,,
120.0,0.0,-5.0,15.0,1,11218121.249,134,4,4,2,4,1,,,
120.0,0.0,-5.0,15.0,2,11218122.3873,110,5,4,2,4,1,,,
120.0,0.0,-5.0,15.0,3,11218122.5264,132,4,4,2,4,1,,,
120.0,0.0,-5.0,15.0,4,11218124.0329,107,4,4,2,4,1,,,
120.0,0.0,-5.0,15.0,5,11218124.7024,106,4,4,2,4,1,,,
120.0,2.5,-5.0,15.0,1,203475115.46,127,2,3,53,3,199,,,
120.0,2.5,-5.0,15.0,2,203475123.126,128,2,3,53,3,199,,,
120.0,2.5,-5.0,15.0,3,203475124.236,126,2,3,53,3,199,,,
120.0,2.5,-5.0,15.0,4,203475134.019,62,4,3,53,3,199,,,
120.0,2.5,-5.0,15.0,5,203475144.553,86,4,3,53,3,199,,,
120.0,-5.0,-2.5,15.0,1,231236.6436,80,4,42,10,2,23,,,
120.0,-5.0,-2.5,15.0,2,231239.5465,80,4,3,10,2,23,,,
120.0,-5.0,-2.5,15.0,3,231240.3598,80,4,1,10,2,23,,,
120.0,-5.0,-2.5,15.0,4,231241.9222,80,4,2,10,2,23,,,
120.0,-5.0,-2.5,15.0,5,231242.7911,80,4,4,10,2,23,,,
120.0,-2.5,-2.5,15.0,1,202488170.193,87,4,41,9,2,14,,,
120.0,-2.5,-2.5,15.0,2,202489443.679,116,4,41,9,2,14,,,
120.0,-2.5,-2.5,15.0,3,202489634.072,78,4,41,9,2,14,,,
120.0,-2.5,-2.5,15.0,4,202488373.673,122,1,41,9,2,14,,,
120.0,-2.5,-2.5,15.0,5,202488513.912,118,1,41,9,2,14,,,
120.0,0.0,-2.5,15.0,1,797564101.413,102,5,9,7,4,157,,,
120.0,0.0,-2.5,15.0,2,797564098.11,111,2,21,7,4,157,,,
120.0,0.0,-2.5,15.0,3,797564110.61,114,2,21,7,4,157,,,
120.0,0.0,-2.5,15.0,4,797564107.477,122,1,21,7,4,157,,,
120.0,0.0,-2.5,15.0,5,797564108.745,118,1,21,7,4,157,,,
120.0,-5.0,0.0,15.0,1,59984640.4163,108,4,92,53,5,23,,,
120.0,-5.0,0.0,15.0,2,59984643.1848,108,4,10,53,5,23,,,
120.0,-5.0,0.0,15.0,3,59984652.0401,108,4,5,53,5,23,,,
120.0,-5.0,0.0,15.0,4,59984652.612,108,4,3,53,5,23,,,
120.0,-5.0,0.0,15.0,5,59984652.6657,108,4,52,53,5,23,,,
120.0,-2.5,0.0,15.0,1,362526804.181,122,1,92,35,4,91,,,
120.0,-2.5,0.0,15.0,2,362526811.836,122,1,21,35,4,91,,,
120.0,-2.5,0.0,15.0,3,362526812.586,122,1,11,35,4,91,,,
120.0,-2.5,0.0,15.0,4,362526812.628,122,1,12,35,4,91,,,
120.0,-2.5,0.0,15.0,5,362526817.978,122,1,1,35,4,91,,,
120.0,-5.0,2.5,15.0,1,17433840.693,117,1,97,2,4,1,,,
120.0,-5.0,2.5,15.0,2,17433841.1243,117,1,101,2,4,1,,,
120.0,-5.0,2.5,15.0,3,17433845.4074,117,1,81,2,4,1,,,
