zRot,x,y,z,cut,energy,HV,HJ,HCDR3,KV,KJ,KCDR3,LV,LJ,LCDR3
0.0,-2.5,5.0,5.0,1,3463127460.89,44,5,31,,,,22,5,30
0.0,-2.5,5.0,5.0,2,3463127464.04,44,5,16,,,,22,5,30
0.0,-2.5,5.0,5.0,3,3463127467.4,44,5,32,,,,22,5,30
0.0,-2.5,5.0,5.0,4,3463127476.74,44,5,187,,,,22,5,30
0.0,-2.5,5.0,5.0,5,3463127479.23,44,5,60,,,,22,5,30
0.0,0.0,2.5,6.25,1,27507997.7104,123,5,4,6,4,176,,,
0.0,0.0,2.5,6.25,2,27508184.6452,123,5,42,6,4,176,,,
0.0,0.0,2.5,6.25,3,27512609.4829,123,5,60,6,4,176,,,
0.0,0.0,2.5,6.25,4,27522691.5059,123,5,41,6,4,176,,,
0.0,0.0,2.5,6.25,5,27540516.1263,123,5,212,6,4,176,,,
0.0,-2.5,5.0,6.25,1,759462952.615,44,1,120,37,2,108,,,
0.0,-2.5,5.0,6.25,2,759462954.935,44,1,92,37,2,108,,,
0.0,-2.5,5.0,6.25,3,759462959.976,44,1,16,37,2,108,,,
0.0,-2.5,5.0,6.25,4,759462964.723,44,1,187,37,2,108,,,
0.0,-2.5,5.0,6.25,5,759462968.182,44,1,60,37,2,108,,,
0.0,5.0,-10.0,7.5,1,2227093.053,78,1,66,57,3,129,,,
0.0,5.0,-10.0,7.5,2,2227094.6582,78,1,66,57,3,102,,,
0.0,5.0,-10.0,7.5,3,2227196.6716,93,4,66,57,3,149,,,
0.0,5.0,-10.0,7.5,4,2227198.0809,93,4,66,57,3,119,,,
0.0,5.0,-10.0,7.5,5,2227196.0224,93,4,66,57,5,117,,,
0.0,0.0,-7.5,7.5,1,27401368.0329,54,2,8,58,4,5,,,
0.0,0.0,-7.5,7.5,2,27401369.2026,54,2,8,58,4,84,,,
0.0,0.0,-7.5,7.5,3,27401373.8616,54,2,8,58,4,82,,,
0.0,0.0,-7.5,7.5,4,27401375.2431,54,2,8,58,4,172,,,
0.0,0.0,-7.5,7.5,5,27401365.8264,54,2,8,58,4,120,,,
0.0,0.0,2.5,7.5,1,2145076.4502,102,5,2,,,,30,1,14
0.0,0.0,2.5,7.5,2,2145082.3847,102,5,42,,,,30,1,14
0.0,0.0,2.5,7.5,3,2145093.4895,102,5,4,,,,30,1,14
0.0,0.0,2.5,7.5,4,2145130.705,102,5,315,,,,30,1,14
0.0,0.0,2.5,7.5,5,2145138.5915,102,5,60,,,,30,1,14
0.0,-2.5,5.0,7.5,1,74075436.3717,46,4,31,60,3,51,,,
0.0,-2.5,5.0,7.5,2,74075441.0488,46,4,32,60,3,51,,,
0.0,-2.5,5.0,7.5,3,74075445.3303,46,4,187,60,3,51,,,
0.0,-2.5,5.0,7.5,4,74075448.7949,46,4,3,60,3,51,,,
0.0,-2.5,5.0,7.5,5,74075451.9403,46,4,64,60,3,51,,,
0.0,0.0,5.0,7.5,1,73832613.0635,114,2,42,,,,15,6,6
0.0,0.0,5.0,7.5,2,73832618.2321,114,2,187,,,,15,6,6
0.0,0.0,5.0,7.5,3,73832620.4171,114,2,60,,,,15,6,6
0.0,0.0,5.0,7.5,4,73832625.3292,114,2,2,,,,15,6,6
0.0,0.0,5.0,7.5,5,73832625.9372,114,2,31,,,,15,6,6
0.0,5.0,-10.0,8.75,1,55865.7871,123,5,83,,,,17,5,22
0.0,5.0,-10.0,8.75,2,55865.9047,123,5,83,,,,17,5,21
0.0,5.0,-10.0,8.75,3,55911.3582,108,1,83,,,,17,5,22
0.0,5.0,-10.0,8.75,4,55911.4758,108,1,83,,,,17,5,21
0.0,5.0,-10.0,8.75,5,66139.5044,8,1,7,15,3,123,,,
0.0,0.0,-7.5,8.75,1,145472960.335,17,5,8,,,,25,5,25
0.0,0.0,-7.5,8.75,2,145472960.871,17,5,8,,,,25,5,22
0.0,0.0,-7.5,8.75,3,145472961.092,17,5,8,,,,25,5,17
0.0,0.0,-7.5,8.75,4,145472961.352,17,5,8,,,,25,5,16
0.0,0.0,-7.5,8.75,5,145472961.474,17,5,8,,,,25,5,21
0.0,5.0,-7.5,8.75,1,25917.4864,60,4,24,,,,22,5,36
0.0,5.0,-7.5,8.75,2,25918.7871,59,4,24,,,,22,5,36
