START	rep1_2igf_01	on 2017 June 13 at 03:02:31
DISK_USAGE	initial	472
SUB_TIME	NAMD relaxation of molecule /gpfs/work/m/mfa5147/OptMAVEn2.0/experiments/rep1_2igf_01/structures/MoleculeA.pdb	144.867870808
SUB_TIME	Mounting antigen A	0.289556026459
DISK_USAGE	after_antigen_initialization	536
SUB_TIME	culling_clashes	5.50647592545
DISK_USAGE	after_culling_clashes	536
DISK_USAGE	beginning_MAPs_energy_calculations	29192
TIME	antigen_relaxation_and_positioning	167.7
TIME	parts_16_to_16_interaction_energies	86.12
TIME	parts_13_to_13_interaction_energies	85.24
TIME	parts_19_to_19_interaction_energies	88.44
TIME	parts_5_to_5_interaction_energies	92.91
TIME	parts_15_to_15_interaction_energies	93.82
TIME	parts_20_to_20_interaction_energies	94.05
TIME	parts_7_to_7_interaction_energies	91.05
TIME	parts_6_to_6_interaction_energies	93.3
TIME	parts_11_to_11_interaction_energies	100.39
TIME	parts_21_to_21_interaction_energies	93.93
TIME	parts_17_to_17_interaction_energies	97.78
TIME	parts_10_to_10_interaction_energies	96.42
TIME	parts_9_to_9_interaction_energies	95.99
TIME	parts_12_to_12_interaction_energies	96.95
TIME	parts_8_to_8_interaction_energies	98.13
TIME	parts_22_to_22_interaction_energies	102.93
TIME	parts_14_to_14_interaction_energies	105.78
TIME	parts_18_to_18_interaction_energies	93.1
TIME	parts_1_to_1_interaction_energies	81.46
TIME	parts_2_to_2_interaction_energies	85.21
TIME	parts_4_to_4_interaction_energies	88.55
TIME	parts_3_to_3_interaction_energies	89.28
TIME	parts_24_to_24_interaction_energies	89.12
TIME	parts_26_to_26_interaction_energies	92.04
TIME	parts_25_to_25_interaction_energies	90.4
TIME	parts_28_to_28_interaction_energies	93.3
TIME	parts_29_to_29_interaction_energies	93.14
TIME	parts_30_to_30_interaction_energies	96.49
TIME	parts_27_to_27_interaction_energies	98.11
TIME	parts_35_to_35_interaction_energies	84.12
TIME	parts_34_to_34_interaction_energies	96.3
TIME	parts_36_to_36_interaction_energies	95.38
TIME	parts_31_to_31_interaction_energies	97.89
TIME	parts_33_to_33_interaction_energies	107.23
TIME	parts_32_to_32_interaction_energies	107.13
TIME	parts_39_to_39_interaction_energies	93.19
TIME	parts_40_to_40_interaction_energies	93.5
TIME	parts_41_to_41_interaction_energies	96.79
TIME	parts_23_to_23_interaction_energies	93.38
TIME	parts_38_to_38_interaction_energies	94.27
TIME	parts_37_to_37_interaction_energies	95.87
TIME	parts_42_to_42_interaction_energies	96.3
TIME	parts_45_to_45_interaction_energies	82.02
TIME	parts_47_to_47_interaction_energies	92.48
TIME	parts_43_to_43_interaction_energies	95.6
TIME	parts_44_to_44_interaction_energies	108.24
TIME	parts_46_to_46_interaction_energies	87.72
TIME	parts_49_to_49_interaction_energies	93.3
TIME	parts_54_to_54_interaction_energies	90.3
TIME	parts_53_to_53_interaction_energies	94.88
TIME	parts_52_to_52_interaction_energies	98.94
TIME	parts_50_to_50_interaction_energies	96.64
TIME	parts_48_to_48_interaction_energies	96.94
TIME	parts_51_to_51_interaction_energies	98.47
TIME	parts_55_to_55_interaction_energies	100.79
TIME	parts_58_to_58_interaction_energies	95.14
TIME	parts_59_to_59_interaction_energies	97.63
TIME	parts_57_to_57_interaction_energies	101.38
TIME	parts_61_to_61_interaction_energies	94.17
TIME	parts_64_to_64_interaction_energies	94.17
TIME	parts_62_to_62_interaction_energies	95.79
TIME	parts_65_to_65_interaction_energies	97.25
TIME	parts_60_to_60_interaction_energies	97.96
TIME	parts_63_to_63_interaction_energies	109.07
TIME	parts_56_to_56_interaction_energies	93.79
TIME	parts_66_to_66_interaction_energies	91.71
TIME	parts_68_to_68_interaction_energies	88.84
TIME	parts_69_to_69_interaction_energies	91.2
TIME	parts_71_to_71_interaction_energies	93.98
