zRot,x,y,z,cut,energy,HV,HJ,HCDR3,KV,KJ,KCDR3,LV,LJ,LCDR3
0.0,7.5,-10.0,11.25,1,44352.7516,8,5,16,63,3,63,,,
0.0,7.5,-10.0,11.25,2,44352.9548,8,5,16,63,3,144,,,
0.0,7.5,-10.0,11.25,3,44353.0474,8,5,16,63,3,33,,,
0.0,7.5,-10.0,11.25,4,44353.2947,8,5,16,63,3,71,,,
0.0,7.5,-10.0,11.25,5,44353.3203,8,5,16,63,3,52,,,
0.0,10.0,-10.0,11.25,1,30.7282,8,5,24,56,3,63,,,
0.0,10.0,-10.0,11.25,2,31.1548,8,5,24,56,3,33,,,
0.0,10.0,-10.0,11.25,3,31.1968,8,5,24,56,3,144,,,
0.0,10.0,-10.0,11.25,4,31.273,8,5,24,56,3,71,,,
0.0,10.0,-10.0,11.25,5,31.2887,8,5,24,56,3,128,,,
0.0,-5.0,-7.5,11.25,1,534462667.574,47,5,56,60,3,116,,,
0.0,-5.0,-7.5,11.25,2,534462675.33,47,5,56,60,3,115,,,
0.0,-5.0,-7.5,11.25,3,534462686.655,47,5,56,60,3,172,,,
0.0,-5.0,-7.5,11.25,4,534462696.108,47,5,56,60,3,82,,,
0.0,-5.0,-7.5,11.25,5,534462702.318,47,5,56,60,3,145,,,
0.0,0.0,-7.5,11.25,1,3591725.835,8,1,4,56,3,6,,,
0.0,0.0,-7.5,11.25,2,3591726.7632,8,1,4,56,3,46,,,
0.0,0.0,-7.5,11.25,3,3591726.8965,8,1,4,56,3,7,,,
0.0,0.0,-7.5,11.25,4,3591727.5813,8,1,4,56,3,77,,,
0.0,0.0,-7.5,11.25,5,3591729.8093,8,1,4,56,3,35,,,
0.0,-5.0,2.5,11.25,1,23686212.0862,43,5,61,2,4,1,,,
0.0,-5.0,2.5,11.25,2,23686218.1706,43,5,60,2,4,1,,,
0.0,-5.0,2.5,11.25,3,23686218.3933,43,5,187,2,4,1,,,
0.0,-5.0,2.5,11.25,4,23686238.1273,43,5,49,2,4,1,,,
0.0,-5.0,2.5,11.25,5,23686432.276,43,5,3,2,4,1,,,
0.0,0.0,5.0,11.25,1,109304303.46,58,5,24,2,4,7,,,
0.0,0.0,5.0,11.25,2,109304347.895,110,5,24,2,3,7,,,
0.0,0.0,5.0,11.25,3,109304662.218,102,5,24,2,3,7,,,
0.0,0.0,5.0,11.25,4,109310047.739,132,5,24,2,3,7,,,
0.0,0.0,5.0,11.25,5,109304743.529,137,5,24,2,3,7,,,
0.0,-5.0,-10.0,12.5,1,30660.9306,13,5,4,,,,37,5,11
0.0,-5.0,-10.0,12.5,2,30660.9904,13,5,4,,,,30,5,11
0.0,-5.0,-10.0,12.5,3,30661.4765,13,5,4,,,,29,5,11
0.0,-5.0,-10.0,12.5,4,30661.8457,13,5,4,,,,28,5,11
0.0,-5.0,-10.0,12.5,5,30662.4848,13,5,4,,,,22,5,11
0.0,0.0,-10.0,12.5,1,8351737.2278,132,1,16,63,3,113,,,
0.0,0.0,-10.0,12.5,2,8351737.3654,132,1,16,56,3,113,,,
0.0,0.0,-10.0,12.5,3,8351741.5191,132,1,16,63,3,116,,,
0.0,0.0,-10.0,12.5,4,8351741.6567,132,1,16,56,3,116,,,
0.0,0.0,-10.0,12.5,5,8351741.9442,132,1,16,63,3,11,,,
0.0,2.5,-10.0,12.5,1,19595.0705,8,1,16,54,3,190,,,
0.0,2.5,-10.0,12.5,2,19595.1135,8,1,16,54,3,128,,,
0.0,2.5,-10.0,12.5,3,19595.68,8,1,3,54,3,128,,,
0.0,2.5,-10.0,12.5,4,19595.637,8,1,3,54,3,190,,,
0.0,2.5,-10.0,12.5,5,19596.0156,8,1,3,54,3,33,,,
0.0,7.5,-10.0,12.5,1,87.2606,8,1,24,63,3,63,,,
0.0,7.5,-10.0,12.5,2,87.4725,8,1,24,63,3,144,,,
0.0,7.5,-10.0,12.5,3,87.7571,8,1,24,63,3,190,,,
0.0,7.5,-10.0,12.5,4,87.7644,8,1,24,63,3,71,,,
0.0,7.5,-10.0,12.5,5,87.8045,8,1,24,63,3,80,,,
0.0,10.0,-10.0,12.5,1,-150.8721,123,5,103,,,,37,5,12
0.0,10.0,-10.0,12.5,2,-150.7096,123,5,103,,,,37,5,35
0.0,10.0,-10.0,12.5,3,-150.6266,123,5,103,,,,37,5,36
