START	rep1_2qhr	on 2017 May 30 at 16:54:37
DISK_USAGE	initial	472
SUB_TIME	NAMD relaxation of molecule /gpfs/work/m/mfa5147/OptMAVEn2.0/experiments/rep1_2qhr/structures/MoleculeA.pdb	7.80236792564
SUB_TIME	Mounting antigen A	0.309388160706
DISK_USAGE	after_antigen_initialization	504
SUB_TIME	culling_clashes	6.46211290359
DISK_USAGE	after_culling_clashes	536
DISK_USAGE	beginning_MAPs_energy_calculations	15456
TIME	antigen_relaxation_and_positioning	14.92
TIME	parts_51_to_100_interaction_energies	2947.08
TIME	parts_101_to_150_interaction_energies	2987.77
TIME	parts_151_to_200_interaction_energies	3038.12
TIME	parts_251_to_300_interaction_energies	3074.24
TIME	parts_1_to_50_interaction_energies	2959.55
TIME	parts_301_to_350_interaction_energies	3206.21
TIME	parts_351_to_400_interaction_energies	3040.03
TIME	parts_201_to_250_interaction_energies	3056.04
TIME	parts_651_to_700_interaction_energies	2867.77
TIME	parts_701_to_750_interaction_energies	2850.21
TIME	parts_601_to_650_interaction_energies	2872.61
TIME	parts_401_to_450_interaction_energies	4204.22
TIME	parts_901_to_924_interaction_energies	2957.69
TIME	parts_851_to_900_interaction_energies	3859.01
TIME	parts_551_to_600_interaction_energies	4560.6
TIME	parts_751_to_800_interaction_energies	4447.06
TIME	parts_451_to_500_interaction_energies	6764.28
TIME	parts_801_to_850_interaction_energies	5688.51
DISK_USAGE	after_MAPs_energy_calculations	53840
SUB_TIME	regrouping_interaction_energies	38.6345479488
DISK_USAGE	after_regrouping_energies	25536
TIME	MILP_for_positions_1_to_50	3193.5
TIME	MILP_for_positions_151_to_200	3218.06
TIME	MILP_for_positions_51_to_100	3334.57
TIME	MILP_for_positions_101_to_150	3247.97
TIME	MILP_for_positions_451_to_500	3154.11
TIME	MILP_for_positions_401_to_450	3154.23
TIME	MILP_for_positions_201_to_250	3390.46
TIME	MILP_for_positions_551_to_600	3215.19
TIME	MILP_for_positions_501_to_550	3161.14
TIME	MILP_for_positions_1001_to_1045	2991.26
TIME	MILP_for_positions_251_to_300	3473.42
TIME	MILP_for_positions_701_to_750	3164.53
TIME	MILP_for_positions_751_to_800	3226.47
TIME	MILP_for_positions_301_to_350	3401.06
TIME	MILP_for_positions_801_to_850	3219.43
TIME	MILP_for_positions_351_to_400	3407.23
TIME	MILP_for_positions_851_to_900	3152.96
TIME	MILP_for_positions_901_to_950	3238.78
TIME	MILP_for_positions_601_to_650	3491.32
TIME	MILP_for_positions_951_to_1000	3270.92
DISK_USAGE	after_MILP	9328
DISK_USAGE	after_removing_MILP_files	976
SUB_TIME	clustering	41.0655510426
SUB_TIME	antibody_complex_assembly_and_relaxation	20.5280401707
SUB_TIME	clustering	61.611552
DISK_USAGE	final	6712
FINISH	rep1_2qhr	on 2017 May 30 at 20:29:45
TIME	MILP_for_positions_651_to_700	3647.2
