zRot,x,y,z,cut,energy,HV,HJ,HCDR3,KV,KJ,KCDR3,LV,LJ,LCDR3
0.0,7.5,-10.0,11.25,1,44696.3338,8,5,16,63,3,63,,,
0.0,7.5,-10.0,11.25,2,44696.537,8,5,16,63,3,144,,,
0.0,7.5,-10.0,11.25,3,44696.6298,8,5,16,63,3,33,,,
0.0,7.5,-10.0,11.25,4,44696.8753,8,5,16,63,3,71,,,
0.0,7.5,-10.0,11.25,5,44696.9005,8,5,16,63,3,52,,,
0.0,10.0,-10.0,11.25,1,32.6118,8,5,24,56,3,63,,,
0.0,10.0,-10.0,11.25,2,33.0378,8,5,24,56,3,33,,,
0.0,10.0,-10.0,11.25,3,33.0798,8,5,24,56,3,144,,,
0.0,10.0,-10.0,11.25,4,33.1559,8,5,24,56,3,71,,,
0.0,10.0,-10.0,11.25,5,33.1714,8,5,24,56,3,128,,,
0.0,-5.0,-7.5,11.25,1,539089392.982,47,5,56,60,3,116,,,
0.0,-5.0,-7.5,11.25,2,539089400.744,47,5,56,60,3,115,,,
0.0,-5.0,-7.5,11.25,3,539089412.063,47,5,56,60,3,172,,,
0.0,-5.0,-7.5,11.25,4,539089421.519,47,5,56,60,3,82,,,
0.0,-5.0,-7.5,11.25,5,539089427.727,47,5,56,60,3,145,,,
0.0,0.0,-7.5,11.25,1,3531878.2494,8,1,4,56,3,6,,,
0.0,0.0,-7.5,11.25,2,3531879.1741,8,1,4,56,3,46,,,
0.0,0.0,-7.5,11.25,3,3531879.3057,8,1,4,56,3,7,,,
0.0,0.0,-7.5,11.25,4,3531879.9897,8,1,4,56,3,77,,,
0.0,0.0,-7.5,11.25,5,3531882.2158,8,1,4,56,3,35,,,
0.0,-5.0,2.5,11.25,1,24002206.0297,43,5,61,2,4,1,,,
0.0,-5.0,2.5,11.25,2,24002212.1173,43,5,60,2,4,1,,,
0.0,-5.0,2.5,11.25,3,24002212.34,43,5,187,2,4,1,,,
0.0,-5.0,2.5,11.25,4,24002231.9707,43,5,49,2,4,1,,,
0.0,-5.0,2.5,11.25,5,24002424.7726,43,5,3,2,4,1,,,
0.0,0.0,5.0,11.25,1,109259015.25,58,5,24,2,4,7,,,
0.0,0.0,5.0,11.25,2,109259059.776,110,5,24,2,3,7,,,
0.0,0.0,5.0,11.25,3,109259375.942,102,5,24,2,3,7,,,
0.0,0.0,5.0,11.25,4,109264796.911,132,5,24,2,3,7,,,
0.0,0.0,5.0,11.25,5,109259456.605,137,5,24,2,3,7,,,
0.0,-5.0,-10.0,12.5,1,30723.2158,13,5,4,,,,37,5,11
0.0,-5.0,-10.0,12.5,2,30723.2662,13,5,4,,,,30,5,11
0.0,-5.0,-10.0,12.5,3,30723.7537,13,5,4,,,,29,5,11
0.0,-5.0,-10.0,12.5,4,30724.1232,13,5,4,,,,28,5,11
0.0,-5.0,-10.0,12.5,5,30724.7437,13,5,4,,,,22,5,11
0.0,0.0,-10.0,12.5,1,8117593.0788,132,1,16,63,3,113,,,
0.0,0.0,-10.0,12.5,2,8117593.2165,132,1,16,56,3,113,,,
0.0,0.0,-10.0,12.5,3,8117597.369,132,1,16,63,3,116,,,
0.0,0.0,-10.0,12.5,4,8117597.5067,132,1,16,56,3,116,,,
0.0,0.0,-10.0,12.5,5,8117597.7903,132,1,16,63,3,11,,,
0.0,2.5,-10.0,12.5,1,19832.1584,8,1,16,54,3,190,,,
0.0,2.5,-10.0,12.5,2,19832.2012,8,1,16,54,3,128,,,
0.0,2.5,-10.0,12.5,3,19832.9108,8,1,3,54,3,128,,,
0.0,2.5,-10.0,12.5,4,19832.868,8,1,3,54,3,190,,,
0.0,2.5,-10.0,12.5,5,19833.2463,8,1,3,54,3,33,,,
0.0,7.5,-10.0,12.5,1,87.9563,8,1,24,63,3,63,,,
0.0,7.5,-10.0,12.5,2,88.1683,8,1,24,63,3,144,,,
0.0,7.5,-10.0,12.5,3,88.4529,8,1,24,63,3,190,,,
0.0,7.5,-10.0,12.5,4,88.4593,8,1,24,63,3,71,,,
0.0,7.5,-10.0,12.5,5,88.4968,8,1,24,63,3,80,,,
0.0,10.0,-10.0,12.5,1,-150.8783,123,5,103,,,,37,5,12
0.0,10.0,-10.0,12.5,2,-150.7162,123,5,103,,,,37,5,35
0.0,10.0,-10.0,12.5,3,-150.6331,123,5,103,,,,37,5,36
0.0,10.0,-10.0,12.5,4,-150.568,123,5,103,,,,37,5,29
0.0,10.0,-10.0,12.5,5,-150.5647,123,5,103,,,,37,5,8
0.0,-5.0,-7.5,12.5,1,461280890.157,135,1,136,35,3,113,,,
0.0,-5.0,-7.5,12.5,2,461281162.174,135,5,81,2,2,7,,,
0.0,-5.0,-7.5,12.5,3,461280911.589,135,1,136,35,3,116,,,
0.0,-5.0,-7.5,12.5,4,461280931.744,135,1,136,35,3,172,,,
0.0,-5.0,-7.5,12.5,5,461280931.988,135,1,136,35,3,175,,,
0.0,-2.5,-7.5,12.5,1,195074284.794,110,5,4,60,3,113,,,
0.0,-2.5,-7.5,12.5,2,195074286.952,110,5,4,60,3,115,,,
0.0,-2.5,-7.5,12.5,3,195074288.498,110,5,4,56,3,113,,,
0.0,-2.5,-7.5,12.5,4,195074300.89,110,5,4,56,3,117,,,
0.0,-2.5,-7.5,12.5,5,195074298.159,110,5,4,60,3,116,,,
0.0,10.0,-2.5,12.5,1,6077.6488,12,3,8,13,3,113,,,
0.0,10.0,-2.5,12.5,2,6079.4547,92,5,8,13,3,129,,,
0.0,10.0,-2.5,12.5,3,6085.0459,123,5,8,13,3,113,,,
0.0,10.0,-2.5,12.5,4,6085.3272,12,3,7,13,3,113,,,
0.0,10.0,-2.5,12.5,5,6087.1331,92,5,7,13,3,129,,,
0.0,-5.0,5.0,12.5,1,22439442.3198,128,2,133,,,,15,6,15
0.0,-5.0,5.0,12.5,2,22439446.7284,128,2,94,,,,15,6,15
0.0,-5.0,5.0,12.5,3,22439450.9758,128,2,243,,,,15,6,15
0.0,-5.0,5.0,12.5,4,22439453.9209,128,2,218,,,,15,6,15
0.0,-5.0,5.0,12.5,5,22439455.0038,128,2,95,,,,15,6,15
0.0,-2.5,5.0,12.5,1,395834371.121,80,1,211,,,,30,5,24
0.0,-2.5,5.0,12.5,2,395834371.38,80,1,10,,,,30,5,24
