START	rep1_2qhr_01	on 2017 June 09 at 21:35:35
DISK_USAGE	initial	472
SUB_TIME	NAMD relaxation of molecule /gpfs/work/m/mfa5147/OptMAVEn2.0/experiments/rep1_2qhr_01/structures/MoleculeA.pdb	9.5253329277
SUB_TIME	Mounting antigen A	0.323407173157
DISK_USAGE	after_antigen_initialization	528
SUB_TIME	culling_clashes	6.79902482033
DISK_USAGE	after_culling_clashes	536
DISK_USAGE	beginning_MAPs_energy_calculations	29112
TIME	antigen_relaxation_and_positioning	33.51
TIME	parts_3_to_3_interaction_energies	58.67
TIME	parts_20_to_20_interaction_energies	61.01
TIME	parts_19_to_19_interaction_energies	59.01
TIME	parts_27_to_27_interaction_energies	65.24
TIME	parts_44_to_44_interaction_energies	58.62
TIME	parts_42_to_42_interaction_energies	60.13
TIME	parts_43_to_43_interaction_energies	63.33
TIME	parts_69_to_69_interaction_energies	61.46
TIME	parts_99_to_99_interaction_energies	61.53
TIME	parts_98_to_98_interaction_energies	59.47
TIME	parts_4_to_4_interaction_energies	57.36
TIME	parts_22_to_22_interaction_energies	60.55
TIME	parts_21_to_21_interaction_energies	60.55
TIME	parts_28_to_28_interaction_energies	64.42
TIME	parts_49_to_49_interaction_energies	63.14
TIME	parts_127_to_127_interaction_energies	59.44
TIME	parts_126_to_126_interaction_energies	61.33
TIME	parts_51_to_51_interaction_energies	60.82
TIME	parts_52_to_52_interaction_energies	61.11
TIME	parts_70_to_70_interaction_energies	65.27
TIME	parts_89_to_89_interaction_energies	62.37
TIME	parts_149_to_149_interaction_energies	62.51
TIME	parts_168_to_168_interaction_energies	58.17
TIME	parts_113_to_113_interaction_energies	59.06
TIME	parts_39_to_39_interaction_energies	57.51
TIME	parts_38_to_38_interaction_energies	58.56
TIME	parts_37_to_37_interaction_energies	59.59
TIME	parts_61_to_61_interaction_energies	65.2
TIME	parts_60_to_60_interaction_energies	63.83
TIME	parts_128_to_128_interaction_energies	61.19
TIME	parts_71_to_71_interaction_energies	65.13
TIME	parts_75_to_75_interaction_energies	61.36
TIME	parts_74_to_74_interaction_energies	61.92
TIME	parts_81_to_81_interaction_energies	62.15
TIME	parts_103_to_103_interaction_energies	60.95
TIME	parts_5_to_5_interaction_energies	59.46
TIME	parts_13_to_13_interaction_energies	53.81
TIME	parts_23_to_23_interaction_energies	61.59
TIME	parts_133_to_133_interaction_energies	61.8
TIME	parts_30_to_30_interaction_energies	58.22
TIME	parts_29_to_29_interaction_energies	58.81
TIME	parts_12_to_12_interaction_energies	60.61
TIME	parts_141_to_141_interaction_energies	60.63
TIME	parts_40_to_40_interaction_energies	60.28
TIME	parts_50_to_50_interaction_energies	59.62
TIME	parts_152_to_152_interaction_energies	64.05
TIME	parts_161_to_161_interaction_energies	61.05
TIME	parts_53_to_53_interaction_energies	59.56
TIME	parts_62_to_62_interaction_energies	61.41
TIME	parts_72_to_72_interaction_energies	61.36
TIME	parts_186_to_186_interaction_energies	61.69
TIME	parts_196_to_196_interaction_energies	64.48
TIME	parts_77_to_77_interaction_energies	58.88
TIME	parts_76_to_76_interaction_energies	63.5
TIME	parts_84_to_84_interaction_energies	60.28
TIME	parts_94_to_94_interaction_energies	61.44
TIME	parts_6_to_6_interaction_energies	61.19
TIME	parts_16_to_16_interaction_energies	59.86
TIME	parts_24_to_24_interaction_energies	57.87
TIME	parts_117_to_117_interaction_energies	59.99
TIME	parts_31_to_31_interaction_energies	59.23
TIME	parts_41_to_41_interaction_energies	60.38
TIME	parts_144_to_144_interaction_energies	58.87
TIME	parts_143_to_143_interaction_energies	63.62
TIME	parts_153_to_153_interaction_energies	66.6
TIME	parts_163_to_163_interaction_energies	62.79
TIME	parts_54_to_54_interaction_energies	61.44
TIME	parts_66_to_66_interaction_energies	59.92
TIME	parts_65_to_65_interaction_energies	60.8
TIME	parts_73_to_73_interaction_energies	61.06
TIME	parts_182_to_182_interaction_energies	61.71
TIME	parts_195_to_195_interaction_energies	61.96
TIME	parts_96_to_96_interaction_energies	59.49
TIME	parts_95_to_95_interaction_energies	58.66
TIME	parts_7_to_7_interaction_energies	60.04
TIME	parts_17_to_17_interaction_energies	63.42
TIME	parts_110_to_110_interaction_energies	58.88
TIME	parts_32_to_32_interaction_energies	62.14
TIME	parts_136_to_136_interaction_energies	61.1
TIME	parts_224_to_224_interaction_energies	57.37
TIME	parts_45_to_45_interaction_energies	57.94
TIME	parts_118_to_118_interaction_energies	62.18
TIME	parts_147_to_147_interaction_energies	61.33
TIME	parts_162_to_162_interaction_energies	61.69
TIME	parts_160_to_160_interaction_energies	63.99
TIME	parts_55_to_55_interaction_energies	63.48
TIME	parts_233_to_233_interaction_energies	61.96
TIME	parts_234_to_234_interaction_energies	63.49
TIME	parts_67_to_67_interaction_energies	66.0
TIME	parts_174_to_174_interaction_energies	62.8
TIME	parts_189_to_189_interaction_energies	61.16
TIME	parts_83_to_83_interaction_energies	61.48
TIME	parts_85_to_85_interaction_energies	61.34
TIME	parts_97_to_97_interaction_energies	61.83
TIME	parts_8_to_8_interaction_energies	63.09
TIME	parts_18_to_18_interaction_energies	58.7
TIME	parts_33_to_33_interaction_energies	63.29
TIME	parts_137_to_137_interaction_energies	66.01
TIME	parts_225_to_225_interaction_energies	64.22
TIME	parts_46_to_46_interaction_energies	58.13
TIME	parts_251_to_251_interaction_energies	62.83
TIME	parts_252_to_252_interaction_energies	63.08
TIME	parts_119_to_119_interaction_energies	62.6
TIME	parts_120_to_120_interaction_energies	63.53
TIME	parts_156_to_156_interaction_energies	63.0
TIME	parts_68_to_68_interaction_energies	57.89
TIME	parts_236_to_236_interaction_energies	64.54
TIME	parts_175_to_175_interaction_energies	64.22
TIME	parts_200_to_200_interaction_energies	63.61
TIME	parts_270_to_270_interaction_energies	64.79
TIME	parts_100_to_100_interaction_energies	61.74
TIME	parts_9_to_9_interaction_energies	60.86
TIME	parts_109_to_109_interaction_energies	61.46
TIME	parts_34_to_34_interaction_energies	59.08
TIME	parts_138_to_138_interaction_energies	64.63
TIME	parts_226_to_226_interaction_energies	64.84
TIME	parts_47_to_47_interaction_energies	59.73
TIME	parts_256_to_256_interaction_energies	68.25
TIME	parts_255_to_255_interaction_energies	64.29
TIME	parts_293_to_293_interaction_energies	71.55
TIME	parts_121_to_121_interaction_energies	60.93
TIME	parts_56_to_56_interaction_energies	61.46
TIME	parts_157_to_157_interaction_energies	58.09
TIME	parts_125_to_125_interaction_energies	62.39
