zRot,x,y,z,cut,energy,HV,HJ,HCDR3,KV,KJ,KCDR3,LV,LJ,LCDR3
0.0,0.0,-7.5,7.5,1,75834830.0812,137,1,330,44,4,81,,,
0.0,0.0,-7.5,7.5,2,75834838.9091,137,1,330,40,4,81,,,
0.0,0.0,-7.5,7.5,3,75834846.7631,137,1,330,60,3,81,,,
0.0,0.0,-7.5,7.5,4,75834872.4251,137,1,330,60,3,152,,,
0.0,0.0,-7.5,7.5,5,75834874.0738,137,1,330,60,3,106,,,
0.0,2.5,5.0,7.5,1,2099984870.23,12,3,32,40,2,79,,,
0.0,2.5,5.0,7.5,2,2099986728.41,12,3,3,40,2,79,,,
0.0,2.5,5.0,7.5,3,2100093786.99,12,3,141,40,2,79,,,
0.0,2.5,5.0,7.5,4,2099984939.83,12,3,1,40,2,79,,,
0.0,2.5,5.0,7.5,5,2099984884.0,114,2,10,40,2,79,,,
0.0,0.0,-7.5,8.75,1,1146196.3875,93,4,7,14,3,17,,,
0.0,0.0,-7.5,8.75,2,1146196.8228,93,4,7,13,3,17,,,
0.0,0.0,-7.5,8.75,3,1146206.0601,93,4,7,14,3,119,,,
0.0,0.0,-7.5,8.75,4,1146206.4954,93,4,7,13,3,119,,,
0.0,0.0,-7.5,8.75,5,1146206.8194,93,4,7,14,3,95,,,
0.0,2.5,-7.5,8.75,1,2879960.8678,93,4,4,66,5,159,,,
0.0,2.5,-7.5,8.75,2,2879965.9819,93,4,4,66,5,193,,,
0.0,2.5,-7.5,8.75,3,2879971.5229,93,4,4,15,3,17,,,
0.0,2.5,-7.5,8.75,4,2879961.1638,93,4,4,62,5,159,,,
0.0,2.5,-7.5,8.75,5,2879966.2779,93,4,4,62,5,193,,,
0.0,5.0,-7.5,8.75,1,4368.6578,17,3,80,13,3,81,,,
0.0,5.0,-7.5,8.75,2,4371.6305,108,4,80,13,3,81,,,
0.0,5.0,-7.5,8.75,3,4390.086,17,3,80,14,3,81,,,
0.0,5.0,-7.5,8.75,4,4393.0587,108,4,80,14,3,81,,,
0.0,5.0,-7.5,8.75,5,4402.3439,17,3,80,15,3,81,,,
0.0,-2.5,2.5,8.75,1,464958.6136,50,4,60,54,2,5,,,
0.0,-2.5,2.5,8.75,2,464962.9344,49,4,60,54,2,5,,,
0.0,-2.5,2.5,8.75,3,465315.7717,50,4,32,54,2,5,,,
0.0,-2.5,2.5,8.75,4,465320.0925,49,4,32,54,2,5,,,
0.0,-2.5,2.5,8.75,5,465326.7594,54,4,32,54,2,5,,,
0.0,-5.0,5.0,8.75,1,285336.9294,114,2,65,,,,4,6,21
0.0,-5.0,5.0,8.75,2,285340.3985,114,2,13,,,,4,6,21
0.0,-5.0,5.0,8.75,3,285340.8539,114,2,64,,,,4,6,21
0.0,-5.0,5.0,8.75,4,285341.3581,114,2,2,,,,4,6,21
0.0,-5.0,5.0,8.75,5,285341.431,114,2,4,,,,4,6,21
0.0,0.0,5.0,8.75,1,20642736.4215,58,5,60,7,4,5,,,
0.0,0.0,5.0,8.75,2,20642741.3184,58,5,3,7,4,5,,,
0.0,0.0,5.0,8.75,3,20642744.1297,58,5,57,7,4,5,,,
0.0,0.0,5.0,8.75,4,20642745.0602,58,5,49,7,4,5,,,
0.0,0.0,5.0,8.75,5,20642745.13,58,5,13,7,4,5,,,
0.0,2.5,5.0,8.75,1,349271994.232,138,1,63,9,2,23,,,
0.0,2.5,5.0,8.75,2,349271997.806,123,5,63,9,2,23,,,
0.0,2.5,5.0,8.75,3,349271998.464,80,5,63,9,2,23,,,
0.0,2.5,5.0,8.75,4,349271998.682,79,5,63,9,2,23,,,
0.0,2.5,5.0,8.75,5,349271999.631,103,1,63,9,2,23,,,
0.0,5.0,5.0,8.75,1,6989144575.15,12,3,1,35,4,2,,,
0.0,5.0,5.0,8.75,2,6989145598.4,12,3,1,35,4,23,,,
0.0,5.0,5.0,8.75,3,6989146475.39,12,3,1,35,4,7,,,
0.0,5.0,5.0,8.75,4,6989166573.26,12,3,1,35,4,4,,,
0.0,5.0,5.0,8.75,5,6989523678.28,12,3,1,35,1,131,,,
0.0,0.0,-7.5,10.0,1,9665.6736,109,5,5,59,3,17,,,
0.0,0.0,-7.5,10.0,2,9667.9961,109,5,5,,,,31,5,11
0.0,0.0,-7.5,10.0,3,9668.1521,109,5,5,,,,32,5,11
0.0,0.0,-7.5,10.0,4,9671.0828,109,5,5,59,3,124,,,
0.0,0.0,-7.5,10.0,5,9672.1445,109,5,5,59,3,149,,,
0.0,5.0,-7.5,10.0,1,26.0156,106,4,4,14,3,81,,,
0.0,5.0,-7.5,10.0,2,26.4751,106,4,4,13,3,81,,,
0.0,5.0,-7.5,10.0,3,26.513,17,3,4,14,3,81,,,
0.0,5.0,-7.5,10.0,4,26.9725,17,3,4,13,3,81,,,
0.0,5.0,-7.5,10.0,5,29.418,108,4,4,14,3,81,,,
0.0,7.5,-7.5,10.0,1,-109.2562,17,3,4,13,3,81,,,
0.0,7.5,-7.5,10.0,2,-106.6772,17,3,4,14,3,81,,,
0.0,7.5,-7.5,10.0,3,-106.1025,108,4,4,13,3,81,,,
0.0,7.5,-7.5,10.0,4,-105.9893,106,4,4,13,3,81,,,
0.0,7.5,-7.5,10.0,5,-104.3761,103,4,4,13,3,81,,,
0.0,-2.5,-5.0,10.0,1,23216286.3995,72,1,8,2,4,3,,,
0.0,-2.5,-5.0,10.0,2,23216291.8231,72,1,8,2,4,7,,,
0.0,-2.5,-5.0,10.0,3,23216320.2373,72,1,8,44,4,86,,,
0.0,-2.5,-5.0,10.0,4,23216321.0442,72,1,8,44,4,123,,,
0.0,-2.5,-5.0,10.0,5,23216324.8574,72,1,8,44,4,122,,,
0.0,-5.0,2.5,10.0,1,1315.726,41,5,1,6,4,86,,,
0.0,-5.0,2.5,10.0,2,1317.9159,41,5,1,7,4,86,,,
0.0,-5.0,2.5,10.0,3,1322.932,41,5,31,6,4,86,,,
0.0,-5.0,2.5,10.0,4,1324.4869,41,5,32,6,4,86,,,
0.0,-5.0,2.5,10.0,5,1325.1219,41,5,31,7,4,86,,,
0.0,-2.5,2.5,10.0,1,11376.0094,41,5,187,55,3,122,,,
0.0,-2.5,2.5,10.0,2,11376.0341,41,5,187,55,3,126,,,
0.0,-2.5,2.5,10.0,3,11377.0481,72,1,187,55,3,122,,,
0.0,-2.5,2.5,10.0,4,11377.167,71,1,187,55,3,122,,,
0.0,-2.5,2.5,10.0,5,11378.3861,43,5,187,55,3,122,,,
0.0,0.0,2.5,10.0,1,3827071.6671,114,2,60,,,,15,6,29
0.0,0.0,2.5,10.0,2,3827072.1572,111,2,60,,,,15,6,29
0.0,0.0,2.5,10.0,3,3827081.2976,114,2,60,,,,15,6,6
