START	rep1_2r0w_20	on 2017 June 05 at 23:19:19
DISK_USAGE	initial	472
SUB_TIME	NAMD relaxation of molecule /gpfs/work/m/mfa5147/OptMAVEn2.0/experiments/rep1_2r0w_20/structures/MoleculeA.pdb	6.15284013748
SUB_TIME	Mounting antigen A	0.322010993958
DISK_USAGE	after_antigen_initialization	464
SUB_TIME	culling_clashes	6.03767204285
DISK_USAGE	after_culling_clashes	520
DISK_USAGE	beginning_MAPs_energy_calculations	15336
TIME	antigen_relaxation_and_positioning	11.97
TIME	parts_221_to_240_interaction_energies	1576.01
TIME	parts_1_to_20_interaction_energies	1510.07
TIME	parts_21_to_40_interaction_energies	1564.76
TIME	parts_241_to_260_interaction_energies	1609.78
TIME	parts_41_to_60_interaction_energies	1511.58
TIME	parts_421_to_440_interaction_energies	2234.57
TIME	parts_921_to_924_interaction_energies	685.4
TIME	parts_121_to_140_interaction_energies	1575.14
TIME	parts_141_to_160_interaction_energies	1611.47
TIME	parts_701_to_720_interaction_energies	1457.85
TIME	parts_301_to_320_interaction_energies	1707.36
TIME	parts_61_to_80_interaction_energies	1540.26
TIME	parts_581_to_600_interaction_energies	1522.8
TIME	parts_821_to_840_interaction_energies	3411.49
TIME	parts_341_to_360_interaction_energies	1741.57
TIME	parts_81_to_100_interaction_energies	1546.15
TIME	parts_101_to_120_interaction_energies	1598.86
TIME	parts_321_to_340_interaction_energies	1759.55
TIME	parts_161_to_180_interaction_energies	1624.28
TIME	parts_181_to_200_interaction_energies	1558.12
TIME	parts_521_to_540_interaction_energies	3655.16
TIME	parts_201_to_220_interaction_energies	1578.9
TIME	parts_501_to_520_interaction_energies	3640.24
TIME	parts_261_to_280_interaction_energies	1621.52
TIME	parts_381_to_400_interaction_energies	1470.81
TIME	parts_281_to_300_interaction_energies	1762.67
TIME	parts_361_to_380_interaction_energies	1645.98
TIME	parts_401_to_420_interaction_energies	1529.94
TIME	parts_861_to_880_interaction_energies	1497.58
TIME	parts_601_to_620_interaction_energies	1486.73
TIME	parts_621_to_640_interaction_energies	1486.44
TIME	parts_641_to_660_interaction_energies	1490.84
TIME	parts_441_to_460_interaction_energies	3578.25
TIME	parts_681_to_700_interaction_energies	1527.75
TIME	parts_661_to_680_interaction_energies	1533.5
TIME	parts_461_to_480_interaction_energies	3655.05
TIME	parts_561_to_580_interaction_energies	2962.05
TIME	parts_481_to_500_interaction_energies	3696.7
TIME	parts_721_to_740_interaction_energies	1539.43
TIME	parts_541_to_560_interaction_energies	3727.64
TIME	parts_741_to_760_interaction_energies	1499.66
TIME	parts_841_to_860_interaction_energies	1613.2
TIME	parts_761_to_780_interaction_energies	1767.51
TIME	parts_881_to_900_interaction_energies	2795.27
TIME	parts_781_to_800_interaction_energies	3470.22
TIME	parts_801_to_820_interaction_energies	3589.82
DISK_USAGE	after_MAPs_energy_calculations	65424
SUB_TIME	regrouping_interaction_energies	44.3984539509
DISK_USAGE	after_regrouping_energies	35256
TIME	MILP_for_positions_1001_to_1050	3207.24
TIME	MILP_for_positions_151_to_200	3769.03
TIME	MILP_for_positions_1151_to_1200	4221.54
