zRot,x,y,z,cut,energy,HV,HJ,HCDR3,KV,KJ,KCDR3,LV,LJ,LCDR3
0.0,-5.0,-2.5,11.25,1,1204020435.22,19,4,21,6,4,98,,,
0.0,-5.0,-2.5,11.25,2,1204020521.37,19,4,3,6,4,98,,,
0.0,-5.0,-2.5,11.25,3,1204020914.14,19,4,42,6,4,98,,,
0.0,-5.0,-2.5,11.25,4,1204021738.02,19,4,1,6,4,98,,,
0.0,-5.0,-2.5,11.25,5,1204027316.28,19,4,42,6,4,124,,,
0.0,-2.5,-2.5,11.25,1,1355409434.68,49,3,1,35,4,183,,,
0.0,-2.5,-2.5,11.25,2,1355409678.57,49,3,1,35,4,89,,,
0.0,-2.5,-2.5,11.25,3,1355409750.59,49,3,1,35,4,91,,,
0.0,-2.5,-2.5,11.25,4,1355409805.4,49,3,1,35,4,35,,,
0.0,-2.5,-2.5,11.25,5,1355409932.81,49,3,1,35,4,95,,,
0.0,-2.5,0.0,11.25,1,478464392.809,135,4,4,,,,28,5,21
0.0,-2.5,0.0,11.25,2,478464394.79,135,4,2,,,,28,5,21
0.0,-2.5,0.0,11.25,3,478464399.359,135,4,8,,,,28,5,21
0.0,-2.5,0.0,11.25,4,478464400.295,135,4,1,,,,28,5,21
0.0,-2.5,0.0,11.25,5,478464589.436,135,4,5,,,,28,5,21
0.0,0.0,0.0,11.25,1,917085337.657,123,5,4,18,4,15,,,
0.0,0.0,0.0,11.25,2,917085339.133,123,5,8,18,4,15,,,
0.0,0.0,0.0,11.25,3,917085344.191,123,5,2,18,4,15,,,
0.0,0.0,0.0,11.25,4,917085411.678,123,5,8,18,2,7,,,
0.0,0.0,0.0,11.25,5,917085566.491,123,5,8,18,2,132,,,
0.0,-5.0,-2.5,12.5,1,457945603.633,53,3,1,10,2,98,,,
0.0,-5.0,-2.5,12.5,2,457945617.107,53,3,1,10,2,90,,,
0.0,-5.0,-2.5,12.5,3,457945772.148,53,3,1,10,2,36,,,
0.0,-5.0,-2.5,12.5,4,457945809.163,53,3,1,10,2,83,,,
0.0,-5.0,-2.5,12.5,5,457946188.544,53,3,1,10,2,7,,,
0.0,-2.5,-2.5,12.5,1,389036387.58,135,4,1,,,,29,5,21
0.0,-2.5,-2.5,12.5,2,389036391.998,135,4,1,,,,29,5,8
0.0,-2.5,-2.5,12.5,3,389036417.044,135,4,4,,,,29,5,21
0.0,-2.5,-2.5,12.5,4,389036421.462,135,4,4,,,,29,5,8
0.0,-2.5,-2.5,12.5,5,389036676.505,135,4,4,,,,29,5,29
0.0,-5.0,0.0,12.5,1,9935164.593,43,3,1,,,,29,5,4
0.0,-5.0,0.0,12.5,2,9935169.9906,43,3,1,,,,28,5,4
0.0,-5.0,0.0,12.5,3,9935170.1532,43,5,9,,,,29,5,4
0.0,-5.0,0.0,12.5,4,9935175.5508,43,5,9,,,,28,5,4
0.0,-5.0,0.0,12.5,5,9935231.9601,43,3,49,,,,29,5,4
0.0,-2.5,0.0,12.5,1,341911202.193,133,3,1,61,3,26,,,
0.0,-2.5,0.0,12.5,2,341911203.76,133,3,21,61,3,26,,,
0.0,-2.5,0.0,12.5,3,341911216.37,133,3,4,61,3,26,,,
0.0,-2.5,0.0,12.5,4,341911217.711,133,3,3,61,3,26,,,
0.0,-2.5,0.0,12.5,5,341911218.218,133,3,8,61,3,26,,,
0.0,0.0,0.0,12.5,1,110786451.71,8,4,1,,,,29,5,21
0.0,0.0,0.0,12.5,2,110786451.936,8,4,1,,,,29,5,29
0.0,0.0,0.0,12.5,3,110786458.029,8,4,1,,,,29,5,34
0.0,0.0,0.0,12.5,4,110786469.154,8,4,4,,,,29,5,21
0.0,0.0,0.0,12.5,5,110786469.38,8,4,4,,,,29,5,29
0.0,10.0,0.0,12.5,1,6740951.159,17,5,16,66,5,117,,,
0.0,10.0,0.0,12.5,2,6740965.0325,17,5,16,66,5,25,,,
0.0,10.0,0.0,12.5,3,6740970.5181,17,5,16,66,5,116,,,
0.0,10.0,0.0,12.5,4,6740971.577,17,5,16,66,5,179,,,
0.0,10.0,0.0,12.5,5,6740971.9913,17,5,16,66,5,80,,,
0.0,-2.5,2.5,12.5,1,9831830.4707,106,4,62,,,,37,5,5
0.0,-2.5,2.5,12.5,2,9831838.238,106,4,94,,,,37,5,5
0.0,-2.5,2.5,12.5,3,9831841.5167,106,4,41,,,,37,5,5
0.0,-2.5,2.5,12.5,4,9831850.3222,106,4,42,,,,37,5,5
0.0,-2.5,2.5,12.5,5,9831851.3056,106,4,31,,,,37,5,5
0.0,0.0,2.5,12.5,1,290817946.102,12,3,1,14,3,7,,,
0.0,0.0,2.5,12.5,2,290817952.392,12,3,1,14,3,3,,,
0.0,0.0,2.5,12.5,3,290817953.978,12,3,3,14,3,7,,,
0.0,0.0,2.5,12.5,4,290817959.742,12,3,8,14,3,7,,,
0.0,0.0,2.5,12.5,5,290817960.268,12,3,3,14,3,3,,,
0.0,-2.5,5.0,12.5,1,183387389.348,128,2,187,,,,15,6,15
0.0,-2.5,5.0,12.5,2,183387389.406,128,2,61,,,,15,6,15
0.0,-2.5,5.0,12.5,3,183387390.562,128,2,11,,,,15,6,15
0.0,-2.5,5.0,12.5,4,183387390.796,128,2,13,,,,15,6,15
0.0,-2.5,5.0,12.5,5,183387390.84,128,2,42,,,,15,6,15
0.0,0.0,-10.0,13.75,1,10642.0186,8,4,21,58,4,86,,,
0.0,0.0,-10.0,13.75,2,10644.3365,8,4,21,58,4,153,,,
0.0,0.0,-10.0,13.75,3,10644.5226,8,4,21,58,4,137,,,
0.0,0.0,-10.0,13.75,4,10645.5214,8,4,21,58,4,25,,,
0.0,0.0,-10.0,13.75,5,10645.6255,8,4,21,58,4,163,,,
0.0,-5.0,-7.5,13.75,1,731233.8081,8,4,4,,,,31,5,12
0.0,-5.0,-7.5,13.75,2,731233.8984,8,4,4,,,,32,5,12
0.0,-5.0,-7.5,13.75,3,731243.6734,8,4,4,,,,31,5,5
0.0,-5.0,-7.5,13.75,4,731244.9579,8,4,4,,,,31,5,35
0.0,-5.0,-7.5,13.75,5,731250.3868,8,4,4,,,,31,5,29
0.0,-5.0,-5.0,13.75,1,1458784.948,85,4,1,65,3,199,,,
0.0,-5.0,-5.0,13.75,2,1458805.9331,85,4,4,65,3,199,,,
0.0,-5.0,-5.0,13.75,3,1458815.2515,85,4,92,65,3,199,,,
0.0,-5.0,-5.0,13.75,4,1458818.994,85,4,2,65,3,199,,,
0.0,-5.0,-5.0,13.75,5,1458821.8955,85,4,3,65,3,199,,,
0.0,-2.5,-5.0,13.75,1,39396.6166,8,4,21,7,4,86,,,
0.0,-2.5,-5.0,13.75,2,39423.7252,8,4,21,7,4,51,,,
0.0,-2.5,-5.0,13.75,3,39423.9031,8,4,21,7,4,52,,,
0.0,-2.5,-5.0,13.75,4,39425.2581,8,4,21,7,4,17,,,
0.0,-2.5,-5.0,13.75,5,39425.4579,8,4,21,7,4,128,,,
0.0,-5.0,-2.5,13.75,1,186359.0738,46,4,1,,,,29,5,9
0.0,-5.0,-2.5,13.75,2,186368.7983,46,4,1,,,,29,5,21
0.0,-5.0,-2.5,13.75,3,186371.9758,46,4,1,,,,29,5,4
0.0,-5.0,-2.5,13.75,4,186373.6415,46,4,1,,,,28,5,9
0.0,-5.0,-2.5,13.75,5,186383.366,46,4,1,,,,28,5,21
0.0,-2.5,-2.5,13.75,1,17006737.2468,86,4,1,53,3,199,,,
0.0,-2.5,-2.5,13.75,2,17006758.6458,86,4,4,53,3,199,,,
0.0,-2.5,-2.5,13.75,3,17006761.6723,86,4,3,53,3,199,,,
0.0,-2.5,-2.5,13.75,4,17006765.6514,86,4,92,53,3,199,,,
0.0,-2.5,-2.5,13.75,5,17006767.0467,86,4,2,53,3,199,,,
0.0,-5.0,0.0,13.75,1,2587038.3753,72,1,24,,,,30,5,20
0.0,-5.0,0.0,13.75,2,2587060.2788,72,1,31,,,,28,5,20
0.0,-5.0,0.0,13.75,3,2587063.4524,72,4,31,,,,29,5,20
0.0,-5.0,0.0,13.75,4,2587064.4169,72,4,32,,,,28,5,20
0.0,-5.0,0.0,13.75,5,2587067.2358,72,1,8,,,,28,5,20
0.0,-2.5,0.0,13.75,1,114475.0483,8,4,1,,,,29,5,21
0.0,-2.5,0.0,13.75,2,114483.0971,8,5,9,,,,29,5,21
0.0,-2.5,0.0,13.75,3,114485.1047,8,4,4,,,,29,5,21
0.0,-2.5,0.0,13.75,4,114487.7919,8,4,1,,,,28,5,21
0.0,-2.5,0.0,13.75,5,114495.8407,8,5,9,,,,28,5,21
0.0,0.0,0.0,13.75,1,5915611.9322,8,5,21,6,4,24,,,
0.0,0.0,0.0,13.75,2,5915612.5846,8,5,21,6,4,173,,,
0.0,0.0,0.0,13.75,3,5915612.8428,8,5,21,6,4,175,,,
0.0,0.0,0.0,13.75,4,5915615.6455,8,5,21,6,4,29,,,
0.0,0.0,0.0,13.75,5,5915631.3718,8,5,1,6,4,24,,,
0.0,7.5,0.0,13.75,1,785411.5578,17,5,62,,,,29,5,9
0.0,7.5,0.0,13.75,2,785413.3206,17,5,62,,,,29,5,21
0.0,7.5,0.0,13.75,3,785413.3936,17,5,62,,,,29,5,29
0.0,7.5,0.0,13.75,4,785413.8261,17,5,62,,,,29,5,11
0.0,7.5,0.0,13.75,5,785436.2294,17,5,1,,,,29,5,9
0.0,10.0,0.0,13.75,1,1006.675,43,1,69,18,3,117,,,
0.0,10.0,0.0,13.75,2,1009.952,46,1,69,18,3,117,,,
0.0,10.0,0.0,13.75,3,1011.2701,44,1,69,18,3,117,,,
0.0,10.0,0.0,13.75,4,1011.3209,43,4,69,18,4,74,,,
0.0,10.0,0.0,13.75,5,1013.2065,43,4,69,18,4,80,,,
0.0,-2.5,2.5,13.75,1,1838938.4528,43,5,94,,,,28,5,9
0.0,-2.5,2.5,13.75,2,1838946.8538,43,5,13,,,,28,5,9
0.0,-2.5,2.5,13.75,3,1838951.9529,43,1,40,,,,31,5,9
0.0,-2.5,2.5,13.75,4,1839047.0346,43,1,94,,,,28,5,34
0.0,-2.5,2.5,13.75,5,1838982.4175,43,1,40,,,,32,5,9
0.0,0.0,2.5,13.75,1,273502352.526,46,1,13,13,3,80,,,
0.0,0.0,2.5,13.75,2,273502353.993,46,1,21,13,3,80,,,
0.0,0.0,2.5,13.75,3,273502354.026,46,1,71,13,3,80,,,
0.0,0.0,2.5,13.75,4,273502363.861,46,1,6,13,3,80,,,
0.0,0.0,2.5,13.75,5,273502364.54,46,1,1,13,3,80,,,
0.0,2.5,2.5,13.75,1,13867612.3336,109,5,24,,,,30,5,11
0.0,2.5,2.5,13.75,2,13867642.4718,109,5,62,,,,30,5,11
0.0,2.5,2.5,13.75,3,13867660.0251,109,5,24,,,,30,5,36
0.0,2.5,2.5,13.75,4,13867669.4773,109,5,41,,,,30,5,11
0.0,2.5,2.5,13.75,5,13867679.8909,109,5,1,,,,30,5,11
0.0,5.0,2.5,13.75,1,533983.0163,114,2,94,,,,15,6,35
0.0,5.0,2.5,13.75,2,533984.662,114,2,94,,,,15,6,20
0.0,5.0,2.5,13.75,3,533987.588,114,2,94,,,,15,6,39
0.0,5.0,2.5,13.75,4,533987.9252,114,2,94,,,,15,6,9
