START	rep1_2zuq	on 2017 May 30 at 16:55:09
DISK_USAGE	initial	648
SUB_TIME	NAMD relaxation of molecule /gpfs/work/m/mfa5147/OptMAVEn2.0/experiments/rep1_2zuq/structures/MoleculeA.pdb	319.230562925
SUB_TIME	Mounting antigen A	0.309019088745
DISK_USAGE	after_antigen_initialization	1872
SUB_TIME	culling_clashes	6.88583397865
DISK_USAGE	after_culling_clashes	1872
DISK_USAGE	beginning_MAPs_energy_calculations	16688
TIME	antigen_relaxation_and_positioning	326.5
TIME	parts_901_to_924_interaction_energies	6101.98
TIME	parts_151_to_200_interaction_energies	9095.6
TIME	parts_1_to_50_interaction_energies	9125.6
TIME	parts_51_to_100_interaction_energies	9116.56
TIME	parts_701_to_750_interaction_energies	8884.36
TIME	parts_251_to_300_interaction_energies	9274.7
TIME	parts_101_to_150_interaction_energies	9266.52
TIME	parts_351_to_400_interaction_energies	9153.13
TIME	parts_201_to_250_interaction_energies	9418.15
TIME	parts_301_to_350_interaction_energies	9496.8
TIME	parts_651_to_700_interaction_energies	9400.6
TIME	parts_601_to_650_interaction_energies	9012.24
TIME	parts_851_to_900_interaction_energies	10187.78
TIME	parts_401_to_450_interaction_energies	10626.61
TIME	parts_551_to_600_interaction_energies	10617.94
TIME	parts_751_to_800_interaction_energies	10861.71
TIME	parts_801_to_850_interaction_energies	12182.53
TIME	parts_451_to_500_interaction_energies	12910.64
DISK_USAGE	after_MAPs_energy_calculations	54960
SUB_TIME	regrouping_interaction_energies	30.2097971439
DISK_USAGE	after_regrouping_energies	22200
TIME	MILP_for_positions_301_to_350	3228.73
TIME	MILP_for_positions_701_to_750	3157.03
TIME	MILP_for_positions_351_to_400	3390.6
TIME	MILP_for_positions_901_to_950	3293.81
TIME	MILP_for_positions_51_to_100	3360.94
TIME	MILP_for_positions_1001_to_1008	530.13
TIME	MILP_for_positions_1_to_50	3271.26
TIME	MILP_for_positions_101_to_150	3199.16
TIME	MILP_for_positions_151_to_200	3268.02
TIME	MILP_for_positions_201_to_250	3317.75
TIME	MILP_for_positions_501_to_550	3176.54
TIME	MILP_for_positions_251_to_300	3417.21
TIME	MILP_for_positions_401_to_450	3349.39
TIME	MILP_for_positions_651_to_700	3245.88
TIME	MILP_for_positions_451_to_500	3395.33
TIME	MILP_for_positions_601_to_650	3340.48
TIME	MILP_for_positions_551_to_600	3373.09
TIME	MILP_for_positions_751_to_800	3321.9
TIME	MILP_for_positions_801_to_850	3318.79
TIME	MILP_for_positions_851_to_900	3223.4
DISK_USAGE	after_MILP	10416
DISK_USAGE	after_removing_MILP_files	2368
SUB_TIME	clustering	46.8050899506
SUB_TIME	antibody_complex_assembly_and_relaxation	21.0264389515
SUB_TIME	clustering	67.8431329727
DISK_USAGE	final	12000
FINISH	rep1_2zuq	on 2017 May 30 at 23:52:08
TIME	MILP_for_positions_951_to_1000	3274.74
