zRot,x,y,z,cut,energy,HV,HJ,HCDR3,KV,KJ,KCDR3,LV,LJ,LCDR3
0.0,0.0,-10.0,11.25,1,1854464843.01,137,1,24,,,,33,5,8
0.0,0.0,-10.0,11.25,2,1854464843.28,137,1,24,,,,34,5,8
0.0,0.0,-10.0,11.25,3,1854464846.76,137,1,24,,,,37,5,8
0.0,0.0,-10.0,11.25,4,1854464853.17,137,1,24,,,,30,5,8
0.0,0.0,-10.0,11.25,5,1854464853.7,137,1,24,,,,17,5,8
0.0,2.5,-10.0,11.25,1,192398705.613,8,1,102,54,3,123,,,
0.0,2.5,-10.0,11.25,2,192398708.914,8,1,102,54,3,122,,,
0.0,2.5,-10.0,11.25,3,192398711.899,8,1,102,54,3,175,,,
0.0,2.5,-10.0,11.25,4,192398714.12,8,1,102,54,3,4,,,
0.0,2.5,-10.0,11.25,5,192398722.345,8,1,102,54,3,77,,,
0.0,5.0,2.5,11.25,1,4566.6402,108,1,4,32,2,7,,,
0.0,5.0,2.5,11.25,2,4764.4723,108,1,4,32,2,4,,,
0.0,5.0,2.5,11.25,3,4805.9423,108,1,4,32,2,6,,,
0.0,5.0,2.5,11.25,4,5195.3334,108,1,4,32,2,36,,,
0.0,5.0,2.5,11.25,5,5195.8306,108,1,4,32,5,10,,,
0.0,0.0,-10.0,12.5,1,108415997.687,105,5,267,44,4,80,,,
0.0,0.0,-10.0,12.5,2,108416149.154,105,5,80,44,4,80,,,
0.0,0.0,-10.0,12.5,3,108416002.499,105,5,24,44,4,80,,,
0.0,0.0,-10.0,12.5,4,108416013.67,105,5,16,44,4,80,,,
0.0,0.0,-10.0,12.5,5,108416019.162,105,5,129,44,4,80,,,
0.0,2.5,-10.0,12.5,1,1236118.2466,12,3,3,7,3,63,,,
0.0,2.5,-10.0,12.5,2,1236118.5652,12,3,3,6,3,63,,,
0.0,2.5,-10.0,12.5,3,1236121.8482,12,3,3,36,3,63,,,
0.0,2.5,-10.0,12.5,4,1236117.5787,12,3,1,7,3,63,,,
0.0,2.5,-10.0,12.5,5,1236117.9528,12,3,1,7,3,103,,,
0.0,0.0,-7.5,12.5,1,1284263328.68,5,1,56,4,3,135,,,
0.0,0.0,-7.5,12.5,2,1284263328.75,5,1,56,5,3,135,,,
0.0,0.0,-7.5,12.5,3,1284263333.78,5,1,122,5,3,135,,,
0.0,0.0,-7.5,12.5,4,1284263328.18,5,1,7,15,3,17,,,
0.0,0.0,-7.5,12.5,5,1284263349.06,5,1,7,13,3,17,,,
0.0,5.0,-5.0,12.5,1,15574.0006,12,3,1,7,3,63,,,
0.0,5.0,-5.0,12.5,2,15574.4347,12,3,3,7,3,63,,,
0.0,5.0,-5.0,12.5,3,15575.2358,12,3,3,6,3,63,,,
0.0,5.0,-5.0,12.5,4,15574.8017,12,3,1,6,3,63,,,
0.0,5.0,-5.0,12.5,5,15577.4203,12,3,1,7,3,142,,,
0.0,2.5,-2.5,12.5,1,25737797.6176,109,5,7,15,3,119,,,
0.0,2.5,-2.5,12.5,2,25737809.4057,109,5,7,15,3,124,,,
0.0,2.5,-2.5,12.5,3,25737818.6345,109,5,7,15,3,33,,,
0.0,2.5,-2.5,12.5,4,25737824.5741,109,5,7,15,3,175,,,
0.0,2.5,-2.5,12.5,5,25737825.485,109,5,7,15,3,109,,,
0.0,5.0,-2.5,12.5,1,16062.2494,109,5,2,,,,37,5,36
0.0,5.0,-2.5,12.5,2,16069.6248,109,5,2,,,,36,5,36
0.0,5.0,-2.5,12.5,3,16075.3155,109,5,4,,,,37,5,36
0.0,5.0,-2.5,12.5,4,16082.6909,109,5,4,,,,36,5,36
0.0,5.0,-2.5,12.5,5,16087.7407,109,5,2,,,,37,5,12
0.0,2.5,2.5,12.5,1,593267.1532,123,5,4,18,4,6,,,
0.0,2.5,2.5,12.5,2,593277.3419,123,5,4,18,4,2,,,
0.0,2.5,2.5,12.5,3,593280.6945,123,5,4,18,4,60,,,
0.0,2.5,2.5,12.5,4,593284.6506,123,5,4,66,5,2,,,
