START	rep1_2zuq_01	on 2017 June 10 at 01:42:39
DISK_USAGE	initial	648
SUB_TIME	NAMD relaxation of molecule /gpfs/work/m/mfa5147/OptMAVEn2.0/experiments/rep1_2zuq_01/structures/MoleculeA.pdb	330.513411999
SUB_TIME	Mounting antigen A	0.355198860168
DISK_USAGE	after_antigen_initialization	1616
SUB_TIME	culling_clashes	7.12323999405
DISK_USAGE	after_culling_clashes	1840
DISK_USAGE	beginning_MAPs_energy_calculations	30016
TIME	antigen_relaxation_and_positioning	358.71
TIME	parts_3_to_3_interaction_energies	193.05
TIME	parts_1_to_1_interaction_energies	185.29
TIME	parts_2_to_2_interaction_energies	190.12
TIME	parts_13_to_13_interaction_energies	179.28
TIME	parts_14_to_14_interaction_energies	182.14
TIME	parts_15_to_15_interaction_energies	183.03
TIME	parts_7_to_7_interaction_energies	193.12
TIME	parts_6_to_6_interaction_energies	194.66
TIME	parts_4_to_4_interaction_energies	189.72
TIME	parts_5_to_5_interaction_energies	191.49
TIME	parts_12_to_12_interaction_energies	188.57
TIME	parts_16_to_16_interaction_energies	183.72
TIME	parts_17_to_17_interaction_energies	185.46
TIME	parts_20_to_20_interaction_energies	193.77
TIME	parts_9_to_9_interaction_energies	190.19
TIME	parts_8_to_8_interaction_energies	191.22
TIME	parts_10_to_10_interaction_energies	190.93
TIME	parts_11_to_11_interaction_energies	199.31
TIME	parts_19_to_19_interaction_energies	194.09
TIME	parts_18_to_18_interaction_energies	196.39
TIME	parts_28_to_28_interaction_energies	193.2
TIME	parts_25_to_25_interaction_energies	189.48
TIME	parts_24_to_24_interaction_energies	190.59
TIME	parts_26_to_26_interaction_energies	190.15
TIME	parts_29_to_29_interaction_energies	191.51
TIME	parts_27_to_27_interaction_energies	190.34
TIME	parts_23_to_23_interaction_energies	193.38
TIME	parts_31_to_31_interaction_energies	188.74
TIME	parts_30_to_30_interaction_energies	188.14
TIME	parts_22_to_22_interaction_energies	189.68
TIME	parts_33_to_33_interaction_energies	188.13
TIME	parts_34_to_34_interaction_energies	187.83
TIME	parts_36_to_36_interaction_energies	188.67
TIME	parts_37_to_37_interaction_energies	188.67
TIME	parts_21_to_21_interaction_energies	190.55
TIME	parts_35_to_35_interaction_energies	192.13
TIME	parts_42_to_42_interaction_energies	190.16
TIME	parts_41_to_41_interaction_energies	188.37
TIME	parts_55_to_55_interaction_energies	184.45
TIME	parts_38_to_38_interaction_energies	190.51
TIME	parts_40_to_40_interaction_energies	190.33
TIME	parts_45_to_45_interaction_energies	192.6
TIME	parts_39_to_39_interaction_energies	192.11
TIME	parts_46_to_46_interaction_energies	188.27
TIME	parts_44_to_44_interaction_energies	196.15
TIME	parts_54_to_54_interaction_energies	188.46
TIME	parts_50_to_50_interaction_energies	185.01
TIME	parts_51_to_51_interaction_energies	185.97
TIME	parts_52_to_52_interaction_energies	185.96
TIME	parts_48_to_48_interaction_energies	188.97
TIME	parts_53_to_53_interaction_energies	190.11
TIME	parts_47_to_47_interaction_energies	189.13
TIME	parts_49_to_49_interaction_energies	191.85
TIME	parts_61_to_61_interaction_energies	193.91
TIME	parts_59_to_59_interaction_energies	192.94
TIME	parts_60_to_60_interaction_energies	195.09
TIME	parts_58_to_58_interaction_energies	195.45
TIME	parts_43_to_43_interaction_energies	193.88
TIME	parts_57_to_57_interaction_energies	193.68
TIME	parts_64_to_64_interaction_energies	189.7
TIME	parts_62_to_62_interaction_energies	190.6
TIME	parts_63_to_63_interaction_energies	192.36
TIME	parts_56_to_56_interaction_energies	199.29
TIME	parts_66_to_66_interaction_energies	191.17
TIME	parts_65_to_65_interaction_energies	196.49
TIME	parts_67_to_67_interaction_energies	192.09
TIME	parts_68_to_68_interaction_energies	190.23
TIME	parts_32_to_32_interaction_energies	189.21
TIME	parts_74_to_74_interaction_energies	183.52
TIME	parts_73_to_73_interaction_energies	183.89
TIME	parts_72_to_72_interaction_energies	184.21
TIME	parts_70_to_70_interaction_energies	194.96
TIME	parts_69_to_69_interaction_energies	192.85
TIME	parts_79_to_79_interaction_energies	189.98
TIME	parts_71_to_71_interaction_energies	192.76
TIME	parts_75_to_75_interaction_energies	185.58
TIME	parts_76_to_76_interaction_energies	185.99
TIME	parts_80_to_80_interaction_energies	193.59
TIME	parts_77_to_77_interaction_energies	191.99
TIME	parts_78_to_78_interaction_energies	192.79
TIME	parts_82_to_82_interaction_energies	189.72
TIME	parts_81_to_81_interaction_energies	190.41
TIME	parts_87_to_87_interaction_energies	194.35
TIME	parts_83_to_83_interaction_energies	191.66
TIME	parts_88_to_88_interaction_energies	188.22
TIME	parts_89_to_89_interaction_energies	190.06
TIME	parts_86_to_86_interaction_energies	196.55
TIME	parts_85_to_85_interaction_energies	197.59
TIME	parts_95_to_95_interaction_energies	191.85
TIME	parts_90_to_90_interaction_energies	190.62
TIME	parts_84_to_84_interaction_energies	202.01
TIME	parts_93_to_93_interaction_energies	187.82
TIME	parts_92_to_92_interaction_energies	190.57
TIME	parts_94_to_94_interaction_energies	191.22
TIME	parts_91_to_91_interaction_energies	196.16
TIME	parts_96_to_96_interaction_energies	196.94
TIME	parts_111_to_111_interaction_energies	182.86
TIME	parts_101_to_101_interaction_energies	186.53
TIME	parts_103_to_103_interaction_energies	189.48
TIME	parts_97_to_97_interaction_energies	190.26
TIME	parts_104_to_104_interaction_energies	190.17
TIME	parts_100_to_100_interaction_energies	191.76
TIME	parts_99_to_99_interaction_energies	191.83
TIME	parts_102_to_102_interaction_energies	196.36
TIME	parts_112_to_112_interaction_energies	188.4
TIME	parts_107_to_107_interaction_energies	190.19
