zRot,x,y,z,cut,energy,HV,HJ,HCDR3,KV,KJ,KCDR3,LV,LJ,LCDR3
0.0,0.0,0.0,7.5,1,470437265.75,137,5,5,2,4,1,,,
0.0,0.0,0.0,7.5,2,471194044.223,137,5,5,53,3,91,,,
0.0,0.0,0.0,7.5,3,471205383.089,137,5,5,53,3,129,,,
0.0,0.0,0.0,7.5,4,471211385.347,137,5,5,53,3,6,,,
0.0,0.0,0.0,7.5,5,471216113.523,137,5,5,53,3,93,,,
0.0,0.0,2.5,7.5,1,20597804175.3,17,5,4,2,1,1,,,
0.0,0.0,2.5,7.5,2,20598694587.5,17,5,4,61,1,95,,,
0.0,0.0,2.5,7.5,3,20603729195.2,17,5,4,61,1,54,,,
0.0,0.0,2.5,7.5,4,20607214470.0,17,5,4,1,1,95,,,
0.0,0.0,2.5,7.5,5,20609662304.0,17,5,4,61,1,144,,,
0.0,0.0,0.0,8.75,1,1398346959.42,17,5,13,2,1,1,,,
0.0,0.0,0.0,8.75,2,1398357629.36,17,5,13,2,1,7,,,
0.0,0.0,0.0,8.75,3,1398348317.85,17,5,13,7,1,36,,,
0.0,0.0,0.0,8.75,4,1398348090.71,17,5,13,7,1,95,,,
0.0,0.0,0.0,8.75,5,1398348174.78,17,5,13,7,1,96,,,
0.0,2.5,0.0,8.75,1,705479035.98,117,1,65,6,3,134,,,
0.0,2.5,0.0,8.75,2,705479048.898,117,1,65,6,3,4,,,
0.0,2.5,0.0,8.75,3,705479073.44,117,1,65,6,3,94,,,
0.0,2.5,0.0,8.75,4,705479080.898,117,1,65,6,3,96,,,
0.0,2.5,0.0,8.75,5,705479088.086,117,1,65,6,3,7,,,
0.0,0.0,2.5,8.75,1,116589691.243,57,5,4,6,4,95,,,
0.0,0.0,2.5,8.75,2,118856859.066,57,5,4,6,4,89,,,
0.0,0.0,2.5,8.75,3,119002643.868,57,5,4,6,4,120,,,
0.0,0.0,2.5,8.75,4,123976717.976,57,5,4,6,4,92,,,
0.0,0.0,2.5,8.75,5,131947136.753,57,5,4,6,4,91,,,
0.0,2.5,2.5,8.75,1,33514223.5263,17,5,3,4,3,15,,,
0.0,2.5,2.5,8.75,2,33514472.431,17,5,3,4,3,7,,,
0.0,2.5,2.5,8.75,3,33527569.163,17,5,3,4,3,6,,,
0.0,2.5,2.5,8.75,4,33543141.4553,108,1,3,4,3,15,,,
0.0,2.5,2.5,8.75,5,33543145.0642,108,1,3,4,3,23,,,
0.0,-2.5,5.0,8.75,1,13707075.5189,46,5,1,61,1,164,,,
0.0,-2.5,5.0,8.75,2,13707285.2461,46,5,1,19,1,164,,,
0.0,-2.5,5.0,8.75,3,13708622.6311,46,5,1,53,1,164,,,
0.0,-2.5,5.0,8.75,4,13709752.4817,46,5,1,65,3,164,,,
0.0,-2.5,5.0,8.75,5,13711687.6551,46,5,1,6,1,164,,,
0.0,0.0,5.0,8.75,1,20557982.5349,43,5,9,,,,28,5,21
0.0,0.0,5.0,8.75,2,21490935.1695,43,5,61,,,,28,5,21
0.0,0.0,5.0,8.75,3,23054757.4243,79,5,41,,,,33,5,24
0.0,0.0,5.0,8.75,4,23214132.634,79,5,57,,,,33,5,24
0.0,0.0,5.0,8.75,5,23270328.9683,79,5,41,,,,34,5,24
0.0,2.5,0.0,10.0,1,157500508.53,46,1,66,65,3,103,,,
0.0,2.5,0.0,10.0,2,157500511.034,46,1,66,65,3,86,,,
0.0,2.5,0.0,10.0,3,157500514.225,46,1,66,65,3,134,,,
0.0,2.5,0.0,10.0,4,157500516.235,46,1,66,65,3,144,,,
0.0,2.5,0.0,10.0,5,157500516.251,46,1,66,65,3,35,,,
0.0,0.0,2.5,10.0,1,82051023.4264,82,5,108,53,1,94,,,
