START	rep1_3bdy_20	on 2017 June 05 at 23:33:23
DISK_USAGE	initial	576
SUB_TIME	NAMD relaxation of molecule /gpfs/work/m/mfa5147/OptMAVEn2.0/experiments/rep1_3bdy_20/structures/MoleculeA.pdb	185.688127995
SUB_TIME	Mounting antigen A	0.935725927353
DISK_USAGE	after_antigen_initialization	952
SUB_TIME	culling_clashes	11.0271270275
DISK_USAGE	after_culling_clashes	1480
DISK_USAGE	beginning_MAPs_energy_calculations	16520
TIME	antigen_relaxation_and_positioning	160.06
TIME	parts_341_to_360_interaction_energies	2459.26
TIME	parts_161_to_180_interaction_energies	2276.95
TIME	parts_121_to_140_interaction_energies	2077.0
TIME	parts_81_to_100_interaction_energies	2303.89
TIME	parts_721_to_740_interaction_energies	2333.61
TIME	parts_181_to_200_interaction_energies	2351.57
TIME	parts_781_to_800_interaction_energies	3401.21
TIME	parts_881_to_900_interaction_energies	2933.86
TIME	parts_681_to_700_interaction_energies	2243.64
TIME	parts_701_to_720_interaction_energies	2340.69
TIME	parts_821_to_840_interaction_energies	3402.41
TIME	parts_1_to_20_interaction_energies	2386.69
TIME	parts_21_to_40_interaction_energies	2318.76
TIME	parts_41_to_60_interaction_energies	2368.0
TIME	parts_61_to_80_interaction_energies	2313.46
TIME	parts_101_to_120_interaction_energies	2386.3
TIME	parts_141_to_160_interaction_energies	2470.94
TIME	parts_201_to_220_interaction_energies	2385.81
TIME	parts_241_to_260_interaction_energies	2374.13
TIME	parts_221_to_240_interaction_energies	2416.78
TIME	parts_261_to_280_interaction_energies	2528.53
TIME	parts_281_to_300_interaction_energies	2490.05
TIME	parts_301_to_320_interaction_energies	2405.23
TIME	parts_361_to_380_interaction_energies	2314.11
TIME	parts_321_to_340_interaction_energies	2442.56
TIME	parts_381_to_400_interaction_energies	2318.19
TIME	parts_401_to_420_interaction_energies	2370.31
TIME	parts_421_to_440_interaction_energies	2694.64
TIME	parts_441_to_460_interaction_energies	3571.47
TIME	parts_461_to_480_interaction_energies	3671.39
TIME	parts_581_to_600_interaction_energies	2277.01
TIME	parts_481_to_500_interaction_energies	3631.16
TIME	parts_501_to_520_interaction_energies	3578.77
TIME	parts_521_to_540_interaction_energies	3599.11
TIME	parts_601_to_620_interaction_energies	2241.77
TIME	parts_621_to_640_interaction_energies	2308.71
TIME	parts_561_to_580_interaction_energies	3223.44
TIME	parts_641_to_660_interaction_energies	2311.12
TIME	parts_661_to_680_interaction_energies	2383.69
TIME	parts_541_to_560_interaction_energies	3639.58
TIME	parts_921_to_924_interaction_energies	694.47
TIME	parts_741_to_760_interaction_energies	2245.87
TIME	parts_861_to_880_interaction_energies	2259.13
TIME	parts_841_to_860_interaction_energies	2339.24
TIME	parts_761_to_780_interaction_energies	2453.07
TIME	parts_801_to_820_interaction_energies	3536.13
DISK_USAGE	after_MAPs_energy_calculations	47808
SUB_TIME	regrouping_interaction_energies	35.5432379246
DISK_USAGE	after_regrouping_energies	22072
TIME	MILP_for_positions_401_to_450	3548.57
