START	rep1_3bky_01	on 2017 June 11 at 10:19:23
DISK_USAGE	initial	480
SUB_TIME	NAMD relaxation of molecule /gpfs/work/m/mfa5147/OptMAVEn2.0/experiments/rep1_3bky_01/structures/MoleculeA.pdb	13.140155077
SUB_TIME	Mounting antigen A	0.391612052917
DISK_USAGE	after_antigen_initialization	560
SUB_TIME	culling_clashes	5.19022798538
DISK_USAGE	after_culling_clashes	560
DISK_USAGE	beginning_MAPs_energy_calculations	29080
TIME	antigen_relaxation_and_positioning	38.91
TIME	parts_58_to_58_interaction_energies	105.08
TIME	parts_261_to_261_interaction_energies	105.58
TIME	parts_262_to_262_interaction_energies	107.17
TIME	parts_259_to_259_interaction_energies	106.67
TIME	parts_260_to_260_interaction_energies	110.49
TIME	parts_158_to_158_interaction_energies	110.81
TIME	parts_258_to_258_interaction_energies	110.98
TIME	parts_358_to_358_interaction_energies	119.15
TIME	parts_359_to_359_interaction_energies	121.18
TIME	parts_659_to_659_interaction_energies	101.3
TIME	parts_658_to_658_interaction_energies	101.31
TIME	parts_758_to_758_interaction_energies	101.13
TIME	parts_858_to_858_interaction_energies	101.63
TIME	parts_461_to_461_interaction_energies	218.72
TIME	parts_463_to_463_interaction_energies	219.12
TIME	parts_462_to_462_interaction_energies	219.31
TIME	parts_460_to_460_interaction_energies	226.34
TIME	parts_459_to_459_interaction_energies	227.24
TIME	parts_458_to_458_interaction_energies	230.28
TIME	parts_558_to_558_interaction_energies	225.05
TIME	parts_62_to_62_interaction_energies	101.45
TIME	parts_63_to_63_interaction_energies	101.96
TIME	parts_61_to_61_interaction_energies	107.0
TIME	parts_59_to_59_interaction_energies	104.86
TIME	parts_60_to_60_interaction_energies	110.25
TIME	parts_161_to_161_interaction_energies	101.69
TIME	parts_268_to_268_interaction_energies	95.47
TIME	parts_160_to_160_interaction_energies	106.81
TIME	parts_267_to_267_interaction_energies	106.59
TIME	parts_266_to_266_interaction_energies	112.64
TIME	parts_265_to_265_interaction_energies	112.68
TIME	parts_360_to_360_interaction_energies	125.76
TIME	parts_771_to_771_interaction_energies	94.09
TIME	parts_671_to_671_interaction_energies	103.42
TIME	parts_670_to_670_interaction_energies	102.8
TIME	parts_669_to_669_interaction_energies	103.26
TIME	parts_770_to_770_interaction_energies	101.99
TIME	parts_871_to_871_interaction_energies	102.83
TIME	parts_471_to_471_interaction_energies	217.23
TIME	parts_470_to_470_interaction_energies	226.84
TIME	parts_468_to_468_interaction_energies	228.21
TIME	parts_467_to_467_interaction_energies	232.19
TIME	parts_469_to_469_interaction_energies	232.47
TIME	parts_466_to_466_interaction_energies	232.49
TIME	parts_569_to_569_interaction_energies	226.56
TIME	parts_568_to_568_interaction_energies	227.77
TIME	parts_567_to_567_interaction_energies	225.48
TIME	parts_64_to_64_interaction_energies	104.87
TIME	parts_167_to_167_interaction_energies	103.61
TIME	parts_278_to_278_interaction_energies	106.48
TIME	parts_277_to_277_interaction_energies	111.41
TIME	parts_276_to_276_interaction_energies	114.9
TIME	parts_361_to_361_interaction_energies	125.77
TIME	parts_672_to_672_interaction_energies	103.72
TIME	parts_673_to_673_interaction_energies	102.83
TIME	parts_880_to_880_interaction_energies	96.44
TIME	parts_881_to_881_interaction_energies	97.05
TIME	parts_882_to_882_interaction_energies	96.95
TIME	parts_776_to_776_interaction_energies	99.94
TIME	parts_879_to_879_interaction_energies	100.96
TIME	parts_878_to_878_interaction_energies	101.03
TIME	parts_775_to_775_interaction_energies	100.84
TIME	parts_877_to_877_interaction_energies	102.27
TIME	parts_473_to_473_interaction_energies	232.73
TIME	parts_570_to_570_interaction_energies	230.09
TIME	parts_66_to_66_interaction_energies	104.6
TIME	parts_65_to_65_interaction_energies	108.18
TIME	parts_169_to_169_interaction_energies	110.73
TIME	parts_281_to_281_interaction_energies	113.34
TIME	parts_362_to_362_interaction_energies	121.37
TIME	parts_674_to_674_interaction_energies	101.15
TIME	parts_475_to_475_interaction_energies	227.98
TIME	parts_474_to_474_interaction_energies	228.99
TIME	parts_573_to_573_interaction_energies	228.65
