zRot,x,y,z,cut,energy,HV,HJ,HCDR3,KV,KJ,KCDR3,LV,LJ,LCDR3
0.0,0.0,2.5,5.0,1,2993928.0243,41,1,3,9,2,98,,,
0.0,0.0,2.5,5.0,2,2994752.0753,43,1,3,9,2,98,,,
0.0,0.0,2.5,5.0,3,2994997.5198,44,1,3,9,2,98,,,
0.0,0.0,2.5,5.0,4,2995120.2379,46,1,3,9,2,98,,,
0.0,0.0,2.5,5.0,5,2995317.7058,79,1,3,9,2,98,,,
0.0,2.5,2.5,5.0,1,1339865220.1,123,5,57,54,2,176,,,
0.0,2.5,2.5,5.0,2,1339865244.5,79,1,57,54,2,176,,,
0.0,2.5,2.5,5.0,3,1339865248.0,80,1,57,54,2,176,,,
0.0,2.5,2.5,5.0,4,1339865286.37,106,1,57,54,2,176,,,
0.0,2.5,2.5,5.0,5,1339865286.48,107,1,57,54,2,176,,,
0.0,0.0,5.0,5.0,1,92626789.4307,79,4,133,7,4,24,,,
0.0,0.0,5.0,5.0,2,92626801.0069,79,4,57,7,4,24,,,
0.0,0.0,5.0,5.0,3,92626792.3034,41,4,49,7,4,24,,,
0.0,0.0,5.0,5.0,4,92626793.0115,41,5,9,7,4,24,,,
0.0,0.0,5.0,5.0,5,92626793.1939,80,4,133,7,4,24,,,
0.0,2.5,0.0,6.25,1,70033354.5392,111,2,13,,,,15,6,21
0.0,2.5,0.0,6.25,2,70033356.6947,111,2,13,,,,15,6,14
0.0,2.5,0.0,6.25,3,70033362.5304,111,2,13,,,,15,6,17
0.0,2.5,0.0,6.25,4,70033386.6125,111,2,13,,,,15,6,25
0.0,2.5,0.0,6.25,5,70033619.2726,111,2,13,,,,15,6,6
0.0,0.0,2.5,6.25,1,472579.4914,17,5,21,,,,17,5,21
0.0,0.0,2.5,6.25,2,472680.0542,43,1,21,,,,17,5,21
0.0,0.0,2.5,6.25,3,472728.6776,44,1,21,,,,17,5,21
0.0,0.0,2.5,6.25,4,472787.9313,46,1,21,,,,17,5,21
0.0,0.0,2.5,6.25,5,476053.9983,17,5,49,,,,17,5,21
0.0,0.0,5.0,6.25,1,408396778.838,43,3,60,40,2,78,,,
0.0,0.0,5.0,6.25,2,408396782.343,43,3,187,40,2,78,,,
0.0,0.0,5.0,6.25,3,408396787.919,44,3,60,40,2,78,,,
0.0,0.0,5.0,6.25,4,408396782.881,46,4,187,40,2,78,,,
0.0,0.0,5.0,6.25,5,408396791.423,44,3,187,40,2,78,,,
0.0,0.0,0.0,7.5,1,1176377.7837,43,5,315,54,2,122,,,
0.0,0.0,0.0,7.5,2,1176464.0465,44,5,315,54,2,122,,,
0.0,0.0,0.0,7.5,3,1176544.962,46,5,315,54,2,122,,,
0.0,0.0,0.0,7.5,4,1197168.4315,80,5,315,54,2,176,,,
