zRot,x,y,z,cut,energy,HV,HJ,HCDR3,KV,KJ,KCDR3,LV,LJ,LCDR3
0.0,7.5,-7.5,11.25,1,551465.6846,13,3,4,,,,17,5,11
0.0,7.5,-7.5,11.25,2,551482.2782,13,3,4,,,,31,5,11
0.0,7.5,-7.5,11.25,3,551484.6614,13,3,4,,,,32,5,11
0.0,7.5,-7.5,11.25,4,551491.7847,13,3,4,,,,18,5,11
0.0,7.5,-7.5,11.25,5,551492.0769,13,3,4,,,,22,5,11
0.0,7.5,-5.0,11.25,1,6317.6314,8,4,4,54,2,6,,,
0.0,7.5,-5.0,11.25,2,6337.5331,8,4,4,54,2,2,,,
0.0,7.5,-5.0,11.25,3,6349.5959,8,4,4,54,2,7,,,
0.0,7.5,-5.0,11.25,4,6349.6168,8,4,4,54,2,46,,,
0.0,7.5,-5.0,11.25,5,6350.4567,8,4,4,54,2,175,,,
0.0,10.0,-10.0,12.5,1,1416.2755,108,4,389,51,3,113,,,
0.0,10.0,-10.0,12.5,2,1416.3631,108,4,389,52,3,113,,,
0.0,10.0,-10.0,12.5,3,1416.3996,108,4,389,64,5,113,,,
0.0,10.0,-10.0,12.5,4,1417.0221,108,4,389,18,5,113,,,
0.0,10.0,-10.0,12.5,5,1417.1373,108,4,2,51,5,113,,,
0.0,7.5,-7.5,12.5,1,148995.0193,13,3,4,,,,31,5,11
0.0,7.5,-7.5,12.5,2,148995.6866,13,3,4,,,,32,5,11
0.0,7.5,-7.5,12.5,3,148998.9987,13,3,4,,,,30,5,11
0.0,7.5,-7.5,12.5,4,149019.0598,13,3,4,,,,28,5,11
0.0,7.5,-7.5,12.5,5,149019.0649,13,3,4,,,,29,5,11
0.0,10.0,-7.5,12.5,1,-32.4631,17,5,4,56,1,117,,,
0.0,10.0,-7.5,12.5,2,-32.2713,17,5,4,63,1,117,,,
0.0,10.0,-7.5,12.5,3,-31.9639,17,5,4,58,4,117,,,
0.0,10.0,-7.5,12.5,4,-31.3226,17,5,4,56,1,116,,,
0.0,10.0,-7.5,12.5,5,-31.1308,17,5,4,63,3,116,,,
0.0,5.0,-5.0,12.5,1,273952332.033,70,4,8,,,,31,5,20
0.0,5.0,-5.0,12.5,2,273952332.989,70,4,8,,,,32,5,20
0.0,5.0,-5.0,12.5,3,273952342.616,70,4,8,44,4,74,,,
0.0,5.0,-5.0,12.5,4,273952344.16,70,4,8,44,4,162,,,
0.0,5.0,-5.0,12.5,5,273952345.496,70,4,8,44,4,82,,,
0.0,7.5,-5.0,12.5,1,580.6956,8,4,4,6,4,6,,,
0.0,7.5,-5.0,12.5,2,595.8836,8,4,4,6,4,2,,,
0.0,7.5,-5.0,12.5,3,605.6909,8,4,4,6,4,33,,,
0.0,7.5,-5.0,12.5,4,605.8154,8,4,4,6,4,57,,,
0.0,7.5,-5.0,12.5,5,606.0161,8,4,4,6,4,7,,,
0.0,-5.0,-2.5,12.5,1,3137793019.01,4,4,21,43,3,17,,,
0.0,-5.0,-2.5,12.5,2,3137793044.94,4,4,21,61,3,17,,,
0.0,-5.0,-2.5,12.5,3,3137793062.98,4,4,94,61,3,17,,,
0.0,-5.0,-2.5,12.5,4,3137800282.55,4,4,21,61,3,46,,,
0.0,-5.0,-2.5,12.5,5,3137800300.59,4,4,94,61,3,46,,,
0.0,5.0,-2.5,12.5,1,326034.5563,13,3,4,,,,31,5,11
0.0,5.0,-2.5,12.5,2,326035.6386,13,3,4,,,,32,5,11
0.0,5.0,-2.5,12.5,3,326108.9468,13,3,4,,,,28,5,11
0.0,5.0,-2.5,12.5,4,326111.4208,13,3,4,,,,29,5,11
0.0,5.0,-2.5,12.5,5,326154.0056,13,3,4,,,,37,5,11
0.0,2.5,5.0,12.5,1,2510.4134,79,5,315,,,,28,5,21
0.0,2.5,5.0,12.5,2,2512.1466,80,5,315,,,,28,5,21
0.0,2.5,5.0,12.5,3,2513.655,79,5,315,,,,29,5,21
0.0,2.5,5.0,12.5,4,2515.0391,79,3,62,,,,28,5,21
0.0,2.5,5.0,12.5,5,2515.3882,80,5,315,,,,29,5,21
0.0,2.5,-10.0,13.75,1,18297780.9847,93,4,5,1,2,117,,,
0.0,2.5,-10.0,13.75,2,18297785.1957,93,4,5,17,2,117,,,
0.0,2.5,-10.0,13.75,3,18297786.2955,93,4,5,17,2,162,,,
0.0,2.5,-10.0,13.75,4,18297782.0977,93,4,5,1,2,95,,,
0.0,2.5,-10.0,13.75,5,18297786.3087,93,4,5,17,2,95,,,
0.0,7.5,-10.0,13.75,1,12029.4855,13,5,24,,,,30,5,11
0.0,7.5,-10.0,13.75,2,12035.2948,13,5,24,,,,17,5,11
0.0,7.5,-10.0,13.75,3,12044.5889,13,5,24,,,,22,5,11
0.0,7.5,-10.0,13.75,4,12044.6098,13,5,24,,,,18,5,11
0.0,7.5,-10.0,13.75,5,12048.841,13,5,24,,,,37,5,11
0.0,10.0,-10.0,13.75,1,-93.2893,17,3,16,,,,33,5,8
0.0,10.0,-10.0,13.75,2,-92.7055,17,3,16,,,,34,5,8
0.0,10.0,-10.0,13.75,3,-92.3522,17,3,16,7,3,116,,,
0.0,10.0,-10.0,13.75,4,-92.2987,17,3,16,7,3,117,,,
0.0,10.0,-10.0,13.75,5,-92.2395,17,3,16,6,4,117,,,
0.0,2.5,-7.5,13.75,1,316794444.694,4,4,7,14,3,17,,,
0.0,2.5,-7.5,13.75,2,316794444.914,4,4,7,13,3,17,,,
0.0,2.5,-7.5,13.75,3,316794503.425,4,4,7,15,3,17,,,
0.0,2.5,-7.5,13.75,4,319496466.263,4,4,71,14,3,17,,,
0.0,2.5,-7.5,13.75,5,319496466.477,4,4,71,61,3,17,,,
0.0,7.5,-7.5,13.75,1,6537.9822,13,3,4,,,,31,5,11
0.0,7.5,-7.5,13.75,2,6538.4066,13,3,4,,,,32,5,11
0.0,7.5,-7.5,13.75,3,6539.192,13,3,4,,,,30,5,11
0.0,7.5,-7.5,13.75,4,6552.9795,13,3,4,,,,29,5,11
0.0,7.5,-7.5,13.75,5,6553.0478,13,3,4,,,,28,5,11
0.0,10.0,-7.5,13.75,1,-109.8977,17,3,16,8,3,117,,,
0.0,10.0,-7.5,13.75,2,-108.3503,17,5,16,58,3,117,,,
0.0,10.0,-7.5,13.75,3,-108.3108,17,5,16,63,3,117,,,
0.0,10.0,-7.5,13.75,4,-108.2517,17,5,16,56,3,117,,,
0.0,10.0,-7.5,13.75,5,-106.7471,17,3,16,8,3,116,,,
0.0,-5.0,-5.0,13.75,1,809056934.532,47,1,94,61,3,101,,,
0.0,-5.0,-5.0,13.75,2,809056936.235,47,1,94,61,3,17,,,
