START	rep1_3g5v_20	on 2017 June 05 at 22:59:06
DISK_USAGE	initial	480
SUB_TIME	NAMD relaxation of molecule /gpfs/work/m/mfa5147/OptMAVEn2.0/experiments/rep1_3g5v_20/structures/MoleculeA.pdb	12.7454071045
SUB_TIME	Mounting antigen A	0.325927972794
DISK_USAGE	after_antigen_initialization	552
SUB_TIME	culling_clashes	6.60665082932
DISK_USAGE	after_culling_clashes	552
DISK_USAGE	beginning_MAPs_energy_calculations	15576
TIME	antigen_relaxation_and_positioning	19.3
TIME	parts_1_to_20_interaction_energies	1395.88
TIME	parts_341_to_360_interaction_energies	1554.39
TIME	parts_421_to_440_interaction_energies	1948.96
TIME	parts_41_to_60_interaction_energies	1383.7
TIME	parts_621_to_640_interaction_energies	1319.16
TIME	parts_161_to_180_interaction_energies	1466.95
TIME	parts_401_to_420_interaction_energies	1370.25
TIME	parts_181_to_200_interaction_energies	1417.35
TIME	parts_201_to_220_interaction_energies	1483.31
TIME	parts_321_to_340_interaction_energies	1477.39
TIME	parts_141_to_160_interaction_energies	1406.15
TIME	parts_581_to_600_interaction_energies	1325.15
TIME	parts_281_to_300_interaction_energies	1543.01
TIME	parts_441_to_460_interaction_energies	3094.93
TIME	parts_221_to_240_interaction_energies	1437.82
TIME	parts_81_to_100_interaction_energies	1343.25
TIME	parts_121_to_140_interaction_energies	1406.39
TIME	parts_101_to_120_interaction_energies	1435.89
TIME	parts_241_to_260_interaction_energies	1491.77
TIME	parts_21_to_40_interaction_energies	1389.46
TIME	parts_61_to_80_interaction_energies	1396.38
TIME	parts_261_to_280_interaction_energies	1551.36
TIME	parts_361_to_380_interaction_energies	1454.57
TIME	parts_301_to_320_interaction_energies	1534.92
TIME	parts_381_to_400_interaction_energies	1340.2
TIME	parts_741_to_760_interaction_energies	1348.82
TIME	parts_461_to_480_interaction_energies	3055.5
TIME	parts_601_to_620_interaction_energies	1414.63
TIME	parts_481_to_500_interaction_energies	3105.83
TIME	parts_501_to_520_interaction_energies	3101.35
TIME	parts_521_to_540_interaction_energies	3106.52
TIME	parts_641_to_660_interaction_energies	1338.48
TIME	parts_561_to_580_interaction_energies	2531.42
TIME	parts_541_to_560_interaction_energies	3094.98
TIME	parts_661_to_680_interaction_energies	1359.15
TIME	parts_921_to_924_interaction_energies	572.76
TIME	parts_681_to_700_interaction_energies	1342.86
TIME	parts_701_to_720_interaction_energies	1346.4
TIME	parts_721_to_740_interaction_energies	1372.7
TIME	parts_801_to_820_interaction_energies	2976.8
TIME	parts_761_to_780_interaction_energies	1567.85
TIME	parts_841_to_860_interaction_energies	1433.06
TIME	parts_861_to_880_interaction_energies	1349.97
TIME	parts_821_to_840_interaction_energies	2866.43
TIME	parts_781_to_800_interaction_energies	2904.99
TIME	parts_881_to_900_interaction_energies	2315.12
DISK_USAGE	after_MAPs_energy_calculations	57368
SUB_TIME	regrouping_interaction_energies	45.9035229683
DISK_USAGE	after_regrouping_energies	28552
TIME	MILP_for_positions_1_to_50	3517.75
TIME	MILP_for_positions_251_to_300	3624.16
TIME	MILP_for_positions_851_to_900	3559.22
TIME	MILP_for_positions_101_to_150	4453.58
TIME	MILP_for_positions_201_to_250	4351.69
TIME	MILP_for_positions_501_to_550	4086.96
TIME	MILP_for_positions_301_to_350	4108.29
TIME	MILP_for_positions_51_to_100	4253.05
TIME	MILP_for_positions_151_to_200	4211.49
