zRot,x,y,z,cut,energy,HV,HJ,HCDR3,KV,KJ,KCDR3,LV,LJ,LCDR3
0.0,0.0,2.5,7.5,1,20096299.798,43,3,61,18,4,96,,,
0.0,0.0,2.5,7.5,2,20096312.9407,43,3,13,18,4,96,,,
0.0,0.0,2.5,7.5,3,20096331.7053,43,3,31,18,4,96,,,
0.0,0.0,2.5,7.5,4,20096344.5896,43,3,32,18,4,96,,,
0.0,0.0,2.5,7.5,5,20096360.8334,43,3,49,18,4,96,,,
0.0,5.0,-10.0,8.75,1,285798.9503,17,5,4,2,4,1,,,
0.0,5.0,-10.0,8.75,2,285799.5319,17,5,4,2,4,7,,,
0.0,5.0,-10.0,8.75,3,285799.6317,17,5,4,2,4,2,,,
0.0,5.0,-10.0,8.75,4,285810.4363,17,5,4,38,4,81,,,
0.0,5.0,-10.0,8.75,5,285810.8423,17,5,4,38,4,185,,,
0.0,-5.0,-5.0,8.75,1,2354741824.89,13,3,8,,,,23,5,11
0.0,-5.0,-5.0,8.75,2,2354741922.2,13,3,8,,,,18,5,11
0.0,-5.0,-5.0,8.75,3,2354741929.23,13,3,8,,,,31,5,11
0.0,-5.0,-5.0,8.75,4,2354741933.01,13,3,8,,,,32,5,11
0.0,-5.0,-5.0,8.75,5,2354741964.06,13,3,8,,,,28,5,11
0.0,2.5,5.0,8.75,1,300161473.446,79,3,65,,,,30,5,20
0.0,2.5,5.0,8.75,2,300161473.121,79,3,95,,,,30,5,20
0.0,2.5,5.0,8.75,3,300161474.81,79,3,24,,,,30,5,20
0.0,2.5,5.0,8.75,4,300161475.124,79,3,1,,,,30,5,20
0.0,2.5,5.0,8.75,5,300161475.805,79,3,41,,,,30,5,20
0.0,2.5,-10.0,10.0,1,37698.441,13,3,8,,,,17,5,11
0.0,2.5,-10.0,10.0,2,37712.1972,13,3,4,,,,17,5,11
0.0,2.5,-10.0,10.0,3,37878.4998,13,3,1,,,,17,5,11
0.0,2.5,-10.0,10.0,4,39218.1267,17,3,8,67,1,81,,,
0.0,2.5,-10.0,10.0,5,39218.31,17,3,8,67,4,185,,,
0.0,5.0,-10.0,10.0,1,503266.5976,138,1,4,2,4,1,,,
0.0,5.0,-10.0,10.0,2,503267.0269,138,1,4,2,3,7,,,
0.0,5.0,-10.0,10.0,3,503267.1203,138,1,4,2,3,2,,,
0.0,5.0,-10.0,10.0,4,503269.7213,138,1,8,2,4,1,,,
0.0,5.0,-10.0,10.0,5,503269.7847,138,1,8,2,3,3,,,
0.0,2.5,-7.5,10.0,1,1295.8354,17,5,4,54,3,190,,,
0.0,2.5,-7.5,10.0,2,1296.5299,17,5,4,54,3,134,,,
0.0,2.5,-7.5,10.0,3,1296.682,17,5,4,54,3,157,,,
0.0,2.5,-7.5,10.0,4,1296.6992,17,5,4,54,3,110,,,
0.0,2.5,-7.5,10.0,5,1296.8294,17,5,4,54,3,123,,,
0.0,-5.0,-5.0,10.0,1,919740957.892,12,3,8,59,1,86,,,
0.0,-5.0,-5.0,10.0,2,919740962.322,12,3,8,59,1,102,,,
0.0,-5.0,-5.0,10.0,3,919740962.49,12,3,8,59,1,25,,,
0.0,-5.0,-5.0,10.0,4,919740962.765,12,3,8,59,1,73,,,
0.0,-5.0,-5.0,10.0,5,919740963.004,12,3,8,59,1,142,,,
0.0,0.0,2.5,10.0,1,76169.9414,46,4,1,,,,28,5,20
0.0,0.0,2.5,10.0,2,76173.8517,46,4,1,,,,28,5,34
0.0,0.0,2.5,10.0,3,76190.5142,46,4,13,,,,28,5,20
0.0,0.0,2.5,10.0,4,76194.4245,46,4,13,,,,28,5,34
0.0,0.0,2.5,10.0,5,76200.9534,46,4,31,,,,28,5,20
0.0,0.0,5.0,10.0,1,24021345.1543,114,2,133,,,,15,6,29
0.0,0.0,5.0,10.0,2,24021348.3596,114,2,24,,,,15,6,29
0.0,0.0,5.0,10.0,3,24021390.3871,114,2,21,,,,15,6,29
0.0,0.0,5.0,10.0,4,24021393.7833,114,2,95,,,,15,6,29
0.0,0.0,5.0,10.0,5,24021400.7397,114,2,10,,,,15,6,29
0.0,2.5,5.0,10.0,1,16081.8163,80,1,95,,,,29,5,20
0.0,2.5,5.0,10.0,2,16081.8224,79,1,95,,,,29,5,20
0.0,2.5,5.0,10.0,3,16081.951,80,1,95,,,,29,5,34
0.0,2.5,5.0,10.0,4,16081.9571,79,1,95,,,,29,5,34
0.0,2.5,5.0,10.0,5,16088.1832,80,1,41,,,,29,5,20
0.0,5.0,5.0,10.0,1,7262.2575,110,5,133,,,,29,5,20
0.0,5.0,5.0,10.0,2,7262.3826,110,5,133,,,,29,5,9
0.0,5.0,5.0,10.0,3,7262.9101,106,4,133,,,,29,5,20
0.0,5.0,5.0,10.0,4,7263.0352,106,4,133,,,,29,5,9
0.0,5.0,5.0,10.0,5,7263.0447,103,4,133,,,,29,5,20
0.0,0.0,-10.0,11.25,1,14269838.3952,13,5,8,,,,30,5,11
0.0,0.0,-10.0,11.25,2,14269840.5352,13,5,8,,,,32,5,11
0.0,0.0,-10.0,11.25,3,14269840.7304,13,5,8,,,,31,5,11
0.0,0.0,-10.0,11.25,4,14269846.5194,13,5,8,,,,29,5,11
0.0,0.0,-10.0,11.25,5,14269847.1287,13,5,8,,,,28,5,11
0.0,2.5,-10.0,11.25,1,160122.6188,13,3,8,,,,17,5,11
0.0,2.5,-10.0,11.25,2,160132.3202,13,3,16,,,,17,5,11
0.0,2.5,-10.0,11.25,3,160132.8268,13,3,1,,,,17,5,11
0.0,2.5,-10.0,11.25,4,160135.9714,13,3,4,,,,17,5,11
0.0,2.5,-10.0,11.25,5,160216.1054,13,3,8,,,,18,5,11
0.0,5.0,-10.0,11.25,1,28761.3973,8,4,4,2,4,7,,,
0.0,5.0,-10.0,11.25,2,28761.5234,8,4,4,2,2,2,,,
0.0,5.0,-10.0,11.25,3,28761.1321,8,4,4,2,4,1,,,
0.0,5.0,-10.0,11.25,4,28770.4772,8,4,4,38,4,86,,,
0.0,5.0,-10.0,11.25,5,28770.5106,8,4,132,2,4,1,,,
0.0,7.5,-10.0,11.25,1,-15.2085,138,4,80,38,4,86,,,
0.0,7.5,-10.0,11.25,2,-15.0771,138,4,80,38,4,103,,,
0.0,7.5,-10.0,11.25,3,-15.063,138,4,80,38,4,106,,,
0.0,7.5,-10.0,11.25,4,-15.0434,138,4,80,38,4,137,,,
0.0,7.5,-10.0,11.25,5,-15.0281,138,4,80,38,4,119,,,
0.0,10.0,-10.0,11.25,1,-42.828,138,4,397,67,4,85,,,
0.0,10.0,-10.0,11.25,2,-42.6863,138,4,397,67,4,73,,,
0.0,10.0,-10.0,11.25,3,-42.6806,138,4,397,67,4,86,,,
0.0,10.0,-10.0,11.25,4,-42.6699,138,4,397,67,4,51,,,
0.0,10.0,-10.0,11.25,5,-42.6473,138,4,397,67,4,105,,,
0.0,-5.0,-7.5,11.25,1,60660513.9458,8,4,3,9,2,85,,,
0.0,-5.0,-7.5,11.25,2,60660514.4867,8,4,3,9,2,80,,,
0.0,-5.0,-7.5,11.25,3,60660517.9026,8,4,3,9,2,86,,,
0.0,-5.0,-7.5,11.25,4,60660518.2399,8,4,3,9,2,25,,,
0.0,-5.0,-7.5,11.25,5,60660518.476,8,4,3,9,2,163,,,
0.0,2.5,-7.5,11.25,1,131.9095,13,3,8,,,,17,5,11
0.0,2.5,-7.5,11.25,2,146.2352,13,3,1,,,,17,5,11
0.0,2.5,-7.5,11.25,3,148.4989,13,3,8,,,,22,5,11
0.0,2.5,-7.5,11.25,4,148.8176,13,3,8,,,,18,5,11
0.0,2.5,-7.5,11.25,5,152.0591,13,3,4,,,,17,5,11
0.0,7.5,-7.5,11.25,1,-0.9465,17,3,8,8,3,185,,,
0.0,7.5,-7.5,11.25,2,-0.7776,17,3,8,8,3,81,,,
0.0,7.5,-7.5,11.25,3,-0.3806,17,3,8,8,1,80,,,
0.0,7.5,-7.5,11.25,4,-0.0336,17,3,8,8,1,86,,,
0.0,7.5,-7.5,11.25,5,0.1194,17,3,8,8,1,158,,,
0.0,10.0,-7.5,11.25,1,43.3107,82,4,28,59,3,158,,,
0.0,10.0,-7.5,11.25,2,43.3656,82,4,28,59,3,149,,,
0.0,10.0,-7.5,11.25,3,43.3867,82,4,28,59,3,162,,,
0.0,10.0,-7.5,11.25,4,43.5533,93,4,28,59,3,158,,,
0.0,10.0,-7.5,11.25,5,43.5609,82,4,28,59,3,95,,,
0.0,-5.0,-5.0,11.25,1,164904545.883,135,4,3,9,2,81,,,
0.0,-5.0,-5.0,11.25,2,164904546.984,135,4,3,9,2,85,,,
0.0,-5.0,-5.0,11.25,3,164904559.089,135,4,3,9,2,101,,,
0.0,-5.0,-5.0,11.25,4,164904559.508,135,4,3,9,2,73,,,
0.0,-5.0,-5.0,11.25,5,164904559.635,135,4,3,9,2,104,,,
0.0,5.0,-2.5,11.25,1,8.1463,119,1,1,53,3,101,,,
0.0,5.0,-2.5,11.25,2,8.1989,117,1,1,53,3,101,,,
0.0,5.0,-2.5,11.25,3,8.4138,121,1,1,53,3,101,,,
0.0,5.0,-2.5,11.25,4,8.5135,119,1,2,53,3,101,,,
0.0,5.0,-2.5,11.25,5,8.5661,117,1,2,53,3,101,,,
0.0,-2.5,0.0,11.25,1,113504.1369,19,1,21,58,4,73,,,
0.0,-2.5,0.0,11.25,2,113523.2652,19,1,21,58,4,51,,,
0.0,-2.5,0.0,11.25,3,113530.2064,19,1,21,58,4,178,,,
0.0,-2.5,0.0,11.25,4,113530.7792,19,1,21,58,4,27,,,
0.0,-2.5,0.0,11.25,5,113531.0717,19,1,21,58,4,86,,,
0.0,-2.5,2.5,11.25,1,75226.2387,128,2,24,60,5,29,,,
0.0,-2.5,2.5,11.25,2,75240.7072,128,2,21,60,5,29,,,
0.0,-2.5,2.5,11.25,3,75247.9433,128,2,21,60,3,11,,,
0.0,-2.5,2.5,11.25,4,75253.2181,102,5,24,60,5,51,,,
0.0,-2.5,2.5,11.25,5,75253.8012,102,5,24,60,5,104,,,
0.0,0.0,2.5,11.25,1,3022284.1513,44,1,24,,,,33,5,8
0.0,0.0,2.5,11.25,2,3022349.3869,79,4,95,,,,33,5,8
0.0,0.0,2.5,11.25,3,3022379.7905,80,4,95,,,,33,5,8
0.0,0.0,2.5,11.25,4,3022305.124,135,4,95,,,,33,5,8
0.0,0.0,2.5,11.25,5,3022298.3701,137,5,95,,,,33,5,8
0.0,2.5,2.5,11.25,1,2750.3388,82,1,95,,,,29,5,36
0.0,2.5,2.5,11.25,2,2762.9349,79,1,95,,,,29,5,36
0.0,2.5,2.5,11.25,3,2763.5218,79,1,95,,,,29,5,8
0.0,2.5,2.5,11.25,4,2763.755,80,1,95,,,,29,5,36
