START	rep1_3ghb_01	on 2017 June 09 at 22:16:54
DISK_USAGE	initial	472
SUB_TIME	NAMD relaxation of molecule /gpfs/work/m/mfa5147/OptMAVEn2.0/experiments/rep1_3ghb_01/structures/MoleculeA.pdb	6.1969909668
SUB_TIME	Mounting antigen A	0.321893930435
DISK_USAGE	after_antigen_initialization	504
SUB_TIME	culling_clashes	4.93143296242
DISK_USAGE	after_culling_clashes	528
DISK_USAGE	beginning_MAPs_energy_calculations	28168
TIME	antigen_relaxation_and_positioning	27.94
TIME	parts_1_to_1_interaction_energies	76.82
TIME	parts_2_to_2_interaction_energies	80.87
TIME	parts_4_to_4_interaction_energies	85.14
TIME	parts_5_to_5_interaction_energies	86.54
TIME	parts_10_to_10_interaction_energies	89.17
TIME	parts_3_to_3_interaction_energies	87.82
TIME	parts_11_to_11_interaction_energies	89.4
TIME	parts_7_to_7_interaction_energies	87.78
TIME	parts_9_to_9_interaction_energies	95.84
TIME	parts_8_to_8_interaction_energies	91.07
TIME	parts_6_to_6_interaction_energies	90.42
TIME	parts_12_to_12_interaction_energies	84.56
TIME	parts_13_to_13_interaction_energies	81.03
TIME	parts_14_to_14_interaction_energies	85.98
TIME	parts_15_to_15_interaction_energies	88.75
TIME	parts_46_to_46_interaction_energies	82.86
TIME	parts_51_to_51_interaction_energies	89.78
TIME	parts_48_to_48_interaction_energies	87.04
TIME	parts_47_to_47_interaction_energies	87.63
TIME	parts_49_to_49_interaction_energies	88.09
TIME	parts_50_to_50_interaction_energies	88.47
TIME	parts_52_to_52_interaction_energies	97.96
TIME	parts_80_to_80_interaction_energies	89.53
TIME	parts_82_to_82_interaction_energies	89.41
TIME	parts_81_to_81_interaction_energies	93.22
TIME	parts_85_to_85_interaction_energies	91.24
TIME	parts_84_to_84_interaction_energies	91.58
TIME	parts_83_to_83_interaction_energies	97.32
TIME	parts_118_to_118_interaction_energies	88.84
TIME	parts_117_to_117_interaction_energies	90.45
TIME	parts_121_to_121_interaction_energies	86.5
TIME	parts_120_to_120_interaction_energies	89.16
TIME	parts_119_to_119_interaction_energies	90.25
TIME	parts_123_to_123_interaction_energies	88.12
TIME	parts_122_to_122_interaction_energies	89.72
TIME	parts_155_to_155_interaction_energies	92.92
TIME	parts_156_to_156_interaction_energies	93.17
TIME	parts_160_to_160_interaction_energies	92.51
TIME	parts_159_to_159_interaction_energies	90.03
TIME	parts_157_to_157_interaction_energies	83.18
TIME	parts_195_to_195_interaction_energies	92.09
TIME	parts_194_to_194_interaction_energies	93.11
TIME	parts_158_to_158_interaction_energies	94.05
TIME	parts_192_to_192_interaction_energies	91.93
TIME	parts_193_to_193_interaction_energies	95.45
TIME	parts_191_to_191_interaction_energies	90.91
TIME	parts_196_to_196_interaction_energies	90.7
TIME	parts_197_to_197_interaction_energies	91.7
TIME	parts_16_to_16_interaction_energies	88.3
TIME	parts_20_to_20_interaction_energies	89.16
TIME	parts_17_to_17_interaction_energies	93.46
TIME	parts_19_to_19_interaction_energies	85.23
TIME	parts_18_to_18_interaction_energies	86.81
TIME	parts_22_to_22_interaction_energies	88.57
TIME	parts_21_to_21_interaction_energies	92.6
TIME	parts_25_to_25_interaction_energies	86.1
TIME	parts_24_to_24_interaction_energies	89.77
TIME	parts_23_to_23_interaction_energies	90.26
TIME	parts_27_to_27_interaction_energies	87.82
TIME	parts_26_to_26_interaction_energies	90.53
TIME	parts_28_to_28_interaction_energies	88.21
TIME	parts_29_to_29_interaction_energies	86.93
TIME	parts_30_to_30_interaction_energies	88.71
TIME	parts_33_to_33_interaction_energies	87.99
TIME	parts_35_to_35_interaction_energies	86.71
TIME	parts_34_to_34_interaction_energies	87.12
TIME	parts_32_to_32_interaction_energies	88.11
TIME	parts_36_to_36_interaction_energies	88.84
TIME	parts_31_to_31_interaction_energies	93.29
TIME	parts_38_to_38_interaction_energies	86.31
TIME	parts_37_to_37_interaction_energies	97.33
TIME	parts_39_to_39_interaction_energies	89.75
TIME	parts_40_to_40_interaction_energies	89.35
TIME	parts_41_to_41_interaction_energies	86.65
TIME	parts_42_to_42_interaction_energies	89.03
TIME	parts_43_to_43_interaction_energies	90.45
TIME	parts_44_to_44_interaction_energies	89.07
TIME	parts_53_to_53_interaction_energies	90.88
TIME	parts_54_to_54_interaction_energies	87.13
TIME	parts_45_to_45_interaction_energies	88.98
TIME	parts_56_to_56_interaction_energies	92.06
TIME	parts_55_to_55_interaction_energies	92.65
TIME	parts_57_to_57_interaction_energies	83.74
TIME	parts_58_to_58_interaction_energies	100.16
TIME	parts_59_to_59_interaction_energies	90.84
TIME	parts_61_to_61_interaction_energies	88.81
TIME	parts_60_to_60_interaction_energies	91.4
TIME	parts_63_to_63_interaction_energies	90.28
TIME	parts_62_to_62_interaction_energies	90.74
TIME	parts_64_to_64_interaction_energies	92.38
TIME	parts_65_to_65_interaction_energies	93.69
TIME	parts_68_to_68_interaction_energies	83.43
TIME	parts_66_to_66_interaction_energies	90.38
TIME	parts_67_to_67_interaction_energies	90.44
TIME	parts_69_to_69_interaction_energies	91.58
TIME	parts_70_to_70_interaction_energies	91.36
TIME	parts_74_to_74_interaction_energies	88.57
TIME	parts_73_to_73_interaction_energies	89.6
TIME	parts_71_to_71_interaction_energies	102.37
TIME	parts_72_to_72_interaction_energies	92.46
TIME	parts_75_to_75_interaction_energies	90.28
TIME	parts_77_to_77_interaction_energies	89.43
TIME	parts_76_to_76_interaction_energies	91.62
TIME	parts_79_to_79_interaction_energies	85.55
TIME	parts_78_to_78_interaction_energies	95.67
TIME	parts_87_to_87_interaction_energies	87.77
TIME	parts_86_to_86_interaction_energies	91.26
TIME	parts_88_to_88_interaction_energies	92.5
TIME	parts_89_to_89_interaction_energies	93.0
TIME	parts_90_to_90_interaction_energies	81.82
TIME	parts_91_to_91_interaction_energies	91.05
TIME	parts_92_to_92_interaction_energies	91.07
TIME	parts_93_to_93_interaction_energies	94.96
TIME	parts_94_to_94_interaction_energies	91.3
TIME	parts_95_to_95_interaction_energies	87.27
TIME	parts_98_to_98_interaction_energies	86.95
TIME	parts_97_to_97_interaction_energies	89.02
TIME	parts_96_to_96_interaction_energies	91.4
TIME	parts_99_to_99_interaction_energies	88.84
TIME	parts_101_to_101_interaction_energies	85.48
TIME	parts_100_to_100_interaction_energies	92.17
TIME	parts_102_to_102_interaction_energies	91.01
TIME	parts_103_to_103_interaction_energies	88.57
TIME	parts_104_to_104_interaction_energies	89.42
TIME	parts_105_to_105_interaction_energies	92.9
TIME	parts_107_to_107_interaction_energies	91.41
TIME	parts_106_to_106_interaction_energies	102.52
TIME	parts_108_to_108_interaction_energies	92.01
TIME	parts_109_to_109_interaction_energies	92.59
TIME	parts_111_to_111_interaction_energies	89.66
TIME	parts_110_to_110_interaction_energies	87.88
TIME	parts_112_to_112_interaction_energies	77.85
TIME	parts_113_to_113_interaction_energies	86.3
TIME	parts_114_to_114_interaction_energies	93.11
TIME	parts_115_to_115_interaction_energies	92.01
TIME	parts_116_to_116_interaction_energies	86.99
TIME	parts_124_to_124_interaction_energies	79.86
TIME	parts_125_to_125_interaction_energies	90.05
TIME	parts_126_to_126_interaction_energies	90.7
TIME	parts_128_to_128_interaction_energies	89.03
TIME	parts_127_to_127_interaction_energies	99.63
TIME	parts_129_to_129_interaction_energies	90.09
TIME	parts_131_to_131_interaction_energies	91.49
TIME	parts_130_to_130_interaction_energies	98.04
TIME	parts_132_to_132_interaction_energies	91.2
TIME	parts_133_to_133_interaction_energies	93.85
TIME	parts_134_to_134_interaction_energies	90.28
TIME	parts_135_to_135_interaction_energies	83.52
TIME	parts_136_to_136_interaction_energies	90.35
TIME	parts_137_to_137_interaction_energies	91.63
TIME	parts_139_to_139_interaction_energies	89.58
TIME	parts_138_to_138_interaction_energies	93.63
TIME	parts_140_to_140_interaction_energies	91.12
TIME	parts_142_to_142_interaction_energies	93.07
TIME	parts_141_to_141_interaction_energies	103.23
TIME	parts_143_to_143_interaction_energies	92.77
TIME	parts_144_to_144_interaction_energies	89.16
TIME	parts_145_to_145_interaction_energies	91.73
TIME	parts_146_to_146_interaction_energies	85.35
TIME	parts_147_to_147_interaction_energies	92.89
TIME	parts_148_to_148_interaction_energies	94.33
TIME	parts_149_to_149_interaction_energies	88.2
TIME	parts_150_to_150_interaction_energies	90.91
TIME	parts_151_to_151_interaction_energies	93.89
TIME	parts_152_to_152_interaction_energies	92.8
TIME	parts_153_to_153_interaction_energies	91.45
TIME	parts_154_to_154_interaction_energies	93.07
TIME	parts_162_to_162_interaction_energies	95.42
TIME	parts_161_to_161_interaction_energies	101.9
TIME	parts_163_to_163_interaction_energies	95.9
TIME	parts_164_to_164_interaction_energies	90.66
TIME	parts_165_to_165_interaction_energies	92.67
TIME	parts_166_to_166_interaction_energies	90.84
TIME	parts_168_to_168_interaction_energies	85.08
TIME	parts_169_to_169_interaction_energies	91.04
TIME	parts_170_to_170_interaction_energies	91.21
TIME	parts_167_to_167_interaction_energies	90.79
TIME	parts_171_to_171_interaction_energies	91.09
TIME	parts_172_to_172_interaction_energies	89.02
TIME	parts_173_to_173_interaction_energies	92.95
TIME	parts_174_to_174_interaction_energies	88.39
TIME	parts_176_to_176_interaction_energies	95.24
TIME	parts_175_to_175_interaction_energies	105.91
TIME	parts_177_to_177_interaction_energies	91.15
TIME	parts_178_to_178_interaction_energies	96.39
TIME	parts_179_to_179_interaction_energies	85.03
TIME	parts_181_to_181_interaction_energies	95.19
TIME	parts_180_to_180_interaction_energies	94.73
TIME	parts_182_to_182_interaction_energies	89.33
TIME	parts_183_to_183_interaction_energies	92.22
TIME	parts_184_to_184_interaction_energies	90.28
TIME	parts_185_to_185_interaction_energies	91.6
TIME	parts_186_to_186_interaction_energies	92.53
TIME	parts_188_to_188_interaction_energies	90.19
TIME	parts_187_to_187_interaction_energies	91.02
TIME	parts_190_to_190_interaction_energies	83.65
TIME	parts_189_to_189_interaction_energies	102.73
TIME	parts_198_to_198_interaction_energies	94.56
TIME	parts_199_to_199_interaction_energies	93.82
TIME	parts_200_to_200_interaction_energies	93.08
TIME	parts_201_to_201_interaction_energies	86.88
TIME	parts_203_to_203_interaction_energies	91.18
TIME	parts_202_to_202_interaction_energies	92.83
TIME	parts_204_to_204_interaction_energies	90.69
TIME	parts_206_to_206_interaction_energies	92.78
TIME	parts_205_to_205_interaction_energies	93.0
TIME	parts_207_to_207_interaction_energies	97.11
TIME	parts_208_to_208_interaction_energies	91.98
TIME	parts_209_to_209_interaction_energies	94.18
TIME	parts_210_to_210_interaction_energies	106.33
TIME	parts_211_to_211_interaction_energies	92.04
TIME	parts_212_to_212_interaction_energies	83.28
TIME	parts_214_to_214_interaction_energies	90.5
TIME	parts_213_to_213_interaction_energies	92.26
TIME	parts_215_to_215_interaction_energies	91.45
TIME	parts_216_to_216_interaction_energies	92.84
TIME	parts_217_to_217_interaction_energies	94.87
TIME	parts_218_to_218_interaction_energies	95.1
TIME	parts_219_to_219_interaction_energies	90.34
TIME	parts_220_to_220_interaction_energies	99.37
TIME	parts_221_to_221_interaction_energies	94.71
TIME	parts_222_to_222_interaction_energies	93.36
TIME	parts_223_to_223_interaction_energies	90.44
TIME	parts_224_to_224_interaction_energies	87.11
TIME	parts_226_to_226_interaction_energies	93.46
TIME	parts_225_to_225_interaction_energies	96.74
TIME	parts_227_to_227_interaction_energies	94.88
TIME	parts_228_to_228_interaction_energies	92.89
TIME	parts_229_to_229_interaction_energies	96.13
TIME	parts_230_to_230_interaction_energies	94.18
TIME	parts_231_to_231_interaction_energies	95.57
TIME	parts_233_to_233_interaction_energies	91.94
TIME	parts_232_to_232_interaction_energies	95.43
TIME	parts_235_to_235_interaction_energies	84.97
TIME	parts_234_to_234_interaction_energies	92.37
TIME	parts_238_to_238_interaction_energies	90.61
TIME	parts_236_to_236_interaction_energies	104.38
TIME	parts_237_to_237_interaction_energies	93.26
TIME	parts_239_to_239_interaction_energies	94.0
TIME	parts_240_to_240_interaction_energies	97.01
TIME	parts_241_to_241_interaction_energies	92.33
TIME	parts_242_to_242_interaction_energies	95.8
TIME	parts_243_to_243_interaction_energies	93.97
TIME	parts_245_to_245_interaction_energies	94.57
