zRot,x,y,z,cut,energy,HV,HJ,HCDR3,KV,KJ,KCDR3,LV,LJ,LCDR3
0.0,0.0,2.5,7.5,1,49435557.9133,43,4,61,18,4,96,,,
0.0,0.0,2.5,7.5,2,49435572.3195,43,4,13,18,4,96,,,
0.0,0.0,2.5,7.5,3,49435588.259,43,4,31,18,4,96,,,
0.0,0.0,2.5,7.5,4,49435602.183,43,4,32,18,4,96,,,
0.0,0.0,2.5,7.5,5,49435624.1142,43,4,49,18,4,96,,,
0.0,5.0,-10.0,8.75,1,449470.7524,17,5,4,2,4,1,,,
0.0,5.0,-10.0,8.75,2,449471.3336,17,5,4,2,4,7,,,
0.0,5.0,-10.0,8.75,3,449471.4057,17,5,4,2,4,2,,,
0.0,5.0,-10.0,8.75,4,449478.7681,17,3,4,8,4,81,,,
0.0,5.0,-10.0,8.75,5,449479.1104,17,3,4,8,4,185,,,
0.0,-5.0,-5.0,8.75,1,4227778019.46,79,3,8,59,3,81,,,
0.0,-5.0,-5.0,8.75,2,4227778028.51,79,3,8,59,3,80,,,
0.0,-5.0,-5.0,8.75,3,4227778036.9,79,3,8,59,3,86,,,
0.0,-5.0,-5.0,8.75,4,4227778042.5,79,3,8,59,3,198,,,
0.0,-5.0,-5.0,8.75,5,4227778044.45,79,3,8,59,3,25,,,
0.0,2.5,5.0,8.75,1,26418498.3507,79,3,65,,,,30,5,20
0.0,2.5,5.0,8.75,2,26418498.4682,80,4,65,,,,30,5,20
0.0,2.5,5.0,8.75,3,26418498.6042,79,3,95,,,,30,5,20
0.0,2.5,5.0,8.75,4,26418498.7217,80,4,95,,,,30,5,20
0.0,2.5,5.0,8.75,5,26418498.8645,44,3,1,,,,30,5,20
0.0,2.5,-10.0,10.0,1,89895.907,17,3,8,67,1,81,,,
0.0,2.5,-10.0,10.0,2,89896.0686,17,3,8,67,4,185,,,
0.0,2.5,-10.0,10.0,3,89896.5226,17,3,8,67,4,86,,,
0.0,2.5,-10.0,10.0,4,89896.5829,17,3,8,67,4,80,,,
0.0,2.5,-10.0,10.0,5,89896.9052,17,3,8,67,4,152,,,
0.0,5.0,-10.0,10.0,1,315545.6088,17,5,8,2,4,1,,,
0.0,5.0,-10.0,10.0,2,315545.6587,17,5,8,2,3,3,,,
0.0,5.0,-10.0,10.0,3,315546.021,17,5,8,2,3,7,,,
0.0,5.0,-10.0,10.0,4,315547.2865,17,5,4,2,1,2,,,
0.0,5.0,-10.0,10.0,5,315547.1986,17,5,4,2,1,7,,,
0.0,2.5,-7.5,10.0,1,995.6458,17,5,4,54,3,190,,,
0.0,2.5,-7.5,10.0,2,996.3738,17,5,4,54,3,134,,,
0.0,2.5,-7.5,10.0,3,996.4999,17,5,4,54,3,157,,,
0.0,2.5,-7.5,10.0,4,996.5459,17,5,4,54,3,110,,,
0.0,2.5,-7.5,10.0,5,996.5835,17,5,4,54,3,123,,,
0.0,-5.0,-5.0,10.0,1,1091179195.51,12,3,8,59,1,86,,,
0.0,-5.0,-5.0,10.0,2,1091179200.15,12,3,8,59,1,25,,,
0.0,-5.0,-5.0,10.0,3,1091179200.16,12,3,8,59,1,102,,,
0.0,-5.0,-5.0,10.0,4,1091179200.68,12,3,8,59,1,142,,,
0.0,-5.0,-5.0,10.0,5,1091179200.71,12,3,8,59,1,158,,,
0.0,0.0,2.5,10.0,1,62073.1017,46,4,1,,,,28,5,20
0.0,0.0,2.5,10.0,2,62077.2337,46,4,1,,,,28,5,34
0.0,0.0,2.5,10.0,3,62085.4356,43,3,1,,,,28,5,20
0.0,0.0,2.5,10.0,4,62089.5676,43,3,1,,,,28,5,34
0.0,0.0,2.5,10.0,5,62093.898,46,4,13,,,,28,5,20
0.0,2.5,5.0,10.0,1,26755.916,79,1,95,,,,29,5,20
0.0,2.5,5.0,10.0,2,26755.9647,80,1,95,,,,29,5,20
0.0,2.5,5.0,10.0,3,26756.9813,79,1,95,,,,29,5,34
0.0,2.5,5.0,10.0,4,26757.03,80,1,95,,,,29,5,34
0.0,2.5,5.0,10.0,5,26762.3612,79,1,65,,,,29,5,20
0.0,5.0,5.0,10.0,1,9668.408,110,5,133,,,,29,5,20
0.0,5.0,5.0,10.0,2,9668.8128,110,5,133,,,,29,5,4
0.0,5.0,5.0,10.0,3,9669.1034,106,1,133,,,,29,5,20
0.0,5.0,5.0,10.0,4,9669.2221,103,1,133,,,,29,5,20
0.0,5.0,5.0,10.0,5,9669.2658,107,1,133,,,,29,5,20
0.0,0.0,-10.0,11.25,1,579183.5688,13,5,8,,,,30,5,11
0.0,0.0,-10.0,11.25,2,579185.7751,13,5,8,,,,32,5,11
0.0,0.0,-10.0,11.25,3,579185.9922,13,5,8,,,,31,5,11
0.0,0.0,-10.0,11.25,4,579191.3473,13,5,8,,,,29,5,11
0.0,0.0,-10.0,11.25,5,579191.8493,13,5,8,,,,28,5,11
0.0,2.5,-10.0,11.25,1,26990.4021,13,3,8,,,,17,5,11
0.0,2.5,-10.0,11.25,2,27000.217,13,3,16,,,,17,5,11
0.0,2.5,-10.0,11.25,3,27000.5729,13,3,1,,,,17,5,11
0.0,2.5,-10.0,11.25,4,27003.9049,13,3,4,,,,17,5,11
0.0,2.5,-10.0,11.25,5,27070.2216,13,3,66,,,,17,5,11
0.0,5.0,-10.0,11.25,1,14266.4889,13,3,8,,,,31,5,11
0.0,5.0,-10.0,11.25,2,14266.737,13,3,8,,,,30,5,11
0.0,5.0,-10.0,11.25,3,14266.9893,13,3,8,,,,32,5,11
0.0,5.0,-10.0,11.25,4,14268.3413,13,3,66,,,,31,5,11
0.0,5.0,-10.0,11.25,5,14268.5894,13,3,66,,,,30,5,11
0.0,7.5,-10.0,11.25,1,-2.5003,138,4,8,,,,38,4,5
0.0,7.5,-10.0,11.25,2,-1.7592,138,4,19,,,,38,4,5
0.0,7.5,-10.0,11.25,3,-0.5389,138,4,80,,,,25,5,21
0.0,7.5,-10.0,11.25,4,-0.5076,138,4,80,,,,25,5,20
0.0,7.5,-10.0,11.25,5,-0.4954,138,4,80,,,,25,5,17
0.0,10.0,-10.0,11.25,1,-42.0073,138,4,397,67,4,85,,,
0.0,10.0,-10.0,11.25,2,-41.8945,138,4,397,67,4,73,,,
0.0,10.0,-10.0,11.25,3,-41.8683,138,4,397,67,4,86,,,
0.0,10.0,-10.0,11.25,4,-41.8597,138,4,397,67,4,51,,,
0.0,10.0,-10.0,11.25,5,-41.8496,138,4,397,67,4,105,,,
0.0,-5.0,-7.5,11.25,1,283373328.771,122,1,3,9,2,81,,,
0.0,-5.0,-7.5,11.25,2,283376861.417,122,1,203,53,1,81,,,
0.0,-5.0,-7.5,11.25,3,283376862.656,122,1,203,55,1,81,,,
0.0,-5.0,-7.5,11.25,4,283376862.68,122,1,203,57,1,81,,,
0.0,-5.0,-7.5,11.25,5,283373255.307,122,1,8,2,3,83,,,
0.0,-2.5,-7.5,11.25,1,26356106.207,82,5,3,9,2,66,,,
0.0,-2.5,-7.5,11.25,2,26356106.4056,82,5,3,9,2,158,,,
