zRot,x,y,z,cut,energy,HV,HJ,HCDR3,KV,KJ,KCDR3,LV,LJ,LCDR3
0.0,-2.5,-7.5,10.0,1,8400777.358,8,5,4,6,3,6,,,
0.0,-2.5,-7.5,10.0,2,8400779.3173,8,5,4,6,3,2,,,
0.0,-2.5,-7.5,10.0,3,8400801.9459,8,5,4,6,3,7,,,
0.0,-2.5,-7.5,10.0,4,8400806.9615,8,5,4,6,3,4,,,
0.0,-2.5,-7.5,10.0,5,8400808.3675,8,5,4,6,3,23,,,
0.0,-2.5,-5.0,10.0,1,34497836.0754,52,5,7,14,3,82,,,
0.0,-2.5,-5.0,10.0,2,34498452.0538,52,5,7,14,3,109,,,
0.0,-2.5,-5.0,10.0,3,34498601.3992,52,5,7,14,3,17,,,
0.0,-2.5,-5.0,10.0,4,34499635.0534,52,5,7,13,3,82,,,
0.0,-2.5,-5.0,10.0,5,34500251.0318,52,5,7,13,3,109,,,
0.0,-2.5,-2.5,10.0,1,2075276.8248,117,1,4,2,4,1,,,
0.0,-2.5,-2.5,10.0,2,2077958.2724,117,1,4,,,,29,5,21
0.0,-2.5,-2.5,10.0,3,2078032.5031,117,1,4,,,,28,5,21
0.0,-2.5,-2.5,10.0,4,2080122.4893,117,1,4,6,3,4,,,
0.0,-2.5,-2.5,10.0,5,2080675.4352,117,1,4,,,,37,5,21
0.0,0.0,0.0,10.0,1,68643610.626,103,4,21,7,3,23,,,
0.0,0.0,0.0,10.0,2,68643614.9198,106,4,21,7,3,23,,,
0.0,0.0,0.0,10.0,3,68643615.3666,107,4,21,7,3,23,,,
0.0,0.0,0.0,10.0,4,68643630.6607,70,4,21,7,1,23,,,
0.0,0.0,0.0,10.0,5,68643630.7701,110,5,21,7,3,23,,,
0.0,-2.5,2.5,10.0,1,4628090.7442,80,4,4,10,3,23,,,
0.0,-2.5,2.5,10.0,2,4628123.6455,79,4,4,10,3,23,,,
0.0,-2.5,2.5,10.0,3,4664282.8246,109,5,4,10,3,23,,,
0.0,-2.5,2.5,10.0,4,4869668.1996,108,4,4,10,3,23,,,
0.0,-2.5,2.5,10.0,5,4917759.0102,80,4,3,10,3,23,,,
0.0,-5.0,5.0,10.0,1,188520.4148,43,5,9,7,4,23,,,
0.0,-5.0,5.0,10.0,2,191121.848,105,5,42,7,4,23,,,
0.0,-5.0,5.0,10.0,3,191223.6108,104,5,42,7,4,23,,,
0.0,-5.0,5.0,10.0,4,192746.3904,105,5,9,7,4,23,,,
0.0,-5.0,5.0,10.0,5,192848.1532,104,5,9,7,4,23,,,
0.0,-2.5,-7.5,11.25,1,3947857.2347,8,5,4,38,2,6,,,
0.0,-2.5,-7.5,11.25,2,3947870.6435,8,5,4,38,2,77,,,
0.0,-2.5,-7.5,11.25,3,3947876.3006,8,5,4,38,2,7,,,
0.0,-2.5,-7.5,11.25,4,3947877.2348,8,5,4,38,2,128,,,
0.0,-2.5,-7.5,11.25,5,3947878.533,8,5,4,38,2,23,,,
0.0,0.0,-7.5,11.25,1,30714.6642,108,1,4,6,3,113,,,
0.0,0.0,-7.5,11.25,2,30715.3417,108,1,4,6,3,2,,,
0.0,0.0,-7.5,11.25,3,30717.988,108,1,4,6,3,4,,,
0.0,0.0,-7.5,11.25,4,30719.7239,108,1,4,6,3,11,,,
0.0,0.0,-7.5,11.25,5,30720.7827,108,1,4,6,3,23,,,
0.0,-5.0,-5.0,11.25,1,436437580.545,82,1,2,53,1,94,,,
0.0,-5.0,-5.0,11.25,2,436437582.99,82,1,2,34,1,94,,,
0.0,-5.0,-5.0,11.25,3,436437618.44,82,1,2,34,2,149,,,
0.0,-5.0,-5.0,11.25,4,436437617.603,82,1,2,53,1,130,,,
0.0,-5.0,-5.0,11.25,5,436437620.048,82,1,2,34,1,130,,,
0.0,-2.5,-5.0,11.25,1,32455323.6182,43,3,1,53,3,6,,,
0.0,-2.5,-5.0,11.25,2,32455325.7457,43,3,1,4,3,6,,,
0.0,-2.5,-5.0,11.25,3,32455340.2741,43,3,1,53,3,77,,,
0.0,-2.5,-5.0,11.25,4,32455342.4016,43,3,1,4,3,77,,,
0.0,-2.5,-5.0,11.25,5,32455342.5616,43,3,1,53,3,23,,,
