START	rep1_3l5w_01	on 2017 June 09 at 21:33:45
DISK_USAGE	initial	584
SUB_TIME	NAMD relaxation of molecule /gpfs/work/m/mfa5147/OptMAVEn2.0/experiments/rep1_3l5w_01/structures/MoleculeA.pdb	113.095219135
SUB_TIME	Mounting antigen A	0.400462150574
DISK_USAGE	after_antigen_initialization	968
SUB_TIME	culling_clashes	5.95106887817
DISK_USAGE	after_culling_clashes	1232
DISK_USAGE	beginning_MAPs_energy_calculations	43440
TIME	antigen_relaxation_and_positioning	135.5
TIME	parts_13_to_13_interaction_energies	157.54
TIME	parts_14_to_14_interaction_energies	160.8
TIME	parts_15_to_15_interaction_energies	162.19
TIME	parts_1_to_1_interaction_energies	163.11
TIME	parts_12_to_12_interaction_energies	166.09
TIME	parts_2_to_2_interaction_energies	165.89
TIME	parts_4_to_4_interaction_energies	173.42
TIME	parts_3_to_3_interaction_energies	174.28
TIME	parts_6_to_6_interaction_energies	173.67
TIME	parts_11_to_11_interaction_energies	174.54
TIME	parts_18_to_18_interaction_energies	168.9
TIME	parts_16_to_16_interaction_energies	169.91
TIME	parts_17_to_17_interaction_energies	172.79
TIME	parts_5_to_5_interaction_energies	170.57
TIME	parts_25_to_25_interaction_energies	163.21
TIME	parts_24_to_24_interaction_energies	165.42
TIME	parts_29_to_29_interaction_energies	160.0
TIME	parts_30_to_30_interaction_energies	162.7
TIME	parts_31_to_31_interaction_energies	162.84
TIME	parts_34_to_34_interaction_energies	167.68
TIME	parts_39_to_39_interaction_energies	168.46
TIME	parts_32_to_32_interaction_energies	170.1
TIME	parts_33_to_33_interaction_energies	172.89
TIME	parts_35_to_35_interaction_energies	165.39
TIME	parts_38_to_38_interaction_energies	173.61
TIME	parts_37_to_37_interaction_energies	175.04
TIME	parts_36_to_36_interaction_energies	169.26
TIME	parts_40_to_40_interaction_energies	170.87
TIME	parts_41_to_41_interaction_energies	174.65
TIME	parts_46_to_46_interaction_energies	166.92
TIME	parts_47_to_47_interaction_energies	171.87
TIME	parts_45_to_45_interaction_energies	170.02
TIME	parts_49_to_49_interaction_energies	163.27
TIME	parts_19_to_19_interaction_energies	169.67
TIME	parts_50_to_50_interaction_energies	169.78
TIME	parts_52_to_52_interaction_energies	163.78
TIME	parts_53_to_53_interaction_energies	164.44
TIME	parts_58_to_58_interaction_energies	164.27
TIME	parts_61_to_61_interaction_energies	166.35
TIME	parts_57_to_57_interaction_energies	164.14
TIME	parts_59_to_59_interaction_energies	170.0
TIME	parts_60_to_60_interaction_energies	176.54
TIME	parts_63_to_63_interaction_energies	175.58
TIME	parts_62_to_62_interaction_energies	171.06
TIME	parts_56_to_56_interaction_energies	173.33
TIME	parts_23_to_23_interaction_energies	170.83
TIME	parts_28_to_28_interaction_energies	170.27
TIME	parts_26_to_26_interaction_energies	176.75
TIME	parts_27_to_27_interaction_energies	173.71
TIME	parts_42_to_42_interaction_energies	161.48
TIME	parts_43_to_43_interaction_energies	173.15
TIME	parts_73_to_73_interaction_energies	164.08
TIME	parts_72_to_72_interaction_energies	164.26
TIME	parts_69_to_69_interaction_energies	170.59
TIME	parts_68_to_68_interaction_energies	166.46
TIME	parts_70_to_70_interaction_energies	173.32
TIME	parts_77_to_77_interaction_energies	166.08
TIME	parts_74_to_74_interaction_energies	173.06
TIME	parts_76_to_76_interaction_energies	170.99
TIME	parts_80_to_80_interaction_energies	169.23
