START	rep1_3l5w_20	on 2017 June 03 at 22:48:11
DISK_USAGE	initial	584
SUB_TIME	NAMD relaxation of molecule /gpfs/work/m/mfa5147/OptMAVEn2.0/experiments/rep1_3l5w_20/structures/MoleculeA.pdb	182.613546133
SUB_TIME	Mounting antigen A	0.314135074615
DISK_USAGE	after_antigen_initialization	1360
SUB_TIME	culling_clashes	10.4010469913
DISK_USAGE	after_culling_clashes	1392
DISK_USAGE	beginning_MAPs_energy_calculations	16656
TIME	antigen_relaxation_and_positioning	194.74
TIME	parts_1_to_20_interaction_energies	679.19
TIME	parts_141_to_160_interaction_energies	683.24
TIME	parts_161_to_180_interaction_energies	683.61
TIME	parts_21_to_40_interaction_energies	682.36
TIME	parts_181_to_200_interaction_energies	685.54
TIME	parts_101_to_120_interaction_energies	690.68
TIME	parts_81_to_100_interaction_energies	693.48
TIME	parts_121_to_140_interaction_energies	693.31
TIME	parts_41_to_60_interaction_energies	703.87
TIME	parts_61_to_80_interaction_energies	706.06
TIME	parts_201_to_220_interaction_energies	713.31
TIME	parts_221_to_240_interaction_energies	714.41
TIME	parts_241_to_260_interaction_energies	699.75
TIME	parts_261_to_280_interaction_energies	695.81
TIME	parts_361_to_380_interaction_energies	684.03
TIME	parts_321_to_340_interaction_energies	700.75
TIME	parts_281_to_300_interaction_energies	709.06
TIME	parts_301_to_320_interaction_energies	708.27
TIME	parts_341_to_360_interaction_energies	713.68
TIME	parts_381_to_400_interaction_energies	670.35
TIME	parts_401_to_420_interaction_energies	698.42
TIME	parts_421_to_440_interaction_energies	828.68
TIME	parts_521_to_540_interaction_energies	1014.73
TIME	parts_581_to_600_interaction_energies	657.43
TIME	parts_601_to_620_interaction_energies	656.69
TIME	parts_441_to_460_interaction_energies	1065.0
TIME	parts_461_to_480_interaction_energies	1068.57
TIME	parts_501_to_520_interaction_energies	1069.63
TIME	parts_481_to_500_interaction_energies	1083.26
TIME	parts_621_to_640_interaction_energies	657.59
TIME	parts_641_to_660_interaction_energies	652.72
TIME	parts_541_to_560_interaction_energies	1044.96
TIME	parts_681_to_700_interaction_energies	658.16
TIME	parts_661_to_680_interaction_energies	671.54
TIME	parts_701_to_720_interaction_energies	664.61
TIME	parts_561_to_580_interaction_energies	927.46
TIME	parts_741_to_760_interaction_energies	658.68
TIME	parts_721_to_740_interaction_energies	656.64
TIME	parts_761_to_780_interaction_energies	715.61
TIME	parts_921_to_924_interaction_energies	200.29
TIME	parts_781_to_800_interaction_energies	1014.76
TIME	parts_861_to_880_interaction_energies	658.94
TIME	parts_801_to_820_interaction_energies	1036.58
TIME	parts_841_to_860_interaction_energies	669.83
TIME	parts_821_to_840_interaction_energies	1019.63
TIME	parts_881_to_900_interaction_energies	887.3
DISK_USAGE	after_MAPs_energy_calculations	33048
SUB_TIME	regrouping_interaction_energies	28.4139509201
DISK_USAGE	after_regrouping_energies	7616
TIME	MILP_for_positions_201_to_247	2856.49
TIME	MILP_for_positions_1_to_50	3093.91
TIME	MILP_for_positions_51_to_100	3084.0
TIME	MILP_for_positions_101_to_150	3311.47
DISK_USAGE	after_MILP	3672
DISK_USAGE	after_removing_MILP_files	1704
SUB_TIME	clustering	10.05885005
SUB_TIME	antibody_complex_assembly_and_relaxation	20.9764859676
SUB_TIME	clustering	31.0386431217
DISK_USAGE	final	10192
FINISH	rep1_3l5w_20	on 2017 June 04 at 02:46:12
TIME	MILP_for_positions_151_to_200	3324.77
