zRot,x,y,z,cut,energy,HV,HJ,HCDR3,KV,KJ,KCDR3,LV,LJ,LCDR3
0.0,5.0,5.0,10.0,1,32798110.3903,111,2,41,,,,29,6,14
0.0,5.0,5.0,10.0,2,32798111.011,114,2,41,,,,29,6,14
0.0,5.0,5.0,10.0,3,32798112.5159,102,5,41,,,,29,1,14
0.0,5.0,5.0,10.0,4,32798118.228,111,2,10,,,,29,6,14
0.0,5.0,5.0,10.0,5,32798118.8487,114,2,10,,,,29,6,14
0.0,0.0,0.0,11.25,1,11247568.3729,79,3,3,2,4,1,,,
0.0,0.0,0.0,11.25,2,11247569.8035,79,3,2,2,4,1,,,
0.0,0.0,0.0,11.25,3,11247571.7779,79,3,4,2,4,1,,,
0.0,0.0,0.0,11.25,4,11247575.4378,79,3,42,2,4,1,,,
0.0,0.0,0.0,11.25,5,11247576.5471,79,3,13,2,4,1,,,
0.0,2.5,0.0,11.25,1,9648455.4539,54,2,3,6,4,183,,,
0.0,2.5,0.0,11.25,2,9648460.866,54,2,13,6,4,183,,,
0.0,2.5,0.0,11.25,3,9648464.2144,54,2,1,6,4,183,,,
0.0,2.5,0.0,11.25,4,9648467.1748,54,2,8,6,4,183,,,
0.0,2.5,0.0,11.25,5,9650210.9312,54,2,32,6,4,183,,,
0.0,5.0,0.0,11.25,1,1339598.0788,56,2,3,6,4,157,,,
0.0,5.0,0.0,11.25,2,1339603.8206,49,2,3,6,4,157,,,
0.0,5.0,0.0,11.25,3,1339607.5129,50,2,3,6,4,157,,,
0.0,5.0,0.0,11.25,4,1339611.5014,57,2,3,6,4,157,,,
0.0,5.0,0.0,11.25,5,1339618.152,57,2,4,6,4,157,,,
0.0,2.5,2.5,11.25,1,131222.148,41,4,41,,,,29,5,9
0.0,2.5,2.5,11.25,2,131257.5155,41,4,31,,,,29,5,9
0.0,2.5,2.5,11.25,3,131260.6618,41,4,13,,,,29,5,9
0.0,2.5,2.5,11.25,4,131261.5789,41,4,32,,,,29,5,9
0.0,2.5,2.5,11.25,5,131264.0144,41,4,1,,,,29,5,9
0.0,5.0,2.5,11.25,1,264002.1614,17,5,13,,,,28,5,21
0.0,5.0,2.5,11.25,2,264002.5187,41,5,13,,,,28,5,21
0.0,5.0,2.5,11.25,3,264017.9424,17,5,32,,,,28,5,21
0.0,5.0,2.5,11.25,4,264021.5686,46,5,13,,,,28,5,21
0.0,5.0,2.5,11.25,5,264014.469,44,5,13,,,,28,5,21
0.0,2.5,5.0,11.25,1,1179804.7983,102,5,24,,,,30,1,14
0.0,2.5,5.0,11.25,2,1179816.6526,102,5,41,,,,30,1,14
0.0,2.5,5.0,11.25,3,1179828.7752,111,2,24,,,,30,6,14
0.0,2.5,5.0,11.25,4,1179840.6295,111,2,41,,,,30,6,14
0.0,2.5,5.0,11.25,5,1179846.7433,111,2,10,,,,30,6,14
0.0,5.0,5.0,11.25,1,164510.7265,102,5,41,,,,30,1,14
0.0,5.0,5.0,11.25,2,164514.1498,102,5,10,,,,30,1,14
0.0,5.0,5.0,11.25,3,164516.2932,111,2,41,,,,30,6,14
0.0,5.0,5.0,11.25,4,164527.6133,102,5,63,,,,30,1,14
0.0,5.0,5.0,11.25,5,164519.7165,111,2,10,,,,30,6,14
0.0,7.5,5.0,11.25,1,658167541.895,110,5,11,6,4,90,,,
0.0,7.5,5.0,11.25,2,658167543.39,106,4,11,6,4,90,,,
0.0,7.5,5.0,11.25,3,658167543.818,103,4,11,6,4,90,,,
0.0,7.5,5.0,11.25,4,658167544.071,107,4,11,6,4,90,,,
0.0,7.5,5.0,11.25,5,658172064.583,106,4,11,6,4,141,,,
0.0,-2.5,-5.0,12.5,1,464924517.087,52,3,1,44,4,103,,,
