START	rep1_3mls_20	on 2017 June 04 at 21:38:47
DISK_USAGE	initial	480
SUB_TIME	NAMD relaxation of molecule /gpfs/work/m/mfa5147/OptMAVEn2.0/experiments/rep1_3mls_20/structures/MoleculeA.pdb	16.8786599636
SUB_TIME	Mounting antigen A	0.457080125809
DISK_USAGE	after_antigen_initialization	568
SUB_TIME	culling_clashes	6.79503107071
DISK_USAGE	after_culling_clashes	680
DISK_USAGE	beginning_MAPs_energy_calculations	15656
TIME	antigen_relaxation_and_positioning	23.67
TIME	parts_21_to_40_interaction_energies	1375.71
TIME	parts_1_to_20_interaction_energies	1375.06
TIME	parts_241_to_260_interaction_energies	1399.68
TIME	parts_261_to_280_interaction_energies	1408.78
TIME	parts_281_to_300_interaction_energies	1433.25
TIME	parts_301_to_320_interaction_energies	1432.77
TIME	parts_221_to_240_interaction_energies	1455.16
TIME	parts_621_to_640_interaction_energies	1291.91
TIME	parts_601_to_620_interaction_energies	1349.19
TIME	parts_41_to_60_interaction_energies	1396.9
TIME	parts_61_to_80_interaction_energies	1404.0
TIME	parts_101_to_120_interaction_energies	1343.69
TIME	parts_81_to_100_interaction_energies	1431.0
TIME	parts_121_to_140_interaction_energies	1354.14
TIME	parts_141_to_160_interaction_energies	1364.32
TIME	parts_161_to_180_interaction_energies	1377.02
TIME	parts_201_to_220_interaction_energies	1387.9
TIME	parts_181_to_200_interaction_energies	1477.63
TIME	parts_341_to_360_interaction_energies	1541.26
TIME	parts_321_to_340_interaction_energies	1548.56
TIME	parts_401_to_420_interaction_energies	1305.11
TIME	parts_361_to_380_interaction_energies	1459.11
TIME	parts_421_to_440_interaction_energies	1843.71
TIME	parts_381_to_400_interaction_energies	1374.35
TIME	parts_581_to_600_interaction_energies	1333.14
TIME	parts_701_to_720_interaction_energies	1274.67
TIME	parts_721_to_740_interaction_energies	1282.05
TIME	parts_741_to_760_interaction_energies	1305.51
TIME	parts_661_to_680_interaction_energies	1300.0
TIME	parts_681_to_700_interaction_energies	1304.24
TIME	parts_761_to_780_interaction_energies	1559.95
TIME	parts_921_to_924_interaction_energies	561.2
TIME	parts_641_to_660_interaction_energies	1415.14
TIME	parts_561_to_580_interaction_energies	2319.15
TIME	parts_841_to_860_interaction_energies	1387.63
TIME	parts_461_to_480_interaction_energies	2868.48
TIME	parts_861_to_880_interaction_energies	1316.55
TIME	parts_501_to_520_interaction_energies	2849.02
TIME	parts_481_to_500_interaction_energies	2901.61
TIME	parts_521_to_540_interaction_energies	2823.12
TIME	parts_541_to_560_interaction_energies	2819.32
TIME	parts_441_to_460_interaction_energies	3021.9
TIME	parts_781_to_800_interaction_energies	2788.5
TIME	parts_801_to_820_interaction_energies	2885.99
TIME	parts_901_to_920_interaction_energies	2638.86
TIME	parts_881_to_900_interaction_energies	2276.83
DISK_USAGE	after_MAPs_energy_calculations	54296
SUB_TIME	regrouping_interaction_energies	41.4513990879
DISK_USAGE	after_regrouping_energies	26288
TIME	MILP_for_positions_51_to_100	3166.14
TIME	MILP_for_positions_101_to_150	3162.12
TIME	MILP_for_positions_151_to_200	3142.41
TIME	MILP_for_positions_201_to_250	3218.23
TIME	MILP_for_positions_251_to_300	3148.22
TIME	MILP_for_positions_351_to_400	3123.34
TIME	MILP_for_positions_451_to_500	3181.04
TIME	MILP_for_positions_651_to_700	3221.84
TIME	MILP_for_positions_701_to_750	3248.51
TIME	MILP_for_positions_501_to_550	3276.58
TIME	MILP_for_positions_601_to_650	3261.53
TIME	MILP_for_positions_551_to_600	3229.49
TIME	MILP_for_positions_401_to_450	3401.74
TIME	MILP_for_positions_1_to_50	3416.45
TIME	MILP_for_positions_301_to_350	3564.45
TIME	MILP_for_positions_801_to_850	3122.55
TIME	MILP_for_positions_751_to_800	3084.54
TIME	MILP_for_positions_851_to_900	3206.78
TIME	MILP_for_positions_1051_to_1078	2045.89
TIME	MILP_for_positions_901_to_950	3096.37
TIME	MILP_for_positions_951_to_1000	3130.42
DISK_USAGE	after_MILP	9648
DISK_USAGE	after_removing_MILP_files	1032
SUB_TIME	clustering	47.7228939533
SUB_TIME	antibody_complex_assembly_and_relaxation	19.092787981
SUB_TIME	clustering	66.8355979919
DISK_USAGE	final	7392
FINISH	rep1_3mls_20	on 2017 June 05 at 09:15:56
TIME	MILP_for_positions_1001_to_1050	3862.13
