zRot,x,y,z,cut,energy,HV,HJ,HCDR3,KV,KJ,KCDR3,LV,LJ,LCDR3
220.0,2.5,-2.5,16.75,1,3766.7773,86,5,62,15,5,6,,,
220.0,2.5,-2.5,16.75,2,3770.9146,86,5,62,15,5,116,,,
220.0,2.5,-2.5,16.75,3,3776.094,86,5,62,,,,14,1,33
220.0,2.5,-2.5,16.75,4,3776.71,86,5,62,,,,7,1,33
220.0,2.5,-2.5,16.75,5,3777.4028,86,5,62,,,,10,1,33
120.0,1.25,-1.25,16.75,1,73616.2113,29,5,270,,,,1,1,33
120.0,1.25,-1.25,16.75,2,73616.3432,32,5,270,,,,1,1,33
120.0,1.25,-1.25,16.75,3,73616.4271,28,5,270,,,,1,1,33
120.0,1.25,-1.25,16.75,4,73617.7016,32,5,270,,,,1,1,15
120.0,1.25,-1.25,16.75,5,73619.3709,32,5,270,,,,1,1,16
300.0,7.5,3.75,16.75,1,-101.1441,84,5,56,7,2,147,,,
300.0,7.5,3.75,16.75,2,-100.9715,48,5,56,7,2,147,,,
300.0,7.5,3.75,16.75,3,-100.8632,25,5,56,7,2,147,,,
300.0,7.5,3.75,16.75,4,-100.5374,126,5,56,7,2,147,,,
300.0,7.5,3.75,16.75,5,-99.9511,112,5,56,7,2,147,,,
160.0,7.5,1.25,16.75,1,10276.8677,93,5,368,27,5,111,,,
160.0,7.5,1.25,16.75,2,10277.1497,119,5,368,27,5,111,,,
160.0,7.5,1.25,16.75,3,10277.3591,117,5,368,27,5,111,,,
160.0,7.5,1.25,16.75,4,10277.5697,121,5,368,27,5,111,,,
160.0,7.5,1.25,16.75,5,10277.8664,118,5,368,27,5,111,,,
260.0,8.75,-3.75,15.5,1,-99.5994,25,5,17,,,,14,5,27
260.0,8.75,-3.75,15.5,2,-98.6473,22,5,17,,,,14,5,27
260.0,8.75,-3.75,15.5,3,-98.1826,25,5,17,,,,14,5,26
260.0,8.75,-3.75,15.5,4,-98.1447,25,5,17,,,,14,5,28
260.0,8.75,-3.75,15.5,5,-97.802,24,5,17,,,,14,5,27
140.0,-3.75,-10.0,14.25,1,48457996.0213,137,3,2,38,5,113,,,
140.0,-3.75,-10.0,14.25,2,48457998.2689,137,3,4,38,5,113,,,
140.0,-3.75,-10.0,14.25,3,48457999.7813,137,3,16,38,5,113,,,
140.0,-3.75,-10.0,14.25,4,48458016.6236,137,3,2,41,5,113,,,
140.0,-3.75,-10.0,14.25,5,48458016.6236,137,3,2,42,5,113,,,
120.0,-5.0,2.5,15.5,1,-12.5371,24,5,24,16,5,1,,,
120.0,-5.0,2.5,15.5,2,-12.5187,27,5,24,16,5,1,,,
120.0,-5.0,2.5,15.5,3,-12.4254,26,5,24,16,5,1,,,
120.0,-5.0,2.5,15.5,4,-8.3816,82,5,24,16,5,1,,,
120.0,-5.0,2.5,15.5,5,-7.8259,59,5,24,16,5,1,,,
60.0,10.0,-7.5,15.5,1,-126.1908,8,5,186,,,,17,5,25
60.0,10.0,-7.5,15.5,2,-126.1908,8,5,186,,,,17,5,34
60.0,10.0,-7.5,15.5,3,-126.1908,8,5,186,,,,17,5,26
60.0,10.0,-7.5,15.5,4,-126.1908,8,5,186,,,,17,5,21
60.0,10.0,-7.5,15.5,5,-126.1896,8,5,186,,,,17,5,10
300.0,-1.25,5.0,15.5,1,-60.8829,13,3,2,9,5,116,,,
300.0,-1.25,5.0,15.5,2,-58.3355,13,3,2,2,5,116,,,
300.0,-1.25,5.0,15.5,3,-58.3355,13,3,2,3,5,116,,,
300.0,-1.25,5.0,15.5,4,-55.9836,13,3,2,34,5,116,,,
300.0,-1.25,5.0,15.5,5,-54.9216,13,3,2,61,5,116,,,
300.0,1.25,5.0,14.25,1,-48.811,135,3,2,16,1,6,,,
300.0,1.25,5.0,14.25,2,-48.811,136,3,2,16,1,6,,,
300.0,1.25,5.0,14.25,3,-48.5572,135,3,2,16,1,116,,,
300.0,1.25,5.0,14.25,4,-48.5572,136,3,2,16,1,116,,,
300.0,1.25,5.0,14.25,5,-46.9371,89,3,2,16,1,6,,,
140.0,1.25,1.25,15.5,1,99.1995,28,5,55,6,5,2,,,
140.0,1.25,1.25,15.5,2,100.5907,32,5,55,6,5,2,,,
140.0,1.25,1.25,15.5,3,100.8103,29,5,55,6,5,2,,,
140.0,1.25,1.25,15.5,4,103.9997,30,5,55,6,5,2,,,
140.0,1.25,1.25,15.5,5,105.3979,31,5,55,6,5,2,,,
200.0,8.75,2.5,14.25,1,70.0925,82,5,24,,,,28,1,14
200.0,8.75,2.5,14.25,2,71.9513,59,5,24,,,,28,1,14
200.0,8.75,2.5,14.25,3,73.2793,60,5,24,,,,28,1,14
200.0,8.75,2.5,14.25,4,78.5725,82,5,24,,,,29,1,14
200.0,8.75,2.5,14.25,5,80.4313,59,5,24,,,,29,1,14
100.0,-1.25,-8.75,16.75,1,-120.4372,19,5,6,35,5,113,,,
100.0,-1.25,-8.75,16.75,2,-119.3173,19,5,26,35,5,113,,,
100.0,-1.25,-8.75,16.75,3,-114.6996,19,5,6,7,5,113,,,
100.0,-1.25,-8.75,16.75,4,-113.5797,19,5,26,7,5,113,,,
100.0,-1.25,-8.75,16.75,5,-106.4929,19,5,6,35,5,11,,,
260.0,0.0,-8.75,15.5,1,15165009.6148,17,2,41,,,,35,5,39
260.0,0.0,-8.75,15.5,2,15165011.3153,17,2,41,,,,35,5,25
260.0,0.0,-8.75,15.5,3,15165025.8802,17,2,41,16,2,19,,,
260.0,0.0,-8.75,15.5,4,15165013.2464,17,2,41,,,,35,5,29
260.0,0.0,-8.75,15.5,5,15165013.3382,17,2,41,,,,35,5,19
320.0,7.5,-10.0,11.75,1,10065855.6992,8,3,2,67,2,44,,,
320.0,7.5,-10.0,11.75,2,10065856.2,8,3,2,67,2,118,,,
320.0,7.5,-10.0,11.75,3,10065856.2259,8,3,2,67,2,116,,,
320.0,7.5,-10.0,11.75,4,10065856.5238,8,3,2,67,2,113,,,
320.0,7.5,-10.0,11.75,5,10065856.7851,8,3,2,67,2,43,,,
200.0,6.25,-2.5,16.75,1,-81.5681,3,5,270,62,5,6,,,
200.0,6.25,-2.5,16.75,2,-81.5493,3,5,270,66,5,6,,,
200.0,6.25,-2.5,16.75,3,-78.5419,3,5,270,9,5,6,,,
200.0,6.25,-2.5,16.75,4,-73.6226,3,5,270,62,5,8,,,
200.0,6.25,-2.5,16.75,5,-73.6038,3,5,270,66,5,8,,,
120.0,0.0,5.0,15.5,1,36485.5202,21,5,55,54,3,147,,,
120.0,0.0,5.0,15.5,2,36489.0167,39,5,55,54,3,147,,,
120.0,0.0,5.0,15.5,3,36489.7469,32,5,55,54,3,147,,,
120.0,0.0,5.0,15.5,4,36489.8944,29,5,55,54,3,147,,,
120.0,0.0,5.0,15.5,5,36490.0588,28,5,55,54,3,147,,,
60.0,-3.75,-5.0,16.75,1,89513.4617,62,5,4,6,2,113,,,
60.0,-3.75,-5.0,16.75,2,89515.6535,62,5,4,6,2,76,,,
60.0,-3.75,-5.0,16.75,3,89517.9559,62,5,4,6,2,77,,,
60.0,-3.75,-5.0,16.75,4,89518.0558,62,5,4,6,2,46,,,
60.0,-3.75,-5.0,16.75,5,89519.2132,62,5,4,6,2,147,,,
180.0,6.25,1.25,14.25,1,5192.5135,84,5,95,,,,31,1,14
180.0,6.25,1.25,14.25,2,5193.1355,84,5,95,,,,32,1,14
180.0,6.25,1.25,14.25,3,5195.0169,86,5,95,,,,31,1,14
180.0,6.25,1.25,14.25,4,5195.5326,85,5,95,,,,31,1,14
180.0,6.25,1.25,14.25,5,5195.6389,86,5,95,,,,32,1,14
240.0,7.5,5.0,16.75,1,-176.0449,78,5,62,,,,35,1,14
240.0,7.5,5.0,16.75,2,-173.4837,78,5,62,,,,35,1,21
240.0,7.5,5.0,16.75,3,-173.2489,87,5,62,,,,35,1,14
240.0,7.5,5.0,16.75,4,-172.7906,116,5,62,,,,35,1,14
240.0,7.5,5.0,16.75,5,-172.502,77,5,62,,,,35,1,14
280.0,1.25,0.0,11.75,1,573212036.952,15,3,4,2,2,1,,,
280.0,1.25,0.0,11.75,2,573212036.952,15,3,4,3,2,1,,,
280.0,1.25,0.0,11.75,3,573212043.832,15,3,4,27,2,1,,,
280.0,1.25,0.0,11.75,4,573212044.409,15,3,4,19,2,1,,,
280.0,1.25,0.0,11.75,5,573212049.162,15,3,4,29,2,1,,,
180.0,10.0,-6.25,16.75,1,-142.8957,82,5,23,35,5,114,,,
180.0,10.0,-6.25,16.75,2,-141.8945,82,5,26,35,5,114,,,
180.0,10.0,-6.25,16.75,3,-138.9958,82,5,23,35,5,115,,,
180.0,10.0,-6.25,16.75,4,-137.9946,82,5,26,35,5,115,,,
180.0,10.0,-6.25,16.75,5,-137.5002,60,5,23,35,5,114,,,
0.0,1.25,-1.25,15.5,1,13149807.1113,5,1,80,61,3,199,,,
0.0,1.25,-1.25,15.5,2,13149808.7845,5,1,80,61,3,7,,,
0.0,1.25,-1.25,15.5,3,13149809.1144,5,1,80,61,3,155,,,
0.0,1.25,-1.25,15.5,4,13149809.1792,5,1,80,61,3,90,,,
0.0,1.25,-1.25,15.5,5,13149809.1856,5,1,80,61,3,157,,,
0.0,-3.75,0.0,16.75,1,227500.0325,85,5,4,35,3,113,,,
