zRot: 60.0, x: 5.0, y: -7.5, z: 16.25, cut: 1, energy: -171.386001587, HV: HV_92, HJ: HJ_5, HCDR3: HCDR3_2, LV: LV_31, LJ: LJ_1, LCDR3: LCDR3_31, cluster: 5, assembly: 29, Pre-Relaxed: -171.3457, Relaxed: nan
zRot: 60.0, x: 5.0, y: -7.5, z: 16.25, cut: 2, energy: -171.186004639, HV: HV_92, HJ: HJ_5, HCDR3: HCDR3_1, LV: LV_31, LJ: LJ_1, LCDR3: LCDR3_31, cluster: 5, assembly: 30, Pre-Relaxed: -171.1456, Relaxed: nan
zRot: 60.0, x: 5.0, y: -7.5, z: 16.25, cut: 3, energy: -171.159194946, HV: HV_92, HJ: HJ_5, HCDR3: HCDR3_2, LV: LV_32, LJ: LJ_1, LCDR3: LCDR3_31, cluster: 5, assembly: 31, Pre-Relaxed: -171.1189, Relaxed: nan
zRot: 60.0, x: 5.0, y: -7.5, z: 16.25, cut: 4, energy: -170.959197998, HV: HV_92, HJ: HJ_5, HCDR3: HCDR3_1, LV: LV_32, LJ: LJ_1, LCDR3: LCDR3_31, cluster: 5, assembly: 32, Pre-Relaxed: -170.9188, Relaxed: nan
zRot: 60.0, x: 5.0, y: -7.5, z: 16.25, cut: 5, energy: -168.400695801, HV: HV_92, HJ: HJ_5, HCDR3: HCDR3_4, LV: LV_31, LJ: LJ_1, LCDR3: LCDR3_31, cluster: 5, assembly: 33, Pre-Relaxed: -168.3603, Relaxed: nan
zRot: 120.0, x: 5.0, y: -7.5, z: 16.25, cut: 1, energy: -137.059494019, HV: HV_8, HJ: HJ_4, HCDR3: HCDR3_24, LV: KV_4, LJ: KJ_4, LCDR3: KCDR3_80, cluster: 4, assembly: 22, Pre-Relaxed: -135.5426, Relaxed: nan
zRot: 120.0, x: 5.0, y: -7.5, z: 16.25, cut: 2, energy: -136.75819397, HV: HV_8, HJ: HJ_5, HCDR3: HCDR3_24, LV: KV_5, LJ: KJ_3, LCDR3: KCDR3_80, cluster: 4, assembly: 23, Pre-Relaxed: -135.2413, Relaxed: nan
zRot: 120.0, x: 5.0, y: -7.5, z: 16.25, cut: 3, energy: -133.771392822, HV: HV_8, HJ: HJ_1, HCDR3: HCDR3_24, LV: KV_40, LJ: KJ_4, LCDR3: KCDR3_80, cluster: 2, assembly: 8, Pre-Relaxed: -132.2545, Relaxed: nan
zRot: 120.0, x: 5.0, y: -7.5, z: 16.25, cut: 4, energy: -131.614501953, HV: HV_134, HJ: HJ_5, HCDR3: HCDR3_24, LV: KV_4, LJ: KJ_3, LCDR3: KCDR3_81, cluster: 4, assembly: 24, Pre-Relaxed: -130.4221, Relaxed: nan
zRot: 120.0, x: 5.0, y: -7.5, z: 16.25, cut: 5, energy: -131.313201904, HV: HV_134, HJ: HJ_5, HCDR3: HCDR3_24, LV: KV_5, LJ: KJ_3, LCDR3: KCDR3_81, cluster: 4, assembly: 25, Pre-Relaxed: -130.1208, Relaxed: nan
zRot: 60.0, x: 2.5, y: -10.0, z: 15.0, cut: 1, energy: -128.311004639, HV: HV_108, HJ: HJ_1, HCDR3: HCDR3_4, LV: KV_62, LJ: KJ_5, LCDR3: KCDR3_80, cluster: 3, assembly: 15, Pre-Relaxed: -126.2133, Relaxed: nan
